filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.2022,-0.0867,0.3415,3.4095,0.0697,1.6614
002.wav,-0.0752,-0.0322,0.3022,3.3804,0.1135,1.6741
003.wav,-0.2336,-0.1001,0.2896,3.3693,0.028,1.6346
004.wav,-0.1639,-0.0703,0.2244,3.3368,0.0303,1.6333
005.wav,-0.0378,-0.0162,0.3021,3.3752,0.1322,1.6795
006.wav,-0.1014,-0.0435,0.2795,3.3668,0.0891,1.6617
007.wav,-0.0252,-0.0108,0.7113,3.6318,0.343,1.8105
008.wav,-0.0307,-0.0131,0.6926,3.5843,0.331,1.7856
009.wav,-0.1279,-0.0548,0.2697,3.3424,0.0709,1.6438
010.wav,-0.0522,-0.0224,0.216,3.2824,0.0819,1.63
011.wav,-0.1326,-0.0568,0.2946,3.368,0.081,1.6556
012.wav,-0.1327,-0.0569,0.4493,3.4744,0.1583,1.7088
013.wav,-0.1119,-0.048,0.4148,3.4692,0.1515,1.7106
014.wav,-0.0575,-0.0246,0.6643,3.6494,0.3034,1.8124
015.wav,-0.1108,-0.0475,0.1473,3.3056,0.0183,1.6291
016.wav,-0.0364,-0.0156,0.4034,3.437,0.1835,1.7107
017.wav,-0.0797,-0.0342,0.2914,3.3458,0.1058,1.6558
018.wav,-0.1923,-0.0824,0.4101,3.418,0.1089,1.6678
019.wav,-0.1001,-0.0429,0.2711,3.3531,0.0855,1.6551
020.wav,-0.0205,-0.0088,0.3541,3.423,0.1668,1.7071
021.wav,-0.0439,-0.0188,0.3057,3.3871,0.1309,1.6841
022.wav,-0.158,-0.0677,0.2386,3.3435,0.0403,1.6379
023.wav,-0.0165,-0.0071,0.333,3.4124,0.1582,1.7026
024.wav,-0.137,-0.0587,0.2252,3.428,0.0441,1.6846
025.wav,-0.1286,-0.0551,0.7548,3.6668,0.3131,1.8058
026.wav,-0.0406,-0.0174,0.9679,3.8203,0.4636,1.9015
027.wav,-0.0517,-0.0222,0.1005,3.5261,0.0244,1.752
028.wav,-0.0603,-0.0258,0.2414,3.3507,0.0905,1.6624
029.wav,-0.1161,-0.0498,0.3893,3.4324,0.1366,1.6913
030.wav,-0.21,-0.09,0.7128,3.6412,0.2514,1.7756
031.wav,-0.0982,-0.0421,1.011,3.8014,0.4564,1.8796
032.wav,-0.1633,-0.07,0.3006,3.2829,0.0687,1.6065
033.wav,-0.0672,-0.0288,0.4833,3.4704,0.208,1.7208
034.wav,-0.1336,-0.0573,0.8263,3.6981,0.3463,1.8204
035.wav,-0.1987,-0.0851,1.0871,3.8327,0.4442,1.8738
036.wav,-0.0405,-0.0174,0.9391,3.7801,0.4493,1.8814
037.wav,-0.0328,-0.0141,0.1513,3.3003,0.0593,1.6431
038.wav,-0.0324,-0.0139,0.5746,3.5853,0.2711,1.7857
039.wav,-0.0824,-0.0353,0.2871,3.3748,0.1024,1.6697
040.wav,-0.0967,-0.0415,0.7252,3.6554,0.3142,1.807
041.wav,-0.0754,-0.0323,0.2249,3.3328,0.0748,1.6503
042.wav,-0.0608,-0.026,-0.057,3.2862,-0.0589,1.6301
043.wav,-0.0988,-0.0423,0.3253,3.3972,0.1133,1.6774
044.wav,-0.1291,-0.0553,0.7615,3.676,0.3162,1.8104
045.wav,-0.1905,-0.0816,0.1847,3.3176,-0.0029,1.618
046.wav,-0.0597,-0.0256,0.8194,3.7342,0.3798,1.8543
047.wav,-0.1758,-0.0754,0.1122,3.333,-0.0318,1.6288
048.wav,-0.1309,-0.0561,-0.0037,3.1568,-0.0673,1.5503
049.wav,-0.0308,-0.0132,0.3076,3.4456,0.1384,1.7162
050.wav,-0.0357,-0.0153,0.3953,3.3892,0.1798,1.6869
051.wav,-0.0506,-0.0217,0.5159,3.5501,0.2327,1.7642
052.wav,-0.1036,-0.0444,0.2549,3.3473,0.0756,1.6514
053.wav,-0.0115,-0.0049,0.5372,3.5198,0.2628,1.7574
054.wav,-0.1013,-0.0434,0.075,3.3155,-0.0131,1.636
055.wav,-0.1021,-0.0438,0.3095,3.3821,0.1037,1.6692
056.wav,-0.1056,-0.0453,0.3228,3.3909,0.1086,1.6728
057.wav,-0.1744,-0.0747,0.3079,3.3845,0.0668,1.6549
058.wav,-0.0625,-0.0268,0.7125,3.6394,0.325,1.8063
059.wav,-0.1304,-0.0559,0.2867,3.4189,0.0782,1.6815
060.wav,-0.2055,-0.0881,0.2399,3.3475,0.0172,1.6297
061.wav,-0.1388,-0.0595,0.3069,3.3799,0.084,1.6602
062.wav,-0.1681,-0.072,0.811,3.6861,0.3214,1.807
063.wav,-0.1475,-0.0632,0.6881,3.62,0.2703,1.7784
064.wav,-0.1144,-0.049,0.3948,3.4261,0.1402,1.6885
065.wav,-0.2711,-0.1162,0.217,3.2927,-0.027,1.5882
066.wav,-0.0753,-0.0323,0.3325,3.3682,0.1286,1.668
067.wav,-0.073,-0.0313,0.7801,3.6384,0.3536,1.8036
068.wav,-0.0219,-0.0094,0.0386,3.6704,0.0084,1.8305
