filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0154,-0.0066,1.9132,4.4445,0.9489,2.219
002.wav,-0.0103,-0.0044,0.0485,3.7788,0.0191,1.8872
003.wav,-0.0318,-0.0136,0.4887,3.5037,0.2284,1.745
004.wav,-0.0318,-0.0136,0.3025,3.3763,0.1353,1.6813
005.wav,-0.0008,-0.0003,0.5133,3.512,0.2563,1.7558
006.wav,-0.0133,-0.0057,0.2629,3.441,0.1248,1.7177
007.wav,-0.0229,-0.0098,0.5854,3.625,0.2812,1.8076
008.wav,-0.0256,-0.011,0.2261,3.3358,0.1003,1.6624
009.wav,-0.0251,-0.0108,0.2446,3.3524,0.1097,1.6708
010.wav,-0.0234,-0.01,0.2523,3.3801,0.1145,1.685
011.wav,-0.0197,-0.0085,0.9325,3.7556,0.4564,1.8736
012.wav,-0.0145,-0.0062,0.3978,3.4319,0.1916,1.7129
013.wav,-0.0112,-0.0048,0.5558,3.6427,0.2723,1.8189
014.wav,-0.0143,-0.0061,0.5281,3.5625,0.2569,1.7782
015.wav,-0.0229,-0.0098,0.4343,3.4182,0.2057,1.7042
016.wav,-0.0372,-0.016,0.2224,3.3217,0.0926,1.6529
017.wav,-0.0035,-0.0015,0.5861,3.5607,0.2913,1.7796
018.wav,-0.0106,-0.0046,1.1641,3.9591,0.5767,1.9772
019.wav,-0.0063,-0.0027,1.0451,3.8061,0.5194,1.9017
020.wav,-0.0171,-0.0073,1.0222,3.8686,0.5025,1.9306
021.wav,-0.0028,-0.0012,0.3087,3.3205,0.153,1.6597
022.wav,-0.0148,-0.0063,0.8236,3.7405,0.4044,1.8671
023.wav,-0.0361,-0.0155,0.6472,3.6939,0.3055,1.8392
024.wav,-0.0347,-0.0149,0.8108,3.7858,0.388,1.8854
025.wav,-0.0498,-0.0213,0.4702,3.4941,0.2102,1.7364
026.wav,-0.0057,-0.0024,1.0173,3.8754,0.5058,1.9365
027.wav,-0.0046,-0.002,0.3063,3.3891,0.1509,1.6936
028.wav,-0.0146,-0.0062,0.2315,3.4674,0.1085,1.7306
029.wav,-0.0589,-0.0253,0.2653,3.373,0.1032,1.6739
030.wav,-0.0193,-0.0083,0.5533,3.5876,0.267,1.7897
031.wav,-0.0906,-0.0388,0.2276,3.3414,0.0685,1.6513
032.wav,-0.0163,-0.007,0.5902,3.5788,0.2869,1.7859
033.wav,-0.0177,-0.0076,0.6358,3.5719,0.309,1.7822
034.wav,-0.0112,-0.0048,0.198,3.5242,0.0934,1.7597
035.wav,-0.0546,-0.0234,0.3044,3.4018,0.1249,1.6892
036.wav,-0.0092,-0.0039,0.6149,3.8281,0.3029,1.9121
037.wav,-0.0034,-0.0014,1.8488,4.4108,0.9227,2.2047
038.wav,-0.0093,-0.004,1.3636,3.9777,0.6771,1.9868
039.wav,-0.0101,-0.0043,0.738,3.7703,0.3639,1.883
040.wav,-0.0664,-0.0285,0.2073,3.3156,0.0704,1.6436
041.wav,-0.0323,-0.0139,0.926,3.7561,0.4469,1.8711
