filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0112,-0.0048,1.9137,4.4448,0.9513,2.22
002.wav,-0.0842,-0.0361,0.476,3.4905,0.1959,1.7272
003.wav,-0.0991,-0.0425,1.1346,3.7511,0.5177,1.8543
004.wav,-0.2724,-0.1168,0.1525,3.2839,-0.06,1.5836
005.wav,-0.0326,-0.014,0.2705,3.3617,0.1189,1.6739
006.wav,-0.0711,-0.0305,0.2002,3.318,0.0646,1.6437
007.wav,-0.0373,-0.016,-0.2962,3.1856,-0.1667,1.5848
008.wav,-0.04,-0.0172,0.7658,3.6629,0.3629,1.8229
009.wav,-0.0769,-0.0329,0.1875,3.3062,0.0553,1.6366
010.wav,-0.0405,-0.0174,0.1715,3.2746,0.0655,1.6286
011.wav,-0.0547,-0.0234,0.6354,3.5943,0.2903,1.7854
012.wav,-0.0984,-0.0422,0.3442,3.4139,0.1229,1.6859
013.wav,-0.0264,-0.0113,1.1483,3.9274,0.5609,1.958
014.wav,-0.0999,-0.0428,0.7003,3.6423,0.3002,1.7997
015.wav,-0.1087,-0.0466,0.6989,3.6353,0.2951,1.7944
016.wav,-0.097,-0.0416,0.9339,3.7849,0.4185,1.8717
017.wav,-0.0159,-0.0068,1.0397,3.8417,0.5119,1.9175
018.wav,-0.0327,-0.014,1.1336,3.929,0.5504,1.9575
019.wav,-0.0767,-0.0329,0.6559,3.6568,0.2896,1.8119
020.wav,-0.1001,-0.0429,0.1892,3.3415,0.0445,1.6493
021.wav,-0.3017,-0.1293,0.2069,3.3156,-0.0474,1.5932
022.wav,-0.1369,-0.0587,0.7348,3.6528,0.299,1.7971
023.wav,-0.0377,-0.0162,0.0941,3.2278,0.0282,1.6058
024.wav,-0.3159,-0.1354,0.3565,3.4161,0.0203,1.6404
025.wav,-0.0455,-0.0195,0.4303,3.4633,0.1924,1.7219
026.wav,-0.0578,-0.0248,0.6489,3.6001,0.2956,1.7877
027.wav,-0.0783,-0.0335,0.1787,3.2886,0.0502,1.6275
028.wav,-0.0128,-0.0055,0.303,3.3813,0.1451,1.6879
029.wav,-0.0805,-0.0345,0.8361,3.8194,0.3778,1.8924
030.wav,-0.251,-0.1076,0.837,3.7059,0.293,1.7992
031.wav,-0.0173,-0.0074,0.1642,3.3646,0.0734,1.6786
032.wav,-0.1795,-0.0769,0.0859,3.2739,-0.0468,1.5985
033.wav,-0.0502,-0.0215,-0.2449,3.1344,-0.1476,1.5565
034.wav,-0.1793,-0.0769,0.1409,3.2634,-0.0192,1.5933
035.wav,-0.0686,-0.0294,0.3278,3.3542,0.1296,1.6624
036.wav,-0.1197,-0.0513,0.1925,3.2908,0.0364,1.6197
037.wav,-0.0336,-0.0144,0.1822,3.2696,0.0743,1.6276
038.wav,-0.0744,-0.0319,0.3321,3.4092,0.1288,1.6887
039.wav,-0.0576,-0.0247,0.6636,3.599,0.303,1.7872
040.wav,-0.0774,-0.0332,0.6455,3.585,0.2841,1.7759
041.wav,-0.0434,-0.0186,0.4682,3.4356,0.2124,1.7085
042.wav,-0.0176,-0.0075,0.5172,3.4921,0.2498,1.7423
043.wav,-0.0621,-0.0266,0.8861,3.7429,0.412,1.8581
044.wav,-0.0721,-0.0309,0.2343,3.3506,0.0811,1.6598
045.wav,-0.0459,-0.0197,0.5869,3.53,0.2705,1.7552
046.wav,-0.1447,-0.062,0.2548,3.3473,0.055,1.6426
047.wav,-0.2053,-0.088,0.2571,3.3668,0.0259,1.6394
048.wav,-0.0853,-0.0365,0.8431,3.7315,0.3789,1.8475
049.wav,-0.1701,-0.0729,0.4356,3.4764,0.1328,1.7017
050.wav,-0.077,-0.033,0.611,3.5832,0.267,1.7751
051.wav,-0.0225,-0.0096,1.2394,3.9595,0.6084,1.9749
052.wav,-0.1257,-0.0539,1.1787,3.9513,0.5265,1.9487
053.wav,-0.0182,-0.0078,0.7327,3.6544,0.3573,1.8233
054.wav,-0.0353,-0.0151,0.9716,3.8047,0.4681,1.8948
055.wav,-0.1308,-0.0561,0.63,3.5921,0.2496,1.768
056.wav,-0.0478,-0.0205,0.2804,3.4104,0.1163,1.6949
057.wav,-0.0133,-0.0057,-0.026,3.5121,-0.0196,1.7532
058.wav,-0.0241,-0.0103,0.9191,3.5168,0.4475,1.7532
059.wav,-0.0004,-0.0002,0.211,3.3299,0.1053,1.6649
060.wav,-0.0158,-0.0068,0.671,3.5178,0.3276,1.7555
061.wav,-0.0041,-0.0018,0.7667,3.6617,0.3813,1.83
062.wav,-0.1045,-0.0448,0.2123,3.3327,0.0539,1.644
063.wav,-0.0457,-0.0196,0.4155,3.4538,0.1849,1.7171
064.wav,-0.0791,-0.0339,0.6322,3.5977,0.2765,1.7819
065.wav,-0.085,-0.0364,0.4217,3.4759,0.1683,1.7197
066.wav,-0.4049,-0.1735,0.4609,3.5322,0.028,1.6793
067.wav,-0.1594,-0.0683,0.275,3.3699,0.0578,1.6508
