filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0083,-0.0035,1.9154,4.4463,0.9536,2.2214
002.wav,-0.0019,-0.0008,1.4909,4.082,0.7445,2.0406
003.wav,-0.0021,-0.0009,0.2877,3.2498,0.1428,1.6244
004.wav,-0.0073,-0.0031,1.0714,3.8738,0.532,1.9353
005.wav,-0.0092,-0.004,0.2997,3.3589,0.1452,1.6775
006.wav,-0.0024,-0.001,0.5756,3.537,0.2866,1.768
007.wav,-0.0039,-0.0017,0.2981,3.2749,0.1471,1.6366
008.wav,-0.0059,-0.0025,0.2855,3.3076,0.1398,1.6526
009.wav,-0.0049,-0.0021,0.6687,3.5716,0.3319,1.7847
010.wav,-0.0086,-0.0037,1.5541,4.153,0.7727,2.0747
011.wav,-0.0071,-0.003,0.1889,3.312,0.0909,1.6545
012.wav,-0.0116,-0.005,0.2839,3.3913,0.1362,1.6932
013.wav,-0.0075,-0.0032,0.1963,3.536,0.0944,1.7664
014.wav,-0.0066,-0.0028,0.8647,3.7531,0.429,1.8751
015.wav,-0.0019,-0.0008,0.1,3.37,0.0491,1.6846
016.wav,-0.0007,-0.0003,0.4214,3.4508,0.2104,1.7253
017.wav,-0.0019,-0.0008,0.2549,3.3849,0.1265,1.6921
018.wav,-0.006,-0.0026,0.1445,3.2991,0.0692,1.6483
019.wav,-0.1522,-0.0652,-0.0612,3.1346,-0.1067,1.5347
020.wav,-0.0018,-0.0008,0.2249,3.3346,0.1116,1.6669
021.wav,-0.0181,-0.0078,0.1712,3.2793,0.0765,1.6358
022.wav,-0.0034,-0.0015,0.4287,3.3618,0.2126,1.6801
023.wav,-0.0143,-0.0061,0.3609,3.4044,0.1733,1.6991
024.wav,-0.0674,-0.0289,0.2964,3.373,0.1145,1.6721
025.wav,-0.0014,-0.0006,-0.0364,3.4045,-0.0189,1.702
026.wav,-0.005,-0.0022,0.316,3.3978,0.1555,1.6978
027.wav,-0.0386,-0.0165,0.2143,3.3332,0.0879,1.6583
028.wav,-0.0083,-0.0036,0.2311,3.4266,0.1114,1.7115
029.wav,-0.0023,-0.001,0.8146,3.6777,0.4062,1.8383
030.wav,-0.0267,-0.0114,0.3077,3.3864,0.1405,1.6875
031.wav,-0.007,-0.003,0.5153,3.5615,0.2541,1.7793
032.wav,-0.0101,-0.0043,0.6657,3.6352,0.3278,1.8154
033.wav,-0.0033,-0.0014,0.6179,3.5839,0.3073,1.7912
034.wav,-0.0026,-0.0011,0.5455,3.5396,0.2714,1.7692
035.wav,-0.0081,-0.0035,0.3845,3.4474,0.1882,1.722
036.wav,-0.0046,-0.002,0.4412,3.6514,0.2183,1.8247
037.wav,-0.0002,-0.0001,0.2838,3.4513,0.1418,1.7256
038.wav,-0.0017,-0.0007,0.9242,3.7672,0.4612,1.8832
039.wav,-0.0042,-0.0018,0.8157,3.8122,0.4058,1.9052
040.wav,-0.0049,-0.0021,0.4493,3.4469,0.2222,1.7224
041.wav,-0.0317,-0.0136,0.2722,3.3676,0.1203,1.677
042.wav,-0.015,-0.0064,0.8176,3.6247,0.4013,1.8091
043.wav,-0.0224,-0.0096,0.126,3.374,0.0518,1.6822
044.wav,-0.0019,-0.0008,0.4155,3.54,0.2068,1.7696
045.wav,-0.0098,-0.0042,0.6289,3.5644,0.3095,1.7801
046.wav,-0.0081,-0.0035,0.1029,3.3197,0.0474,1.6581
047.wav,-0.0168,-0.0072,0.3566,3.416,0.1699,1.7044
048.wav,-0.0503,-0.0216,0.3514,3.3811,0.1505,1.6797
049.wav,-0.0007,-0.0003,0.4654,3.3559,0.2324,1.6778
050.wav,-0.0174,-0.0075,0.3102,3.3667,0.1464,1.6796
051.wav,-0.0089,-0.0038,0.2748,3.3582,0.133,1.6772
052.wav,-0.0033,-0.0014,0.2494,3.3462,0.123,1.6724
053.wav,-0.6017,-0.2579,0.2832,3.3755,-0.1593,1.5588
054.wav,-0.0062,-0.0026,1.117,3.9062,0.5554,1.9518
055.wav,-0.0266,-0.0114,0.7595,3.6746,0.3664,1.8316
056.wav,-0.0018,-0.0008,1.8996,4.4359,0.9489,2.2176
057.wav,-0.0037,-0.0016,-0.2586,3.5004,-0.1312,1.7494
058.wav,-0.0014,-0.0006,0.2101,3.3194,0.1044,1.6594
059.wav,-0.0099,-0.0042,0.8138,3.6898,0.402,1.8428
060.wav,-0.0159,-0.0068,-0.0982,3.3579,-0.057,1.6755
061.wav,-0.0026,-0.0011,0.8444,3.6914,0.4209,1.8451
062.wav,-0.0124,-0.0053,0.8179,3.7112,0.4028,1.853
063.wav,-0.0041,-0.0018,0.1642,3.2833,0.0801,1.6408
064.wav,-0.0047,-0.002,1.441,4.119,0.7182,2.0585
065.wav,-0.0726,-0.0311,0.2769,3.3606,0.1021,1.6647
066.wav,-0.0009,-0.0004,0.3194,3.3857,0.1592,1.6926
067.wav,-0.0139,-0.0059,0.5672,3.5298,0.2767,1.7619
068.wav,-0.0051,-0.0022,0.4833,3.4619,0.2391,1.7299
