filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0419,-0.0179,1.9151,4.4459,0.9366,2.214
002.wav,-0.3666,-0.1571,1.8681,4.4103,0.7507,2.1266
003.wav,-0.5038,-0.2159,0.3173,3.3883,-0.0932,1.5862
004.wav,-0.0494,-0.0212,1.685,4.2846,0.8178,2.1317
005.wav,-0.0226,-0.0097,0.1922,3.3263,0.0848,1.6583
006.wav,-0.4688,-0.2009,0.276,3.3754,-0.0964,1.5872
007.wav,-0.581,-0.249,0.233,3.3466,-0.174,1.5488
008.wav,-0.3527,-0.1511,0.4733,3.4949,0.0603,1.6719
009.wav,-0.3645,-0.1562,0.2372,3.3456,-0.0636,1.5947
010.wav,-0.4221,-0.1809,0.4798,3.4957,0.0288,1.6574
011.wav,-0.2382,-0.1021,-0.2459,3.254,-0.242,1.576
012.wav,-0.2878,-0.1233,0.3768,3.5428,0.0445,1.7097
013.wav,-0.196,-0.084,0.4839,3.5223,0.144,1.7192
014.wav,-0.1162,-0.0498,0.8466,3.7329,0.3652,1.8416
015.wav,-0.2206,-0.0945,0.0692,3.2167,-0.0757,1.5611
016.wav,-0.1705,-0.0731,0.3329,3.4058,0.0812,1.6664
017.wav,-0.2422,-0.1038,0.787,3.6908,0.2724,1.7935
018.wav,-0.3298,-0.1413,0.3927,3.4834,0.0314,1.671
019.wav,-0.4985,-0.2136,0.6026,3.5103,0.052,1.6483
020.wav,-0.1825,-0.0782,0.515,3.4793,0.1663,1.7005
021.wav,-0.2489,-0.1067,0.3036,3.3764,0.0274,1.6349
022.wav,-0.2439,-0.1045,0.3682,3.4252,0.0621,1.6603
023.wav,-0.0892,-0.0382,0.591,3.5277,0.2509,1.7447
024.wav,-0.1792,-0.0768,0.7741,3.5342,0.2974,1.7287
025.wav,-0.1839,-0.0788,0.262,3.3394,0.039,1.6303
026.wav,-0.1409,-0.0604,0.3533,3.4422,0.1062,1.6909
027.wav,-0.1991,-0.0853,0.2048,3.3285,0.0028,1.6216
028.wav,-0.1897,-0.0813,0.2143,3.311,0.0123,1.6149
029.wav,-0.2239,-0.096,0.8963,3.7422,0.3362,1.8231
030.wav,-0.0081,-0.0035,1.518,4.1674,0.7549,2.082
031.wav,-0.2917,-0.125,0.2157,3.2692,-0.038,1.5721
032.wav,-0.1232,-0.0528,0.1814,3.4362,0.0291,1.6917
033.wav,-0.235,-0.1007,0.8281,3.6543,0.2965,1.7768
034.wav,-0.0611,-0.0262,0.5833,3.4759,0.2611,1.7249
035.wav,-0.3659,-0.1568,0.3893,3.3485,0.0117,1.5958
036.wav,-0.2429,-0.1041,0.249,3.3523,0.003,1.6241
037.wav,-0.15,-0.0643,0.1744,3.2101,0.0122,1.5729
038.wav,-0.175,-0.075,0.8147,3.7178,0.3198,1.8214
039.wav,-0.2977,-0.1276,0.8121,3.7124,0.2572,1.7924
040.wav,-0.1155,-0.0495,0.5943,3.5556,0.2394,1.7531
041.wav,-0.2169,-0.093,0.5901,3.5836,0.1866,1.7453
042.wav,-0.2968,-0.1272,0.4359,3.434,0.0696,1.6534
043.wav,-0.3249,-0.1392,0.6874,3.64,0.1813,1.7504
044.wav,-0.3013,-0.1291,0.3124,3.4078,0.0055,1.6393
045.wav,-0.0748,-0.032,1.307,4.039,0.6161,2.0035
046.wav,-0.2463,-0.1055,0.6986,3.639,0.2262,1.7667
047.wav,-0.1185,-0.0508,0.4094,3.4744,0.1455,1.7118
048.wav,-0.3927,-0.1683,0.1585,3.2743,-0.1171,1.553
049.wav,-0.2581,-0.1106,0.3361,3.4341,0.039,1.6617
050.wav,-0.6008,-0.2575,0.1647,3.3,-0.218,1.5212
051.wav,-0.0503,-0.0216,0.1405,3.5072,0.0451,1.7428
052.wav,-0.1287,-0.0551,1.1267,3.8961,0.499,1.9205
053.wav,-0.1396,-0.0598,0.322,3.3969,0.0912,1.6685
054.wav,-0.2072,-0.0888,0.1343,3.2295,-0.0365,1.5704
055.wav,-0.1827,-0.0783,1.2229,3.967,0.5201,1.9444
056.wav,-0.5214,-0.2235,0.3828,3.3947,-0.0693,1.5856
057.wav,-0.0871,-0.0373,0.308,3.378,0.1105,1.6703
058.wav,-0.5273,-0.226,0.2949,3.3816,-0.1162,1.5778
059.wav,-0.3978,-0.1705,0.2336,3.2741,-0.0821,1.5518
060.wav,-0.064,-0.0274,0.2986,3.4151,0.1173,1.6938
061.wav,-0.1435,-0.0615,0.2719,3.3454,0.0642,1.642
062.wav,-0.2023,-0.0867,0.2739,3.3756,0.0358,1.6444
063.wav,-0.0901,-0.0386,0.4567,3.5025,0.1833,1.7319
064.wav,-0.308,-0.132,0.8707,3.7649,0.2814,1.8164
065.wav,-0.1252,-0.0537,0.3581,3.428,0.1165,1.6872
066.wav,-0.3113,-0.1334,1.4146,4.1008,0.5516,1.9837
067.wav,-0.1315,-0.0564,0.0896,3.0478,-0.0209,1.4957
068.wav,-0.1569,-0.0672,0.3878,3.5061,0.1154,1.7194
069.wav,-0.1282,-0.055,1.4887,4.1598,0.6802,2.0524
070.wav,-0.3345,-0.1434,0.3492,3.4105,0.0073,1.6336
071.wav,-0.1979,-0.0848,0.6768,3.6171,0.2394,1.7662
072.wav,-0.1298,-0.0556,0.4981,3.4779,0.1841,1.7112
073.wav,-0.3741,-0.1603,0.1864,3.3067,-0.0938,1.5732
074.wav,-0.2462,-0.1055,0.4611,3.4518,0.1075,1.6732
075.wav,-0.4759,-0.2039,1.3343,4.037,0.4292,1.9165
076.wav,-0.1485,-0.0636,0.1857,3.302,0.0186,1.6192
077.wav,-0.2383,-0.1021,0.5668,3.5418,0.1642,1.7198
078.wav,-0.4733,-0.2028,0.6563,3.6037,0.0915,1.7004
079.wav,-0.1643,-0.0704,0.2886,3.3457,0.0622,1.6376
080.wav,-0.3442,-0.1475,0.2307,3.3207,-0.0568,1.5866
081.wav,-0.3878,-0.1662,0.262,3.3629,-0.0629,1.5984
082.wav,-0.4009,-0.1718,0.2938,3.3728,-0.0536,1.6005
083.wav,-0.4041,-0.1732,0.282,3.366,-0.061,1.5964
084.wav,-0.1812,-0.0777,0.4743,3.419,0.1466,1.6707
085.wav,-0.1883,-0.0807,0.3012,3.374,0.0565,1.6466
086.wav,-0.1354,-0.058,0.4061,3.4529,0.1353,1.6974
087.wav,-0.3268,-0.1401,0.1967,3.3213,-0.0651,1.5906
088.wav,-0.2129,-0.0913,-0.4132,3.334,-0.3131,1.6214
089.wav,-0.1141,-0.0489,0.0614,3.2887,-0.0264,1.6199
090.wav,-0.2044,-0.0876,1.5999,4.2658,0.6977,2.0891
