filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.1822,-0.0781,1.9019,4.4368,0.8599,2.1794
002.wav,-0.2502,-0.1072,0.5771,3.4935,0.1634,1.6931
003.wav,-0.2764,-0.1185,0.1053,3.1518,-0.0856,1.5166
004.wav,-0.3729,-0.1598,0.2491,3.3542,-0.0619,1.5972
005.wav,-0.264,-0.1132,0.1941,3.2658,-0.035,1.5763
006.wav,-0.4577,-0.1961,0.7607,3.6615,0.1515,1.7327
007.wav,-0.2461,-0.1055,0.514,3.5206,0.134,1.7076
009.wav,-0.4184,-0.1793,0.6576,3.6135,0.1196,1.7171
010.wav,-0.2791,-0.1196,0.3693,3.4226,0.0451,1.6515
011.wav,-0.4253,-0.1823,0.3099,3.3909,-0.0577,1.6043
012.wav,-0.2303,-0.0987,0.5348,3.5306,0.1522,1.7159
013.wav,-0.5304,-0.2273,0.391,3.4389,-0.0697,1.6058
014.wav,-0.3515,-0.1506,0.3028,3.3708,-0.0243,1.6101
015.wav,-0.205,-0.0879,1.1316,3.9155,0.4633,1.9138
016.wav,-0.1278,-0.0548,0.3864,3.4348,0.1293,1.69
018.wav,-0.0806,-0.0346,-0.1847,3.1909,-0.1327,1.5782
019.wav,-0.2182,-0.0935,1.0752,3.8826,0.4285,1.8945
020.wav,-0.1927,-0.0826,0.2876,3.3631,0.0474,1.6403
021.wav,-0.279,-0.1196,0.7491,3.6562,0.235,1.7683
022.wav,-0.3871,-0.1659,0.432,3.4625,0.0224,1.6483
023.wav,-0.2968,-0.1272,0.7529,3.6138,0.2281,1.7433
024.wav,-0.292,-0.1252,-0.4853,3.1213,-0.3887,1.4981
025.wav,-0.1182,-0.0507,0.5022,3.4912,0.192,1.7203
026.wav,-0.1869,-0.0801,0.5903,3.5437,0.2017,1.7318
027.wav,-0.2048,-0.0878,0.0147,3.0738,-0.0951,1.493
029.wav,-0.2862,-0.1226,0.2604,3.3582,-0.0129,1.6178
030.wav,-0.445,-0.1907,0.5307,3.5233,0.0428,1.6663
031.wav,-0.2569,-0.1101,0.4727,3.5695,0.1079,1.7297
033.wav,-0.1721,-0.0738,0.4251,3.4602,0.1265,1.6932
034.wav,-0.1315,-0.0564,0.4745,3.4929,0.1715,1.7183
035.wav,-0.136,-0.0583,0.8091,3.7025,0.3365,1.8221
036.wav,-0.1119,-0.048,0.619,3.5772,0.2535,1.7646
039.wav,-0.1494,-0.064,0.972,3.7724,0.4113,1.8542
041.wav,-0.4787,-0.2052,-0.4282,2.9348,-0.4534,1.3648
043.wav,-0.1398,-0.0599,0.3274,3.3677,0.0938,1.6539
044.wav,-0.1488,-0.0638,0.3962,3.4471,0.1237,1.6917
045.wav,-0.0084,-0.0036,0.9375,3.7859,0.4645,1.8912
046.wav,-0.5258,-0.2254,0.2941,3.3884,-0.1159,1.5815
047.wav,-0.0626,-0.0268,0.3416,3.3913,0.1395,1.6822
048.wav,-0.0658,-0.0282,0.2523,3.366,0.0933,1.6689
049.wav,-0.1156,-0.0495,1.1691,3.9247,0.5267,1.9376
050.wav,-0.1114,-0.0477,0.3362,3.404,0.1124,1.6781
051.wav,-0.0593,-0.0254,0.5501,3.528,0.2454,1.7513
052.wav,-0.0507,-0.0217,0.4591,3.4523,0.2042,1.7153
053.wav,-0.223,-0.0956,0.3308,3.3926,0.0539,1.6485
055.wav,-0.4955,-0.2124,0.139,3.2481,-0.1782,1.5179
056.wav,-0.0727,-0.0312,0.4883,3.4748,0.2078,1.7218
057.wav,-0.3356,-0.1438,1.3851,4.0018,0.5247,1.929
058.wav,-0.1797,-0.077,0.1605,3.2921,-0.0096,1.6076
059.wav,-0.0712,-0.0305,0.3734,3.4118,0.1511,1.6906
060.wav,-0.1437,-0.0616,0.526,3.4847,0.1912,1.7116
061.wav,-0.0713,-0.0306,0.3341,3.3483,0.1314,1.6589
062.wav,-0.2136,-0.0915,1.0755,3.8422,0.431,1.8753
063.wav,-0.0467,-0.02,1.1793,3.9373,0.5663,1.9586
065.wav,-0.0959,-0.0411,0.7819,3.6758,0.343,1.8174
066.wav,-0.2698,-0.1156,0.287,3.3751,0.0086,1.6297
067.wav,-0.0455,-0.0195,0.6767,3.7214,0.3156,1.851
068.wav,-0.0193,-0.0083,1.4383,4.1314,0.7095,2.0616
069.wav,-0.057,-0.0244,0.2668,3.381,0.1049,1.6783
070.wav,-0.4183,-0.1793,0.4383,3.4316,0.01,1.6261
073.wav,-0.0522,-0.0224,1.0748,3.959,0.5113,1.9683
075.wav,-0.0439,-0.0188,1.0403,3.8298,0.4982,1.9055
077.wav,-0.1233,-0.0528,-0.1192,3.3078,-0.1213,1.6275
081.wav,-0.5383,-0.2307,-0.1441,3.3731,-0.3412,1.5712
082.wav,-0.2585,-0.1108,0.3098,3.4515,0.0256,1.6703
083.wav,-0.0138,-0.0059,0.4637,3.5676,0.2249,1.7809
085.wav,-0.1048,-0.0449,0.1541,3.2232,0.0247,1.5892
086.wav,-0.2119,-0.0908,0.3316,3.4783,0.0598,1.6937
087.wav,-0.0084,-0.0036,0.1408,3.6221,0.0662,1.8092
088.wav,-0.0793,-0.034,1.3032,4.0114,0.612,1.9887
089.wav,-0.0386,-0.0165,1.2143,3.9655,0.5878,1.9745
090.wav,-0.0657,-0.0282,0.9692,3.8585,0.4517,1.9152
091.wav,-0.2099,-0.0899,-0.132,3.2956,-0.1709,1.6028
092.wav,-0.189,-0.081,0.3584,3.4385,0.0847,1.6788
093.wav,-0.1646,-0.0705,0.4021,3.5443,0.1187,1.7369
094.wav,-0.0696,-0.0298,0.7298,3.6333,0.3301,1.8017
095.wav,-0.149,-0.0639,0.2535,3.2986,0.0522,1.6174
096.wav,-0.3545,-0.1519,0.2826,3.3868,-0.036,1.6175
097.wav,-0.0532,-0.0228,0.4358,3.5431,0.1913,1.7602
098.wav,-0.2095,-0.0898,0.3187,3.45,0.0546,1.6801
099.wav,-0.1493,-0.064,0.747,3.4801,0.2989,1.7081
100.wav,-0.0134,-0.0058,-0.0564,3.3248,-0.0349,1.6595
101.wav,-0.4233,-0.1814,0.4452,3.4687,0.011,1.6436
102.wav,-0.567,-0.243,0.6668,3.6159,0.0499,1.6864
103.wav,-0.1459,-0.0625,0.2238,3.3141,0.039,1.6258
104.wav,-0.1066,-0.0457,0.5358,3.5318,0.2146,1.7431
105.wav,-0.1661,-0.0712,0.6941,3.625,0.264,1.7769
107.wav,-0.41,-0.1757,0.9121,3.816,0.2511,1.8201
108.wav,-0.1615,-0.0692,0.8981,3.7767,0.3683,1.8537
109.wav,-0.1135,-0.0486,0.658,3.6291,0.2723,1.7903
110.wav,-0.036,-0.0154,-0.0055,3.2144,-0.0208,1.5995
111.wav,-0.058,-0.0248,0.4469,3.5771,0.1945,1.7761
113.wav,-0.561,-0.2404,0.514,3.4915,-0.0235,1.6255
114.wav,-0.0967,-0.0414,0.6404,3.6041,0.2718,1.7813
115.wav,-0.22,-0.0943,0.5865,3.5595,0.1833,1.7326
116.wav,-0.0208,-0.0089,0.5956,3.5599,0.2874,1.7755
117.wav,-0.0913,-0.0391,0.2254,3.2416,0.067,1.6012
118.wav,-0.0247,-0.0106,0.4429,3.4821,0.2091,1.7357
120.wav,-0.3262,-0.1398,0.4664,3.4949,0.0701,1.6776
121.wav,-0.5291,-0.2268,0.3969,3.3495,-0.0661,1.5614
122.wav,-0.1628,-0.0698,0.7586,3.6788,0.2979,1.8045
123.wav,-0.1349,-0.0578,0.6194,3.5626,0.2423,1.7524
124.wav,-0.2583,-0.1107,0.4734,3.5573,0.1076,1.7233
125.wav,-0.184,-0.0789,0.0476,3.3093,-0.0682,1.6152
126.wav,-0.1616,-0.0693,0.1442,3.2201,-0.0087,1.5754
127.wav,-0.0533,-0.0228,1.4969,4.1627,0.7218,2.07
128.wav,-0.5093,-0.2183,0.2631,3.3412,-0.1231,1.5614
129.wav,-0.077,-0.033,1.223,3.9598,0.573,1.9634
130.wav,-0.3825,-0.1639,0.7694,3.6897,0.1935,1.7629
131.wav,-0.4935,-0.2115,0.1574,3.2638,-0.168,1.5261
132.wav,-0.5083,-0.2179,0.5131,3.5237,0.0024,1.6529
133.wav,-0.441,-0.189,0.3831,3.4575,-0.029,1.6343
135.wav,-0.0291,-0.0125,-0.1424,3.0497,-0.0858,1.5186
