filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0021,-0.0009,1.9134,4.4452,0.9556,2.2222
002.wav,-0.0024,-0.001,0.672,3.6185,0.3348,1.8087
003.wav,-0.0089,-0.0038,1.0535,3.816,0.5223,1.9061
004.wav,-0.0029,-0.0012,1.3943,3.9775,0.6957,1.9881
005.wav,-0.0057,-0.0024,0.5694,3.5492,0.2818,1.7734
006.wav,-0.0007,-0.0003,1.1879,3.9578,0.5936,1.9787
007.wav,-0.0061,-0.0026,0.003,3.2565,-0.0016,1.627
008.wav,-0.0097,-0.0041,0.4336,3.4974,0.2119,1.7466
009.wav,-0.0041,-0.0018,0.0215,3.1089,0.0087,1.5536
010.wav,-0.0118,-0.005,0.0757,3.1863,0.032,1.5906
011.wav,-0.0058,-0.0025,0.2834,3.3612,0.1388,1.6794
012.wav,-0.0007,-0.0003,0.7186,3.5659,0.3589,1.7828
013.wav,-0.0029,-0.0013,-0.2552,3.2766,-0.1291,1.6377
014.wav,-0.0106,-0.0046,0.344,3.4185,0.1667,1.7069
015.wav,-0.0042,-0.0018,0.8331,3.6199,0.4144,1.8091
016.wav,-0.0063,-0.0027,0.7714,3.6837,0.3826,1.8405
017.wav,-0.0029,-0.0012,0.3075,3.3976,0.1523,1.6982
018.wav,-0.0065,-0.0028,-0.1515,3.2743,-0.079,1.6357
019.wav,-0.0081,-0.0035,1.8818,4.4197,0.9368,2.2081
020.wav,-0.0067,-0.0029,1.0612,3.8828,0.5273,1.94
021.wav,-0.0174,-0.0075,-0.4097,3.1869,-0.2135,1.5897
022.wav,-0.0011,-0.0005,0.3897,3.4298,0.1943,1.7147
023.wav,-0.0031,-0.0013,0.0115,3.2788,0.0042,1.6387
024.wav,-0.0064,-0.0028,0.6324,3.6127,0.313,1.805
025.wav,-0.0106,-0.0046,0.6211,3.5787,0.3052,1.7871
026.wav,-0.012,-0.0052,0.2071,3.3806,0.0975,1.6877
027.wav,-0.0018,-0.0008,0.7928,3.7136,0.3955,1.8564
028.wav,-0.0017,-0.0007,0.89,3.7174,0.4442,1.8583
029.wav,-0.0035,-0.0015,0.1527,3.4723,0.0746,1.7354
030.wav,-0.0111,-0.0048,0.5335,3.5269,0.2612,1.7611
031.wav,-0.0049,-0.0021,0.1845,3.3264,0.0898,1.6621
