filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0404,-0.0173,1.9086,4.4424,0.9341,2.2125
002.wav,-0.0253,-0.0109,1.8707,4.4098,0.9227,2.1995
003.wav,-0.0128,-0.0055,0.6041,3.5784,0.2957,1.7865
004.wav,-0.0333,-0.0143,0.2768,3.5516,0.1217,1.7686
005.wav,-0.0101,-0.0043,0.9001,3.8139,0.445,1.9048
006.wav,-0.1161,-0.0497,0.8406,3.7067,0.3623,1.8285
007.wav,-0.0968,-0.0415,0.9181,3.7976,0.4106,1.8781
008.wav,-0.0753,-0.0323,1.159,3.9688,0.5419,1.9683
009.wav,-0.0672,-0.0288,0.1663,3.3935,0.0495,1.6824
010.wav,-0.0809,-0.0347,0.5951,3.5346,0.2571,1.75
011.wav,-0.0664,-0.0285,0.7326,3.6593,0.3331,1.8154
012.wav,-0.0816,-0.035,0.3074,3.4383,0.1129,1.7017
013.wav,-0.1504,-0.0645,0.1438,3.2699,-0.0033,1.6027
014.wav,-0.09,-0.0386,0.314,3.3541,0.112,1.6578
015.wav,-0.1758,-0.0754,0.4059,3.4427,0.115,1.6837
016.wav,-0.0998,-0.0428,0.4137,3.3195,0.1569,1.6384
017.wav,-0.0391,-0.0168,0.2578,3.3578,0.1093,1.6705
018.wav,-0.125,-0.0536,0.1236,3.1872,-0.0007,1.5668
019.wav,-0.1266,-0.0542,0.9778,3.818,0.4256,1.8819
020.wav,-0.145,-0.0621,0.7829,3.6725,0.319,1.8052
021.wav,-0.0475,-0.0203,-0.1327,3.2099,-0.0901,1.5948
022.wav,-0.0453,-0.0194,0.3475,3.3545,0.1511,1.6676
023.wav,-0.0395,-0.0169,0.7716,3.6995,0.3661,1.8413
024.wav,-0.2708,-0.1161,0.5314,3.5115,0.1303,1.6977
025.wav,-0.2051,-0.0879,1.2669,3.9877,0.5309,1.9499
026.wav,-0.0618,-0.0265,0.7946,3.6171,0.3664,1.7953
