filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0807,-0.0346,1.9115,4.444,0.9154,2.2047
002.wav,-0.1105,-0.0473,1.0347,3.8579,0.4621,1.9053
003.wav,-0.55,-0.2357,0.1959,3.3218,-0.177,1.5431
004.wav,-0.3309,-0.1418,0.6256,3.58,0.1473,1.7191
005.wav,-0.469,-0.201,0.4696,3.4123,0.0003,1.6056
006.wav,-0.4846,-0.2077,0.4463,3.4539,-0.0191,1.6231
007.wav,-0.3373,-0.1445,0.3336,3.4136,-0.0018,1.6345
008.wav,-0.5821,-0.2495,-0.3026,3.159,-0.4424,1.4548
009.wav,-0.6057,-0.2596,0.3718,3.4294,-0.1169,1.5849
010.wav,-0.5447,-0.2335,0.042,3.2783,-0.2514,1.5224
011.wav,-0.4432,-0.1899,0.3496,3.2093,-0.0468,1.5097
012.wav,-0.4562,-0.1955,0.987,3.791,0.2654,1.7978
013.wav,-0.5325,-0.2282,0.3895,3.3802,-0.0715,1.576
014.wav,-0.3987,-0.1709,0.6255,3.6133,0.1134,1.7212
015.wav,-0.3826,-0.164,0.781,3.6868,0.1992,1.7614
016.wav,-0.5122,-0.2195,0.6669,3.6147,0.0773,1.6976
017.wav,-0.4727,-0.2026,0.1855,3.2524,-0.1436,1.5249
018.wav,-0.4702,-0.2015,0.2279,3.3564,-0.1211,1.5775
019.wav,-0.5179,-0.2219,0.3269,3.405,-0.0955,1.5915
020.wav,-0.416,-0.1783,1.0094,3.8252,0.2967,1.8234
021.wav,-0.44,-0.1886,0.549,3.5354,0.0545,1.6734
022.wav,-0.5118,-0.2193,0.3704,3.4385,-0.0707,1.6096
023.wav,-0.4109,-0.1761,0.7196,3.6458,0.1543,1.7348
024.wav,-0.5722,-0.2452,0.1654,3.321,-0.2034,1.5379
025.wav,-0.5502,-0.2358,0.6876,3.6799,0.0687,1.722
026.wav,-0.6168,-0.2643,0.1997,3.3144,-0.2086,1.525
027.wav,-0.6152,-0.2637,0.2279,3.3436,-0.1936,1.54
028.wav,-0.5377,-0.2305,-0.3803,3.1423,-0.459,1.4559
029.wav,-0.5366,-0.23,1.0814,3.8818,0.2724,1.8259
030.wav,-0.4644,-0.199,0.4824,3.4892,0.009,1.6451
031.wav,-0.5028,-0.2155,0.863,3.7362,0.1801,1.7603
032.wav,-0.0633,-0.0271,1.9094,4.4428,0.923,2.2078
033.wav,-0.0924,-0.0396,1.8469,4.3983,0.8773,2.1793
034.wav,-0.3698,-0.1585,0.4674,3.6887,0.0488,1.7651
035.wav,-0.6072,-0.2602,0.3448,3.3968,-0.1312,1.5683
036.wav,-0.042,-0.018,1.1146,3.8886,0.5363,1.9353
037.wav,-0.4996,-0.2141,0.9853,3.8161,0.2429,1.801
038.wav,-0.2492,-0.1068,0.289,3.3638,0.0199,1.6285
039.wav,-0.3372,-0.1445,0.369,3.2967,0.0159,1.5761
