filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0068,-0.0029,1.8999,4.4344,0.9465,2.2157
002.wav,-0.1342,-0.0575,1.1875,3.9755,0.5266,1.959
003.wav,-0.0541,-0.0232,0.3983,3.4445,0.1721,1.7107
004.wav,-0.0331,-0.0142,1.2682,3.989,0.6176,1.9874
005.wav,-0.08,-0.0343,0.8956,3.7665,0.4078,1.8661
006.wav,-0.0526,-0.0226,0.111,3.3472,0.0292,1.6623
007.wav,-0.05,-0.0214,0.4592,3.5028,0.2046,1.7407
008.wav,-0.0517,-0.0222,1.1884,3.9271,0.5684,1.9524
009.wav,-0.0347,-0.0149,-0.0061,3.2712,-0.0204,1.6282
010.wav,-0.0268,-0.0115,0.7279,3.6818,0.3506,1.8352
011.wav,-0.1037,-0.0445,0.4735,3.5038,0.1849,1.7297
012.wav,-0.0026,-0.0011,0.2955,3.3658,0.1465,1.6823
013.wav,-0.0825,-0.0354,0.3028,3.383,0.1101,1.6738
014.wav,-0.07,-0.03,0.3367,3.3959,0.1333,1.6829
015.wav,-0.0166,-0.0071,1.3691,4.0982,0.6763,2.0455
016.wav,-0.0008,-0.0003,0.18,3.2538,0.0896,1.6268
017.wav,-0.0037,-0.0016,0.5935,3.4931,0.2949,1.7457
018.wav,-0.0592,-0.0254,0.3262,3.4727,0.1335,1.7237
019.wav,-0.0347,-0.0149,1.4799,4.1518,0.7226,2.0685
020.wav,-0.1047,-0.0449,0.1956,3.3981,0.0454,1.6766
021.wav,-0.0469,-0.0201,0.1603,3.3426,0.0567,1.6613
022.wav,-0.0584,-0.025,0.4231,3.3346,0.1824,1.6548
023.wav,-0.2352,-0.1008,0.216,3.3095,-0.0096,1.6044
024.wav,-0.0006,-0.0002,1.7075,4.2942,0.8535,2.147
025.wav,-0.1257,-0.0539,0.5393,3.5219,0.2068,1.734
026.wav,-0.2538,-0.1088,0.6328,3.5826,0.1895,1.7369
027.wav,-0.0526,-0.0225,0.3503,3.4478,0.1488,1.7126
028.wav,-0.026,-0.0111,0.3967,3.6059,0.1854,1.7974
029.wav,-0.0199,-0.0085,1.0086,3.8435,0.4943,1.9175
030.wav,-0.0654,-0.028,0.3244,3.3917,0.1295,1.6819
031.wav,-0.3007,-0.1289,0.6457,3.6095,0.1725,1.7403
032.wav,-0.0027,-0.0012,1.4039,4.0804,0.7006,2.0396
033.wav,-0.085,-0.0364,1.1768,3.6989,0.5459,1.8313
034.wav,-0.0079,-0.0034,0.5498,3.4935,0.2709,1.745
035.wav,-0.0003,-0.0001,0.211,3.3299,0.1054,1.6649
036.wav,-0.0479,-0.0205,0.9893,3.8828,0.4707,1.9311
037.wav,-0.0084,-0.0036,0.1474,3.3214,0.0695,1.6589
038.wav,-0.1351,-0.0579,0.2186,3.332,0.0418,1.6371
039.wav,-0.2084,-0.0893,-0.0482,3.4238,-0.1283,1.6672
040.wav,-0.0143,-0.0061,0.4969,3.6752,0.2413,1.8346
041.wav,-0.0119,-0.0051,-0.2638,3.2188,-0.1379,1.6069
042.wav,-0.1042,-0.0446,-0.3914,3.3427,-0.2478,1.649
043.wav,-0.0014,-0.0006,0.273,3.4434,0.1358,1.7214
044.wav,-0.1725,-0.0739,0.3052,3.4508,0.0664,1.6884
045.wav,-0.0379,-0.0163,0.5211,3.5057,0.2416,1.7447
046.wav,-0.0463,-0.0198,1.6421,4.2368,0.7979,2.1085
047.wav,-0.091,-0.039,0.767,3.6615,0.338,1.8113
048.wav,-0.0136,-0.0058,0.5792,3.3301,0.2828,1.6622
049.wav,-0.0083,-0.0035,0.7116,3.6476,0.3517,1.822
050.wav,-0.1357,-0.0581,0.4331,3.4821,0.1487,1.712
051.wav,-0.1047,-0.0449,0.4,3.4701,0.1476,1.7126
052.wav,-0.0395,-0.0169,0.0489,3.3541,0.0047,1.6686
053.wav,-0.0426,-0.0183,0.5546,3.6799,0.256,1.8308
054.wav,-0.0391,-0.0168,0.5747,3.5717,0.2678,1.7775
055.wav,-0.0505,-0.0216,0.248,3.3486,0.0987,1.6635
056.wav,-0.0414,-0.0178,0.2745,3.3653,0.1165,1.6738
057.wav,-0.0449,-0.0192,0.2253,3.3277,0.0902,1.6542
