filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0005,-0.0002,1.9151,4.446,0.9573,2.2229
002.wav,-0.0292,-0.0125,0.5098,3.4696,0.2403,1.7285
003.wav,-0.0018,-0.0008,-0.3167,3.2161,-0.1593,1.6077
004.wav,-0.0011,-0.0005,0.0421,3.2392,0.0205,1.6193
005.wav,-0.0088,-0.0038,0.1015,3.3725,0.0463,1.6844
006.wav,-0.0025,-0.0011,0.2877,3.4198,0.1426,1.7094
007.wav,-0.0194,-0.0083,0.1574,3.3905,0.069,1.6911
008.wav,-0.0143,-0.0061,0.8607,3.7341,0.4232,1.864
009.wav,-0.0156,-0.0067,0.963,3.8521,0.4737,1.9227
010.wav,-0.0035,-0.0015,0.6562,3.6186,0.3264,1.8086
011.wav,-0.008,-0.0034,0.3814,3.4435,0.1867,1.72
012.wav,-0.0049,-0.0021,0.0846,3.3012,0.0398,1.6495
013.wav,-0.0024,-0.001,-0.3199,3.1278,-0.1612,1.5634
014.wav,-0.0008,-0.0003,0.4058,3.4504,0.2025,1.725
015.wav,-0.018,-0.0077,0.2813,3.3772,0.1316,1.6847
016.wav,-0.0094,-0.004,-0.3056,3.0506,-0.1575,1.5233
017.wav,-0.002,-0.0008,0.1756,3.4908,0.0868,1.745
018.wav,-0.0035,-0.0015,-0.2831,3.1832,-0.1433,1.5909
019.wav,-0.0019,-0.0008,0.0285,3.1774,0.0133,1.5883
020.wav,-0.0038,-0.0016,0.0358,3.3567,0.016,1.6775
021.wav,-0.0045,-0.0019,0.6478,3.5813,0.3217,1.7897
022.wav,-0.0269,-0.0115,0.3792,3.4351,0.1761,1.7118
023.wav,-0.0008,-0.0003,0.5389,3.6731,0.2691,1.8364
024.wav,-0.0018,-0.0008,0.2719,3.3633,0.1351,1.6813
025.wav,-0.001,-0.0004,0.1811,3.2705,0.0901,1.635
026.wav,-0.0039,-0.0017,0.1879,3.2249,0.092,1.6116
027.wav,-0.0023,-0.001,0.2386,3.3455,0.1181,1.6722
028.wav,-0.0042,-0.0018,0.1972,3.2413,0.0965,1.6197
029.wav,-0.0011,-0.0005,0.2401,3.3741,0.1195,1.6868
030.wav,-0.0017,-0.0007,0.8106,3.6877,0.4045,1.8435
031.wav,-0.0052,-0.0022,-0.26,3.1533,-0.1326,1.5755
032.wav,-0.003,-0.0013,-0.2352,3.1823,-0.1191,1.5905
033.wav,-0.0023,-0.001,0.3414,3.3925,0.1696,1.6958
034.wav,-0.0015,-0.0006,0.2459,3.3599,0.1222,1.6796
035.wav,-0.0079,-0.0034,1.3715,4.0937,0.6818,2.0452
036.wav,-0.0097,-0.0042,0.5616,3.5661,0.276,1.781
037.wav,-0.0006,-0.0003,0.7152,3.6414,0.3573,1.8206
038.wav,-0.0011,-0.0005,0.9874,3.8216,0.4932,1.9106
039.wav,-0.0035,-0.0015,0.2595,3.3579,0.128,1.6782
040.wav,-0.0048,-0.0021,-0.1166,3.199,-0.0607,1.5985
041.wav,-0.003,-0.0013,0.2211,3.3655,0.109,1.6821
042.wav,-0.0005,-0.0002,0.3176,3.397,0.1585,1.6984
043.wav,-0.001,-0.0004,0.5114,3.5102,0.2552,1.7549
044.wav,-0.0042,-0.0018,0.4046,3.4382,0.2002,1.7182
045.wav,-0.0025,-0.0011,0.2877,3.3506,0.1426,1.6748
046.wav,-0.0028,-0.0012,0.2681,3.3632,0.1326,1.681
047.wav,-0.012,-0.0052,-0.1873,3.2344,-0.0997,1.6146
048.wav,-0.003,-0.0013,0.303,3.3915,0.15,1.6951
049.wav,-0.0263,-0.0113,0.2795,3.3699,0.1266,1.6793
050.wav,-0.0088,-0.0038,0.3296,3.2694,0.1604,1.6328
051.wav,-0.0201,-0.0086,0.4895,3.4856,0.2347,1.7385
052.wav,-0.0016,-0.0007,1.3667,4.0374,0.6826,2.0184
053.wav,-0.0025,-0.0011,0.1766,3.274,0.0871,1.6364
054.wav,-0.0002,-0.0001,0.2056,3.3371,0.1027,1.6685
055.wav,-0.0299,-0.0128,0.683,3.6262,0.3265,1.8067
056.wav,-0.0004,-0.0002,0.2896,3.4257,0.1446,1.7128
057.wav,-0.004,-0.0017,0.3663,3.3868,0.1812,1.6926
058.wav,-0.0041,-0.0018,0.3237,3.422,0.1598,1.7101
059.wav,-0.0013,-0.0005,-0.3519,3.1971,-0.1766,1.5983
060.wav,-0.0028,-0.0012,-0.0457,3.1839,-0.0243,1.5913
061.wav,-0.0029,-0.0012,0.6464,3.6011,0.3217,1.7999
062.wav,-0.0009,-0.0004,0.5914,3.6035,0.2952,1.8016
063.wav,-0.0007,-0.0003,0.2075,3.347,0.1034,1.6734
064.wav,-0.0243,-0.0104,0.328,3.4101,0.1519,1.6998
065.wav,-0.0024,-0.001,0.5212,3.498,0.2594,1.7485
066.wav,-0.0177,-0.0076,0.4174,3.5437,0.1998,1.7681
067.wav,-0.0074,-0.0032,0.7758,3.6358,0.3842,1.8163
068.wav,-0.0063,-0.0027,0.1129,3.3264,0.0533,1.6619
069.wav,-0.0009,-0.0004,1.2224,3.9554,0.6108,1.9775
070.wav,-0.0221,-0.0095,1.2639,3.9675,0.6209,1.979
071.wav,-0.0003,-0.0001,0.6731,3.6077,0.3364,1.8038
072.wav,-0.0052,-0.0022,0.6949,3.6318,0.3448,1.8148
073.wav,-0.0019,-0.0008,-0.1359,3.2484,-0.0689,1.6238
074.wav,-0.002,-0.0009,0.4046,3.47,0.2013,1.7346
075.wav,-0.0024,-0.001,-0.0403,3.1624,-0.0214,1.5807
076.wav,-0.0028,-0.0012,0.0577,3.3158,0.0274,1.6573
077.wav,-0.0004,-0.0002,0.0137,3.2216,0.0067,1.6107
078.wav,-0.0045,-0.0019,-0.0749,3.1776,-0.0397,1.5878
079.wav,-0.0031,-0.0013,0.4945,3.5296,0.2457,1.7641
080.wav,-0.003,-0.0013,1.1948,3.9417,0.5959,1.9702
081.wav,-0.001,-0.0004,-0.1023,3.2631,-0.0517,1.6313
082.wav,-0.0044,-0.0019,0.3151,3.3833,0.1553,1.6907
083.wav,-0.0005,-0.0002,0.1965,3.3224,0.098,1.6611
084.wav,-0.0008,-0.0003,0.2352,3.3377,0.1172,1.6687
085.wav,-0.0013,-0.0005,0.4306,3.5313,0.2147,1.7654
086.wav,-0.0018,-0.0008,0.2119,3.3328,0.1051,1.666
087.wav,-0.0062,-0.0026,0.5425,3.508,0.2682,1.7527
088.wav,-0.0047,-0.002,0.5791,3.4424,0.2872,1.7202
089.wav,-0.0041,-0.0018,0.4142,3.4626,0.205,1.7304
090.wav,-0.0009,-0.0004,0.2768,3.3647,0.138,1.6822
091.wav,-0.001,-0.0004,0.418,3.4605,0.2085,1.73
092.wav,-0.0035,-0.0015,0.3192,3.4143,0.1579,1.7064
093.wav,-0.0005,-0.0002,0.6349,3.5764,0.3172,1.7881
094.wav,-0.001,-0.0004,0.3807,3.4366,0.1899,1.7181
095.wav,-0.0018,-0.0008,0.5079,3.5114,0.253,1.7553
096.wav,-0.001,-0.0004,0.5985,3.5655,0.2988,1.7825
097.wav,-0.0007,-0.0003,0.1428,3.2821,0.071,1.6409
098.wav,-0.0014,-0.0006,0.2925,3.3848,0.1456,1.6921
099.wav,-0.0038,-0.0016,0.1652,3.2621,0.0807,1.6302
100.wav,-0.0043,-0.0019,0.5196,3.5364,0.2576,1.7673
101.wav,-0.0005,-0.0002,0.352,3.4167,0.1757,1.7082
102.wav,-0.0022,-0.0009,0.2635,3.3511,0.1306,1.6751
103.wav,-0.0008,-0.0004,0.849,3.7334,0.4241,1.8665
104.wav,-0.0026,-0.0011,0.8507,3.7709,0.424,1.8849
105.wav,-0.0065,-0.0028,1.0306,3.7707,0.512,1.8839
106.wav,-0.0019,-0.0008,0.4594,3.4595,0.2287,1.7293
107.wav,-0.0017,-0.0007,0.282,3.3308,0.1401,1.6651
108.wav,-0.0026,-0.0011,0.7301,3.6595,0.3638,1.8292
109.wav,-0.0035,-0.0015,0.5837,3.4786,0.2901,1.7386
110.wav,-0.0006,-0.0002,0.3196,3.3885,0.1595,1.6942
111.wav,-0.0036,-0.0015,0.8572,3.7192,0.4268,1.8588
112.wav,-0.0174,-0.0074,0.2656,3.3622,0.1241,1.6774
113.wav,-0.0097,-0.0042,0.0719,3.3848,0.0311,1.6903
114.wav,-0.0014,-0.0006,0.6519,3.6151,0.3253,1.8073
115.wav,-0.0028,-0.0012,0.1763,3.2376,0.0868,1.6182
116.wav,-0.0049,-0.0021,0.6699,3.6443,0.3325,1.8211
117.wav,-0.0067,-0.0029,0.5462,3.5455,0.2698,1.7713
118.wav,-0.0157,-0.0067,0.2225,3.2982,0.1034,1.6458
119.wav,-0.0058,-0.0025,0.2206,3.3376,0.1074,1.6676
120.wav,-0.0019,-0.0008,0.1057,3.2496,0.0519,1.6244
121.wav,-0.0082,-0.0035,0.162,3.4202,0.0769,1.7083
122.wav,-0.0041,-0.0017,0.2177,3.3532,0.1068,1.6757
123.wav,-0.0067,-0.0029,-0.245,3.2094,-0.1258,1.6033
124.wav,-0.002,-0.0009,0.757,3.6589,0.3775,1.829
125.wav,-0.001,-0.0004,-0.4131,3.4458,-0.207,1.7227
126.wav,-0.0053,-0.0023,0.1589,3.5478,0.0768,1.7728
127.wav,-0.0113,-0.0048,0.5888,3.6743,0.2887,1.8347
128.wav,-0.0141,-0.0061,0.3732,3.432,0.1795,1.713
129.wav,-0.0022,-0.0009,1.8093,4.3625,0.9036,2.1808
130.wav,-0.0055,-0.0024,0.9004,3.7662,0.4474,1.8819
131.wav,-0.0066,-0.0028,1.9102,4.4429,0.9518,2.22
132.wav,-0.0054,-0.0023,0.7153,3.6474,0.355,1.8226
133.wav,-0.0011,-0.0005,1.5741,4.1685,0.7865,2.084
134.wav,-0.0189,-0.0081,1.446,4.1397,0.7136,2.0658
135.wav,-0.0172,-0.0074,0.0383,3.355,0.0105,1.6738
136.wav,-0.0074,-0.0032,0.5952,3.5636,0.2939,1.7802
137.wav,-0.0272,-0.0116,0.8371,3.7413,0.405,1.8648
138.wav,-0.0017,-0.0007,0.1395,3.3156,0.0689,1.6574
139.wav,-0.0022,-0.001,0.5978,3.2105,0.2978,1.6048
140.wav,-0.001,-0.0004,0.1248,3.409,0.0619,1.7043
141.wav,-0.003,-0.0013,1.354,4.0591,0.6755,2.0289
142.wav,-0.0139,-0.0059,0.3852,3.4343,0.1857,1.7142
143.wav,-0.029,-0.0124,0.8369,3.6938,0.4039,1.8407
144.wav,-0.0068,-0.0029,1.1261,3.92,0.5596,1.9586
145.wav,-0.0153,-0.0066,0.1668,3.3325,0.0757,1.663
146.wav,-0.0057,-0.0024,0.4095,3.5057,0.2019,1.7516
147.wav,-0.0003,-0.0001,0.1747,3.2683,0.0872,1.6341
148.wav,-0.0044,-0.0019,0.7313,3.656,0.3634,1.8271
149.wav,-0.0009,-0.0004,-0.0128,3.4084,-0.0068,1.704
150.wav,-0.0012,-0.0005,0.0845,3.2415,0.0417,1.6205
151.wav,-0.0027,-0.0012,0.9928,3.8049,0.495,1.9019
152.wav,-0.0021,-0.0009,0.6523,3.6042,0.3251,1.8017
153.wav,-0.0674,-0.0289,0.6885,3.6128,0.3105,1.7919
154.wav,-0.0025,-0.0011,0.2463,2.9941,0.1219,1.4965
155.wav,-0.0211,-0.009,0.2011,3.3202,0.09,1.6556
156.wav,-0.6107,-0.2617,0.6653,3.616,0.0273,1.6771
157.wav,-0.0148,-0.0063,0.3571,3.4253,0.1712,1.7095
158.wav,-0.0025,-0.0011,1.9109,4.4435,0.9542,2.2212
159.wav,-0.0196,-0.0084,0.6426,3.5586,0.3115,1.7751
160.wav,-0.0134,-0.0058,0.1862,3.4601,0.0864,1.7272
161.wav,-0.0177,-0.0076,0.2965,3.3736,0.1394,1.683
162.wav,-0.0013,-0.0006,1.578,4.2267,0.7884,2.1131
163.wav,-0.0114,-0.0049,-0.2016,3.0795,-0.1065,1.5373
164.wav,-0.0523,-0.0224,0.3773,3.451,0.1625,1.7143
165.wav,-0.005,-0.0021,0.1512,3.2903,0.0731,1.6441
166.wav,-0.0098,-0.0042,0.4056,3.3898,0.1979,1.6928
167.wav,-0.0084,-0.0036,0.876,3.7846,0.4338,1.8905
168.wav,-0.0041,-0.0018,0.7539,3.5024,0.3749,1.7503
169.wav,-0.0032,-0.0014,0.2593,3.3734,0.128,1.686
170.wav,-0.0036,-0.0015,0.5725,3.5233,0.2844,1.7609
171.wav,-0.0006,-0.0003,0.5877,3.6268,0.2935,1.8133
172.wav,-0.0112,-0.0048,0.2953,3.3695,0.142,1.6823
173.wav,-0.0051,-0.0022,0.1828,3.2929,0.0889,1.6454
174.wav,-0.0003,-0.0001,0.412,3.4454,0.2059,1.7227
175.wav,-0.0051,-0.0022,0.2815,3.4713,0.1382,1.7346
176.wav,-0.003,-0.0013,0.5286,3.5256,0.2628,1.7622
177.wav,-0.0204,-0.0087,0.435,3.5248,0.2073,1.758
178.wav,-0.0044,-0.0019,-0.2105,3.3735,-0.1075,1.6858
179.wav,-0.0116,-0.005,0.3231,3.428,0.1557,1.7115
180.wav,-0.0024,-0.001,-0.0737,3.3703,-0.038,1.6847
181.wav,-0.1482,-0.0635,1.9113,4.4434,0.8816,2.19
182.wav,-0.0115,-0.0049,0.3604,3.33,0.1745,1.6625
183.wav,-0.0332,-0.0142,0.5305,3.6281,0.2486,1.8069
184.wav,-0.0108,-0.0046,0.11,3.1762,0.0496,1.5858
185.wav,-0.0009,-0.0004,0.6089,3.5831,0.304,1.7913
186.wav,-0.0008,-0.0004,0.7132,3.5936,0.3562,1.7966
187.wav,-0.0088,-0.0038,0.3447,3.3714,0.1679,1.6838
