filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0033,-0.0014,1.9132,4.4443,0.955,2.2214
002.wav,-0.0143,-0.0061,0.8153,3.7105,0.4005,1.8522
003.wav,-0.0082,-0.0035,0.0355,3.2693,0.0137,1.6329
004.wav,-0.045,-0.0193,0.629,3.5995,0.292,1.7901
005.wav,-0.0147,-0.0063,1.8464,4.3882,0.9158,2.191
006.wav,-0.0261,-0.0112,-0.0807,3.1943,-0.0534,1.5916
007.wav,-0.0619,-0.0265,0.4652,3.5305,0.2017,1.752
008.wav,-0.0225,-0.0097,0.1811,3.4379,0.0793,1.7141
009.wav,-0.0317,-0.0136,0.4666,3.4773,0.2175,1.7319
010.wav,-0.0241,-0.0103,0.2587,3.3705,0.1173,1.6801
011.wav,-0.0153,-0.0066,0.1577,3.4979,0.0712,1.7457
012.wav,-0.0433,-0.0186,-0.2363,3.3297,-0.1398,1.6556
013.wav,-0.0072,-0.0031,0.0829,3.2471,0.0379,1.622
014.wav,-0.0486,-0.0208,0.6115,3.5494,0.2814,1.7643
015.wav,-0.0223,-0.0096,0.9081,3.6644,0.4429,1.8274
016.wav,-0.0143,-0.0061,-0.1474,3.2871,-0.0809,1.6405
017.wav,-0.0497,-0.0213,0.2887,3.3825,0.1195,1.6806
018.wav,-0.0371,-0.0159,1.2967,4.134,0.6298,2.059
019.wav,-0.0302,-0.0129,0.3311,3.399,0.1505,1.693
020.wav,-0.0066,-0.0028,0.5831,3.5527,0.2883,1.775
021.wav,-0.0064,-0.0027,0.7493,3.6759,0.3714,1.8366
022.wav,-0.0058,-0.0025,0.2856,3.351,0.1399,1.6743
023.wav,-0.0054,-0.0023,0.5879,3.5777,0.2912,1.7877
024.wav,-0.012,-0.0051,0.735,3.6735,0.3615,1.8342
025.wav,-0.0198,-0.0085,0.5988,3.5773,0.2895,1.7844
026.wav,-0.0021,-0.0009,0.388,3.454,0.1929,1.7265
027.wav,-0.0296,-0.0127,-0.0773,2.8408,-0.0535,1.4141
028.wav,-0.003,-0.0013,0.23,3.2872,0.1135,1.643
029.wav,-0.0106,-0.0046,-0.1898,3.169,-0.1002,1.5822
030.wav,-0.02,-0.0086,0.7281,3.6633,0.354,1.8274
031.wav,-0.0209,-0.0089,0.1159,3.1846,0.0475,1.5878
032.wav,-0.0332,-0.0142,0.0448,3.2626,0.0058,1.6242
033.wav,-0.0412,-0.0177,0.2939,3.4802,0.1263,1.7312
034.wav,-0.0363,-0.0155,0.4781,3.4552,0.2209,1.7198
035.wav,-0.0404,-0.0173,0.4274,3.4952,0.1935,1.7389
036.wav,-0.0054,-0.0023,0.1727,3.5229,0.0837,1.7603
037.wav,-0.0281,-0.0121,0.6301,3.5967,0.301,1.7923
038.wav,-0.0123,-0.0053,1.1007,3.8871,0.5442,1.9409
039.wav,-0.019,-0.0081,0.5819,3.5298,0.2815,1.7609
040.wav,-0.0071,-0.0031,0.1448,3.3073,0.0688,1.6521
041.wav,-0.0308,-0.0132,0.3188,3.4184,0.144,1.7026
042.wav,-0.0599,-0.0257,0.4292,3.4678,0.1846,1.7211
043.wav,-0.0033,-0.0014,0.4328,3.4394,0.2147,1.719
044.wav,-0.0184,-0.0079,0.2022,3.3917,0.0919,1.6919
045.wav,-0.0384,-0.0164,-0.0805,3.3081,-0.0594,1.6458
046.wav,-0.0277,-0.0119,0.2024,3.3066,0.0874,1.6474
047.wav,-0.0259,-0.0111,-0.0023,3.2303,-0.0141,1.6096
048.wav,-0.0134,-0.0058,1.0629,3.9156,0.5247,1.9549
049.wav,-0.0139,-0.0059,0.0713,3.3339,0.0287,1.664
050.wav,-0.0064,-0.0027,1.0972,3.877,0.5454,1.9371
051.wav,-0.0254,-0.0109,1.2483,4.019,0.6115,2.004
052.wav,-0.0061,-0.0026,0.6956,3.5789,0.3447,1.7881
053.wav,-0.0126,-0.0054,0.0073,3.2458,-0.0027,1.6202
054.wav,-0.0209,-0.009,0.4912,3.5607,0.2351,1.7758
055.wav,-0.0247,-0.0106,0.3034,3.415,0.1393,1.7022
056.wav,-0.0502,-0.0215,0.1893,3.3145,0.0696,1.6465
057.wav,-0.0093,-0.004,0.2422,3.3577,0.1164,1.6768
058.wav,-0.0131,-0.0056,0.1228,3.3567,0.0549,1.6755
059.wav,-0.004,-0.0017,0.0234,3.1174,0.0097,1.5578
060.wav,-0.0173,-0.0074,0.1256,3.4058,0.0541,1.6992
061.wav,-0.052,-0.0223,1.1369,3.9252,0.5424,1.9514
062.wav,-0.0295,-0.0127,0.3252,3.266,0.1478,1.6267
063.wav,-0.0315,-0.0135,0.03,3.2112,-0.0007,1.5988
064.wav,-0.0278,-0.0119,-0.0425,3.3743,-0.0352,1.6812
065.wav,-0.0182,-0.0078,0.1521,3.3213,0.067,1.6568
066.wav,-0.0148,-0.0063,-0.5979,3.2122,-0.3064,1.6029
067.wav,-0.0057,-0.0024,0.9527,3.8329,0.4735,1.9152
068.wav,-0.0249,-0.0107,1.2196,3.9934,0.5973,1.9914
069.wav,-0.0257,-0.011,0.5358,3.5471,0.2551,1.7681
070.wav,-0.001,-0.0004,1.1074,3.8997,0.5532,1.9496
071.wav,-0.0195,-0.0084,0.5368,3.5079,0.2587,1.7498
072.wav,-0.0261,-0.0112,0.6278,3.5987,0.3008,1.7938
073.wav,-0.0204,-0.0087,0.2708,3.2944,0.1252,1.6428
074.wav,-0.0565,-0.0242,0.2065,3.3807,0.075,1.6783
075.wav,-0.0095,-0.0041,0.7058,3.645,0.3481,1.8205
076.wav,-0.0158,-0.0068,0.4143,3.4562,0.1993,1.7247
077.wav,-0.0191,-0.0082,0.5903,3.5305,0.2856,1.7611
078.wav,-0.0302,-0.013,0.9382,3.8131,0.454,1.9001
