filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0881,-0.0378,0.1464,3.2993,0.0291,1.6308
002.wav,-0.0001,-0.0,0.2416,3.3476,0.1207,1.6738
003.wav,-0.0443,-0.019,0.3269,3.3912,0.1413,1.6861
004.wav,-0.013,-0.0056,0.1872,3.2235,0.0871,1.609
005.wav,-0.1439,-0.0617,0.3717,3.4256,0.1139,1.682
006.wav,-0.0406,-0.0174,0.3446,3.3726,0.152,1.6776
007.wav,-0.0127,-0.0055,0.078,3.2727,0.0326,1.6336
008.wav,-0.0443,-0.019,0.2827,3.3451,0.1192,1.6631
009.wav,-0.0302,-0.0129,0.412,3.4581,0.1909,1.7226
010.wav,-0.0922,-0.0395,0.2116,3.3311,0.0597,1.6458
011.wav,-0.1475,-0.0632,0.2272,3.2971,0.0398,1.6169
012.wav,-0.0479,-0.0205,-0.1738,2.9978,-0.1109,1.4887
013.wav,-0.0337,-0.0145,0.5038,3.4742,0.2351,1.7299
014.wav,-0.068,-0.0291,1.544,4.104,0.738,2.0374
015.wav,-0.009,-0.0039,0.2274,3.2963,0.1092,1.6462
016.wav,-0.0311,-0.0133,0.0899,3.2481,0.0294,1.6174
017.wav,-0.1694,-0.0726,0.2839,3.3721,0.0572,1.6497
018.wav,-0.0105,-0.0045,0.2802,3.3788,0.1348,1.6871
019.wav,-0.0507,-0.0217,0.1192,3.2771,0.0343,1.6277
020.wav,-0.0874,-0.0374,0.5978,3.443,0.2552,1.7028
021.wav,-0.0937,-0.0402,0.3253,3.3638,0.1158,1.6618
022.wav,-0.0509,-0.0218,0.6377,3.573,0.2934,1.7756
023.wav,-0.0221,-0.0095,-0.0937,2.9991,-0.0579,1.4948
024.wav,-0.081,-0.0347,0.1201,3.459,0.0196,1.7121
025.wav,-0.0263,-0.0113,0.0843,3.2713,0.029,1.63
026.wav,-0.1332,-0.0571,0.4929,3.4454,0.1799,1.6941
027.wav,-0.2474,-0.106,0.9933,3.8061,0.373,1.8501
028.wav,-0.0064,-0.0027,0.3972,3.4407,0.1954,1.719
029.wav,-0.2392,-0.1025,0.1746,3.3196,-0.0323,1.6085
030.wav,-0.0287,-0.0123,0.3664,3.4268,0.1689,1.7072
031.wav,-0.0142,-0.0061,0.2705,3.3494,0.1281,1.6716
032.wav,-0.0544,-0.0233,0.3471,3.4108,0.1463,1.6937
033.wav,-0.1117,-0.0479,0.5946,3.5365,0.2414,1.7443
034.wav,-0.1489,-0.0638,0.4304,3.3798,0.1407,1.658
035.wav,-0.0635,-0.0272,0.6556,3.6263,0.296,1.7995
036.wav,-0.0048,-0.002,1.1011,3.8985,0.5482,1.9482
037.wav,-0.0538,-0.0231,0.397,3.4407,0.1716,1.7088
038.wav,-0.1407,-0.0603,0.2504,3.354,0.0549,1.6468
039.wav,-0.0444,-0.019,0.2197,3.3437,0.0877,1.6623
040.wav,-0.0649,-0.0278,0.4045,3.4375,0.1698,1.7048
041.wav,-0.0194,-0.0083,0.416,3.4929,0.1983,1.7423
042.wav,-0.075,-0.0322,-0.0093,3.267,-0.0422,1.6174
043.wav,-0.0624,-0.0268,0.2262,3.3491,0.0819,1.6612
044.wav,-0.0312,-0.0134,0.1865,3.1659,0.0777,1.5763
045.wav,-0.0255,-0.0109,0.0502,3.1654,0.0124,1.5772
046.wav,-0.0109,-0.0047,1.558,4.1744,0.7736,2.0849
047.wav,-0.2239,-0.0959,0.2843,3.3774,0.0302,1.6407
048.wav,-0.2104,-0.0902,0.2581,3.3618,0.0238,1.6358
049.wav,-0.1673,-0.0717,0.4074,3.3921,0.12,1.6602
050.wav,-0.0371,-0.0159,0.3078,3.3494,0.1353,1.6668
051.wav,-0.0483,-0.0207,0.3298,3.363,0.1407,1.6712
052.wav,-0.0394,-0.0169,0.0769,3.3209,0.0187,1.652
053.wav,-0.1177,-0.0504,0.084,3.3768,-0.0169,1.6632
054.wav,-0.0455,-0.0195,0.4355,3.4508,0.195,1.7156
055.wav,-0.0021,-0.0009,0.2768,3.3662,0.1374,1.6826
056.wav,-0.0118,-0.0051,0.9293,3.7867,0.4587,1.8908
057.wav,-0.1785,-0.0765,0.5618,3.551,0.1916,1.7372
058.wav,-0.1059,-0.0454,0.693,3.6172,0.2935,1.7859
059.wav,-0.0212,-0.0091,0.2575,3.3589,0.1182,1.6749
060.wav,-0.1584,-0.0679,0.9617,3.8182,0.4016,1.8752
061.wav,-0.0523,-0.0224,0.467,3.4933,0.2074,1.7354
062.wav,-0.0133,-0.0057,0.7557,3.6714,0.3712,1.8328
063.wav,-0.0585,-0.0251,0.3867,3.426,0.1641,1.7005
064.wav,-0.1252,-0.0537,1.912,4.4444,0.8934,2.1954
