filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0017,-0.0007,1.9122,4.4443,0.9552,2.2218
002.wav,-0.0001,-0.0,1.7811,4.3246,0.8905,2.1623
003.wav,-0.0053,-0.0023,0.6026,3.5371,0.2987,1.7674
004.wav,-0.0064,-0.0028,1.6118,4.2276,0.8027,2.1124
005.wav,-0.0077,-0.0033,0.9327,3.7825,0.4625,1.8896
006.wav,-0.069,-0.0296,0.4851,3.4887,0.2081,1.7296
007.wav,-0.0354,-0.0152,0.6349,3.5935,0.2997,1.7892
008.wav,-0.0075,-0.0032,0.2073,3.331,0.0999,1.6639
009.wav,-0.0066,-0.0028,0.213,3.3468,0.1032,1.672
010.wav,-0.0016,-0.0007,0.3675,3.424,0.1829,1.7117
011.wav,-0.0287,-0.0123,0.4539,3.4673,0.2126,1.7275
012.wav,-0.0102,-0.0044,0.0798,3.2708,0.0348,1.6332
013.wav,-0.1305,-0.0559,0.2114,3.3078,0.0404,1.6259
014.wav,-0.0109,-0.0047,0.5854,3.4127,0.2873,1.704
015.wav,-0.0157,-0.0067,0.5896,3.4916,0.287,1.7424
016.wav,-0.0444,-0.019,0.1915,3.3076,0.0735,1.6443
017.wav,-0.0064,-0.0027,0.4846,3.4805,0.2391,1.7389
018.wav,-0.0112,-0.0048,0.2787,3.3673,0.1338,1.6813
019.wav,-0.0679,-0.0291,0.313,3.3954,0.1225,1.6831
020.wav,-0.0151,-0.0065,1.0247,3.8439,0.5048,1.9187
021.wav,-0.0138,-0.0059,0.4228,3.449,0.2045,1.7215
022.wav,-0.0493,-0.0211,0.184,3.289,0.0674,1.6339
023.wav,-0.0035,-0.0015,0.19,3.2829,0.0932,1.6407
024.wav,-0.0106,-0.0045,0.4065,3.429,0.198,1.7122
025.wav,-0.0079,-0.0034,0.6679,3.5808,0.33,1.7887
026.wav,-0.0022,-0.0009,0.8745,3.7545,0.4361,1.8768
027.wav,-0.018,-0.0077,0.3126,3.3992,0.1473,1.6958
028.wav,-0.0028,-0.0012,0.2355,3.3467,0.1163,1.6728
029.wav,-0.0352,-0.0151,0.3164,3.3958,0.1406,1.6904
030.wav,-0.0815,-0.0349,1.2687,3.8638,0.5936,1.9144
031.wav,-0.023,-0.0099,0.2854,3.3855,0.1312,1.6878
032.wav,-0.0028,-0.0012,0.2618,3.3316,0.1295,1.6652
033.wav,-0.0027,-0.0011,0.3222,3.4231,0.1597,1.711
034.wav,-0.0075,-0.0032,0.3697,3.4252,0.1811,1.711
035.wav,-0.0339,-0.0145,0.5503,3.5444,0.2582,1.7649
036.wav,-0.0049,-0.0021,0.4507,3.3777,0.2229,1.6878
037.wav,-0.0121,-0.0052,0.2627,3.3608,0.1253,1.6778
038.wav,-0.0137,-0.0059,0.6384,3.5548,0.3124,1.7745
039.wav,-0.0252,-0.0108,0.2482,3.3548,0.1115,1.672
040.wav,-0.0093,-0.004,0.5972,3.5791,0.2939,1.7876
041.wav,-0.0007,-0.0003,0.5643,3.5516,0.2818,1.7757
042.wav,-0.0228,-0.0098,0.5429,3.5298,0.2601,1.76
043.wav,-0.0028,-0.0012,-0.3436,3.2562,-0.1732,1.6275
044.wav,-0.0023,-0.001,1.1385,3.8976,0.5681,1.9483
045.wav,-0.0018,-0.0008,0.1339,3.3315,0.066,1.6654
046.wav,-0.009,-0.0039,0.6655,3.5122,0.3282,1.7542
047.wav,-0.0022,-0.0009,0.1438,3.3238,0.0708,1.6614
048.wav,-0.0328,-0.0141,0.711,3.731,0.3391,1.8585
049.wav,-0.0037,-0.0016,0.6352,3.6706,0.3157,1.8345
050.wav,-0.0096,-0.0041,0.255,3.3425,0.1227,1.6692
051.wav,-0.0011,-0.0005,0.5897,3.5676,0.2943,1.7836
052.wav,-0.0146,-0.0063,0.2024,3.2997,0.0939,1.6467
053.wav,-0.0059,-0.0025,0.1938,3.2844,0.0939,1.641
054.wav,-0.0195,-0.0083,0.3422,3.3755,0.1614,1.6836
055.wav,-0.012,-0.0051,0.417,3.3647,0.2025,1.6798
056.wav,-0.0297,-0.0127,0.305,3.3706,0.1377,1.679
057.wav,-0.002,-0.0008,0.3537,3.4129,0.1759,1.706
058.wav,-0.0611,-0.0262,0.2364,3.3265,0.0876,1.6501
059.wav,-0.0093,-0.004,0.05,3.2423,0.0203,1.6191
060.wav,-0.0015,-0.0007,0.8444,3.7238,0.4214,1.8616
061.wav,-0.001,-0.0004,-0.0325,3.2878,-0.0168,1.6437
062.wav,-0.0022,-0.0009,0.0982,3.3557,0.048,1.6774
