filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0007,-0.0003,1.8084,4.3604,0.9039,2.1801
002.wav,-0.0147,-0.0063,1.7276,4.2977,0.8564,2.1457
003.wav,-0.0089,-0.0038,1.3466,4.051,0.6688,2.0236
004.wav,-0.0277,-0.0119,0.5326,3.5237,0.2524,1.7559
005.wav,-0.0207,-0.0089,0.6519,3.6985,0.3156,1.8448
006.wav,-0.0555,-0.0238,-0.4331,3.3902,-0.2443,1.6832
007.wav,-0.0134,-0.0057,0.6998,3.6354,0.3432,1.8149
008.wav,-0.0176,-0.0076,0.2045,3.3666,0.0934,1.6795
009.wav,-0.0072,-0.0031,0.4261,3.4398,0.2095,1.7183
010.wav,-0.0064,-0.0027,0.6538,3.5505,0.3237,1.7739
011.wav,-0.0148,-0.0063,0.3475,3.453,0.1664,1.7233
012.wav,-0.0022,-0.0009,0.5852,3.5641,0.2915,1.7816
013.wav,-0.0269,-0.0115,0.7533,3.6253,0.3632,1.8069
014.wav,-0.0068,-0.0029,0.332,3.3992,0.1626,1.6982
015.wav,-0.0164,-0.007,0.3032,3.4304,0.1434,1.7117
016.wav,-0.039,-0.0167,0.7918,3.7163,0.3764,1.8498
017.wav,-0.0062,-0.0026,1.6214,4.2215,0.8076,2.1094
018.wav,-0.0081,-0.0035,1.8708,4.4159,0.9314,2.2062
019.wav,-0.0425,-0.0182,0.4346,3.4624,0.1961,1.7221
020.wav,-0.0124,-0.0053,1.834,4.3795,0.9108,2.1871
021.wav,-0.0298,-0.0128,0.7064,3.6915,0.3383,1.8394
022.wav,-0.0284,-0.0122,0.1752,3.2557,0.0734,1.6218
023.wav,-0.01,-0.0043,1.1594,4.0194,0.5747,2.0076
024.wav,-0.0294,-0.0126,-0.0725,3.4167,-0.051,1.702
025.wav,-0.0081,-0.0035,1.1189,3.8709,0.5554,1.9337
026.wav,-0.0256,-0.011,0.9595,3.835,0.4669,1.912
027.wav,-0.0084,-0.0036,1.1017,3.8793,0.5467,1.9379
028.wav,-0.0233,-0.01,0.1641,3.3182,0.0704,1.6541
029.wav,-0.0396,-0.017,0.3999,3.4839,0.1802,1.7335
030.wav,-0.0582,-0.0249,0.3196,3.4249,0.1307,1.7
031.wav,-0.0422,-0.0181,0.2166,3.6747,0.0872,1.8283
032.wav,-0.0325,-0.0139,0.2759,3.355,0.1217,1.6706
033.wav,-0.0356,-0.0153,0.5856,3.5289,0.275,1.7568
034.wav,-0.037,-0.0158,0.5561,3.5609,0.2596,1.7725
035.wav,-0.0158,-0.0068,0.1886,3.3124,0.0864,1.6528
036.wav,-0.0389,-0.0167,-0.2189,3.3998,-0.1289,1.6916
037.wav,-0.0074,-0.0032,0.3656,3.4177,0.1791,1.7073
038.wav,-0.0326,-0.014,0.2272,3.3336,0.0973,1.6598
039.wav,-0.014,-0.006,0.5431,3.5299,0.2645,1.762
040.wav,-0.0427,-0.0183,0.4802,3.5089,0.2187,1.7453
041.wav,-0.0286,-0.0123,0.29,3.3663,0.1307,1.677
042.wav,-0.0775,-0.0332,0.2349,3.5776,0.0787,1.7722
043.wav,-0.0165,-0.0071,0.9378,3.7897,0.4607,1.8913
044.wav,-0.012,-0.0052,0.2617,3.414,0.1248,1.7044
045.wav,-0.0691,-0.0296,0.1915,3.3205,0.0612,1.6454
046.wav,-0.0177,-0.0076,0.4006,3.4569,0.1915,1.7247
047.wav,-0.0177,-0.0076,0.3931,3.3856,0.1877,1.689
048.wav,-0.0463,-0.0199,0.4409,3.4612,0.1973,1.7207
049.wav,-0.0349,-0.015,0.2683,3.3499,0.1167,1.6675
050.wav,-0.0561,-0.024,0.6367,3.6043,0.2903,1.7902
051.wav,-0.0529,-0.0227,0.2954,3.4145,0.1213,1.6959
052.wav,-0.0372,-0.0159,0.1552,3.2707,0.059,1.6274
053.wav,-0.0162,-0.0069,0.3113,3.3118,0.1476,1.6524
054.wav,-0.0616,-0.0264,0.2013,3.3187,0.0699,1.6461
055.wav,-0.0226,-0.0097,0.4656,3.482,0.2215,1.7362
056.wav,-0.0316,-0.0136,0.5852,3.5683,0.2768,1.7774
057.wav,-0.0065,-0.0028,1.0582,3.8506,0.5259,1.9239
058.wav,-0.019,-0.0081,1.3648,4.1033,0.6729,2.0476
059.wav,-0.0283,-0.0121,0.449,3.4819,0.2103,1.7349
060.wav,-0.0154,-0.0066,1.8848,4.4231,0.9347,2.2082
061.wav,-0.0102,-0.0044,0.4175,3.4247,0.2037,1.7102
062.wav,-0.006,-0.0026,0.9376,3.8062,0.4658,1.9018
063.wav,-0.0078,-0.0034,1.7083,4.3024,0.8502,2.1495
064.wav,-0.0289,-0.0124,0.0627,3.4725,0.0169,1.7301
065.wav,-0.0014,-0.0006,0.4115,3.404,0.205,1.7017
066.wav,-0.0072,-0.0031,0.2807,3.4095,0.1368,1.7032
