filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0034,-0.0015,1.9063,4.4409,0.9514,2.2197
002.wav,-0.0129,-0.0055,1.497,4.1179,0.7421,2.0562
003.wav,-0.0222,-0.0095,1.0345,3.8393,0.5061,1.9149
004.wav,-0.0406,-0.0174,0.3743,3.4328,0.1668,1.7077
005.wav,-0.079,-0.0339,0.6265,3.5415,0.2738,1.7538
006.wav,-0.0134,-0.0057,0.1784,3.3122,0.0825,1.6532
007.wav,-0.057,-0.0244,0.409,3.4732,0.176,1.7244
008.wav,-0.028,-0.012,0.3571,3.4265,0.1646,1.7072
009.wav,-0.0184,-0.0079,0.2341,3.3014,0.1079,1.6468
010.wav,-0.0736,-0.0316,0.531,2.2882,0.2287,1.1283
011.wav,-0.0151,-0.0065,0.2079,3.2886,0.0964,1.6411
012.wav,-0.0263,-0.0113,0.4055,3.4364,0.1896,1.7125
013.wav,-0.0271,-0.0116,0.9491,3.7979,0.461,1.8932
014.wav,-0.063,-0.027,0.9174,3.7494,0.4272,1.8612
015.wav,-0.0398,-0.0171,0.1484,3.4758,0.0543,1.7294
016.wav,-0.0239,-0.0102,1.434,4.1127,0.7051,2.0512
017.wav,-0.0283,-0.0121,-0.3994,3.5886,-0.2139,1.7882
018.wav,-0.0289,-0.0124,0.3394,3.3918,0.1553,1.6897
019.wav,-0.0647,-0.0277,0.917,3.7744,0.4261,1.8733
020.wav,-0.02,-0.0086,0.7686,3.6576,0.3743,1.8245
021.wav,-0.0347,-0.0149,1.3853,4.0919,0.6753,2.0385
022.wav,-0.0211,-0.0091,0.2715,3.4311,0.1252,1.711
023.wav,-0.0125,-0.0053,0.3221,3.4354,0.1548,1.715
024.wav,-0.0306,-0.0131,0.7245,3.6524,0.347,1.8197
025.wav,-0.0256,-0.011,0.3665,3.545,0.1705,1.767
026.wav,-0.0299,-0.0128,1.0113,3.3994,0.4907,1.6933
027.wav,-0.0663,-0.0284,0.6754,3.6231,0.3046,1.7974
028.wav,-0.0542,-0.0232,0.5081,3.486,0.227,1.7314
029.wav,-0.0665,-0.0285,0.3326,2.9897,0.133,1.4806
030.wav,-0.1787,-0.0766,0.3828,3.4391,0.1021,1.6812
031.wav,-0.0448,-0.0192,0.5672,3.5745,0.2612,1.7777
032.wav,-0.046,-0.0197,0.1315,3.3085,0.0427,1.6444
033.wav,-0.0242,-0.0104,0.9668,3.7035,0.4713,1.8465
034.wav,-0.0155,-0.0067,0.593,3.5806,0.2887,1.787
035.wav,-0.1369,-0.0587,0.1827,3.2598,0.0229,1.6006
036.wav,-0.0166,-0.0071,0.2426,3.2126,0.113,1.6028
037.wav,-0.0404,-0.0173,0.4161,3.5915,0.1879,1.7871
038.wav,-0.0134,-0.0057,1.1272,3.8808,0.5569,1.9375
039.wav,-0.0082,-0.0035,0.4706,3.5396,0.2312,1.768
040.wav,-0.0216,-0.0092,0.6036,3.5475,0.291,1.7692
041.wav,-0.0087,-0.0037,0.3922,3.4877,0.1917,1.742
042.wav,-0.0127,-0.0055,0.8703,3.7513,0.4288,1.8729
043.wav,-0.0307,-0.0131,0.5685,3.5621,0.2689,1.7745
044.wav,-0.046,-0.0197,0.4363,3.4765,0.1952,1.7284
045.wav,-0.0339,-0.0145,0.6244,3.5869,0.2952,1.7862
046.wav,-0.0372,-0.0159,0.9744,3.809,0.4686,1.8966
047.wav,-0.0405,-0.0173,1.0752,3.8512,0.5174,1.9169
048.wav,-0.0077,-0.0033,1.1868,3.9081,0.5896,1.9524
049.wav,-0.0353,-0.0151,1.6164,4.155,0.7906,2.07
050.wav,-0.0383,-0.0164,0.6751,3.6114,0.3184,1.7975
051.wav,-0.0144,-0.0062,0.8764,3.7298,0.431,1.8618
052.wav,-0.0337,-0.0144,1.8771,4.419,0.9217,2.2023
053.wav,-0.0094,-0.004,0.4356,3.4702,0.2131,1.7331
054.wav,-0.0534,-0.0229,0.3525,3.4024,0.1496,1.6898
