filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.024,-0.0103,1.9052,4.4401,0.9406,2.2149
002.wav,-0.0363,-0.0155,1.0833,3.8967,0.5235,1.9406
003.wav,-0.002,-0.0008,0.1832,3.3059,0.0906,1.6525
004.wav,-0.0408,-0.0175,1.3129,4.0534,0.636,2.018
005.wav,-0.0391,-0.0167,0.4276,3.4794,0.1943,1.7313
006.wav,-0.0542,-0.0232,-0.2735,3.3594,-0.1638,1.6681
007.wav,-0.0514,-0.022,0.2381,3.3245,0.0933,1.6512
008.wav,-0.0302,-0.013,0.4453,3.4742,0.2075,1.7306
009.wav,-0.1767,-0.0757,0.2533,3.2999,0.0383,1.6121
010.wav,-0.0423,-0.0181,-0.1372,3.2113,-0.0898,1.5966
011.wav,-0.1333,-0.0571,1.0507,3.8602,0.4587,1.9015
012.wav,-0.0975,-0.0418,1.7607,4.3292,0.8316,2.1437
013.wav,-0.0825,-0.0354,0.0607,3.3969,-0.0109,1.6808
014.wav,-0.0923,-0.0396,0.5611,3.6006,0.2344,1.7805
015.wav,-0.09,-0.0386,-0.1731,3.1689,-0.1315,1.5652
016.wav,-0.0635,-0.0272,0.4153,3.5977,0.1759,1.7852
017.wav,-0.0746,-0.032,0.2752,3.3316,0.1003,1.6498
018.wav,-0.0632,-0.0271,0.4622,3.4359,0.1995,1.7044
019.wav,-0.0478,-0.0205,-0.0415,3.4455,-0.0446,1.7125
020.wav,-0.0228,-0.0098,0.2148,3.3526,0.096,1.6714
021.wav,-0.0107,-0.0046,0.1871,3.2991,0.0882,1.6472
022.wav,-0.019,-0.0082,0.5587,3.7767,0.2698,1.8843
023.wav,-0.0322,-0.0138,1.2135,3.9748,0.5907,1.9805
024.wav,-0.0313,-0.0134,-0.2411,3.3772,-0.1362,1.6819
025.wav,-0.0701,-0.0301,-0.2109,3.168,-0.1405,1.569
026.wav,-0.2673,-0.1146,-0.0591,3.1882,-0.1632,1.5368
027.wav,-0.0206,-0.0088,-0.4824,3.4364,-0.2515,1.7138
028.wav,-0.0239,-0.0102,-0.1131,3.2748,-0.0685,1.6323
029.wav,-0.0697,-0.0299,0.5394,3.5341,0.2349,1.7521
030.wav,-0.0169,-0.0072,0.214,3.3127,0.0985,1.6527
031.wav,-0.0164,-0.007,0.1979,3.4223,0.0907,1.7076
032.wav,-0.0096,-0.0041,0.4985,3.5484,0.2444,1.7721
033.wav,-0.0989,-0.0424,0.6917,3.6587,0.2964,1.8082
034.wav,-0.0232,-0.0099,0.2964,3.3878,0.1366,1.6889
035.wav,-0.0174,-0.0075,0.3699,3.4137,0.1762,1.7031
036.wav,-0.0147,-0.0063,0.2348,3.3419,0.11,1.6678
