filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0009,-0.0004,1.9148,4.4461,0.957,2.2229
002.wav,-0.0378,-0.0162,0.7927,3.6913,0.3774,1.8375
003.wav,-0.0015,-0.0007,0.1098,3.4181,0.0542,1.7087
004.wav,-0.0106,-0.0045,0.6156,3.602,0.3025,1.7987
005.wav,-0.0024,-0.001,0.6004,3.5804,0.299,1.7897
006.wav,-0.0025,-0.0011,0.3204,3.3931,0.1589,1.696
007.wav,-0.0006,-0.0003,0.5439,3.668,0.2716,1.8339
008.wav,-0.0006,-0.0002,1.0064,3.8526,0.5029,1.9262
009.wav,-0.0054,-0.0023,0.4611,3.3449,0.2279,1.6713
010.wav,-0.0033,-0.0014,0.2769,3.3609,0.1368,1.6798
011.wav,-0.0124,-0.0053,0.3048,3.4165,0.1462,1.7056
012.wav,-0.0071,-0.003,0.1999,3.3405,0.0964,1.6687
013.wav,-0.0263,-0.0113,0.7785,3.7316,0.3761,1.8602
014.wav,-0.0476,-0.0204,0.3555,3.3232,0.1539,1.6514
015.wav,-0.0087,-0.0037,1.0689,3.9233,0.5301,1.9598
016.wav,-0.0009,-0.0004,0.3549,3.7059,0.177,1.8527
017.wav,-0.0014,-0.0006,0.9951,3.6668,0.4968,1.8331
018.wav,-0.0015,-0.0007,0.5451,3.5505,0.2718,1.7749
019.wav,-0.0027,-0.0012,0.4822,3.4997,0.2398,1.7493
020.wav,-0.0036,-0.0015,0.2651,3.6062,0.1308,1.8023
021.wav,-0.0179,-0.0077,1.4779,4.1256,0.73,2.059
022.wav,-0.0039,-0.0017,0.5225,3.5621,0.2593,1.7802
023.wav,-0.0431,-0.0185,0.4094,3.4488,0.1832,1.7152
024.wav,-0.0113,-0.0048,1.0921,3.8914,0.5404,1.9433
025.wav,-0.0033,-0.0014,0.8319,3.6672,0.4143,1.8329
026.wav,-0.0044,-0.0019,0.8327,3.7426,0.4141,1.8704
027.wav,-0.0038,-0.0016,0.183,3.2971,0.0896,1.6477
028.wav,-0.0011,-0.0005,0.1711,3.2705,0.085,1.635
029.wav,-0.0079,-0.0034,0.2794,3.3704,0.1357,1.6835
030.wav,-0.0022,-0.001,0.8188,3.7385,0.4083,1.8688
031.wav,-0.0158,-0.0068,-0.1079,3.2722,-0.0618,1.6327
032.wav,-0.0042,-0.0018,0.1164,3.3277,0.0561,1.6629
033.wav,-0.0038,-0.0016,1.1196,3.9198,0.5579,1.9591
034.wav,-0.0356,-0.0153,0.2272,3.3399,0.0958,1.6623
035.wav,-0.008,-0.0034,1.2551,4.0099,0.6236,2.0032
036.wav,-0.0068,-0.0029,0.3306,3.4513,0.1619,1.7242
037.wav,-0.0096,-0.0041,1.0224,3.8463,0.5064,1.9211
038.wav,-0.0045,-0.0019,0.8056,3.7674,0.4005,1.8827
039.wav,-0.0095,-0.0041,0.2938,3.4649,0.1421,1.7304
040.wav,-0.0087,-0.0037,0.4805,3.5091,0.2359,1.7527
041.wav,-0.0011,-0.0005,0.7646,3.7068,0.3817,1.8532
042.wav,-0.0029,-0.0012,0.0844,3.3962,0.0408,1.6975
043.wav,-0.0086,-0.0037,0.9358,3.8101,0.4636,1.9032
044.wav,-0.0019,-0.0008,-0.1456,3.372,-0.0737,1.6856
045.wav,-0.0097,-0.0042,0.457,3.4995,0.2236,1.7477
046.wav,-0.0148,-0.0063,-0.5021,3.1554,-0.2584,1.5745
047.wav,-0.0076,-0.0032,-0.0009,3.312,-0.0042,1.6544
048.wav,-0.0158,-0.0068,1.2892,4.0302,0.6367,2.0117
049.wav,-0.0072,-0.0031,0.3482,3.421,0.1705,1.709
050.wav,-0.0102,-0.0044,-0.138,3.3643,-0.0741,1.68
051.wav,-0.0096,-0.0041,0.7108,3.6889,0.3506,1.8424
052.wav,-0.0048,-0.0021,0.6277,3.5835,0.3115,1.7907
053.wav,-0.0038,-0.0016,0.1525,3.2956,0.0744,1.647
054.wav,-0.022,-0.0094,1.3454,4.0532,0.6617,2.0219
055.wav,-0.0152,-0.0065,0.7095,3.604,0.3472,1.7987
056.wav,-0.0031,-0.0013,0.3692,3.4511,0.1831,1.7249
057.wav,-0.0141,-0.006,0.6597,3.596,0.3228,1.795
058.wav,-0.0207,-0.0089,1.0333,3.7239,0.5063,1.8575
059.wav,-0.0055,-0.0024,0.2433,3.3452,0.1189,1.6714
060.wav,-0.0382,-0.0164,0.3289,3.2548,0.1453,1.6192
061.wav,-0.0054,-0.0023,0.4068,3.4437,0.2007,1.7207
062.wav,-0.0038,-0.0016,0.706,3.6121,0.3511,1.8053
063.wav,-0.0337,-0.0144,0.2226,3.3636,0.0945,1.6746
064.wav,-0.0008,-0.0003,0.0134,3.2964,0.0063,1.648
065.wav,-0.0031,-0.0013,0.1927,3.283,0.0948,1.6408
066.wav,-0.0045,-0.0019,0.6542,3.5506,0.3248,1.7743
067.wav,-0.0291,-0.0125,0.2846,3.3716,0.1277,1.6796
068.wav,-0.0047,-0.002,0.8529,3.6924,0.4241,1.8452
069.wav,-0.0027,-0.0012,0.0171,3.2015,0.0072,1.6002
070.wav,-0.0018,-0.0008,0.6568,3.5567,0.3275,1.778
071.wav,-0.0025,-0.0011,0.2412,3.3595,0.1193,1.6792
072.wav,-0.0198,-0.0085,0.2324,3.3595,0.1063,1.6755
073.wav,-0.0331,-0.0142,1.0543,3.8646,0.5106,1.9252
074.wav,-0.009,-0.0039,0.2345,3.327,0.1127,1.6616
075.wav,-0.0037,-0.0016,0.2268,3.3416,0.1116,1.67
076.wav,-0.0077,-0.0033,0.7181,3.6592,0.3552,1.8279
077.wav,-0.0106,-0.0045,-0.0764,3.1454,-0.0435,1.5704
078.wav,-0.0128,-0.0055,0.7408,3.6294,0.364,1.8119
079.wav,-0.0052,-0.0022,0.4155,3.4004,0.2052,1.6991
080.wav,-0.0122,-0.0052,1.0432,3.6933,0.5155,1.844
081.wav,-0.0058,-0.0025,0.2288,3.3393,0.1115,1.6684
082.wav,-0.0226,-0.0097,0.9112,3.7412,0.4443,1.8658
083.wav,-0.0106,-0.0045,0.4407,3.4728,0.215,1.7341
084.wav,-0.0102,-0.0044,0.3103,3.391,0.15,1.6933
085.wav,-0.0206,-0.0088,0.5671,3.6026,0.2733,1.7969
086.wav,-0.0022,-0.001,0.416,3.4619,0.2069,1.7304
087.wav,-0.0005,-0.0002,0.7261,3.6935,0.3628,1.8466
088.wav,-0.0053,-0.0023,1.1578,3.9041,0.5763,1.9509
089.wav,-0.0019,-0.0008,1.4293,4.1035,0.7137,2.0514
090.wav,-0.007,-0.003,-0.2894,3.1844,-0.1482,1.5907
091.wav,-0.004,-0.0017,0.9014,3.7699,0.4487,1.8841
092.wav,-0.0013,-0.0005,1.2531,3.9629,0.6259,1.9812
093.wav,-0.0047,-0.002,0.5236,3.5554,0.2595,1.7767
094.wav,-0.0084,-0.0036,0.4526,3.4798,0.2221,1.7381
095.wav,-0.003,-0.0013,0.1368,3.3647,0.0669,1.6817
096.wav,-0.0056,-0.0024,0.7856,3.6912,0.39,1.8444
097.wav,-0.0059,-0.0025,0.4392,3.5007,0.2166,1.7491
098.wav,-0.0028,-0.0012,-0.2898,3.0612,-0.1463,1.53
099.wav,-0.0039,-0.0017,0.167,3.1873,0.0816,1.5928
100.wav,-0.0089,-0.0038,0.3209,3.333,0.156,1.6646
101.wav,-0.0081,-0.0035,0.5535,3.5518,0.2727,1.7742
102.wav,-0.0017,-0.0007,0.1856,3.4076,0.0919,1.7034
103.wav,-0.0096,-0.0041,-0.2619,3.3165,-0.1358,1.6562
104.wav,-0.0832,-0.0357,1.2457,3.9835,0.5813,1.9739
105.wav,-0.004,-0.0017,0.5537,3.546,0.2748,1.7721
106.wav,-0.0038,-0.0016,0.6437,3.7327,0.3199,1.8655
107.wav,-0.0195,-0.0084,0.7263,3.7587,0.3534,1.8751
108.wav,-0.0096,-0.0041,0.9673,3.7309,0.4788,1.8634
109.wav,-0.0052,-0.0022,0.7161,3.6444,0.3555,1.8211
110.wav,-0.009,-0.0038,0.7485,3.6769,0.3698,1.8366
111.wav,-0.0201,-0.0086,0.6403,3.5917,0.3101,1.7916
112.wav,-0.0155,-0.0066,0.976,3.8997,0.4802,1.9465
113.wav,-0.0026,-0.0011,0.1244,2.9871,0.0609,1.493
114.wav,-0.0038,-0.0016,1.6474,4.2448,0.8218,2.1216
115.wav,-0.0095,-0.0041,0.6636,3.6219,0.3271,1.8089
116.wav,-0.0012,-0.0005,0.9056,3.7738,0.4522,1.8866
117.wav,-0.003,-0.0013,1.1915,3.9541,0.5943,1.9764
118.wav,-0.0013,-0.0005,0.7744,3.6802,0.3865,1.8398
119.wav,-0.0021,-0.0009,0.2771,3.3698,0.1375,1.6844
120.wav,-0.0096,-0.0041,0.4564,3.5058,0.2234,1.7508
121.wav,-0.0046,-0.002,-0.0176,2.8497,-0.0111,1.4239
122.wav,-0.0182,-0.0078,0.6054,3.5856,0.2936,1.7889
123.wav,-0.0138,-0.0059,1.068,3.8636,0.5271,1.9288
124.wav,-0.0029,-0.0012,1.1641,3.9389,0.5806,1.9688
125.wav,-0.0137,-0.0059,1.1381,3.9534,0.5622,1.9738
126.wav,-0.0198,-0.0085,0.8207,3.7257,0.4005,1.8586
127.wav,-0.0206,-0.0088,1.0386,3.89,0.509,1.9406
128.wav,-0.002,-0.0008,0.4804,3.432,0.2392,1.7156
129.wav,-0.0039,-0.0017,0.8475,3.5822,0.4218,1.7902
130.wav,-0.0066,-0.0028,1.2217,3.927,0.6076,1.9621
131.wav,-0.0151,-0.0065,0.8947,3.7658,0.4398,1.8797
132.wav,-0.0016,-0.0007,1.3314,4.0765,0.6649,2.0379
133.wav,-0.0081,-0.0035,1.005,3.8175,0.4985,1.907
134.wav,-0.0029,-0.0012,-0.5758,3.2838,-0.2893,1.6413
135.wav,-0.0057,-0.0025,1.5652,4.2126,0.7797,2.1051
136.wav,-0.0057,-0.0025,1.074,3.8501,0.5341,1.9238
137.wav,-0.0233,-0.01,0.5946,3.4664,0.2856,1.7282
138.wav,-0.0066,-0.0028,1.1686,3.9437,0.581,1.9704
139.wav,-0.0372,-0.0159,0.5419,3.5413,0.2524,1.7627
140.wav,-0.0025,-0.0011,0.1898,3.3126,0.0936,1.6558
141.wav,-0.0057,-0.0024,0.9428,3.8362,0.4686,1.9169
142.wav,-0.0007,-0.0003,0.9091,3.9,0.4542,1.9499
143.wav,-0.0007,-0.0003,-0.2295,3.2618,-0.1151,1.6308
144.wav,-0.001,-0.0004,1.3886,4.0691,0.6938,2.0343
145.wav,-0.0077,-0.0033,1.8072,4.3605,0.8998,2.1786
146.wav,-0.0016,-0.0007,0.4697,3.5671,0.234,1.7832
147.wav,-0.006,-0.0026,0.4979,3.4885,0.246,1.743
148.wav,-0.0028,-0.0012,0.2812,3.3974,0.1392,1.6981
149.wav,-0.0056,-0.0024,1.288,4.0125,0.6412,2.005
150.wav,-0.0136,-0.0058,0.734,3.625,0.3602,1.8096
151.wav,-0.0098,-0.0042,0.9198,3.7552,0.455,1.8755
152.wav,-0.001,-0.0004,0.9903,3.7618,0.4947,1.8807
153.wav,-0.0051,-0.0022,0.2867,3.5701,0.1408,1.784
154.wav,-0.0026,-0.0011,0.4885,3.5028,0.2429,1.7508
155.wav,-0.0046,-0.002,0.5056,3.4978,0.2505,1.7479
156.wav,-0.0027,-0.0011,0.3692,3.4212,0.1833,1.71
157.wav,-0.0056,-0.0024,0.5793,3.6963,0.2869,1.8469
158.wav,-0.0014,-0.0006,0.292,3.3829,0.1453,1.6912
159.wav,-0.0055,-0.0024,1.1688,3.9428,0.5816,1.9702
160.wav,-0.0014,-0.0006,0.6322,3.5838,0.3154,1.7916
161.wav,-0.0387,-0.0166,1.1986,3.955,0.5799,1.9692
162.wav,-0.005,-0.0021,0.4639,3.4898,0.2294,1.7438
163.wav,-0.0069,-0.003,0.4416,3.519,0.2174,1.758
164.wav,-0.0155,-0.0066,1.2665,3.98,0.6255,1.9867
165.wav,-0.0132,-0.0057,0.5825,3.5521,0.2846,1.7732
166.wav,-0.006,-0.0026,0.2225,3.3342,0.1083,1.6658
167.wav,-0.0132,-0.0056,0.1689,3.2955,0.0779,1.6449
168.wav,-0.0061,-0.0026,0.0355,3.2396,0.0147,1.6185
169.wav,-0.0125,-0.0054,1.8154,4.3689,0.9014,2.1818
170.wav,-0.0002,-0.0001,0.4346,3.4324,0.2172,1.7162
171.wav,-0.0044,-0.0019,0.9103,3.7733,0.453,1.8857
172.wav,-0.0131,-0.0056,1.1093,3.8948,0.5481,1.9446
173.wav,-0.0457,-0.0196,0.5093,3.5072,0.2318,1.7438
174.wav,-0.0108,-0.0046,0.4992,3.3813,0.2442,1.6883
175.wav,-0.0103,-0.0044,0.2719,3.3682,0.1308,1.6819
176.wav,-0.0078,-0.0033,0.8526,3.6415,0.4224,1.8191
177.wav,-0.0036,-0.0015,0.2726,3.471,0.1345,1.7347
178.wav,-0.0019,-0.0008,1.2054,3.9806,0.6018,1.9899
179.wav,-0.0118,-0.0051,1.763,4.3563,0.8756,2.1756
180.wav,-0.0087,-0.0037,1.2926,3.9903,0.6419,1.9933
