filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0217,-0.0093,1.9142,4.4459,0.9463,2.2183
002.wav,-0.0348,-0.0149,1.2833,4.0003,0.6242,1.9927
003.wav,-0.1657,-0.071,0.5823,3.4951,0.2083,1.712
004.wav,-0.1336,-0.0573,1.2056,3.9571,0.536,1.9499
005.wav,-0.0094,-0.004,0.213,3.3298,0.1018,1.6629
006.wav,-0.1429,-0.0612,0.66,3.6097,0.2586,1.7742
007.wav,-0.3074,-0.1317,0.2419,3.3351,-0.0328,1.6017
008.wav,-0.3603,-0.1544,0.3376,3.4095,-0.0114,1.6275
009.wav,-0.3418,-0.1465,0.2436,3.3428,-0.0491,1.5981
010.wav,-0.511,-0.219,0.2734,3.3387,-0.1188,1.5598
011.wav,-0.0483,-0.0207,0.7429,3.6482,0.3473,1.8138
012.wav,-0.2499,-0.1071,0.299,3.1938,0.0245,1.5433
013.wav,-0.0493,-0.0211,0.3886,3.452,0.1696,1.7154
014.wav,-0.0634,-0.0272,1.2391,3.9883,0.5878,1.9805
015.wav,-0.0917,-0.0393,0.719,3.7472,0.3137,1.854
016.wav,-0.1621,-0.0695,0.3136,3.5232,0.0758,1.7269
017.wav,-0.2499,-0.1071,0.3932,3.472,0.0717,1.6824
018.wav,-0.1108,-0.0475,0.2765,3.5648,0.0829,1.7587
019.wav,-0.1054,-0.0452,0.5617,3.3032,0.2282,1.629
020.wav,-0.1804,-0.0773,0.2956,3.3722,0.0576,1.6474
021.wav,-0.0303,-0.013,0.1871,3.4347,0.0784,1.7109
022.wav,-0.0272,-0.0117,0.3178,3.5232,0.1453,1.7558
023.wav,-0.2832,-0.1214,0.5116,3.5154,0.1142,1.697
024.wav,-0.2352,-0.1008,0.4256,3.4682,0.0952,1.6837
025.wav,-0.1431,-0.0613,0.1648,3.3822,0.0109,1.6605
026.wav,-0.252,-0.108,0.2278,3.3375,-0.0121,1.6147
027.wav,-0.248,-0.1063,0.6878,3.6546,0.2199,1.7742
028.wav,-0.1342,-0.0575,0.9102,3.7975,0.388,1.87
029.wav,-0.0525,-0.0225,0.171,3.3326,0.0593,1.6551
030.wav,-0.1153,-0.0494,0.2387,3.5045,0.0617,1.7275
031.wav,-0.0581,-0.0249,0.2467,3.5708,0.0943,1.773
032.wav,-0.2286,-0.098,1.4532,4.0727,0.6123,1.9874
033.wav,-0.0907,-0.0389,0.4175,3.4227,0.1634,1.6919
034.wav,-0.1028,-0.0441,0.3945,3.4895,0.1458,1.7227
035.wav,-0.1727,-0.074,0.8015,3.6129,0.3144,1.7694
036.wav,-0.3054,-0.1309,0.5681,3.553,0.1314,1.7111
037.wav,-0.3591,-0.1539,0.7912,3.7313,0.2161,1.7887
038.wav,-0.2625,-0.1125,0.6314,3.5757,0.1845,1.7316
039.wav,-0.1367,-0.0586,1.58,4.1555,0.7216,2.0485
040.wav,-0.228,-0.0977,1.6113,4.1666,0.6916,2.0344
041.wav,-0.5593,-0.2397,0.0042,2.9631,-0.2776,1.3617
042.wav,-0.449,-0.1924,0.1933,3.321,-0.1279,1.5643
043.wav,-0.3501,-0.1501,0.0644,3.1516,-0.1429,1.5008
044.wav,-0.1217,-0.0522,0.7785,3.5734,0.3284,1.7606
045.wav,-0.4364,-0.187,0.1962,3.3306,-0.1201,1.5718
046.wav,-0.3111,-0.1333,0.5202,3.5217,0.1046,1.6942
047.wav,-0.2311,-0.0991,0.2011,3.3276,-0.015,1.6143
048.wav,-0.1799,-0.0771,0.2838,3.3784,0.052,1.6506
049.wav,-0.2325,-0.0996,0.8783,3.7343,0.3229,1.8173
050.wav,-0.3754,-0.1609,0.2228,3.3357,-0.0763,1.5874
051.wav,-0.0806,-0.0346,1.7816,4.338,0.8505,2.1517
052.wav,-0.276,-0.1183,0.1976,3.3143,-0.0392,1.598
053.wav,-0.28,-0.12,0.6867,3.5734,0.2033,1.7267
054.wav,-0.0896,-0.0384,1.2598,3.9943,0.5851,1.978
055.wav,-0.3183,-0.1364,1.5953,4.2399,0.6385,2.0517
056.wav,-0.0877,-0.0376,1.6847,4.2823,0.7985,2.1224
057.wav,-0.1628,-0.0698,1.0229,3.827,0.43,1.8786
058.wav,-0.0216,-0.0093,0.1821,3.2795,0.0803,1.6351
059.wav,-0.0794,-0.034,1.2056,3.9571,0.5631,1.9616
060.wav,-0.1479,-0.0634,1.0876,3.8669,0.4698,1.9017
061.wav,-0.009,-0.0039,1.4518,4.1198,0.7214,2.058
062.wav,-0.0007,-0.0003,0.2068,3.2882,0.103,1.644
063.wav,-0.0058,-0.0025,1.1972,3.9666,0.5957,1.9821
064.wav,-0.1732,-0.0742,0.8807,3.7426,0.3538,1.8342
065.wav,-0.0319,-0.0137,0.9793,3.7897,0.4737,1.888
066.wav,-0.0762,-0.0327,0.3967,3.4308,0.1603,1.6991
067.wav,-0.0902,-0.0387,0.7117,3.6464,0.3108,1.8039
068.wav,-0.0285,-0.0122,0.1821,3.2795,0.0768,1.6336
069.wav,-0.0104,-0.0045,1.8525,4.4016,0.921,2.1986
070.wav,-0.2022,-0.0867,0.4114,3.5325,0.1046,1.7229
071.wav,-0.1607,-0.0689,0.9376,3.7516,0.3884,1.8414
072.wav,-0.0964,-0.0413,1.0605,3.8927,0.4821,1.9257
073.wav,-0.0775,-0.0332,0.3456,3.4008,0.134,1.6838
074.wav,-0.0847,-0.0363,0.8106,3.6738,0.3629,1.8187
075.wav,-0.0814,-0.0349,0.7098,3.6358,0.3142,1.8005
076.wav,-0.0445,-0.0191,1.9095,4.4429,0.9325,2.2119
077.wav,-0.0082,-0.0035,1.7227,4.2515,0.8573,2.124
078.wav,-0.0085,-0.0036,0.2738,3.374,0.1327,1.6852
079.wav,-0.2041,-0.0875,0.1939,3.3578,-0.0051,1.6352
080.wav,-0.0068,-0.0029,1.5047,4.1553,0.749,2.0762
081.wav,-0.0098,-0.0042,1.697,4.2769,0.8436,2.1364
082.wav,-0.1422,-0.061,0.3922,3.474,0.125,1.7065
083.wav,-0.1089,-0.0467,0.7017,3.6465,0.2964,1.7999
084.wav,-0.1056,-0.0452,0.9348,3.6142,0.4146,1.7845
085.wav,-0.0884,-0.0379,1.0329,3.7016,0.4723,1.8319
086.wav,-0.1118,-0.0479,0.4134,3.463,0.1508,1.7076
087.wav,-0.1084,-0.0464,0.6407,3.6654,0.2661,1.8095
088.wav,-0.0121,-0.0052,1.7276,4.216,0.8578,2.1054
089.wav,-0.0734,-0.0315,1.8779,4.4216,0.9022,2.1951
090.wav,-0.027,-0.0116,0.7634,3.6611,0.3682,1.8248
091.wav,-0.0199,-0.0085,1.0222,3.864,0.5012,1.9277
092.wav,-0.1379,-0.0591,0.6681,3.5856,0.2651,1.7632
093.wav,-0.1027,-0.044,0.0973,3.1519,-0.0027,1.5539
094.wav,-0.0645,-0.0276,1.3664,3.9541,0.651,1.9633
095.wav,-0.3179,-0.1362,1.0742,3.8562,0.3782,1.86
096.wav,-0.1711,-0.0733,0.5789,3.5665,0.2039,1.7466
097.wav,-0.3744,-0.1605,0.249,3.3274,-0.0627,1.5835
098.wav,-0.0406,-0.0174,0.7628,3.598,0.3611,1.7903
099.wav,-0.2642,-0.1132,0.9811,3.8476,0.3584,1.8672
100.wav,-0.0965,-0.0414,1.7198,4.2424,0.8117,2.1005
101.wav,-0.3193,-0.1368,0.4249,3.532,0.0528,1.6976
102.wav,-0.0223,-0.0096,1.1629,3.9381,0.5703,1.9643
103.wav,-0.324,-0.1389,0.2219,3.42,-0.051,1.6406
104.wav,-0.0648,-0.0278,0.2515,3.4534,0.0934,1.7128
105.wav,-0.165,-0.0707,0.3401,3.4236,0.0876,1.6765
106.wav,-0.0547,-0.0235,0.8709,3.8456,0.4081,1.9111
107.wav,-0.0766,-0.0328,0.7567,3.6533,0.34,1.8102
108.wav,-0.1529,-0.0655,0.1208,3.2996,-0.016,1.617
109.wav,-0.0366,-0.0157,0.1898,3.5233,0.0766,1.7538
110.wav,-0.1262,-0.0541,0.2047,3.3151,0.0392,1.6305
111.wav,-0.0614,-0.0263,0.5423,3.4971,0.2405,1.7354
112.wav,-0.1964,-0.0842,0.8918,3.822,0.3477,1.8689
113.wav,-0.2124,-0.091,0.4123,3.5553,0.1,1.7321
114.wav,-0.171,-0.0733,0.4271,3.4368,0.1281,1.6817
115.wav,-0.041,-0.0176,0.2515,3.4,0.1053,1.6912
116.wav,-0.0147,-0.0063,0.4904,3.2821,0.2379,1.6379
117.wav,-0.2006,-0.086,0.9179,3.6708,0.3586,1.7924
118.wav,-0.277,-0.1187,0.3716,3.3061,0.0473,1.5937
119.wav,-0.017,-0.0073,0.0036,3.2888,-0.0067,1.6408
120.wav,-0.0725,-0.0311,1.6356,4.203,0.7815,2.086
121.wav,-0.2059,-0.0883,0.2794,3.3771,0.0367,1.6444
122.wav,-0.2017,-0.0864,1.5231,4.1243,0.6607,2.0189
123.wav,-0.0249,-0.0107,0.8463,3.7265,0.4107,1.8579
124.wav,-0.0727,-0.0312,0.3663,3.4178,0.1468,1.6933
125.wav,-0.0346,-0.0148,0.9841,3.8425,0.4747,1.9138
126.wav,-0.1307,-0.056,0.2636,3.3363,0.0665,1.6402
127.wav,-0.3524,-0.151,0.2243,3.3054,-0.0641,1.5772
128.wav,-0.0696,-0.0298,0.9985,3.8405,0.4645,1.9053
129.wav,-0.0848,-0.0363,0.2359,3.3293,0.0756,1.6465
130.wav,-0.0333,-0.0143,1.4426,4.1302,0.7046,2.058
131.wav,-0.1496,-0.0641,0.3419,3.3999,0.0962,1.6679
132.wav,-0.1154,-0.0495,0.3896,3.4437,0.1371,1.6971
133.wav,-0.2414,-0.1035,0.4701,3.5346,0.1144,1.7155
134.wav,-0.2121,-0.0909,0.3904,3.4295,0.0891,1.6693
135.wav,-0.1577,-0.0676,0.2815,3.3519,0.0619,1.6421
136.wav,-0.0358,-0.0154,0.4239,3.3199,0.194,1.6523
137.wav,-0.1192,-0.0511,0.8383,3.6885,0.3595,1.8187
138.wav,-0.3571,-0.153,0.287,3.4112,-0.0351,1.6291
139.wav,-0.0184,-0.0079,0.334,3.4334,0.1578,1.7127
140.wav,-0.0706,-0.0303,0.6143,3.4958,0.2719,1.7328
141.wav,-0.101,-0.0433,0.4402,3.5454,0.1696,1.7511
142.wav,-0.0512,-0.0219,1.4152,4.0956,0.682,2.0368
143.wav,-0.0584,-0.025,0.3615,3.4224,0.1516,1.6987
144.wav,-0.0599,-0.0257,0.3096,3.3767,0.1249,1.6755
145.wav,-0.1452,-0.0622,0.2058,3.301,0.0303,1.6194
146.wav,-0.1125,-0.0482,0.2904,3.3151,0.0889,1.6334
147.wav,-0.1775,-0.0761,0.3183,3.387,0.0704,1.6554
148.wav,-0.2547,-0.1092,0.5026,3.5027,0.124,1.6968
