filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0003,-0.0001,1.9143,4.4454,0.957,2.2227
002.wav,-0.0087,-0.0037,1.9053,4.4397,0.9483,2.218
003.wav,-0.0048,-0.002,0.9433,3.7977,0.4693,1.8978
004.wav,-0.0091,-0.0039,1.8612,4.4026,0.926,2.1993
005.wav,-0.0188,-0.0081,1.2076,3.9463,0.5944,1.9691
006.wav,-0.0101,-0.0043,0.8795,3.6818,0.4347,1.8387
007.wav,-0.005,-0.0021,1.4732,4.1429,0.7341,2.0704
008.wav,-0.0539,-0.0231,0.2842,3.3732,0.1151,1.675
009.wav,-0.0374,-0.016,1.2765,4.0022,0.6196,1.9931
010.wav,-0.0053,-0.0023,0.2043,3.3262,0.0995,1.662
011.wav,-0.0294,-0.0126,1.0366,3.841,0.5036,1.9142
012.wav,-0.0104,-0.0044,0.5521,3.5369,0.2709,1.7662
013.wav,-0.0601,-0.0258,0.7027,3.572,0.3213,1.7731
014.wav,-0.0212,-0.0091,1.6661,4.2753,0.8225,2.1331
015.wav,-0.0128,-0.0055,0.2225,3.2662,0.1049,1.6304
016.wav,-0.0036,-0.0016,0.813,3.673,0.4047,1.8357
017.wav,-0.0445,-0.0191,0.2253,3.2854,0.0904,1.6332
018.wav,-0.0086,-0.0037,0.337,3.409,0.1642,1.7027
019.wav,-0.0333,-0.0143,0.2144,3.3203,0.0905,1.653
020.wav,-0.035,-0.015,0.6515,3.595,0.3083,1.79
021.wav,-0.0053,-0.0023,1.082,3.8788,0.5383,1.9383
022.wav,-0.0771,-0.0331,0.292,3.4231,0.1074,1.695
023.wav,-0.0227,-0.0097,0.225,3.3544,0.1012,1.6723
024.wav,-0.0042,-0.0018,0.3484,3.4661,0.1721,1.7321
025.wav,-0.0167,-0.0071,1.5027,4.1603,0.743,2.0766
026.wav,-0.0132,-0.0057,0.7468,3.6311,0.3668,1.8127
027.wav,-0.0081,-0.0035,1.6856,4.2483,0.8388,2.1224
028.wav,-0.0055,-0.0024,0.3817,3.4092,0.1881,1.7034
029.wav,-0.0143,-0.0061,0.9979,3.7602,0.4918,1.8771
030.wav,-0.0513,-0.022,1.147,3.9041,0.5478,1.9411
031.wav,-0.028,-0.012,0.5106,3.5041,0.2413,1.746
032.wav,-0.0041,-0.0018,0.264,3.3656,0.13,1.6819
033.wav,-0.0031,-0.0013,0.2009,3.3308,0.0989,1.6647
034.wav,-0.0158,-0.0068,0.515,3.5199,0.2496,1.7565
035.wav,-0.1676,-0.0718,0.2177,3.3332,0.0251,1.6307
036.wav,-0.033,-0.0141,0.8869,3.7429,0.4269,1.8644
037.wav,-0.0037,-0.0016,0.367,3.4434,0.1816,1.7209
038.wav,-0.0415,-0.0178,0.4727,3.4824,0.2156,1.7323
039.wav,-0.0251,-0.0108,1.5449,4.1139,0.7599,2.0516
040.wav,-0.0269,-0.0115,1.2495,3.9908,0.6113,1.9896
041.wav,-0.0135,-0.0058,0.4736,3.5062,0.2301,1.7502
042.wav,-0.0192,-0.0082,1.7108,4.2946,0.8458,2.1432
043.wav,-0.0022,-0.001,1.47,4.1594,0.7339,2.0792
044.wav,-0.0114,-0.0049,1.6995,4.2812,0.844,2.1381
045.wav,-0.0351,-0.0151,0.2935,3.4439,0.1292,1.7144
046.wav,-0.036,-0.0154,1.0412,3.7955,0.5026,1.89
