filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0088,-0.0038,0.7015,3.6537,0.3463,1.825
002.wav,-0.041,-0.0176,0.0843,3.236,0.0216,1.6092
003.wav,-0.0184,-0.0079,1.0788,3.7626,0.5302,1.8774
004.wav,-0.2022,-0.0867,0.2879,3.3458,0.0428,1.6296
005.wav,-0.0229,-0.0098,0.3651,3.4052,0.1711,1.6977
006.wav,-0.0249,-0.0107,0.5385,3.5491,0.2568,1.7692
007.wav,-0.033,-0.0141,0.3163,3.4109,0.1417,1.6984
008.wav,-0.0007,-0.0003,0.22,3.3465,0.1096,1.6731
009.wav,-0.0543,-0.0233,0.4827,3.459,0.2142,1.7179
010.wav,-0.0651,-0.0279,0.4381,3.5916,0.1865,1.7819
011.wav,-0.4994,-0.214,0.2022,3.3245,-0.1486,1.5552
012.wav,-0.0836,-0.0358,0.2767,3.373,0.0966,1.6686
013.wav,-0.0932,-0.0399,0.2522,2.8671,0.0795,1.4136
014.wav,-0.237,-0.1016,0.3485,3.3964,0.0558,1.6474
015.wav,-0.1848,-0.0792,0.2411,3.3587,0.0281,1.6397
016.wav,-0.0679,-0.0291,0.2206,3.3284,0.0764,1.6496
017.wav,-0.0329,-0.0141,0.4858,3.4993,0.2264,1.7426
018.wav,-0.0191,-0.0082,0.3951,3.319,0.188,1.6554
019.wav,-0.0258,-0.011,0.2302,3.3367,0.1022,1.6628
020.wav,-0.0323,-0.0138,0.4302,3.5134,0.199,1.7498
021.wav,-0.0306,-0.0131,0.7143,3.6177,0.3419,1.8023
022.wav,-0.1316,-0.0564,0.2188,3.3226,0.0436,1.6331
023.wav,-0.1222,-0.0524,0.206,3.3296,0.0419,1.6386
024.wav,-0.0822,-0.0352,0.1538,3.287,0.0358,1.6259
025.wav,-0.1508,-0.0646,0.2064,3.3109,0.0278,1.6231
026.wav,-0.0228,-0.0098,1.0242,3.8454,0.5007,1.9178
027.wav,-0.0572,-0.0245,0.2575,3.3347,0.1002,1.6551
028.wav,-0.0287,-0.0123,1.2195,3.9426,0.5954,1.9652
029.wav,-0.0919,-0.0394,0.4361,3.4348,0.1721,1.6977
030.wav,-0.0099,-0.0042,0.2065,3.3138,0.0983,1.6548
031.wav,-0.0641,-0.0275,0.4276,3.4585,0.1818,1.7155
032.wav,-0.0961,-0.0412,0.7684,3.6863,0.3361,1.8225
033.wav,-0.0295,-0.0126,0.7675,3.6661,0.369,1.8267
034.wav,-0.0454,-0.0195,0.5329,3.5387,0.2437,1.7596
035.wav,-0.2277,-0.0976,0.4794,3.5012,0.1258,1.7018
036.wav,-0.0049,-0.0021,0.6636,3.6278,0.3294,1.8129
037.wav,-0.2977,-0.1276,0.2552,3.2873,-0.0213,1.5799
038.wav,-0.0321,-0.0138,0.777,3.6981,0.3724,1.8422
039.wav,-0.0239,-0.0102,0.1083,3.3799,0.0422,1.6848
040.wav,-0.0809,-0.0347,0.5583,3.5518,0.2387,1.7586
041.wav,-0.0065,-0.0028,0.8722,3.7843,0.4328,1.8908
042.wav,-0.0193,-0.0083,0.5301,3.5345,0.2554,1.7631
043.wav,-0.1582,-0.0678,0.4858,3.4982,0.1638,1.7152
044.wav,-0.0115,-0.0049,0.4938,3.5071,0.2412,1.7511
045.wav,-0.0053,-0.0023,0.7445,3.8064,0.3696,1.9021
046.wav,-0.0381,-0.0163,0.3723,3.3864,0.1671,1.685
047.wav,-0.0126,-0.0054,0.977,3.819,0.4822,1.9068
048.wav,-0.0067,-0.0029,1.3872,4.0634,0.6902,2.0303
049.wav,-0.1101,-0.0472,0.3692,3.4212,0.1296,1.687
050.wav,-0.0393,-0.0168,0.9187,3.775,0.4397,1.8791
051.wav,-0.0123,-0.0053,0.2589,3.3684,0.1233,1.6816
052.wav,-0.3046,-0.1306,0.2526,3.3565,-0.026,1.613
053.wav,-0.1382,-0.0592,0.4354,3.3251,0.1486,1.633
054.wav,-0.0188,-0.0081,0.1647,3.2591,0.0729,1.6255
055.wav,-0.0216,-0.0093,0.4137,3.3851,0.1961,1.6879
056.wav,-0.0403,-0.0173,0.5452,3.5375,0.2525,1.7601
057.wav,-0.0193,-0.0083,0.5674,3.5356,0.274,1.7637
058.wav,-0.0152,-0.0065,0.757,3.6879,0.3709,1.8407
059.wav,-0.0539,-0.0231,0.8514,3.726,0.3987,1.8515
060.wav,-0.0419,-0.0179,0.143,3.3347,0.0506,1.6584
061.wav,-0.1439,-0.0617,0.8281,3.7279,0.3421,1.8331
062.wav,-0.0772,-0.0331,0.829,3.7597,0.3759,1.8633
063.wav,-0.0253,-0.0109,0.8782,3.8843,0.4265,1.9367
064.wav,-0.2229,-0.0955,-0.08,3.5295,-0.1514,1.717
065.wav,-0.0191,-0.0082,0.238,3.3202,0.1094,1.656
066.wav,-0.074,-0.0317,1.9094,4.4428,0.9177,2.2056
067.wav,-0.0488,-0.0209,0.2067,3.3268,0.0789,1.653
068.wav,-0.0834,-0.0357,0.5745,3.5649,0.2455,1.7646
069.wav,-0.0044,-0.0019,0.8495,3.7212,0.4226,1.8596
070.wav,-0.1044,-0.0447,1.3491,4.0657,0.6223,2.0105
071.wav,-0.0236,-0.0101,0.3112,3.3984,0.1438,1.6941
072.wav,-0.0636,-0.0272,0.3028,3.389,0.1196,1.6809
073.wav,-0.2281,-0.0978,0.5524,3.5476,0.1622,1.7249
074.wav,-0.0569,-0.0244,0.1488,3.3219,0.0459,1.6487
075.wav,-0.0153,-0.0065,0.4972,3.5074,0.241,1.7504
