filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0053,-0.0023,1.9146,4.4455,0.9547,2.2216
002.wav,-0.272,-0.1166,1.1323,3.8759,0.4301,1.8797
003.wav,-0.0932,-0.0399,0.7326,3.6607,0.3197,1.8104
004.wav,-0.4008,-0.1718,0.407,3.3953,0.0031,1.6118
005.wav,-0.0523,-0.0224,0.3409,3.3668,0.1443,1.6722
006.wav,-0.2366,-0.1014,0.25,3.3399,0.0067,1.6192
007.wav,-0.0966,-0.0414,0.0727,3.5953,-0.0119,1.7769
008.wav,-0.3634,-0.1557,0.3986,3.4199,0.0176,1.6321
009.wav,-0.1531,-0.0656,-0.4946,3.4057,-0.3238,1.67
010.wav,-0.501,-0.2147,-0.1062,3.4824,-0.3036,1.6339
011.wav,-0.2745,-0.1176,0.4277,3.46,0.0766,1.6712
012.wav,-0.1712,-0.0734,0.386,3.4446,0.1074,1.6856
013.wav,-0.3413,-0.1463,0.5925,3.5672,0.1256,1.7105
014.wav,-0.3723,-0.1596,-0.1928,3.2444,-0.2826,1.5424
015.wav,-0.1739,-0.0745,1.2193,3.9768,0.5227,1.9511
016.wav,-0.2233,-0.0957,0.8315,3.8398,0.3041,1.8721
017.wav,-0.3894,-0.1669,1.7639,4.3305,0.6872,2.0818
018.wav,-0.2566,-0.11,0.3336,3.4208,0.0385,1.6554
019.wav,-0.4551,-0.195,0.5803,3.56,0.0626,1.6825
020.wav,-0.2244,-0.0962,1.1138,3.9395,0.4447,1.9217
021.wav,-0.542,-0.2323,0.5696,3.5427,0.0138,1.6552
022.wav,-0.2097,-0.0899,1.5907,4.1944,0.6905,2.0523
023.wav,-0.4148,-0.1778,0.6126,3.5819,0.0989,1.7021
024.wav,-0.1567,-0.0672,0.6636,3.6278,0.2535,1.7803
025.wav,-0.2387,-0.1023,-0.3222,3.6271,-0.2804,1.7624
026.wav,-0.4434,-0.19,0.3775,3.454,-0.033,1.632
027.wav,-0.2847,-0.122,1.7922,4.3297,0.7537,2.1039
028.wav,-0.3189,-0.1367,0.2693,3.4269,-0.0248,1.6451
029.wav,-0.1578,-0.0676,1.5868,4.1968,0.7145,2.0646
030.wav,-0.4793,-0.2054,1.679,4.2801,0.5999,2.0373
031.wav,-0.5413,-0.232,1.7431,4.3427,0.6009,2.0553
032.wav,-0.345,-0.1478,0.1275,3.2825,-0.1087,1.5673
033.wav,-0.31,-0.1329,0.4076,3.4546,0.0488,1.6609
034.wav,-0.104,-0.0446,-0.8001,4.1521,-0.452,2.0538
035.wav,-0.3401,-0.1457,0.6286,3.6685,0.1443,1.7614
036.wav,-0.0871,-0.0373,0.1214,3.2846,0.0171,1.6236
037.wav,-0.388,-0.1663,0.3026,3.3966,-0.0427,1.6151
038.wav,-0.2646,-0.1134,-0.0966,3.38,-0.1806,1.6333
039.wav,-0.459,-0.1967,-0.3354,3.3341,-0.3972,1.5687
040.wav,-0.3757,-0.161,0.397,3.4443,0.0107,1.6416
041.wav,-0.3859,-0.1654,-0.1097,3.3388,-0.2478,1.5867
042.wav,-0.1626,-0.0697,0.2324,3.4312,0.0349,1.6808
043.wav,-0.2567,-0.11,0.1131,3.307,-0.0718,1.5985
044.wav,-0.0777,-0.0333,0.0579,1.1402,-0.0099,0.5535
045.wav,-0.2766,-0.1185,0.0849,3.5011,-0.0958,1.6913
