filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0026,-0.0011,1.9122,4.4445,0.9548,2.2217
002.wav,-0.0052,-0.0022,1.8084,4.3604,0.9016,2.1791
003.wav,-0.003,-0.0013,0.8545,3.7375,0.4257,1.8681
004.wav,-0.0137,-0.0059,0.758,3.7076,0.3721,1.8509
005.wav,-0.0093,-0.004,0.7464,3.6338,0.3685,1.8149
006.wav,-0.0503,-0.0216,1.3151,4.0302,0.6324,2.0043
007.wav,-0.0122,-0.0052,0.7935,3.6695,0.3906,1.8321
008.wav,-0.0072,-0.0031,0.0701,3.273,0.0314,1.635
009.wav,-0.0064,-0.0028,0.6027,3.5518,0.2981,1.7745
010.wav,-0.0047,-0.002,0.2371,3.3452,0.1162,1.6716
011.wav,-0.0134,-0.0058,0.2359,3.3464,0.1112,1.6703
012.wav,-0.0041,-0.0018,0.4449,3.4822,0.2204,1.7402
013.wav,-0.2028,-0.0869,0.2417,3.3436,0.0195,1.6284
014.wav,-0.044,-0.0189,0.6804,3.4448,0.3182,1.713
015.wav,-0.0103,-0.0044,-0.0921,3.2457,-0.0512,1.6207
016.wav,-0.0353,-0.0151,0.5802,3.6318,0.2724,1.8083
017.wav,-0.0094,-0.004,-0.0596,3.3217,-0.0345,1.6588
018.wav,-0.0011,-0.0005,1.4474,4.1296,0.7232,2.0646
019.wav,-0.0014,-0.0006,0.419,3.363,0.2088,1.6812
020.wav,-0.0098,-0.0042,1.0075,3.4412,0.4989,1.7185
021.wav,-0.032,-0.0137,0.4382,3.4459,0.2031,1.7161
022.wav,-0.0109,-0.0047,0.4461,3.4674,0.2176,1.7314
023.wav,-0.0461,-0.0198,0.6578,3.6212,0.3058,1.8007
024.wav,-0.0155,-0.0067,0.3006,3.3356,0.1426,1.6645
025.wav,-0.0065,-0.0028,1.0971,3.9084,0.5453,1.9528
026.wav,-0.0137,-0.0059,1.4028,4.0784,0.6946,2.0363
027.wav,-0.0258,-0.0111,0.5546,3.5472,0.2644,1.7681
028.wav,-0.011,-0.0047,0.4133,3.463,0.2011,1.7292
029.wav,-0.0549,-0.0235,0.1909,3.3501,0.068,1.6633
030.wav,-0.0029,-0.0013,0.2556,3.3588,0.1263,1.6788
031.wav,-0.0186,-0.008,0.2897,3.3679,0.1356,1.68
032.wav,-0.0043,-0.0018,0.2523,3.3598,0.124,1.679
033.wav,-0.0136,-0.0058,0.1612,3.2799,0.0738,1.637
034.wav,-0.0198,-0.0085,-0.1009,3.2951,-0.0603,1.6433
035.wav,-0.0062,-0.0026,0.3539,3.5088,0.1739,1.7531
036.wav,-0.0195,-0.0084,0.2752,3.3652,0.1278,1.6784
037.wav,-0.051,-0.0218,0.6207,3.5255,0.2849,1.7518
038.wav,-0.0281,-0.0121,0.3786,3.435,0.1752,1.7115
039.wav,-0.0915,-0.0392,0.5886,3.6151,0.2486,1.7879
040.wav,-0.0038,-0.0016,0.6692,3.7483,0.3327,1.8733
041.wav,-0.0167,-0.0072,0.1926,3.3061,0.0879,1.6494
042.wav,-0.0075,-0.0032,0.0531,3.129,0.0228,1.5629
043.wav,-0.0068,-0.0029,0.3115,3.4415,0.1523,1.7193
044.wav,-0.028,-0.012,0.274,3.3885,0.123,1.6883
045.wav,-0.0153,-0.0066,0.0816,3.223,0.0331,1.6082
046.wav,-0.0198,-0.0085,0.1407,3.3046,0.0605,1.6481
047.wav,-0.0273,-0.0117,-0.0543,3.2249,-0.0408,1.6066
048.wav,-0.0176,-0.0075,1.1873,3.7648,0.5849,1.8786
049.wav,-0.023,-0.0099,0.2262,3.2794,0.1016,1.6348
050.wav,-0.0016,-0.0007,1.1697,3.9355,0.584,1.9674
051.wav,-0.002,-0.0009,1.236,3.9989,0.617,1.999
052.wav,-0.0246,-0.0105,0.1034,3.5013,0.0394,1.7454
053.wav,-0.0021,-0.0009,-0.3632,3.4899,-0.1826,1.7445
054.wav,-0.0053,-0.0023,0.38,3.4291,0.1874,1.7134
055.wav,-0.0567,-0.0243,0.8582,3.7315,0.4007,1.8536
056.wav,-0.0196,-0.0084,1.3681,4.0811,0.6743,2.0363
057.wav,-0.004,-0.0017,0.2294,3.3681,0.1127,1.6832
058.wav,-0.0007,-0.0003,0.4034,3.5206,0.2013,1.7601
059.wav,-0.0038,-0.0016,0.227,3.3507,0.1116,1.6745
060.wav,-0.0036,-0.0015,0.1984,3.3199,0.0974,1.6592
061.wav,-0.0286,-0.0123,1.5549,4.1918,0.7631,2.0898
062.wav,-0.0032,-0.0014,1.4187,4.1171,0.7078,2.0579
063.wav,-0.0995,-0.0427,0.2104,3.3155,0.0554,1.6364
064.wav,-0.0074,-0.0032,0.9435,3.7977,0.4681,1.8973
065.wav,-0.363,-0.1556,0.3528,3.408,-0.0051,1.6262
066.wav,-0.0568,-0.0243,0.8563,3.786,0.3998,1.8808
067.wav,-0.006,-0.0026,0.377,3.4186,0.1855,1.708
068.wav,-0.0011,-0.0005,0.2476,3.3436,0.1233,1.6716
069.wav,-0.0242,-0.0104,0.4914,3.5514,0.2336,1.7705
070.wav,-0.0323,-0.0138,0.2031,3.3374,0.0854,1.6618
071.wav,-0.039,-0.0167,0.2606,3.3583,0.1108,1.6708
072.wav,-0.0643,-0.0275,0.9639,3.7761,0.4498,1.8743
073.wav,-0.0021,-0.0009,1.6242,4.1348,0.8111,2.067
074.wav,-0.0148,-0.0063,0.6673,3.6418,0.3262,1.8177
075.wav,-0.0125,-0.0053,0.5216,3.5228,0.2546,1.7587
076.wav,-0.0121,-0.0052,0.4776,3.4826,0.2327,1.7387
077.wav,-0.0051,-0.0022,0.461,3.4629,0.228,1.7304
078.wav,-0.0158,-0.0068,0.2582,3.3563,0.1212,1.6748
079.wav,-0.0007,-0.0003,1.0949,3.8455,0.5471,1.9226
080.wav,-0.0046,-0.002,0.4401,3.4557,0.2178,1.7268
081.wav,-0.0147,-0.0063,0.5503,3.5374,0.2678,1.7655
082.wav,-0.0124,-0.0053,0.4954,3.5183,0.2415,1.7565
083.wav,-0.0708,-0.0303,0.2097,3.3155,0.0694,1.6426
084.wav,-0.0111,-0.0048,0.3553,3.4234,0.1721,1.7093
085.wav,-0.0106,-0.0046,0.2534,3.5298,0.1214,1.7626
086.wav,-0.0666,-0.0286,0.3669,3.4005,0.1501,1.686
087.wav,-0.0139,-0.0059,0.2612,3.3929,0.1237,1.6935
088.wav,-0.0182,-0.0078,1.2412,4.0605,0.6115,2.0264
089.wav,-0.0175,-0.0075,0.4823,3.4889,0.2324,1.7407
090.wav,-0.0231,-0.0099,1.4277,4.1026,0.7023,2.0464
091.wav,-0.0119,-0.0051,1.0435,3.7615,0.5158,1.8782
092.wav,-0.0304,-0.013,0.8966,3.8271,0.4331,1.907
093.wav,-0.0007,-0.0003,0.3971,3.448,0.1982,1.7239
094.wav,-0.0017,-0.0007,0.2981,3.3587,0.1482,1.679
095.wav,-0.2477,-0.1062,1.3157,3.9406,0.534,1.9172
096.wav,-0.0153,-0.0065,0.4095,3.4581,0.1971,1.7258
097.wav,-0.0092,-0.004,1.9127,4.445,0.9518,2.2205
098.wav,-0.0139,-0.0059,0.8557,3.7423,0.4209,1.8682
099.wav,-0.0584,-0.025,0.2829,3.3684,0.1122,1.6717
