filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.1695,-0.0727,1.7415,4.2957,0.786,2.1115
002.wav,-0.1618,-0.0693,1.7866,4.3335,0.8124,2.1321
003.wav,-0.3405,-0.1459,0.2753,3.3685,-0.0326,1.6113
004.wav,-0.4166,-0.1785,0.4609,3.4825,0.0221,1.652
005.wav,-0.187,-0.0801,0.459,3.4884,0.136,1.7042
006.wav,-0.0903,-0.0387,1.3156,4.0955,0.6127,2.0284
007.wav,-0.0956,-0.041,0.2692,3.3521,0.0868,1.6556
008.wav,-0.2008,-0.086,1.0309,3.8726,0.4151,1.8933
009.wav,-0.0318,-0.0136,0.9761,3.8343,0.4722,1.9103
010.wav,-0.044,-0.0189,0.1878,3.3823,0.0719,1.6817
011.wav,-0.0684,-0.0293,0.6957,3.6226,0.3136,1.7967
012.wav,-0.0162,-0.0069,0.6639,3.6065,0.3239,1.7998
013.wav,-0.1501,-0.0643,0.7993,3.6956,0.3246,1.8156
014.wav,-0.1252,-0.0537,0.1629,3.3218,0.0189,1.6341
015.wav,-0.052,-0.0223,0.7254,3.6173,0.3367,1.7975
016.wav,-0.0696,-0.0298,0.2989,3.4741,0.1146,1.7221
017.wav,-0.1344,-0.0576,0.3611,3.4075,0.1134,1.675
018.wav,-0.0761,-0.0326,-0.173,3.4987,-0.1245,1.733
019.wav,-0.1501,-0.0643,0.3754,3.4311,0.1126,1.6834
020.wav,-0.0508,-0.0218,0.2414,3.3779,0.0953,1.6781
021.wav,-0.1448,-0.0621,0.2913,3.4246,0.0732,1.6812
022.wav,-0.1696,-0.0727,0.9555,3.8293,0.3929,1.8783
023.wav,-0.0607,-0.026,0.8871,3.7679,0.4132,1.8709
024.wav,-0.0958,-0.041,0.3263,3.4938,0.1153,1.7264
025.wav,-0.2617,-0.1122,1.1251,3.8933,0.4317,1.8906
026.wav,-0.1051,-0.0451,0.2975,3.3855,0.0962,1.6702
027.wav,-0.1915,-0.0821,0.3826,3.4334,0.0956,1.6757
028.wav,-0.0827,-0.0354,-0.0017,3.4312,-0.0422,1.6979
029.wav,-0.234,-0.1003,0.8287,3.8198,0.2973,1.8597
030.wav,-0.058,-0.0249,0.4406,3.4909,0.1913,1.733
031.wav,-0.0663,-0.0284,0.0391,3.0485,-0.0136,1.5101
032.wav,-0.0831,-0.0356,-0.0788,3.4528,-0.0809,1.7086
033.wav,-0.2996,-0.1284,0.1456,3.3397,-0.077,1.6057
034.wav,-0.1239,-0.0531,0.2442,3.613,0.0601,1.78
035.wav,-0.3731,-0.1599,0.3167,3.3812,-0.0282,1.6106
036.wav,-0.0773,-0.0331,0.3767,3.5002,0.1497,1.7335
037.wav,-0.1539,-0.0659,0.4912,3.4788,0.1687,1.7064
038.wav,-0.1549,-0.0664,0.4049,3.4871,0.125,1.7104
039.wav,-0.2875,-0.1232,1.8014,4.3397,0.757,2.1082
040.wav,-0.1368,-0.0586,1.5756,4.2268,0.7194,2.0841
041.wav,-0.1659,-0.0711,-0.0727,3.084,-0.1193,1.5065
042.wav,-0.0817,-0.035,0.3581,3.4595,0.1382,1.7122
043.wav,-0.2093,-0.0897,0.2822,3.4738,0.0365,1.6921
044.wav,-0.0806,-0.0346,0.1165,3.2652,0.018,1.6153
045.wav,-0.2494,-0.1069,0.8762,3.7415,0.3134,1.8173
046.wav,-0.1245,-0.0534,0.3634,3.4283,0.1195,1.6875
047.wav,-0.1694,-0.0726,0.1802,3.6634,0.0054,1.7954
048.wav,-0.141,-0.0604,0.2967,3.3904,0.0778,1.665
049.wav,-0.0353,-0.0151,0.2161,3.3207,0.0904,1.6528
050.wav,-0.1875,-0.0804,0.6797,3.604,0.2461,1.7618
051.wav,-0.0678,-0.0291,0.2647,3.3482,0.0984,1.6596
052.wav,-0.1368,-0.0586,1.7716,4.3309,0.8174,2.1361
053.wav,-0.2515,-0.1078,0.0746,3.3714,-0.0884,1.6318
054.wav,-0.179,-0.0767,0.2105,3.3496,0.0157,1.6364
055.wav,-0.252,-0.108,0.7111,3.6744,0.2295,1.7832
056.wav,-0.1422,-0.0609,0.1836,3.4348,0.0207,1.6869
057.wav,-0.1435,-0.0615,-0.0437,3.1411,-0.0936,1.5398
058.wav,-0.2173,-0.0931,0.4111,3.5038,0.0969,1.7054
059.wav,-0.1901,-0.0815,0.0658,3.2959,-0.0622,1.6072
060.wav,-0.2459,-0.1054,0.7158,3.6302,0.2349,1.7624
061.wav,-0.2737,-0.1173,0.3346,3.3712,0.0304,1.6269
062.wav,-0.1011,-0.0433,0.2753,3.352,0.0871,1.6543
063.wav,-0.1801,-0.0772,0.4536,3.4995,0.1368,1.7111
064.wav,-0.0557,-0.0239,0.4885,3.5541,0.2164,1.7651
065.wav,-0.0397,-0.017,-0.2527,3.3923,-0.1462,1.6876
066.wav,-0.1553,-0.0666,0.064,3.642,-0.0457,1.7877
067.wav,-0.1952,-0.0836,0.3661,3.4246,0.0855,1.6705
068.wav,-0.329,-0.141,0.2019,3.3284,-0.0636,1.5937
069.wav,-0.0884,-0.0379,0.2629,3.5242,0.0872,1.7432
070.wav,-0.114,-0.0489,-0.1658,3.2478,-0.1399,1.5994
071.wav,-0.1989,-0.0853,1.6172,4.1647,0.7091,2.0397
072.wav,-0.0959,-0.0411,0.1323,3.1594,0.0182,1.5592
073.wav,-0.132,-0.0566,0.4013,3.5679,0.1346,1.7556
074.wav,-0.0781,-0.0335,0.2052,3.3195,0.0636,1.643
075.wav,-0.1023,-0.0438,0.6326,3.5913,0.2651,1.7737
076.wav,-0.4562,-0.1955,0.0227,3.1225,-0.2168,1.4635
077.wav,-0.1543,-0.0661,0.2796,3.3689,0.0626,1.6514
078.wav,-0.3173,-0.136,0.4002,3.4457,0.0415,1.6549
079.wav,-0.1833,-0.0786,1.6351,4.2748,0.7259,2.0981
080.wav,-0.0968,-0.0415,1.2348,3.963,0.569,1.9608
081.wav,-0.1932,-0.0828,1.1486,3.9259,0.4777,1.9216
082.wav,-0.0468,-0.0201,0.0834,3.32,0.0183,1.65
083.wav,-0.0405,-0.0173,0.1098,3.3131,0.0347,1.6479
084.wav,-0.0203,-0.0087,0.7586,3.6788,0.3691,1.835
085.wav,-0.1651,-0.0707,1.0235,3.8605,0.4292,1.8949
086.wav,-0.0642,-0.0275,0.8571,3.7811,0.3964,1.8768
087.wav,-0.4623,-0.1981,0.375,3.4487,-0.0437,1.6253
088.wav,-0.1552,-0.0665,0.8156,3.745,0.3302,1.8392
089.wav,-0.1448,-0.0621,0.4502,3.6798,0.1527,1.8089
090.wav,-0.3277,-0.1405,-0.0321,3.3553,-0.1799,1.6074
091.wav,-0.4276,-0.1832,0.1703,3.1831,-0.1286,1.4999
092.wav,-0.0982,-0.0421,0.2288,3.3446,0.0653,1.6512
093.wav,-0.0519,-0.0223,0.2697,3.3593,0.1089,1.6685
094.wav,-0.0795,-0.0341,0.3242,3.3588,0.1224,1.6624
095.wav,-0.0464,-0.0199,0.298,3.5322,0.1258,1.7562
096.wav,-0.0476,-0.0204,0.201,3.3357,0.0767,1.6577
097.wav,-0.0716,-0.0307,0.1332,3.2937,0.0308,1.6315
098.wav,-0.1866,-0.08,0.7763,3.6619,0.2948,1.791
099.wav,-0.1387,-0.0594,0.5687,3.5568,0.215,1.7487
100.wav,-0.278,-0.1192,0.1702,3.2599,-0.0539,1.5704
101.wav,-0.0587,-0.0252,0.9298,3.783,0.4355,1.8789
102.wav,-0.0802,-0.0344,0.3579,3.4364,0.1388,1.701
103.wav,-0.0995,-0.0427,0.2039,3.3496,0.0522,1.6535
104.wav,-0.394,-0.1689,0.2294,3.3995,-0.0823,1.6153
105.wav,-0.5411,-0.2319,0.267,3.2813,-0.137,1.5247
106.wav,-0.037,-0.0158,1.6942,4.2926,0.8286,2.1384
107.wav,-0.1491,-0.0639,0.8732,3.5993,0.362,1.7677
108.wav,-0.0752,-0.0322,0.2576,3.3399,0.0912,1.6538
109.wav,-0.0475,-0.0204,0.3221,3.3925,0.1373,1.6861
110.wav,-0.0098,-0.0042,0.8439,3.7337,0.4171,1.8647
111.wav,-0.1143,-0.049,0.351,3.3808,0.1184,1.6659
112.wav,-0.0937,-0.0402,0.6122,3.7895,0.2592,1.8747
113.wav,-0.2798,-0.1199,0.7231,3.643,0.2217,1.7615
114.wav,-0.0093,-0.004,1.6817,4.2716,0.8362,2.1338
115.wav,-0.3621,-0.1552,0.4078,3.4482,0.0229,1.6465
116.wav,-0.0349,-0.015,0.3777,3.4203,0.1714,1.7027
117.wav,-0.1078,-0.0462,0.0947,2.3023,-0.0065,1.1281
118.wav,-0.1749,-0.0749,0.2504,3.3552,0.0377,1.6401
119.wav,-0.1078,-0.0462,0.4357,3.6096,0.164,1.7817
120.wav,-0.0661,-0.0283,0.831,3.7142,0.3825,1.8429
121.wav,-0.3417,-0.1465,0.6365,3.6158,0.1474,1.7347
122.wav,-0.2362,-0.1012,0.3568,3.5794,0.0603,1.7391
123.wav,-0.0822,-0.0352,1.3856,4.0762,0.6517,2.0205
124.wav,-0.0479,-0.0205,1.4358,4.1277,0.694,2.0536
125.wav,-0.2564,-0.1099,0.5275,3.6141,0.1355,1.7521
126.wav,-0.0786,-0.0337,0.4215,3.5396,0.1715,1.753
127.wav,-0.1134,-0.0486,0.2313,3.3561,0.0589,1.6538
128.wav,-0.2357,-0.101,0.4092,3.4558,0.0867,1.6774
129.wav,-0.0106,-0.0045,1.6817,4.2716,0.8356,2.1336
130.wav,-0.2357,-0.101,0.2367,3.3464,0.0005,1.6227
131.wav,-0.1148,-0.0492,0.8604,3.7579,0.3728,1.8543
132.wav,-0.0793,-0.034,0.5779,3.8268,0.2493,1.8964
133.wav,-0.1454,-0.0623,0.0748,3.1949,-0.0353,1.5663
134.wav,-0.0896,-0.0384,0.1912,3.3952,0.0508,1.6784
135.wav,-0.2332,-0.0999,0.6081,3.5596,0.1874,1.7298
136.wav,-0.0168,-0.0072,0.7273,3.6845,0.3553,1.8387
137.wav,-0.2579,-0.1105,1.5816,4.2269,0.6619,2.0582
138.wav,-0.1196,-0.0513,1.5762,4.2257,0.7283,2.0872
139.wav,-0.1467,-0.0629,-0.3356,3.4756,-0.2411,1.7064
140.wav,-0.147,-0.063,1.0029,3.7575,0.4279,1.8473
141.wav,-0.132,-0.0566,-0.3139,4.1926,-0.223,2.068
142.wav,-0.3229,-0.1384,0.0184,3.2028,-0.1523,1.5322
143.wav,-0.0819,-0.0351,0.4003,3.4841,0.1592,1.7245
144.wav,-0.0608,-0.026,-0.235,2.9566,-0.1479,1.4653
145.wav,-0.0542,-0.0232,0.4248,3.4671,0.1853,1.722
146.wav,-0.1226,-0.0525,0.2951,3.3371,0.0863,1.6423
147.wav,-0.0475,-0.0204,1.248,3.9907,0.6002,1.9851
148.wav,-0.0055,-0.0024,1.6817,4.2716,0.8381,2.1346
149.wav,-0.1392,-0.0597,0.1572,3.4017,0.009,1.671
150.wav,-0.104,-0.0446,1.0272,3.8526,0.4616,1.904
151.wav,-0.1756,-0.0753,0.6109,3.5887,0.2176,1.7567
152.wav,-0.1975,-0.0846,0.7986,3.6559,0.3005,1.7856
153.wav,-0.4962,-0.2126,0.1289,3.2602,-0.1836,1.5238
154.wav,-0.2865,-0.1228,0.0301,3.3932,-0.1282,1.6352
155.wav,-0.2602,-0.1115,0.5595,3.5825,0.1497,1.7355
156.wav,-0.0458,-0.0196,1.8826,4.4203,0.9184,2.2003
157.wav,-0.381,-0.1633,0.6216,3.6073,0.1203,1.722
158.wav,-0.0243,-0.0104,1.683,4.2887,0.8294,2.1392
159.wav,-0.0086,-0.0037,0.8464,3.7405,0.4189,1.8684
