filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0027,-0.0012,1.9119,4.4435,0.9546,2.2212
002.wav,-0.0075,-0.0032,0.0247,3.2693,0.0086,1.633
003.wav,-0.0278,-0.0119,0.3676,3.4053,0.1699,1.6967
004.wav,-0.0153,-0.0066,0.8325,3.741,0.4086,1.8672
005.wav,-0.0066,-0.0028,0.5981,3.54,0.2957,1.7686
006.wav,-0.0402,-0.0172,0.5017,3.5051,0.2307,1.7439
007.wav,-0.0101,-0.0043,0.2229,3.328,0.1064,1.6618
008.wav,-0.0144,-0.0062,0.5063,3.5067,0.246,1.7503
009.wav,-0.052,-0.0223,0.3863,3.4379,0.1672,1.7078
010.wav,-0.0078,-0.0034,0.7011,3.6395,0.3466,1.818
011.wav,-0.04,-0.0171,0.6954,3.6498,0.3277,1.8164
012.wav,-0.0127,-0.0054,0.4261,3.4719,0.2067,1.7332
013.wav,-0.0095,-0.0041,0.0655,3.263,0.028,1.6294
014.wav,-0.0523,-0.0224,0.527,3.4772,0.2374,1.7274
015.wav,-0.0363,-0.0155,0.245,3.3445,0.1044,1.6645
016.wav,-0.0145,-0.0062,0.3454,3.3442,0.1655,1.669
017.wav,-0.0278,-0.0119,0.2256,3.3408,0.0989,1.6644
018.wav,-0.0073,-0.0031,0.0196,3.2201,0.0061,1.6085
019.wav,-0.0077,-0.0033,0.2918,3.3818,0.1421,1.6893
020.wav,-0.0272,-0.0116,0.2499,3.3537,0.1114,1.671
021.wav,-0.0079,-0.0034,0.8041,3.6937,0.3981,1.8452
022.wav,-0.0746,-0.032,1.151,3.8907,0.5382,1.9293
023.wav,-0.0142,-0.0061,0.5991,3.5316,0.2925,1.7628
024.wav,-0.0131,-0.0056,0.8151,3.689,0.401,1.8417
025.wav,-0.0079,-0.0034,0.5544,3.5525,0.2732,1.7745
026.wav,-0.0081,-0.0035,0.7173,3.7661,0.3546,1.8813
027.wav,-0.0202,-0.0087,0.5042,3.5049,0.242,1.7481
028.wav,-0.0095,-0.0041,-0.2063,3.4181,-0.1079,1.707
029.wav,-0.023,-0.0098,1.0207,3.8406,0.4989,1.9154
030.wav,-0.0344,-0.0147,0.5975,3.5605,0.2815,1.7729
031.wav,-0.0414,-0.0177,0.4138,3.4988,0.1862,1.7405
032.wav,-0.0094,-0.004,0.4938,3.651,0.2422,1.8235
033.wav,-0.0285,-0.0122,0.2431,3.3524,0.1073,1.6701
034.wav,-0.0278,-0.0119,0.2368,3.3325,0.1045,1.6603
035.wav,-0.005,-0.0022,0.2027,3.2105,0.0988,1.6042
036.wav,-0.0073,-0.0031,0.3301,3.4065,0.1614,1.7017
037.wav,-0.0105,-0.0045,0.6243,3.5168,0.3069,1.7562
038.wav,-0.0179,-0.0077,0.2053,3.326,0.0937,1.6592
039.wav,-0.0583,-0.025,0.4484,3.4633,0.195,1.7191
040.wav,-0.0097,-0.0041,0.7133,3.6406,0.3518,1.8182
041.wav,-0.0703,-0.0301,-0.2106,3.0696,-0.1404,1.5197
042.wav,-0.0112,-0.0048,0.4851,3.4892,0.237,1.7422
043.wav,-0.0123,-0.0053,1.213,4.0444,0.6003,2.0196
044.wav,-0.0089,-0.0038,0.5357,3.5203,0.2634,1.7582
045.wav,-0.0559,-0.024,-0.112,3.5565,-0.0839,1.7663
046.wav,-0.01,-0.0043,0.1939,3.6146,0.092,1.8052
047.wav,-0.043,-0.0184,1.3134,4.0331,0.6352,2.0073
048.wav,-0.0121,-0.0052,0.1448,3.3286,0.0664,1.6617
049.wav,-0.0227,-0.0097,1.0346,3.8566,0.506,1.9234
050.wav,-0.0242,-0.0104,0.9378,3.7775,0.4568,1.8836
051.wav,-0.0042,-0.0018,0.5565,3.5551,0.2761,1.7767
052.wav,-0.0289,-0.0124,0.5572,3.5413,0.2641,1.7644
053.wav,-0.0082,-0.0035,0.3838,3.4514,0.1878,1.724
054.wav,-0.0082,-0.0035,0.5922,3.5789,0.292,1.7877
055.wav,-0.008,-0.0034,0.931,3.8689,0.4615,1.9327
056.wav,-0.0795,-0.0341,0.6135,3.5748,0.267,1.7704
057.wav,-0.0145,-0.0062,0.7518,3.6519,0.3686,1.8228
058.wav,-0.0251,-0.0108,1.0374,3.9166,0.5061,1.9529
059.wav,-0.0246,-0.0106,1.1925,3.9438,0.5839,1.9666
060.wav,-0.0121,-0.0052,1.1145,3.9088,0.5512,1.9518
061.wav,-0.0174,-0.0075,1.8752,4.4029,0.9289,2.1977
062.wav,-0.0643,-0.0276,0.7939,3.6953,0.3648,1.8339
063.wav,-0.0089,-0.0038,0.3943,3.6011,0.1927,1.7986
064.wav,-0.0462,-0.0198,1.7016,4.3227,0.8277,2.1514
065.wav,-0.0058,-0.0025,1.7502,4.3339,0.8722,2.1657
066.wav,-0.0053,-0.0023,1.0736,3.8682,0.5342,1.9329
067.wav,-0.034,-0.0146,0.1821,3.2795,0.0741,1.6324
068.wav,-0.0178,-0.0076,1.0519,3.8986,0.517,1.9455
069.wav,-0.0283,-0.0121,0.4841,3.5099,0.2279,1.7489
070.wav,-0.0152,-0.0065,0.4914,3.3341,0.2381,1.6638
071.wav,-0.0631,-0.027,-0.3742,3.0849,-0.2186,1.5289
072.wav,-0.004,-0.0017,0.7634,2.8705,0.3797,1.4344
073.wav,-0.012,-0.0052,1.4799,4.1519,0.7339,2.0733
074.wav,-0.0019,-0.0008,0.2347,3.3833,0.1164,1.6912
075.wav,-0.0093,-0.004,0.1616,3.2508,0.0761,1.6234
076.wav,-0.0158,-0.0068,1.5465,4.1852,0.7654,2.0892
077.wav,-0.0001,-0.0001,0.266,3.3634,0.1329,1.6817
078.wav,-0.0051,-0.0022,0.8242,3.7038,0.4096,1.8508
079.wav,-0.0048,-0.002,1.5839,4.1909,0.7896,2.0944
080.wav,-0.0325,-0.0139,0.5307,3.5697,0.2491,1.7779
081.wav,-0.0491,-0.021,0.2255,3.3242,0.0882,1.6516
082.wav,-0.0112,-0.0048,0.704,3.6444,0.3464,1.8198
083.wav,-0.0184,-0.0079,1.244,4.0135,0.6128,2.0028
084.wav,-0.0004,-0.0002,-0.2107,2.9671,-0.1055,1.4834
085.wav,-0.009,-0.0038,0.1555,3.3389,0.0732,1.6675
086.wav,-0.0017,-0.0007,0.0068,3.4124,0.0026,1.7058
087.wav,-0.0177,-0.0076,0.8652,3.751,0.4238,1.8717
088.wav,-0.008,-0.0034,0.3491,3.4139,0.1705,1.7052
089.wav,-0.0029,-0.0013,1.0216,3.7866,0.5094,1.8927
090.wav,-0.0021,-0.0009,0.5571,3.5416,0.2775,1.7704
091.wav,-0.0019,-0.0008,0.7042,3.6457,0.3512,1.8225
092.wav,-0.0101,-0.0043,0.3062,3.3898,0.1481,1.6927
093.wav,-0.0138,-0.0059,-0.024,3.1808,-0.0189,1.5874
094.wav,-0.0036,-0.0015,0.7552,3.6712,0.3758,1.8348
095.wav,-0.0062,-0.0026,-0.0164,3.208,-0.0113,1.6027
096.wav,-0.0049,-0.0021,1.0425,3.7567,0.5188,1.8773
097.wav,-0.0068,-0.0029,0.381,3.4282,0.1871,1.7126
098.wav,-0.0148,-0.0064,-0.5496,3.0792,-0.2822,1.5364
099.wav,-0.0106,-0.0046,0.2699,3.372,0.1296,1.6837
100.wav,-0.0133,-0.0057,0.2578,3.3755,0.1223,1.6849
101.wav,-0.0057,-0.0024,0.6673,3.6138,0.3308,1.8057
102.wav,-0.0021,-0.0009,1.7391,4.325,0.8685,2.1621
103.wav,-0.0012,-0.0005,1.4691,4.1503,0.7339,2.0749
104.wav,-0.0061,-0.0026,0.2238,3.2838,0.1088,1.6406
105.wav,-0.0015,-0.0006,0.0995,3.287,0.049,1.6432
106.wav,-0.0023,-0.001,0.6727,3.5471,0.3352,1.7731
107.wav,-0.0264,-0.0113,0.2498,3.3774,0.1117,1.6831
108.wav,-0.0022,-0.001,0.1915,3.2955,0.0947,1.6473
109.wav,-0.0046,-0.002,1.7756,4.3462,0.8855,2.1721
110.wav,-0.0044,-0.0019,0.7891,3.6595,0.3923,1.8288
111.wav,-0.019,-0.0081,0.2281,3.3124,0.1046,1.6521
112.wav,-0.0068,-0.0029,0.0781,3.3148,0.0357,1.6559
113.wav,-0.0013,-0.0005,1.7919,4.3485,0.8953,2.174
114.wav,-0.0037,-0.0016,1.4553,4.0927,0.7258,2.0456
