filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0123,-0.0053,1.9129,4.4445,0.9503,2.2196
002.wav,-0.2398,-0.1028,0.5328,3.5362,0.1465,1.7167
003.wav,-0.0019,-0.0008,1.4063,4.0907,0.7022,2.0449
004.wav,-0.0681,-0.0292,-0.0012,3.3855,-0.0347,1.6781
005.wav,-0.0959,-0.0411,0.6058,3.5948,0.2549,1.7768
006.wav,-0.0389,-0.0167,0.9373,3.7894,0.4492,1.8863
007.wav,-0.0571,-0.0245,-0.2832,3.3192,-0.1701,1.6474
008.wav,-0.0303,-0.013,1.0815,3.8467,0.5256,1.9169
009.wav,-0.0191,-0.0082,0.1485,3.2259,0.0647,1.6088
010.wav,-0.1574,-0.0675,0.3466,3.2477,0.0946,1.5901
011.wav,-0.1686,-0.0723,0.2382,3.359,0.0348,1.6434
012.wav,-0.0016,-0.0007,-0.2272,3.2731,-0.1144,1.6362
013.wav,-0.1029,-0.0441,0.2662,3.3036,0.0817,1.6298
014.wav,-0.075,-0.0322,0.4924,3.5069,0.2087,1.7374
015.wav,-0.1485,-0.0637,0.4523,3.3983,0.1519,1.6673
016.wav,-0.0925,-0.0397,0.0927,3.2428,0.0001,1.6016
017.wav,-0.0192,-0.0082,0.6725,3.6157,0.3267,1.8037
018.wav,-0.2164,-0.0928,0.2925,3.3626,0.038,1.6349
019.wav,-0.058,-0.0249,0.2771,3.3832,0.1095,1.6792
020.wav,-0.0116,-0.005,-0.1379,3.1068,-0.0747,1.5509
021.wav,-0.0669,-0.0287,0.1774,3.3722,0.0552,1.6718
022.wav,-0.0227,-0.0097,1.0041,3.8283,0.4907,1.9093
023.wav,-0.0985,-0.0422,0.2688,3.3609,0.0852,1.6594
024.wav,-0.1976,-0.0847,0.2856,3.3853,0.044,1.6503
025.wav,-0.0407,-0.0174,0.3182,3.422,0.1387,1.7023
026.wav,-0.1334,-0.0572,0.3045,3.3794,0.0855,1.6611
027.wav,-0.0627,-0.0269,-0.1899,3.4594,-0.1263,1.7163
028.wav,-0.0369,-0.0158,1.2116,3.9716,0.5873,1.9779
029.wav,-0.1334,-0.0572,0.5412,3.5148,0.2039,1.7288
030.wav,-0.0641,-0.0275,0.5799,3.5593,0.2579,1.7659
031.wav,-0.1291,-0.0553,0.438,3.4754,0.1545,1.7101
032.wav,-0.0377,-0.0162,0.448,3.4251,0.2051,1.7044
033.wav,-0.0905,-0.0388,0.1049,3.2748,0.0072,1.618
034.wav,-0.1857,-0.0796,0.5997,3.7551,0.207,1.8378
035.wav,-0.0569,-0.0244,0.5249,3.5276,0.234,1.7516
036.wav,-0.0081,-0.0035,1.6168,4.2012,0.8044,2.0989
037.wav,-0.0362,-0.0155,-0.0728,3.0274,-0.0545,1.5059
038.wav,-0.0212,-0.0091,0.4642,3.504,0.2215,1.7475
039.wav,-0.0806,-0.0346,0.1835,3.3054,0.0515,1.6354
040.wav,-0.0128,-0.0055,0.8637,3.6871,0.4255,1.8408
041.wav,-0.0879,-0.0377,0.2006,3.3004,0.0564,1.6314
042.wav,-0.0355,-0.0152,1.3298,4.0218,0.6471,2.0033
043.wav,-0.0624,-0.0268,0.7981,3.6689,0.3678,1.8211
044.wav,-0.0432,-0.0185,-0.057,3.35,-0.0501,1.6657
045.wav,-0.0502,-0.0215,1.1866,3.9459,0.5682,1.9622
046.wav,-0.2131,-0.0913,0.1809,3.3023,-0.0161,1.6055
047.wav,-0.0378,-0.0162,-0.0341,3.1921,-0.036,1.5879
048.wav,-0.0524,-0.0224,0.2847,3.3721,0.1162,1.6748
049.wav,-0.0232,-0.01,0.1711,3.2526,0.074,1.6213
050.wav,-0.1566,-0.0671,0.3105,3.3676,0.0769,1.6502
051.wav,-0.0161,-0.0069,0.9357,3.7952,0.4598,1.8942
052.wav,-0.0536,-0.023,0.1932,3.3318,0.0698,1.6544
053.wav,-0.0321,-0.0137,0.8991,3.8117,0.4335,1.899
054.wav,-0.05,-0.0214,0.3336,3.3952,0.1418,1.6869
055.wav,-0.0068,-0.0029,0.186,3.2936,0.0896,1.6454
056.wav,-0.0032,-0.0014,1.8824,4.4191,0.9396,2.2089
057.wav,-0.0106,-0.0046,0.3788,3.4418,0.1841,1.7186
058.wav,-0.0136,-0.0058,0.4187,3.5305,0.2025,1.7623
059.wav,-0.0646,-0.0277,-0.0176,3.1816,-0.0411,1.577
060.wav,-0.1255,-0.0538,0.3823,3.5079,0.1284,1.7271
061.wav,-0.0002,-0.0001,1.5756,4.2111,0.7877,2.1055
062.wav,-0.019,-0.0082,0.2358,3.122,0.1084,1.5569
063.wav,-0.0543,-0.0233,0.2388,3.3423,0.0923,1.6595
064.wav,-0.0099,-0.0042,0.4777,3.3339,0.2339,1.6648
065.wav,-0.0071,-0.0031,1.2791,4.0221,0.636,2.0095
066.wav,-0.1001,-0.0429,0.244,3.3302,0.0719,1.6436
067.wav,-0.0173,-0.0074,0.2024,3.2438,0.0925,1.6182
068.wav,-0.0984,-0.0422,0.3743,3.412,0.1379,1.6849
069.wav,-0.0237,-0.0101,0.4717,3.5015,0.224,1.7457
070.wav,-0.0218,-0.0093,0.6681,3.601,0.3232,1.7958
071.wav,-0.0493,-0.0211,0.1166,3.3339,0.0336,1.6564
072.wav,-0.0079,-0.0034,0.5714,3.5624,0.2818,1.7795
073.wav,-0.0415,-0.0178,0.2002,3.3214,0.0793,1.6518
074.wav,-0.0098,-0.0042,0.3119,3.3914,0.1511,1.6936
075.wav,-0.04,-0.0171,0.7212,3.7087,0.3406,1.8458
076.wav,-0.0494,-0.0212,0.2287,3.3408,0.0897,1.6598
077.wav,-0.0087,-0.0037,0.2799,3.3539,0.1356,1.6751
078.wav,-0.0079,-0.0034,0.2692,3.3348,0.1306,1.6657
079.wav,-0.0107,-0.0046,0.8571,3.6252,0.4232,1.8103
080.wav,-0.0386,-0.0166,0.469,3.4788,0.2152,1.7311
081.wav,-0.0148,-0.0064,0.631,3.6346,0.3081,1.8141
082.wav,-0.0099,-0.0043,0.2404,3.3047,0.1152,1.6502
083.wav,-0.13,-0.0557,0.2081,3.3197,0.0391,1.632
084.wav,-0.0059,-0.0025,0.0192,3.3822,0.0067,1.6899
085.wav,-0.0578,-0.0248,0.3759,3.4183,0.1591,1.6968
086.wav,-0.0133,-0.0057,0.4517,3.4711,0.2192,1.7327
087.wav,-0.008,-0.0034,0.2157,3.245,0.1038,1.6208
088.wav,-0.007,-0.003,0.1842,3.2992,0.0886,1.6481
089.wav,-0.1132,-0.0485,0.2546,3.3747,0.0707,1.6631
090.wav,-0.0147,-0.0063,0.3917,3.4311,0.1885,1.7124
091.wav,-0.0334,-0.0143,0.6171,3.5538,0.2918,1.7697
092.wav,-0.0028,-0.0012,1.5551,4.2197,0.7761,2.1093
