filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0048,-0.0021,1.9124,4.4446,0.9538,2.2213
002.wav,-0.0335,-0.0144,0.249,3.4019,0.1077,1.6938
003.wav,-0.0546,-0.0234,-0.4614,3.1121,-0.258,1.5443
004.wav,-0.0478,-0.0205,-0.3257,3.3313,-0.1868,1.6554
005.wav,-0.0298,-0.0128,0.2003,3.3085,0.0853,1.6479
006.wav,-0.0771,-0.033,0.2515,3.2322,0.0872,1.5996
007.wav,-0.0552,-0.0236,0.2852,3.454,0.115,1.7152
008.wav,-0.0254,-0.0109,0.2697,3.2979,0.1221,1.6435
009.wav,-0.0373,-0.016,1.4605,4.1052,0.7116,2.0446
010.wav,-0.0099,-0.0043,1.1026,3.8863,0.5463,1.941
011.wav,-0.1082,-0.0464,0.4207,3.5089,0.1563,1.7312
012.wav,-0.0099,-0.0042,0.7843,3.6886,0.3872,1.8422
013.wav,-0.0186,-0.008,0.6087,3.5803,0.2951,1.7862
014.wav,-0.0396,-0.017,0.7812,3.6608,0.3708,1.8219
015.wav,-0.052,-0.0223,0.3085,3.5812,0.1282,1.7794
016.wav,-0.0877,-0.0376,0.3235,3.3905,0.1179,1.6765
017.wav,-0.0434,-0.0186,-0.1464,3.1987,-0.0949,1.5901
018.wav,-0.0156,-0.0067,1.4955,4.149,0.7399,2.0712
019.wav,-0.0305,-0.0131,0.0592,3.2523,0.0144,1.6196
020.wav,-0.141,-0.0604,0.2473,3.1096,0.0532,1.5246
021.wav,-0.0809,-0.0347,0.5417,3.5709,0.2304,1.7681
022.wav,-0.1236,-0.053,0.2205,3.543,0.0484,1.745
023.wav,-0.1611,-0.0691,0.202,3.283,0.0204,1.607
024.wav,-0.1058,-0.0453,1.4401,3.6931,0.6671,1.8239
025.wav,-0.031,-0.0133,0.4006,3.782,0.1848,1.8844
026.wav,-0.124,-0.0531,0.3256,3.3967,0.1008,1.6718
027.wav,-0.0395,-0.0169,1.1219,3.8994,0.5412,1.9412
028.wav,-0.0056,-0.0024,0.1958,3.3228,0.0951,1.6602
029.wav,-0.002,-0.0008,1.9024,4.4372,0.9502,2.2182
030.wav,-0.0874,-0.0375,0.5523,3.5675,0.2324,1.765
031.wav,-0.1752,-0.0751,0.1813,3.2634,0.003,1.5942
032.wav,-0.1296,-0.0556,0.1773,3.2991,0.0238,1.6218
033.wav,-0.056,-0.024,1.6969,4.2145,0.8205,2.0953
034.wav,-0.0188,-0.0081,0.2472,3.3278,0.1142,1.6599
035.wav,-0.1032,-0.0442,0.7813,3.6555,0.339,1.8056
036.wav,-0.1044,-0.0448,0.649,3.5763,0.2723,1.7658
037.wav,-0.061,-0.0261,0.6154,3.5728,0.2772,1.7733
038.wav,-0.0187,-0.008,0.325,3.3128,0.1532,1.6524
039.wav,-0.0899,-0.0385,0.3845,3.4314,0.1473,1.6964
040.wav,-0.3012,-0.1291,0.7611,3.6629,0.23,1.7669
041.wav,-0.003,-0.0013,1.9094,4.4428,0.9532,2.2208
042.wav,-0.041,-0.0176,0.2881,3.3971,0.1235,1.6897
043.wav,-0.0886,-0.038,0.3836,3.4462,0.1475,1.7041
044.wav,-0.0119,-0.0051,0.692,3.5904,0.3401,1.7926
045.wav,-0.1264,-0.0542,0.2303,3.3266,0.0519,1.6362
046.wav,-0.1586,-0.068,0.2726,3.3527,0.057,1.6424
047.wav,-0.0305,-0.0131,1.1267,3.9053,0.5481,1.9461
048.wav,-0.2823,-0.121,0.3408,3.4106,0.0293,1.6448
049.wav,-0.0866,-0.0371,0.6249,3.5857,0.2692,1.7743
050.wav,-0.2373,-0.1017,0.2344,3.3518,-0.0015,1.6251
