filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0416,-0.0178,1.9117,4.4435,0.9351,2.2128
002.wav,-0.0456,-0.0196,0.8643,3.74,0.4093,1.8602
003.wav,-0.124,-0.0531,0.3702,3.4648,0.1231,1.7059
004.wav,-0.1689,-0.0724,0.4553,3.5591,0.1432,1.7433
005.wav,-0.2735,-0.1172,1.1431,3.9113,0.4348,1.897
006.wav,-0.0055,-0.0024,0.3458,3.4227,0.1701,1.7102
007.wav,-0.037,-0.0159,0.1742,3.3372,0.0686,1.6607
008.wav,-0.0278,-0.0119,0.4008,3.451,0.1865,1.7196
009.wav,-0.043,-0.0184,0.5185,3.5106,0.2378,1.7461
010.wav,-0.1122,-0.0481,0.5105,3.6273,0.1991,1.7896
011.wav,-0.09,-0.0386,0.992,3.862,0.451,1.9117
012.wav,-0.0461,-0.0197,0.6148,3.4356,0.2844,1.7079
013.wav,-0.1036,-0.0444,0.6998,3.6325,0.2981,1.794
014.wav,-0.027,-0.0116,0.1651,3.3801,0.069,1.6842
015.wav,-0.1687,-0.0723,1.0978,3.9262,0.4646,1.9269
016.wav,-0.0359,-0.0154,-0.718,3.3241,-0.3769,1.6544
017.wav,-0.0469,-0.0201,1.3807,4.0814,0.6669,2.0307
018.wav,-0.0154,-0.0066,0.5756,3.4903,0.2801,1.7418
019.wav,-0.0151,-0.0065,1.0681,3.8672,0.5265,1.9304
020.wav,-0.0397,-0.017,0.3751,3.6585,0.1677,1.8208
021.wav,-0.0919,-0.0394,0.9092,3.7319,0.4087,1.8463
022.wav,-0.0414,-0.0177,1.1219,3.8855,0.5403,1.9339
023.wav,-0.0832,-0.0356,-0.1121,3.298,-0.0976,1.6312
024.wav,-0.0521,-0.0223,-0.0255,3.2993,-0.0388,1.6385
025.wav,-0.0303,-0.013,0.2431,3.3615,0.1064,1.6743
026.wav,-0.0499,-0.0214,0.7924,3.6512,0.3713,1.8149
027.wav,-0.09,-0.0386,0.3768,3.4059,0.1434,1.6837
028.wav,-0.0516,-0.0221,0.21,3.3262,0.0792,1.6521
029.wav,-0.3529,-0.1513,1.0527,3.859,0.3499,1.8539
030.wav,-0.0538,-0.023,1.3828,4.1094,0.6645,2.0432
031.wav,-0.0631,-0.027,0.6733,3.5512,0.3051,1.7621
032.wav,-0.0718,-0.0308,0.2498,3.4846,0.089,1.7269
033.wav,-0.0467,-0.02,0.0276,3.2576,-0.0095,1.6188
034.wav,-0.0631,-0.0271,0.8799,3.7989,0.4084,1.8859
035.wav,-0.0844,-0.0362,0.8489,3.7042,0.3823,1.834
036.wav,-0.0666,-0.0286,0.8304,3.7163,0.3819,1.8439
037.wav,-0.1151,-0.0493,0.7178,3.6428,0.3014,1.7968
038.wav,-0.0207,-0.0089,1.7536,4.3276,0.8665,2.1593
039.wav,-0.0712,-0.0305,1.1372,3.9288,0.533,1.9491
040.wav,-0.0253,-0.0108,-0.0543,3.1478,-0.0398,1.5685
041.wav,-0.0992,-0.0425,0.8291,3.6679,0.3649,1.8127
042.wav,-0.0331,-0.0142,0.2179,3.3478,0.0924,1.6668
043.wav,-0.2538,-0.1088,0.7616,3.61,0.2539,1.7506
