filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0114,-0.0049,1.9144,4.446,0.9515,2.2206
002.wav,-0.3784,-0.1622,0.499,3.5015,0.0603,1.6696
003.wav,-0.1061,-0.0455,0.4092,3.4343,0.1516,1.6944
004.wav,-0.0575,-0.0246,0.4119,3.4832,0.1772,1.7293
005.wav,-0.1739,-0.0745,0.2833,3.3921,0.0547,1.6588
006.wav,-0.0216,-0.0093,0.7155,3.6522,0.3469,1.8215
007.wav,-0.0545,-0.0234,0.8088,3.7521,0.3772,1.8644
008.wav,-0.036,-0.0154,0.2086,3.3239,0.0863,1.6542
009.wav,-0.1661,-0.0712,0.3518,3.404,0.0929,1.6664
010.wav,-0.1418,-0.0608,0.6537,3.5843,0.2559,1.7618
011.wav,-0.1999,-0.0857,0.3234,3.3999,0.0618,1.6571
012.wav,-0.0267,-0.0114,0.2345,3.3461,0.1039,1.6673
013.wav,-0.0431,-0.0185,0.332,3.4425,0.1445,1.712
014.wav,-0.0245,-0.0105,1.2965,4.011,0.636,2.0002
015.wav,-0.0271,-0.0116,1.0806,3.8896,0.5268,1.939
016.wav,-0.058,-0.0248,0.9396,3.7459,0.4408,1.8605
017.wav,-0.0327,-0.014,0.9112,3.7983,0.4392,1.8922
018.wav,-0.0577,-0.0247,0.732,3.6462,0.3371,1.8107
019.wav,-0.3976,-0.1704,0.369,3.4092,-0.0143,1.6194
020.wav,-0.0895,-0.0383,1.0708,3.8796,0.4907,1.9206
021.wav,-0.2889,-0.1238,0.2119,3.3168,-0.0385,1.5965
022.wav,-0.2238,-0.0959,-0.4463,3.2237,-0.3351,1.5639
023.wav,-0.0625,-0.0268,-0.5961,3.2434,-0.3293,1.6083
024.wav,-0.0477,-0.0204,1.875,4.4167,0.9137,2.1981
025.wav,-0.0311,-0.0133,0.2064,3.3061,0.0877,1.6464
026.wav,-0.1531,-0.0656,0.8686,3.8108,0.3577,1.8726
027.wav,-0.0356,-0.0153,0.6095,3.5526,0.2869,1.7687
028.wav,-0.2743,-0.1175,0.2239,3.344,-0.0252,1.6132
029.wav,-0.0897,-0.0384,0.7675,3.7568,0.3389,1.8592
030.wav,-0.0279,-0.012,0.6141,3.5998,0.2931,1.7939
031.wav,-0.0288,-0.0123,-0.114,3.1926,-0.0714,1.5901
032.wav,-0.197,-0.0844,0.3347,3.4475,0.0688,1.6815
033.wav,-0.2048,-0.0878,0.4251,2.9855,0.1102,1.4489
034.wav,-0.0163,-0.007,0.2944,3.3213,0.1391,1.6572
035.wav,-0.0591,-0.0253,0.1917,3.315,0.0663,1.6448
036.wav,-0.0157,-0.0067,0.2698,3.3544,0.127,1.6738
037.wav,-0.026,-0.0111,0.1305,3.3967,0.0523,1.6928
038.wav,-0.1067,-0.0457,0.0895,3.3628,-0.0086,1.6585
039.wav,-0.1936,-0.083,1.1491,3.9232,0.4777,1.9201
040.wav,-0.0627,-0.0269,1.0066,3.842,0.472,1.9076
041.wav,-0.1634,-0.07,1.0884,3.8954,0.4625,1.9127
042.wav,-0.0007,-0.0003,0.231,3.3454,0.1152,1.6726
043.wav,-0.0033,-0.0014,0.5992,3.589,0.2979,1.7938
044.wav,-0.0223,-0.0095,0.6986,3.5236,0.3382,1.757
045.wav,-0.1852,-0.0794,0.125,3.1378,-0.0301,1.5292
046.wav,-0.2033,-0.0871,0.3579,3.4159,0.0773,1.6644
047.wav,-0.2061,-0.0883,0.1088,3.2502,-0.0487,1.5809
048.wav,-0.0121,-0.0052,1.0175,3.8394,0.5027,1.9171
049.wav,-0.0935,-0.0401,0.9229,3.7036,0.4147,1.8318
050.wav,-0.1477,-0.0633,0.7712,3.6944,0.3118,1.8155
051.wav,-0.0395,-0.0169,1.2598,3.9906,0.6102,1.9869
052.wav,-0.0071,-0.0031,0.6934,3.6519,0.3431,1.8244
053.wav,-0.1204,-0.0516,0.6156,3.5802,0.2476,1.7643
054.wav,-0.0188,-0.0081,0.7596,3.6785,0.3704,1.8352
055.wav,-0.0592,-0.0254,1.022,3.8247,0.4814,1.8996
056.wav,-0.0356,-0.0153,0.4548,3.4745,0.2096,1.7296
057.wav,-0.1754,-0.0752,0.4714,3.6549,0.148,1.7899
058.wav,-0.0292,-0.0125,0.2755,3.3842,0.1232,1.6858
059.wav,-0.0171,-0.0073,0.2948,3.3778,0.1389,1.6852
