filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0963,-0.0413,1.8084,4.3604,0.8561,2.1596
002.wav,-0.0222,-0.0095,1.9114,4.444,0.9446,2.2172
003.wav,-0.0508,-0.0218,1.2017,3.9306,0.5754,1.9544
004.wav,-0.1117,-0.0479,0.1339,3.3427,0.0111,1.6474
005.wav,-0.0923,-0.0395,0.2284,3.3562,0.0681,1.6583
006.wav,-0.103,-0.0442,0.7502,3.6364,0.3236,1.7961
007.wav,-0.1032,-0.0442,1.5897,4.2213,0.7432,2.0885
008.wav,-0.2046,-0.0877,0.3225,3.3396,0.059,1.626
009.wav,-0.2124,-0.091,0.5648,3.5362,0.1762,1.7226
010.wav,-0.0727,-0.0311,0.404,3.4852,0.1657,1.727
011.wav,-0.0667,-0.0286,-0.1442,2.8311,-0.1055,1.4013
012.wav,-0.0553,-0.0237,0.1906,3.389,0.0676,1.6827
013.wav,-0.0535,-0.0229,0.0366,3.0616,-0.0085,1.5193
014.wav,-0.0271,-0.0116,0.2573,3.3559,0.1151,1.6721
015.wav,-0.2425,-0.1039,0.6238,3.6003,0.1906,1.7482
016.wav,-0.1024,-0.0439,1.1916,3.9679,0.5446,1.962
017.wav,-0.0961,-0.0412,0.3639,3.5072,0.1339,1.733
018.wav,-0.1882,-0.0806,1.4603,4.1086,0.6361,2.014
019.wav,-0.1092,-0.0468,0.7644,3.6724,0.3276,1.8128
020.wav,-0.3532,-0.1514,0.4779,3.4876,0.0624,1.6681
021.wav,-0.1296,-0.0555,0.7267,3.6346,0.2985,1.7895
022.wav,-0.147,-0.063,0.332,3.3424,0.0925,1.6397
023.wav,-0.0398,-0.0171,0.0015,3.3106,-0.0192,1.6468
024.wav,-0.2557,-0.1096,0.5479,3.5226,0.1461,1.7065
025.wav,-0.1753,-0.0751,0.5776,3.4696,0.2011,1.6972
026.wav,-0.1469,-0.063,0.3411,3.4736,0.0971,1.7053
027.wav,-0.0112,-0.0048,0.7006,3.603,0.3447,1.7991
028.wav,-0.0296,-0.0127,0.859,3.7189,0.4147,1.8531
029.wav,-0.3883,-0.1664,0.3156,3.3899,-0.0364,1.6117
030.wav,-0.0271,-0.0116,0.4231,3.4325,0.198,1.7104
031.wav,-0.168,-0.072,0.2926,3.373,0.0623,1.6505
032.wav,-0.2018,-0.0865,0.7034,3.716,0.2508,1.8148
033.wav,-0.0577,-0.0247,0.6565,3.5824,0.2994,1.7788
034.wav,-0.2352,-0.1008,0.7723,3.7297,0.2685,1.8145
035.wav,-0.0535,-0.0229,0.3827,3.429,0.1646,1.7031
036.wav,-0.1745,-0.0748,0.6695,3.626,0.2475,1.7756
037.wav,-0.2057,-0.0882,0.9566,3.7667,0.3755,1.8393
038.wav,-0.3052,-0.1308,0.972,3.8468,0.3334,1.858
039.wav,-0.1443,-0.0618,0.2249,3.3452,0.0403,1.6417
040.wav,-0.1863,-0.0799,-0.2554,3.1327,-0.2209,1.5264
041.wav,-0.0935,-0.0401,0.0273,3.3878,-0.0331,1.6739
042.wav,-0.1873,-0.0803,0.4256,3.4418,0.1191,1.6808
043.wav,-0.0722,-0.0309,0.3583,3.4345,0.143,1.7018
044.wav,-0.156,-0.0669,0.1386,3.3555,-0.0087,1.6443
045.wav,-0.1359,-0.0583,0.1954,3.3375,0.0297,1.6396
046.wav,-0.128,-0.0549,1.0612,3.8581,0.4666,1.9016
047.wav,-0.2593,-0.1111,0.3171,3.3921,0.0289,1.6405
048.wav,-0.1938,-0.0831,1.1763,3.9243,0.4912,1.9206
049.wav,-0.0145,-0.0062,1.908,4.4412,0.9468,2.2175
050.wav,-0.0307,-0.0132,0.8068,3.7515,0.388,1.8691
051.wav,-0.0078,-0.0034,0.1473,3.0669,0.0698,1.5318
052.wav,-0.0734,-0.0315,1.5205,4.0689,0.7235,2.0187
053.wav,-0.0783,-0.0336,0.3692,3.5085,0.1454,1.7374
054.wav,-0.1528,-0.0655,0.5917,3.5687,0.2195,1.7516
055.wav,-0.1907,-0.0817,0.6447,3.553,0.227,1.7356
056.wav,-0.0943,-0.0404,0.5437,3.661,0.2247,1.8103
057.wav,-0.0286,-0.0123,0.2683,3.3677,0.1198,1.6777
058.wav,-0.3015,-0.1292,0.1977,3.3157,-0.0519,1.5933
059.wav,-0.1097,-0.047,0.4949,3.5561,0.1926,1.7545
060.wav,-0.1689,-0.0724,0.0783,3.6031,-0.0453,1.7653
061.wav,-0.0966,-0.0414,1.1172,3.8718,0.5103,1.9152
062.wav,-0.0609,-0.0261,0.2843,3.3437,0.1117,1.6588
063.wav,-0.0452,-0.0194,-0.1049,3.3879,-0.075,1.6842
064.wav,-0.0703,-0.0301,0.2079,3.3236,0.0688,1.6468
065.wav,-0.2675,-0.1146,0.238,3.3599,-0.0148,1.6226
066.wav,-0.0582,-0.025,0.4227,3.4286,0.1822,1.7018
067.wav,-0.0523,-0.0224,0.0732,3.4425,0.0104,1.71
068.wav,-0.22,-0.0943,-0.0271,3.3282,-0.1235,1.6169
069.wav,-0.1931,-0.0828,0.1754,3.3354,-0.0088,1.6263
070.wav,-0.0904,-0.0388,0.2602,3.3454,0.0849,1.6533
071.wav,-0.0351,-0.015,0.9618,3.7234,0.4633,1.8542
072.wav,-0.2238,-0.0959,0.5665,3.556,0.1713,1.73
073.wav,-0.1668,-0.0715,0.188,3.3128,0.0106,1.6206
074.wav,-0.0798,-0.0342,0.8179,3.7383,0.3691,1.8521
075.wav,-0.1557,-0.0667,0.2519,3.3492,0.0481,1.6412
076.wav,-0.2205,-0.0945,0.4843,3.5423,0.1319,1.7239
077.wav,-0.21,-0.09,0.7939,3.7026,0.292,1.8063
078.wav,-0.187,-0.0801,0.6825,3.6229,0.2477,1.7714
079.wav,-0.2377,-0.1019,0.1068,3.2373,-0.0654,1.5677
080.wav,-0.2327,-0.0997,0.0201,3.3194,-0.1063,1.6098
081.wav,-0.177,-0.0759,0.3081,3.3715,0.0655,1.6478
082.wav,-0.3312,-0.1419,0.1576,3.3621,-0.0868,1.6101
