filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
001.wav,-0.0004,-0.0002,1.9154,4.4464,0.9575,2.2231
002.wav,-0.0162,-0.007,0.448,3.5291,0.2159,1.7611
003.wav,-0.0107,-0.0046,1.4786,4.124,0.734,2.0597
004.wav,-0.0033,-0.0014,0.6355,3.5729,0.3161,1.7857
005.wav,-0.0038,-0.0016,0.5391,3.537,0.2677,1.7677
006.wav,-0.0108,-0.0046,0.3979,3.4398,0.1935,1.7176
007.wav,-0.0046,-0.002,0.3744,3.4269,0.1849,1.7124
008.wav,-0.0023,-0.001,0.5559,3.4245,0.2768,1.7118
009.wav,-0.0016,-0.0007,0.0928,3.236,0.0456,1.6177
010.wav,-0.0015,-0.0007,1.486,4.1053,0.7422,2.0523
011.wav,-0.0141,-0.006,0.4197,3.4743,0.2028,1.7341
012.wav,-0.0137,-0.0059,1.606,4.1695,0.7962,2.0818
013.wav,-0.0163,-0.007,0.5063,3.4739,0.245,1.7335
014.wav,-0.0017,-0.0007,0.2715,3.3028,0.1349,1.651
015.wav,-0.0056,-0.0024,0.1117,3.0537,0.053,1.5256
016.wav,-0.002,-0.0008,0.4424,3.4085,0.2202,1.7038
017.wav,-0.0038,-0.0016,0.6016,3.5581,0.2989,1.7782
018.wav,-0.0097,-0.0042,1.531,4.1819,0.7607,2.0889
019.wav,-0.0039,-0.0017,0.8243,3.7145,0.4102,1.8564
020.wav,-0.0024,-0.001,0.8247,3.6845,0.4111,1.8417
021.wav,-0.0459,-0.0197,0.6164,3.617,0.2853,1.7987
022.wav,-0.0064,-0.0028,0.4523,3.4803,0.2229,1.7388
023.wav,-0.0108,-0.0046,0.1664,3.2898,0.0778,1.6426
024.wav,-0.0018,-0.0008,0.2806,3.2267,0.1394,1.613
025.wav,-0.001,-0.0004,0.2264,3.3188,0.1127,1.6592
026.wav,-0.0095,-0.0041,0.3427,3.4011,0.1666,1.6985
027.wav,-0.0161,-0.0069,0.991,3.8065,0.4875,1.8998
028.wav,-0.0045,-0.0019,0.235,3.386,0.1152,1.692
029.wav,-0.0402,-0.0172,0.175,3.2962,0.0674,1.6395
030.wav,-0.0048,-0.0021,0.2992,3.3375,0.1472,1.6677
031.wav,-0.0109,-0.0047,0.3763,3.4379,0.1827,1.7166
032.wav,-0.0062,-0.0027,0.0721,3.3324,0.0329,1.6649
033.wav,-0.0086,-0.0037,0.4033,3.4504,0.1973,1.7234
034.wav,-0.0022,-0.001,0.2863,3.292,0.142,1.6455
035.wav,-0.0033,-0.0014,0.3455,3.3258,0.1711,1.6622
036.wav,-0.0099,-0.0042,0.2694,3.351,0.1298,1.6734
037.wav,-0.0062,-0.0027,0.2594,3.3511,0.1266,1.6742
038.wav,-0.008,-0.0034,0.2762,3.3191,0.1341,1.6578
039.wav,-0.0133,-0.0057,0.3823,3.4403,0.1845,1.7173
040.wav,-0.0076,-0.0033,0.4867,3.4785,0.2396,1.7376
041.wav,-0.0063,-0.0027,0.2478,3.3527,0.1208,1.675
042.wav,-0.001,-0.0004,0.2932,3.3404,0.1461,1.67
043.wav,-0.0027,-0.0012,0.2676,3.3734,0.1324,1.6861
044.wav,-0.004,-0.0017,0.2364,3.4263,0.1162,1.7123
045.wav,-0.0161,-0.0069,0.2198,3.3444,0.1018,1.6688
046.wav,-0.0064,-0.0027,0.7809,3.6908,0.3873,1.844
047.wav,-0.0025,-0.0011,0.5922,3.5363,0.2949,1.7676
048.wav,-0.004,-0.0017,0.4358,3.5065,0.2159,1.7524
049.wav,-0.0082,-0.0035,0.1952,3.3022,0.0935,1.6493
050.wav,-0.012,-0.0051,1.0306,3.7077,0.5093,1.8513
051.wav,-0.0177,-0.0076,0.2404,3.3423,0.1113,1.6674
052.wav,-0.0078,-0.0034,0.4319,3.4616,0.212,1.7291
053.wav,-0.0026,-0.0011,1.904,4.4367,0.9507,2.2178
054.wav,-0.0791,-0.0339,0.7693,3.6666,0.3451,1.8164
055.wav,-0.0056,-0.0024,0.9579,3.7759,0.4761,1.8867
056.wav,-0.0077,-0.0033,0.6771,3.6222,0.3347,1.8095
057.wav,-0.0071,-0.0031,0.5406,3.6101,0.2667,1.8035
058.wav,-0.0205,-0.0088,1.7736,4.3258,0.8766,2.1585
059.wav,-0.0076,-0.0033,0.2039,3.3649,0.0981,1.6808
060.wav,-0.0086,-0.0037,0.232,3.3398,0.1117,1.6681
061.wav,-0.0026,-0.0011,1.1819,3.5413,0.5897,1.7701
062.wav,-0.0016,-0.0007,0.3666,3.3777,0.1825,1.6885
063.wav,-0.0206,-0.0088,0.3016,3.2903,0.1405,1.6407
064.wav,-0.0023,-0.001,0.3543,3.4246,0.176,1.7118
065.wav,-0.007,-0.003,0.3246,3.3976,0.1588,1.6973
066.wav,-0.0161,-0.0069,-0.3298,3.0609,-0.1729,1.527
067.wav,-0.0026,-0.0011,1.121,3.8934,0.5592,1.9461
068.wav,-0.0087,-0.0037,1.0267,3.8277,0.509,1.912
