filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0505,-0.0217,1.9151,4.446,0.710168425689673,0.9535651408450704,0.4340421604499517,0.9071302816901408,0.986294690929394,1.0,"Excited (Positive, High arousal)"
002.wav,-0.0281,-0.012,1.823,4.3794,0.7951520717006574,0.9519179102372836,0.6095223429723879,0.9498239436619718,0.9807818004289268,0.9540118768125954,"Excited (Positive, High arousal)"
003.wav,-0.1258,-0.0539,1.0432,3.8919,0.1823654151097136,0.6913960154032885,-0.3390284159526176,0.7654049295774648,0.703759246172045,0.6173871012291122,Neutral
004.wav,-0.0419,-0.018,0.0517,3.2619,-0.118794083849648,0.5528899036394864,0.5066958046124157,0.9234154929577464,-0.7442839723117117,0.1823643143212263,Neutral
005.wav,-0.0989,-0.0424,0.9342,3.822,0.263103940746875,0.6925707070068527,-0.0607487481893741,0.8160211267605634,0.5869566296831242,0.569120287253142,Neutral
006.wav,-0.0521,-0.0223,1.6955,4.2912,0.6946015870656292,0.8987990616326047,0.4198321440371448,0.9044894366197184,0.9693710300941136,0.893108686645491,"Excited (Positive, High arousal)"
007.wav,-0.0636,-0.0273,1.2265,3.9721,0.5748426231228746,0.7776242934405218,0.3118401952071732,0.8824823943661971,0.8378450510385759,0.6727661925148463,"Excited (Positive, High arousal)"
008.wav,-0.0075,-0.0032,0.5252,3.4654,0.3239255363272727,0.6557199588221221,0.7314808835106015,0.9885563380281688,-0.083629810856056,0.3228835796160751,Neutral
009.wav,-0.2573,-0.1103,0.3294,3.3928,-0.6817778348558902,0.3949589376126945,-0.9448309206779344,0.5171654929577465,-0.4187247490338459,0.2727523822676426,Negative (Low/Med arousal)
010.wav,-0.0465,-0.0199,1.0804,3.9247,0.6027382340204742,0.7775443617720688,0.4686288520792116,0.9150528169014084,0.7368476159617368,0.6400359066427291,"Excited (Positive, High arousal)"
011.wav,-0.1215,-0.0521,1.8649,4.4087,0.3432304744139022,0.8737856768771723,-0.297058666755649,0.7733274647887324,0.9835196155834536,0.9742438889656124,Neutral
012.wav,-0.1619,-0.0694,0.9568,3.7622,-0.009256633240267,0.6125053733532253,-0.6322103547466059,0.6971830985915491,0.6136970882660718,0.5278276481149015,Neutral
013.wav,-0.1601,-0.0686,0.5663,3.4794,-0.3140502142046905,0.5166274890052927,-0.6203286749010125,0.7007042253521126,-0.0077717535083684,0.3325507526584728,Neutral
014.wav,-0.1204,-0.0516,0.5696,3.5502,-0.1438962948781771,0.5784835983863407,-0.286127182013414,0.7755281690140844,-0.0016654077429402,0.3814390277585969,Neutral
015.wav,-0.0533,-0.0228,1.8212,4.3844,0.694845968074178,0.9298765855039088,0.4090373452880045,0.9022887323943662,0.9806545908603514,0.9574644386134517,"Excited (Positive, High arousal)"
