filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0014,-0.0006,1.9153,4.4462,0.9015292733298814,0.9979508196721312,0.8030779612004626,0.9959016393442623,0.9999805854593002,1.0,"Excited (Positive, High arousal)"
002.wav,-0.072,-0.0309,0.9182,3.7615,0.0112130564383449,0.6814702617055585,-0.9426587252547192,0.7889344262295083,0.965084838131409,0.5740060971816087,Neutral
003.wav,-0.0128,-0.0055,0.3286,3.3609,0.1823094149920935,0.6435999694358967,0.5676283252435002,0.962431693989071,-0.2030094952593129,0.3247682448827224,Neutral
004.wav,-0.0136,-0.0058,0.3388,3.3941,0.1896460509081229,0.6529032583237884,0.5451899969865771,0.9603825136612022,-0.1658978951703313,0.3454240029863745,Neutral
005.wav,-0.0218,-0.0094,0.1251,3.3027,-0.2392137504706945,0.6121754008946205,0.2713578446673067,0.935792349726776,-0.7497853456086958,0.288558452062465,Neutral
006.wav,-0.0522,-0.0224,0.0655,3.2196,-0.7878073495068865,0.5419256880917969,-0.7428832838145781,0.8469945355191256,-0.8327314151991947,0.2368568406644681,Negative (Low/Med arousal)
007.wav,-0.0266,-0.0114,0.2944,3.3716,-0.119818249477669,0.6267782596412066,0.0831034397851085,0.9221311475409836,-0.3227399387404466,0.3314253717414295,Neutral
008.wav,-0.0157,-0.0067,0.2202,3.3148,-0.0323153094981064,0.6251607887714488,0.482458764930714,0.9542349726775956,-0.547089383926927,0.2960866048653019,Neutral
009.wav,-0.0093,-0.004,0.8604,3.7482,0.8014042488073883,0.7692044731703951,0.6562672881797008,0.9726775956284152,0.9465412094350756,0.5657313507123748,"Excited (Positive, High arousal)"
010.wav,-0.0363,-0.0156,1.0656,3.8972,0.3435835263816712,0.7759380102870816,-0.3011961708576932,0.8934426229508197,0.9883632236210356,0.6584333976233435,Neutral
011.wav,-0.0119,-0.0051,0.4976,3.5398,0.4989291230829158,0.7006184258704905,0.5918999360228745,0.9651639344262296,0.4059583101429572,0.4360729173147514,Positive (Low/Mid arousal)
012.wav,-0.1023,-0.0438,0.2805,3.364,-0.6819037927283227,0.5137583086593644,-0.9949806525245936,0.7008196721311475,-0.3688269329320519,0.3266969451875814,Negative (Low/Med arousal)
013.wav,-0.0089,-0.0038,0.83,3.723,0.7993313005578184,0.7620482997825154,0.6654217671554759,0.9740437158469946,0.9332408339601608,0.5500528837180363,"Excited (Positive, High arousal)"
014.wav,-0.044,-0.0189,0.2999,3.3872,-0.4288782317443375,0.6060163643744269,-0.5536994781465753,0.8709016393442623,-0.3040569853420997,0.3411310894045914,Negative (Low/Med arousal)
015.wav,-0.066,-0.0283,0.4807,3.4301,-0.2784136818424918,0.5872579010246624,-0.9082792372159124,0.8066939890710383,0.3514518735309288,0.3678218129782864,Neutral
016.wav,-0.0521,-0.0223,0.9123,3.6738,0.1112348920394226,0.683560069512086,-0.741056963169217,0.8476775956284153,0.9635267472480624,0.5194425433957567,Neutral
017.wav,-0.0573,-0.0246,0.3494,3.4157,-0.474600787054368,0.5954149510481379,-0.8223735095838433,0.8319672131147541,-0.1268280645248928,0.3588626889815218,Negative (Low/Med arousal)
018.wav,-0.0214,-0.0092,0.6606,3.6516,0.5330598912326904,0.7213945152563832,0.2863464343646972,0.9371584699453552,0.7797733481006834,0.5056305605674112,Positive (Low/Mid arousal)
019.wav,-0.0039,-0.0017,0.6574,3.6096,0.769478565804069,0.7339438801927951,0.763953214831088,0.9883879781420764,0.77500391677705,0.4794997822435138,Positive (Low/Mid arousal)
020.wav,-0.1172,-0.0502,0.3653,3.4155,-0.5330087875720725,0.5079210409202005,-0.9985018506137022,0.657103825136612,-0.0675157245304426,0.3587382567037889,Negative (Low/Med arousal)
021.wav,-0.0319,-0.0137,0.1173,3.2747,-0.4468303275052792,0.5887793491035946,-0.1312916346559513,0.9064207650273224,-0.762369020354607,0.2711379331798668,Negative (Low/Med arousal)
022.wav,-0.0134,-0.0057,0.1291,3.2666,-0.0961188130412197,0.6135819998510892,0.5508756510090986,0.9610655737704916,-0.7431132770915382,0.2660984259316865,Neutral
023.wav,-0.0214,-0.0092,0.3799,3.4478,0.1368637390923729,0.6579962697514992,0.2863464343646972,0.9371584699453552,-0.0126189561799513,0.3788340695576431,Neutral
024.wav,-0.0349,-0.0149,0.3488,3.3592,-0.1888396279256526,0.6109673071189201,-0.2486279575281712,0.898224043715847,-0.1290512983231341,0.3237105705219932,Neutral
025.wav,-0.0067,-0.0029,-0.0921,2.9953,-0.1167570188630744,0.5387486490088425,0.7123170274310295,0.9801912568306012,-0.9458310651571784,0.0973060411870837,Neutral
026.wav,-0.0221,-0.0095,0.9588,3.8133,0.6170980263749096,0.7706716733659509,0.2600289221670541,0.9351092896174864,0.974167130582765,0.6062340571144154,"Excited (Positive, High arousal)"
027.wav,-0.1002,-0.0429,0.1445,3.1963,-0.8550235629049462,0.464663846711673,-0.99404942807883,0.7069672131147542,-0.7159976977310624,0.2223604803085918,Negative (Low/Med arousal)
028.wav,-0.0468,-0.0201,0.2071,3.324,-0.6041731172359863,0.5822577038368997,-0.627614354473447,0.8627049180327868,-0.5807318799985257,0.3018104896410126,Negative (Low/Med arousal)
029.wav,-0.0472,-0.0202,0.2105,3.3411,-0.6047725509291362,0.587235653655334,-0.6373648553743587,0.8620218579234973,-0.5721802464839135,0.3124494493871709,Negative (Low/Med arousal)
030.wav,-0.0309,-0.0132,0.8568,3.8042,0.4269718325366709,0.7552042270256707,-0.0911680882848579,0.9098360655737706,0.9451117533581996,0.6005723884775709,"Excited (Positive, High arousal)"
031.wav,-0.0379,-0.0162,-0.129,3.1466,-0.6589006283007394,0.5403916607935311,-0.3590943175379295,0.889344262295082,-0.9587069390635492,0.1914390592919801,Negative (Low/Med arousal)
032.wav,-0.0711,-0.0305,0.2253,3.4221,-0.7359640295757428,0.5772555942678197,-0.9384416736500324,0.7916666666666666,-0.5334863855014533,0.3628445218689726,Negative (Low/Med arousal)
033.wav,-0.0147,-0.0063,0.3819,3.4417,0.2539658212765867,0.6660030491007727,0.5130171196576679,0.956967213114754,-0.0050854771044945,0.3750388850867914,Neutral
034.wav,-0.0157,-0.0067,0.6936,3.6371,0.6532218656850625,0.7254220965546878,0.482458764930714,0.9542349726775956,0.8239849664394109,0.49660922043178,Positive (Low/Mid arousal)
