filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0084,-0.0036,1.9134,4.4453,0.8633442398157722,0.99421519475511,0.7267609174876525,0.9884303895102198,0.999927562143892,1.0,"Excited (Positive, High arousal)"
002.wav,-0.6065,-0.2599,0.1373,3.2366,-0.8307367512511578,0.0995560561887092,-0.9974363748857112,0.0,-0.6640371276166044,0.1991121123774185,Negative (Low/Med arousal)
003.wav,-0.2964,-0.127,0.2167,3.3332,-0.649517050194468,0.3878266391124794,-0.8093351969847659,0.5125337446972619,-0.4896989034041701,0.2631195335276969,Negative (Low/Med arousal)
004.wav,-0.2257,-0.0967,0.1866,3.2376,-0.5575114922372445,0.4145807628624396,-0.5529404637965427,0.6293868106440417,-0.5620825206779463,0.1997747150808375,Negative (Low/Med arousal)
005.wav,-0.1127,-0.0483,1.0698,3.8763,0.5794314204480628,0.7195111274835336,0.1785916481166152,0.8160431932124951,0.9802711927795106,0.6229790617545722,Positive (Low/Mid arousal)
006.wav,-0.171,-0.0733,0.2799,3.3857,-0.271958945099189,0.5087679739607615,-0.2296623056373533,0.719629772464327,-0.3142555845610248,0.2979061754571958,Neutral
007.wav,-0.309,-0.1324,0.8064,3.6074,0.0265469618842107,0.4682568203104262,-0.8380695046699154,0.4917084458156576,0.8911634284383368,0.444805194805195,Neutral
008.wav,-0.4097,-0.1756,0.3021,3.3737,-0.6024763596114178,0.3075304988894952,-0.9587629423351496,0.325106054762823,-0.2461897768876859,0.2899549430161675,Negative (Low/Med arousal)
009.wav,-0.4608,-0.1975,0.4836,3.5231,-0.3204512172428979,0.3147978425471991,-0.9798406962013068,0.2406478981874277,0.338938261715511,0.3889477869069705,Neutral
010.wav,-0.3133,-0.1343,0.2201,3.3022,-0.6639912753010424,0.3634799377802518,-0.8469360318566532,0.4843810258387968,-0.4810465187454317,0.2425788497217068,Negative (Low/Med arousal)
011.wav,-0.4272,-0.1831,0.2847,3.3752,-0.6337401003073837,0.2935654378048343,-0.967697970602627,0.2961820285383725,-0.2997822300121404,0.290948847071296,Negative (Low/Med arousal)
012.wav,-0.3534,-0.1515,0.4532,3.4799,-0.3319798560138532,0.3891859712416629,-0.910462202797242,0.4180485923640571,0.2465024907695356,0.3603233501192686,Neutral
013.wav,-0.1635,-0.0701,0.254,3.3458,-0.2841626608474608,0.5017195089554346,-0.1785916481166152,0.7319706903200925,-0.3897336735783064,0.2714683275907766,Neutral
014.wav,-0.1995,-0.0855,-0.2125,3.3009,-0.686042837414581,0.4571487446732415,-0.4106504751048333,0.6725800231392209,-0.9614351997243288,0.2417174662072621,Negative (Low/Med arousal)
015.wav,-0.1284,-0.055,0.5526,3.5219,0.2966946105558574,0.589178530057427,0.0688326085659732,0.7902043964519861,0.5245566125457415,0.3881526636628678,Neutral
016.wav,-0.2392,-0.1025,0.2907,3.3754,-0.44875482502956,0.4490501323212232,-0.6160143952967744,0.6070188970304667,-0.2814952547623456,0.2910813676119798,Negative (Low/Med arousal)
017.wav,-0.0301,-0.0129,0.432,3.398,0.4123414522345856,0.6293103928505757,0.6455302627981466,0.9525645969919012,0.1791526416710246,0.30605618870925,Positive (Low/Mid arousal)
018.wav,-0.1747,-0.0749,0.514,3.5189,0.085422759297577,0.5498120845445275,-0.2544173663791735,0.7134593135364443,0.4252628849743275,0.3861648555526106,Neutral
019.wav,-0.274,-0.1174,0.8627,3.7535,0.0884993921031322,0.5455839740196368,-0.7468941686501515,0.5495564982645584,0.923892952856416,0.5416114497747151,Neutral
020.wav,-0.5606,-0.2402,0.3779,3.4375,-0.4970421173531993,0.2041013855219291,-0.9950829867328654,0.0759737755495565,0.0009987520264666,0.3322289954943016,Negative (Low/Med arousal)
021.wav,-0.4108,-0.176,0.4123,3.4587,-0.4221892713272151,0.3349198064188187,-0.9593897294082704,0.3235634400308523,0.11501118675384,0.346276172806785,Negative (Low/Med arousal)
022.wav,-0.3436,-0.1473,0.43,3.4239,-0.3625311783576497,0.3787318228887761,-0.8977627522153401,0.4342460470497494,0.1727003955000406,0.3232175987278029,Negative (Low/Med arousal)
