filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.2572,-0.1102,1.914,4.4454,0.0524563413664769,0.7780921584478577,-0.8950038243883451,0.5561843168957155,0.999916507121299,1.0,Neutral
002.wav,-0.0198,-0.0085,1.7063,4.2233,0.8169462247746867,0.9266371910154548,0.6342282460520244,0.9672594987873888,0.999664203497349,0.8860148832435206,"Excited (Positive, High arousal)"
003.wav,-0.1643,-0.0704,0.8892,3.6705,0.1973674656979368,0.6596834328751113,-0.5281521625199813,0.7170573969280518,0.922887093915855,0.6023094688221708,Neutral
004.wav,-0.1128,-0.0483,0.1549,3.395,-0.4015973800316029,0.6336525370654913,-0.1109547708409109,0.8063864187550526,-0.6922399892222948,0.4609186553759301,Negative (Low/Med arousal)
005.wav,-0.1742,-0.0747,0.1952,3.267,-0.6030611074697134,0.5474518673962869,-0.5909429221308917,0.6996766370250606,-0.6151792928085352,0.3952270977675133,Negative (Low/Med arousal)
006.wav,-0.2798,-0.1199,0.34,3.3956,-0.5787820490696832,0.4891015703682682,-0.929606357512876,0.5169765561843169,-0.2279577406264904,0.4612265845522195,Negative (Low/Med arousal)
007.wav,-0.2054,-0.088,0.2294,3.3399,-0.6432761673095992,0.5392790175640363,-0.7476419139411936,0.6459175424413905,-0.5389104206780048,0.432640492686682,Negative (Low/Med arousal)
008.wav,-0.2679,-0.1148,0.1391,3.447,-0.8159229568872036,0.5125983982455256,-0.9130328898851868,0.5375909458367018,-0.7188130238892203,0.4876058506543494,Negative (Low/Med arousal)
009.wav,-0.2073,-0.0888,0.4624,3.4805,-0.2895296050750082,0.573741237844587,-0.7552884191734685,0.6426839126919968,0.176229209023452,0.5047985629971773,Neutral
010.wav,-0.2728,-0.1169,0.2985,3.3895,-0.6376042423582895,0.4935993195022433,-0.920266183225959,0.5291026677445433,-0.3549423014906199,0.4580959712599434,Negative (Low/Med arousal)
011.wav,-0.2148,-0.0921,0.4013,3.4623,-0.4050903651372741,0.5624016173127391,-0.7835491674240762,0.6293451899757478,-0.0266315628504719,0.4954580446497304,Negative (Low/Med arousal)
012.wav,-0.2424,-0.1039,0.3093,3.3942,-0.5935563421263379,0.5210786171565341,-0.8641960181527927,0.5816491511721907,-0.322916666099883,0.4605080831408775,Negative (Low/Med arousal)
013.wav,-0.2911,-0.1247,0.4555,3.5367,-0.3943794723968878,0.5156080200987887,-0.9424988988420834,0.4975747776879547,0.1537399540483076,0.5336412625096227,Negative (Low/Med arousal)
014.wav,-0.2957,-0.1267,0.2618,3.3644,-0.7022470831591684,0.4673524853498192,-0.9470637296936052,0.4894907033144705,-0.4574304366247315,0.4452142673851679,Negative (Low/Med arousal)
015.wav,-0.0771,-0.033,1.0361,3.8459,0.5928600018564784,0.7802785095348306,0.215246517401165,0.8682295877122069,0.9704734863117916,0.6923274313574543,"Excited (Positive, High arousal)"
016.wav,-0.2575,-0.1104,0.4823,3.4929,-0.3277806368377446,0.5332691710494298,-0.8955543500964397,0.555375909458367,0.2399930764209505,0.5111624326404927,Neutral
017.wav,-0.1937,-0.083,0.4103,3.4643,-0.346217532228987,0.5813061018062315,-0.6959532580765458,0.6661277283751011,0.0035181936185718,0.496484475237362,Neutral
018.wav,-0.245,-0.105,0.2004,3.3499,-0.7371951985082805,0.5074877779458069,-0.8701569788928095,0.5772029102667744,-0.6042334181237516,0.4377726456248395,Negative (Low/Med arousal)
019.wav,-0.4486,-0.1923,-0.2075,3.3917,-0.9826132250811696,0.3417790543852629,-0.9967879798334146,0.2243330638641875,-0.9684384703289248,0.4592250449063382,Negative (Low/Med arousal)
020.wav,-0.2154,-0.0923,0.3501,3.4095,-0.4906595142932196,0.548448529837329,-0.785681515876668,0.6285367825383994,-0.1956375127097712,0.4683602771362585,Negative (Low/Med arousal)
021.wav,-0.0792,-0.0339,0.5331,3.0776,0.2946740449697704,0.5813079376814742,0.1966542781065261,0.864591754244139,0.3926938118330147,0.2980241211188092,Neutral
022.wav,-0.3188,-0.1366,0.1016,3.4184,-0.8696944546562334,0.4612012142084712,-0.9651459024539072,0.4494745351657235,-0.7742430068585597,0.4729278932512188,Negative (Low/Med arousal)
023.wav,-0.2604,-0.1116,0.3797,3.4591,-0.4997136672364929,0.5221706102718982,-0.9007371966113302,0.5505254648342764,-0.0986901378616556,0.4938157557095199,Negative (Low/Med arousal)
024.wav,-0.3231,-0.1385,0.3954,3.4292,-0.507070312280351,0.4601326414676712,-0.967767069102665,0.4417946645109135,-0.0463735554580371,0.4784706184244288,Negative (Low/Med arousal)
025.wav,-0.3028,-0.1298,-0.293,3.5301,-0.9677529613804724,0.5036072148030044,-0.9534252560087656,0.4769603880355699,-0.9820806667521796,0.5302540415704388,Negative (Low/Med arousal)
026.wav,-0.1714,-0.0735,-0.4442,3.2602,-0.7836471632325333,0.5481321577093587,-0.5738370894997967,0.7045270816491512,-0.9934572369652696,0.3917372337695664,Negative (Low/Med arousal)
027.wav,-0.3035,-0.1301,0.2906,3.3879,-0.6659338093660584,0.4665113018346928,-0.954010474882158,0.4757477768795473,-0.3778571438499588,0.4572748267898383,Negative (Low/Med arousal)
028.wav,-0.1774,-0.076,0.3292,3.5169,-0.4359152929184872,0.6089507941871835,-0.6098614348824454,0.694421988682296,-0.2619691509545289,0.5234795996920708,Negative (Low/Med arousal)
029.wav,-0.3341,-0.1432,0.3132,3.4023,-0.6423921232517078,0.4437311083770053,-0.9736215108886108,0.4227970897332255,-0.3111627356148049,0.464665127020785,Negative (Low/Med arousal)
030.wav,-0.0607,-0.026,0.1893,3.4711,-0.1365319289079497,0.6982490936273554,0.3542537309392907,0.8965238480194019,-0.6273175887551903,0.499974339235309,Neutral
031.wav,-0.2036,-0.0872,0.043,3.2353,-0.7909854526226574,0.5140546725721691,-0.740210182367759,0.6491511721907842,-0.8417607228775559,0.3789581729535539,Negative (Low/Med arousal)
032.wav,-0.1837,-0.0787,1.2878,4.0058,0.1746574493950289,0.7289495225583429,-0.6451524766790523,0.6835084882780921,0.9944673754691102,0.7743905568385936,Neutral
033.wav,-0.3379,-0.1448,0.3709,3.4355,-0.5515926036465159,0.4490168525049532,-0.9753894510489992,0.4163298302344381,-0.1277957562440325,0.4817038747754683,Negative (Low/Med arousal)
034.wav,-0.0751,-0.0322,0.7225,3.6306,0.5072300202152364,0.7266476980302614,0.23280972534117,0.8714632174616006,0.7816503150893028,0.5818321785989221,Positive (Low/Mid arousal)
035.wav,-0.1972,-0.0845,0.2169,3.3299,-0.640112109217641,0.5437865061717562,-0.7122669507811279,0.6600646725949879,-0.5679572676541541,0.4275083397485243,Negative (Low/Med arousal)
036.wav,-0.5782,-0.2478,1.1941,3.9544,-0.0050243368401462,0.3740056453682319,-0.9997071763395482,0.0,0.9896585026592556,0.7480112907364639,Neutral
037.wav,-0.3525,-0.1511,0.4082,3.4527,-0.4923378963503572,0.440698086893531,-0.9811575990821424,0.3908649959579627,-0.0035181936185718,0.4905311778290993,Negative (Low/Med arousal)
038.wav,-0.2349,-0.1007,0.6184,3.5768,-0.1203409096567159,0.5744024329807,-0.8455530547691674,0.5945836701697657,0.6048712354557356,0.5542211957916345,Neutral
039.wav,-0.1654,-0.0709,0.4903,3.4968,-0.1351795571085232,0.6141001753105273,-0.5354462415059517,0.7150363783346807,0.2650871272889051,0.513163972286374,Neutral
040.wav,-0.4008,-0.1718,0.5252,3.5323,-0.3110839422387684,0.4192889707046172,-0.9922434883350018,0.3071948261924009,0.3700756038574648,0.5313831152168335,Neutral
041.wav,-0.4111,-0.1762,0.2443,3.4227,-0.7480603753593946,0.382272290792681,-0.9935843564125584,0.2894098625707356,-0.502536394306231,0.4751347190146264,Negative (Low/Med arousal)
042.wav,-0.3409,-0.1461,0.0332,3.4035,-0.9138860078923308,0.4381780836325187,-0.9767020855065148,0.4110751818916733,-0.8510699302781466,0.4652809853733641,Negative (Low/Med arousal)
043.wav,-0.4055,-0.1738,0.2108,3.349,-0.7872646569817692,0.368210751839661,-0.9928868596431932,0.2991107518189166,-0.5816424543203451,0.4373107518604054,Negative (Low/Med arousal)
044.wav,-0.0558,-0.0239,0.9196,3.6642,0.6649353669379711,0.752044169291346,0.3932211433114777,0.9050121261115602,0.9366495905644644,0.5990762124711316,Positive (Low/Mid arousal)
045.wav,-0.0691,-0.0296,-0.0792,3.2336,-0.3212219203058242,0.6300291105505987,0.2845571164706379,0.8819725141471303,-0.9270009570822864,0.3780857069540672,Neutral
046.wav,-0.1515,-0.0649,0.5011,3.5737,-0.0695902041550897,0.6459594149179695,-0.4375778187534873,0.7392886014551334,0.2983974104433079,0.5526302283808057,Neutral
047.wav,-0.376,-0.1611,0.6106,3.5678,-0.1998610980472503,0.4500234411189172,-0.9877579480526928,0.3504446240905416,0.5880357519581921,0.5496022581472927,Neutral
048.wav,-0.363,-0.1556,0.26,3.3519,-0.7233217520017574,0.4057374524150472,-0.9844570192898796,0.3726758286176233,-0.4621864847136351,0.4387990762124711,Negative (Low/Med arousal)
049.wav,-0.0092,-0.0039,1.9125,4.4449,0.84456695288801,0.9927981310997472,0.6892182421238711,0.9858528698464026,0.9999156636521488,0.9997433923530918,"Excited (Positive, High arousal)"
050.wav,-0.0059,-0.0025,0.6003,3.5465,0.6349503369994837,0.7650912471484292,0.7049014835816024,0.9915117219078416,0.5649991904173649,0.5386707723890171,"Excited (Positive, High arousal)"
051.wav,-0.0396,-0.017,0.211,3.3299,-0.0346170706707468,0.6802052612243027,0.5119647172130769,0.932902182700081,-0.5811988585545707,0.4275083397485243,Neutral
052.wav,-0.1139,-0.0488,0.2817,3.3455,-0.2620582971138274,0.6199399492468658,-0.1209884187887466,0.8043654001616815,-0.4031281754389081,0.4355144983320501,Neutral
053.wav,-0.306,-0.1311,0.1665,3.2765,-0.8137455155079567,0.4359041913757841,-0.9560424947823666,0.4717057396928052,-0.6714485362335469,0.400102643058763,Negative (Low/Med arousal)
054.wav,-0.0193,-0.0083,0.6556,3.606,0.6575013559624567,0.7686374942978959,0.6369835467980187,0.9680679062247372,0.6780191651268949,0.5692070823710544,"Excited (Positive, High arousal)"
055.wav,-0.0973,-0.0417,0.2766,3.3144,-0.192726296635559,0.6263086834409655,0.0318876517253088,0.8330638641875506,-0.4173402449964269,0.4195535026943802,Neutral
056.wav,-0.0676,-0.029,0.2113,3.5093,-0.1416403596739355,0.7019884499591234,0.2972520974075931,0.8843977364591755,-0.5805328167554642,0.5195791634590711,Neutral
057.wav,-0.4787,-0.2052,0.3644,3.4083,-0.5736571879339321,0.3199676014694469,-0.9981577627871072,0.1721907841552142,-0.1491566130807569,0.4677444187836797,Negative (Low/Med arousal)
058.wav,-0.0529,-0.0227,1.3077,4.0408,0.7054015154863218,0.851107831428898,0.415646595325058,0.9098625707356508,0.9951564356475856,0.7923530921221451,"Excited (Positive, High arousal)"
059.wav,-0.06,-0.0257,1.3787,4.0681,0.678444061862359,0.8520501644093699,0.3599006302053171,0.8977364591754244,0.9969874935194007,0.8063638696433154,"Excited (Positive, High arousal)"
060.wav,-0.2091,-0.0896,0.7755,3.504,0.039706502481757,0.5781547026722254,-0.7623477179140417,0.6394502829426032,0.8417607228775558,0.5168591224018475,Neutral
061.wav,-0.0223,-0.0096,0.264,3.3185,0.0843132237015502,0.6922354716404986,0.6202082133306951,0.9628132578819726,-0.4515817659275947,0.4216576853990247,Neutral
062.wav,-0.0365,-0.0157,0.2686,3.2128,0.0467880990416312,0.6527838299427726,0.5328029796649819,0.9381568310428456,-0.4392267815817195,0.3674108288426995,Neutral
063.wav,-0.2638,-0.1131,0.6557,3.6758,-0.1141515064212327,0.5747459594667789,-0.9065031704361544,0.5444624090541633,0.678200157593689,0.6050295098793944,Neutral
064.wav,-0.0556,-0.0238,1.4313,4.134,0.6963323608000282,0.8728005436680041,0.3947832655932929,0.9054163298302343,0.9978814560067636,0.8401847575057737,"Excited (Positive, High arousal)"
065.wav,-0.0801,-0.0343,0.4491,3.4591,0.1606891458956199,0.678395347539481,0.1886418225552565,0.8629749393694423,0.1327364692359834,0.4938157557095199,Neutral
066.wav,-0.0362,-0.0155,0.0916,3.3901,-0.1262667568873975,0.6986845694582134,0.5347864051552629,0.938965238480194,-0.7873199189300579,0.4584039004362328,Neutral
067.wav,-0.1315,-0.0563,0.3705,3.4932,-0.2030027577167418,0.6426832592448765,-0.2768916049456128,0.7740501212611157,-0.1291139104878709,0.5113163972286372,Neutral
