filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0002,-0.0001,1.9151,4.4461,0.8697721246383244,1.0,0.7397028369560633,1.0,0.9998414123205857,1.0,"Excited (Positive, High arousal)"
002.wav,-0.0101,-0.0043,0.7413,3.5734,0.7065938504385733,0.6554212438511868,0.5792808701817531,0.9754529514903564,0.8339068306953934,0.3353895362120171,Positive (Low/Mid arousal)
003.wav,-0.0129,-0.0055,0.1565,3.218,0.0098667029442271,0.5165859109532449,0.5225199282770755,0.9684395090590298,-0.5027865223886212,0.0647323128474601,Neutral
004.wav,-0.0208,-0.0089,0.5577,3.5428,0.4539245357476493,0.6303269962119346,0.336045629321233,0.9485680888369374,0.5718034421740656,0.3120859035869317,Positive (Low/Mid arousal)
005.wav,-0.0107,-0.0046,1.0227,3.8139,0.767302774200693,0.7461217473108838,0.5675480188291091,0.9736995908825248,0.9670575295722772,0.5185439037392428,Positive (Low/Mid arousal)
006.wav,-0.0192,-0.0082,0.4533,3.4767,0.3508067045514817,0.6072031372394021,0.3767315588914401,0.9526592635885446,0.3248818502115232,0.2617470108902597,Positive (Low/Mid arousal)
007.wav,-0.0033,-0.0014,0.2828,3.3697,0.2617487500792848,0.5863312781986812,0.6960011374915656,0.9924021040327292,-0.1725036373329959,0.1802604523646332,Neutral
008.wav,-0.0656,-0.0281,0.5087,3.5022,-0.1388328825782067,0.558759857340104,-0.7423302398822912,0.8363530099357102,0.4646644747258776,0.2811667047444978,Neutral
009.wav,-0.028,-0.012,0.3332,3.3762,0.0579289035461565,0.5578302998142931,0.1389465391326574,0.9304500292226768,-0.0230887320403442,0.1852105704059095,Neutral
010.wav,-0.0219,-0.0094,0.2129,3.338,-0.0293785209278884,0.5508824643064286,0.3073160236880606,0.945645821157218,-0.3660730655438374,0.1561191074556393,Neutral
011.wav,-0.0092,-0.004,0.268,3.366,0.1906125882587895,0.5773245024812013,0.5964391522236607,0.977206312098188,-0.2152139757060816,0.1774426928642144,Neutral
012.wav,-0.0329,-0.0141,0.253,3.3533,-0.130295104697645,0.5429737143680186,-0.0029135587513076,0.918176504967855,-0.2576766506439824,0.167770923768182,Neutral
013.wav,-0.0216,-0.0092,0.9086,3.7881,0.6254698113240234,0.7228552355637949,0.3152098204332725,0.9468147282291056,0.935729802214774,0.4988957428984844,Positive (Low/Mid arousal)
014.wav,-0.0132,-0.0056,0.1285,3.3654,-0.0233591868892122,0.5724204072071297,0.5161366843863511,0.967855055523086,-0.5628550581647755,0.1769857588911736,Neutral
015.wav,-0.0527,-0.0226,0.7566,3.6803,0.162419741547606,0.642648946744047,-0.5225199282770756,0.8684979544126241,0.8473594113722878,0.4167999390754701,Neutral
016.wav,-0.0344,-0.0148,1.3294,4.0325,0.4740546800045748,0.7995527557333617,-0.0465833326055925,0.9140853302162476,0.9946926926147422,0.6850201812504756,"Excited (Positive, High arousal)"
