filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0053,-0.0023,1.7799,4.3403,0.8121890718071565,0.9808760107667182,0.6248583364254676,0.98989898989899,0.9995198071888453,0.9718530316344464,"Excited (Positive, High arousal)"
002.wav,-0.0056,-0.0024,0.6347,3.5231,0.6542706311331646,0.8684320834611915,0.6190469906875654,0.9894179894179894,0.6894942715787639,0.7474461775043936,"Excited (Positive, High arousal)"
003.wav,-0.1032,-0.0442,0.2684,3.3625,-0.5970231532509656,0.745852236007662,-0.9823246714711262,0.7883597883597883,-0.2117216350308049,0.7033446836555359,Negative (Low/Med arousal)
004.wav,-0.0658,-0.0282,1.3136,4.0434,0.0829551912377239,0.8778214001467517,-0.8269414684628328,0.8653198653198654,0.9928518509382808,0.890322934973638,Neutral
005.wav,-0.0105,-0.0045,0.3342,3.4851,0.2450846102599828,0.8581640915917059,0.5143725213098685,0.9793169793169794,-0.0242033007899029,0.7370112038664324,Neutral
006.wav,-0.076,-0.0326,0.7272,3.6419,-0.0496903446851299,0.812112522253669,-0.9052608551745188,0.8441558441558442,0.8058801658042588,0.7800692003514939,Neutral
007.wav,-0.1622,-0.0695,0.1982,3.3167,-0.6976163354732496,0.6787172305213824,-0.9995713147180904,0.6666666666666666,-0.3956613562284089,0.6907677943760984,Negative (Low/Med arousal)
008.wav,-0.0755,-0.0324,0.5734,3.6122,-0.1589337668243001,0.808515644878782,-0.9023685079457224,0.8451178451178453,0.5845009742971222,0.7719134446397188,Neutral
009.wav,-0.1408,-0.0603,1.1078,3.8754,-0.0108629711452748,0.7775540391148914,-0.9983438519784856,0.710918710918711,0.9766179096879358,0.844189367311072,Neutral
010.wav,-0.4856,-0.2081,0.2457,3.3346,-0.6368153320717975,0.3478416080843585,-0.9999999999994272,0.0,-0.2736306641441677,0.695683216168717,Negative (Low/Med arousal)
011.wav,-0.0282,-0.0121,0.1801,3.3534,-0.2147524382943165,0.8218033624173783,0.0094773381464178,0.9427609427609428,-0.4389822147350509,0.7008457820738138,Neutral
012.wav,-0.1213,-0.052,1.6288,4.2206,0.0022568462920408,0.8449123077583096,-0.9943334729442126,0.7508417508417509,0.9988471655282944,0.9389828646748682,Neutral
013.wav,-0.2784,-0.1193,0.5675,3.5421,-0.2134363133932951,0.5898960457259007,-0.999999722257404,0.4271284271284271,0.5731270954708136,0.7526636643233743,Neutral
014.wav,-0.0213,-0.0091,0.2058,3.3479,-0.0766485626849248,0.8282632070664804,0.2236195181232482,0.9571909571909571,-0.3769166434930978,0.6993354569420035,Neutral
015.wav,-0.0452,-0.0194,0.3086,3.3735,-0.2908224661201167,0.807006620783532,-0.4835348964914546,0.9076479076479076,-0.0981100357487789,0.7063653339191563,Neutral
016.wav,-0.0628,-0.0269,-0.1682,3.3761,-0.8480707138806232,0.7893260886862601,-0.7945332853750106,0.8715728715728716,-0.9016081423862355,0.7070793057996485,"Nervous (Negative, High arousal)"
017.wav,-0.0119,-0.0051,0.8154,3.7129,0.6800004997508489,0.8879985506056465,0.481110635593675,0.9764309764309764,0.8788903639080227,0.7995661247803163,"Excited (Positive, High arousal)"
018.wav,-0.1505,-0.0645,0.2994,3.3869,-0.5617764136822245,0.7003808629330377,-0.999102383419262,0.6907166907166907,-0.124450443945187,0.7100450351493848,Negative (Low/Med arousal)
019.wav,-0.0217,-0.0093,0.7446,3.6354,0.5172203749103175,0.8672566134396099,0.2115812247345965,0.9562289562289562,0.8228595250860384,0.7782842706502636,"Excited (Positive, High arousal)"
020.wav,-0.1163,-0.0498,1.5824,4.1653,0.0031275666404974,0.8426104967048509,-0.9922364082343048,0.7614237614237614,0.9984915415152996,0.9237972319859404,Neutral
021.wav,-0.1999,-0.0857,0.1967,3.2952,-0.6996416956418119,0.6368041924390782,-0.9999603981712348,0.5887445887445888,-0.3993229931123891,0.6848637961335676,Negative (Low/Med arousal)
022.wav,-0.0279,-0.012,0.577,3.5509,0.3051416616065327,0.8491610638881069,0.0189529739378851,0.9432419432419432,0.5913303492751804,0.7550801845342706,Neutral
023.wav,-0.0924,-0.0396,0.624,3.546,-0.1462285131335913,0.7821102163149615,-0.9653274871691216,0.8104858104858106,0.6728704609019389,0.7537346221441124,Neutral
024.wav,-0.0282,-0.0121,0.2851,3.3737,-0.0777782153655672,0.8245905987969916,0.0094773381464178,0.9427609427609428,-0.1650337688775522,0.7064202548330404,Neutral
025.wav,-0.0202,-0.0087,1.1045,3.8964,0.6162684824803011,0.904535511191926,0.2563653857022691,0.9591149591149593,0.9761715792583332,0.8499560632688927,"Excited (Positive, High arousal)"
026.wav,-0.0387,-0.0166,-0.0523,3.1182,-0.5637663239639903,0.7786873542310713,-0.3115301628484717,0.9211159211159212,-0.816002485079509,0.6362587873462213,"Nervous (Negative, High arousal)"
027.wav,-0.0734,-0.0315,0.0173,3.1846,-0.812929260394383,0.7519696901012807,-0.8892822557949697,0.8494468494468495,-0.7365762649937964,0.6544925307557118,Negative (Low/Med arousal)
028.wav,-0.0377,-0.0161,0.068,2.9385,-0.4722528201112522,0.7552166348711823,-0.2827302689132756,0.9235209235209236,-0.6617753713092288,0.5869123462214411,"Nervous (Negative, High arousal)"
029.wav,-0.0191,-0.0082,0.2497,3.3569,0.0128322736065008,0.8316634297933726,0.2885331686104791,0.9615199615199614,-0.2628686213974774,0.7018068980667838,Neutral
030.wav,-0.0696,-0.0298,1.374,4.0277,0.0668195188649688,0.8718177504288006,-0.8613195266649938,0.8576238576238577,0.9949585643949316,0.8860116432337435,Neutral
031.wav,-0.018,-0.0077,0.1361,3.2093,-0.1079710376885229,0.8126001137726753,0.3200625238519141,0.963924963924964,-0.5360045992289599,0.6612752636203866,Neutral
032.wav,-0.1517,-0.065,1.1199,3.8792,-0.0104915057990098,0.7667722764932783,-0.9991678981883124,0.6883116883116883,0.9781848865902928,0.8452328646748681,Neutral
033.wav,-0.0496,-0.0213,0.6279,3.6225,0.0481384596089894,0.8366253851068219,-0.582734125535393,0.8985088985088986,0.6790110447533719,0.7747418717047452,Neutral
034.wav,-0.0288,-0.0123,1.0319,3.8144,0.4772234540272446,0.8846187151876959,-0.0094773381464179,0.9417989417989416,0.9639242462009072,0.8274384885764499,"Excited (Positive, High arousal)"
035.wav,-0.0098,-0.0042,0.3509,3.4451,0.2773268717817889,0.8533935009248058,0.530450442773675,0.9807599807599808,0.0242033007899028,0.7260270210896309,Neutral
036.wav,-0.0236,-0.0101,-0.5292,3.2676,-0.4168729334025088,0.8148328311992635,0.1535763759385105,0.9523809523809524,-0.9873222427435284,0.6772847100175746,"Nervous (Negative, High arousal)"
037.wav,-0.0366,-0.0157,0.2166,3.4338,-0.3000974029261897,0.824184457450055,-0.250452738831885,0.9254449254449256,-0.3497420670204942,0.7229239894551845,Neutral
038.wav,-0.0574,-0.0246,0.2205,3.287,-0.531176823355523,0.782623960650103,-0.7225742604694013,0.8826358826358827,-0.3397793862416446,0.6826120386643233,"Nervous (Negative, High arousal)"
039.wav,-0.1607,-0.0689,0.3812,3.5098,-0.4439713023496955,0.7066733031418884,-0.9995287079563588,0.6695526695526695,0.1115861032569677,0.7437939367311072,Negative (Low/Med arousal)
040.wav,-0.0307,-0.0132,0.2918,3.3818,-0.1077354480500905,0.8230572446576401,-0.0693908633559282,0.9374699374699376,-0.1460800327442528,0.7086445518453427,Neutral
041.wav,-0.0548,-0.0235,0.182,3.2775,-0.5577341310266097,0.7839650915908605,-0.6809436939516659,0.887926887926888,-0.4345245681015535,0.6800032952548329,"Nervous (Negative, High arousal)"
