filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0164,-0.007,1.8084,4.3604,0.7949236844958452,0.957370641408431,0.5899423729133292,0.9657085224407465,0.9999049960783613,0.9490327603761156,"Excited (Positive, High arousal)"
002.wav,-0.0546,-0.0234,0.509,3.5003,0.3191432315770729,0.6584579152176021,0.0877507764168834,0.8830055471507816,0.5505356867372625,0.4339102832844225,Neutral
003.wav,-0.2261,-0.0969,0.1181,3.3434,-0.793658998552313,0.426148162235805,-0.9880965395476912,0.5123550176500252,-0.5992214575569347,0.3399413068215847,Negative (Low/Med arousal)
004.wav,-0.0622,-0.0267,1.1039,3.8569,0.4800104937487797,0.7569228391619235,-0.0293172814300185,0.8663640948058497,0.989338268927578,0.6474815835179972,"Excited (Positive, High arousal)"
005.wav,-0.0006,-0.0003,0.5526,3.6045,0.6854086383386044,0.7479062085823771,0.7265797682418393,0.9994957135653052,0.6442375084353695,0.4963167035994489,Positive (Low/Mid arousal)
006.wav,-0.0028,-0.0012,0.2216,3.309,0.1892010227712946,0.6571479695154516,0.7101507102371876,0.9949571356530508,-0.3317486646945982,0.3193388033778525,Neutral
007.wav,-0.0473,-0.0203,1.1779,3.9617,0.5957478829076821,0.8044428882248227,0.1979993655012691,0.8986384266263239,0.9934964003140953,0.7102473498233216,"Excited (Positive, High arousal)"
008.wav,-0.0301,-0.0129,0.047,3.238,-0.1478593578894627,0.6063859086598549,0.4350623062672072,0.9359556227937468,-0.7307810220461326,0.2768161945259628,Neutral
009.wav,-0.0511,-0.0219,0.7244,3.6607,0.506553979512033,0.7102726441809342,0.1410512997238877,0.8905698436712053,0.8720566593001782,0.5299754446906629,Positive (Low/Mid arousal)
010.wav,-0.0763,-0.0327,0.4516,3.684,0.0802241932512022,0.690018478019022,-0.2420524373306718,0.8361069087241553,0.4025008238330764,0.5439300473138888,Neutral
011.wav,-0.0891,-0.0382,0.4708,3.4886,0.0188251958448481,0.6176370956447768,-0.4173804522893199,0.8083711548159355,0.4550308439790161,0.426903036473618,Neutral
012.wav,-0.0585,-0.0251,0.7293,3.7854,0.4518560777544789,0.7395460987175806,0.0277750823607008,0.8744326777609682,0.8759370731482571,0.6046595196741931,Positive (Low/Mid arousal)
013.wav,-0.0707,-0.0303,0.52,3.5207,0.2082847882296145,0.6471689150556881,-0.1591549260399037,0.8482097831568332,0.5757245024991328,0.4461280469545429,Neutral
014.wav,-0.0542,-0.0232,0.4014,3.4276,0.1732698091442464,0.6371918237400972,0.0938736702509081,0.8840141200201715,0.2526659480375847,0.3903695274600228,Neutral
015.wav,-0.1953,-0.0837,0.2995,3.3486,-0.5264034510699845,0.4609882328836253,-0.96948575758553,0.578920827029753,-0.0833211445544391,0.3430556387374977,Negative (Low/Med arousal)
016.wav,-0.0426,-0.0183,0.2554,3.4553,0.0196054505930208,0.65784174466616,0.2665924062325617,0.908724155320222,-0.2273815050465201,0.4069593340120979,Neutral
017.wav,-0.1976,-0.0847,0.1482,3.2744,-0.7510722768523468,0.436247240310079,-0.9715473660156652,0.5738779626828039,-0.5305971876890283,0.298616517937354,Negative (Low/Med arousal)
018.wav,-0.023,-0.0099,0.5768,3.5126,0.6044017571119098,0.6961805459600592,0.5195400182651452,0.951084215834594,0.6892634959586744,0.4412768760855243,Positive (Low/Mid arousal)
019.wav,-0.283,-0.1213,0.317,3.3957,-0.5113745905073627,0.380286713280166,-0.9979346261595512,0.389309127584468,-0.024814554855174,0.3712642989758641,Negative (Low/Med arousal)
020.wav,-0.249,-0.1067,0.3027,3.3827,-0.5333827625424536,0.4132067081180028,-0.9941118204599868,0.4629349470499244,-0.0726537046249204,0.3634784691860813,Negative (Low/Med arousal)
021.wav,-0.0192,-0.0082,0.5419,3.491,0.5919024532532855,0.6939987528296081,0.561047707776776,0.9596570852244074,0.6227571987297948,0.4283404204348087,Positive (Low/Mid arousal)
022.wav,-0.0101,-0.0043,0.6681,3.5638,0.734195593684863,0.72563266171755,0.6497208445757403,0.9793242561775088,0.8186703427939858,0.4719410672575913,Positive (Low/Mid arousal)
023.wav,-0.2248,-0.0963,1.0092,3.8428,-0.0038206650820065,0.5772088445020985,-0.9876121597375312,0.5153807362581947,0.9799708295735182,0.6390369527460024,Neutral
024.wav,-0.042,-0.018,0.2394,3.3431,-0.00121820176117,0.6249993242253714,0.2751735431546485,0.9102370146243068,-0.2776099466769886,0.339761633826436,Neutral
025.wav,-0.0145,-0.0062,0.7091,3.6125,0.7339664330201627,0.735425398694195,0.6087313374938063,0.9697428139183056,0.8592015285465193,0.5011079834700843,Positive (Low/Mid arousal)
026.wav,-0.0672,-0.0288,0.3185,3.3783,-0.0629418916149469,0.6083086724672443,-0.1060977259531091,0.8557740796772567,-0.0197860572767847,0.3608432652572318,Neutral
