filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.002,-0.0009,1.91,4.4426,0.8800922562460427,0.9984443061605476,0.7604585291325836,0.9968886123210952,0.9997259833595018,1.0,"Excited (Positive, High arousal)"
002.wav,-0.0599,-0.0257,0.2892,3.3829,-0.5022315640526889,0.5943350819001866,-0.479450916012159,0.8425637834474176,-0.5250122120932188,0.3461063803529556,Negative (Low/Med arousal)
003.wav,-0.135,-0.0579,0.4744,3.4564,-0.4974071003856465,0.5168251850148688,-0.9864337018501051,0.6421904169259489,-0.0083804989211879,0.3914599531037887,Negative (Low/Med arousal)
004.wav,-0.0436,-0.0187,0.9466,3.7833,0.4014638881070451,0.7396492890500274,-0.0942010611257256,0.8861232109520847,0.8971288373398157,0.59317536714797,Positive (Low/Mid arousal)
005.wav,-0.0434,-0.0186,0.4992,3.4955,-0.0102530063602576,0.6511661540921372,-0.0889961583878539,0.8867454884878656,0.0684901456673385,0.4155868196964087,Neutral
006.wav,-0.0447,-0.0191,0.715,3.6339,0.2527342336876318,0.6923106947337412,-0.122728628312116,0.8836341008089608,0.6281970956873798,0.5009872886585217,Neutral
007.wav,-0.0705,-0.0302,0.5629,3.5529,-0.2020499399067585,0.6327835473290717,-0.6642970346674456,0.8145612943372744,0.2601971548539284,0.451005800320869,Neutral
008.wav,-0.0613,-0.0263,0.2984,3.3864,-0.5056316295901591,0.5935480962631018,-0.5072453036280009,0.8388301182327319,-0.5040179555523172,0.3482660742934717,Negative (Low/Med arousal)
009.wav,-0.0406,-0.0174,0.2136,3.3325,-0.3448337128844789,0.6046098032633822,-0.0157455645582334,0.8942128189172371,-0.6739218612107245,0.3150067876095274,Neutral
010.wav,-0.035,-0.015,0.2023,3.3035,-0.2810706467941348,0.6031298302249024,0.130475822999753,0.9091474797759802,-0.6926171165880227,0.2971121806738246,Neutral
011.wav,-0.0087,-0.0037,0.4497,3.5487,0.2955102465158272,0.7139395044557392,0.6758645611031018,0.9794648413192284,-0.0848440680714473,0.4484141675922499,Neutral
012.wav,-0.0501,-0.0215,0.4412,3.3737,-0.185003441842995,0.6045644552583374,-0.2590336217347422,0.8686994399502179,-0.1109732619512477,0.3404294705664568,Neutral
013.wav,-0.0313,-0.0134,0.5494,3.5616,0.2225830082815876,0.6877390513750277,0.2244426527248005,0.9191039203484755,0.2207233638383748,0.4563741824015797,Neutral
014.wav,-0.0254,-0.0109,0.7822,3.6836,0.5519454037534046,0.7331579006784232,0.3654605014255825,0.9346608587429996,0.7384303060812267,0.5316549426138469,Positive (Low/Mid arousal)
015.wav,-0.0398,-0.017,0.3487,3.3969,-0.1867287537207698,0.6257235425876901,0.0052489071216104,0.8967019290603611,-0.37870641456315,0.3547451561150192,Neutral
016.wav,-0.0303,-0.013,0.473,3.4794,0.1182441039942131,0.6636226290308176,0.249213761742319,0.9215930304915992,-0.0127255537538927,0.4056522275700359,Neutral
017.wav,-0.0412,-0.0177,0.5078,3.4977,0.031760448069032,0.6546451639558851,-0.0314833236826037,0.8923459863098943,0.0950042198206677,0.4169443416018759,Neutral
018.wav,-0.2122,-0.0909,0.2924,3.3765,-0.7587712293157535,0.3894980279185512,-0.9997625782849962,0.4368388301182327,-0.5177798803465108,0.3421572257188696,Negative (Low/Med arousal)
019.wav,-0.0862,-0.0369,0.9706,3.7835,0.0366512543027423,0.6830837388351177,-0.8374304337342031,0.7728686994399503,0.9107329423396878,0.5932987782302852,Neutral
020.wav,-0.0207,-0.0089,0.608,3.7605,0.426283194992778,0.7631064566113284,0.4672325956093137,0.9471064094586188,0.3853337943762424,0.579106503764038,"Excited (Positive, High arousal)"
021.wav,-0.0143,-0.0061,0.5443,3.5681,0.3967694966595895,0.7124576115186544,0.5879261382626273,0.9645301804604854,0.2056128550565517,0.4603850425768234,Positive (Low/Mid arousal)
022.wav,-0.0471,-0.0202,0.378,3.3677,-0.2412326340598123,0.6067580930061858,-0.1842107885584453,0.8767890479153704,-0.2982544795611793,0.3367271380970012,Neutral
023.wav,-0.0298,-0.0128,0.8846,3.7334,0.5569399528579241,0.7426109438367454,0.2614803321412383,0.9228375855631612,0.8523995735746098,0.5623843021103296,Positive (Low/Mid arousal)
024.wav,-0.0191,-0.0082,0.5732,3.5552,0.3945772961655496,0.7019436899882895,0.4994070312850179,0.9514623522090851,0.2897475610460813,0.4524250277674936,Positive (Low/Mid arousal)
025.wav,-0.2146,-0.092,0.1902,3.3081,-0.8557221691796748,0.3649722063958581,-0.9997906773018824,0.4299937772246422,-0.7116536610574672,0.2999506355670739,Negative (Low/Med arousal)
026.wav,-0.0506,-0.0217,0.2298,3.3315,-0.4583853356901015,0.5909223085383037,-0.2712333497404994,0.867454884878656,-0.6455373216397037,0.3143897321979515,Negative (Low/Med arousal)
027.wav,-0.0954,-0.0409,0.1749,3.3288,-0.8153915596122369,0.5303506402977043,-0.8964732527773528,0.747977598008712,-0.7343098664471209,0.3127236825866964,Negative (Low/Med arousal)
028.wav,-0.0246,-0.0105,0.3991,3.452,0.0730120839197062,0.6629474390894889,0.3835109360510725,0.9371499688861232,-0.2374867682116601,0.3887449092928545,Neutral
029.wav,-0.0333,-0.0143,0.4737,3.4748,0.0817483787639523,0.6581585976016167,0.1740498336801968,0.9135034225264468,-0.0105530761522922,0.4028137726767865,Neutral
030.wav,-0.014,-0.006,0.7578,3.7096,0.6475395317343471,0.7564254206555441,0.5930542190561127,0.9651524579962664,0.7020248444125815,0.5476983833148218,"Excited (Positive, High arousal)"
031.wav,-0.1059,-0.0454,0.2299,3.3128,-0.7921783482468742,0.5114129524500249,-0.939000459465142,0.7199751088985689,-0.6453562370286064,0.302850796001481,Negative (Low/Med arousal)
032.wav,-0.0127,-0.0054,0.4531,3.4844,0.2701840617357996,0.6888118139194339,0.6147256926234296,0.9688861232109522,-0.0743575691518303,0.4087375046279156,Neutral
033.wav,-0.0691,-0.0296,0.3871,3.4336,-0.4577870291529892,0.5978430246359087,-0.6432646523561439,0.8182949595519603,-0.2723094059498345,0.377391089719857,Negative (Low/Med arousal)
034.wav,-0.016,-0.0069,0.2129,3.3661,-0.0585700997789609,0.6476459048063588,0.5579658888663672,0.9595519601742378,-0.6751060884242892,0.3357398494384795,Neutral
035.wav,-0.0041,-0.0018,0.5324,3.5602,0.4531042846528482,0.72339920966222,0.736225671887544,0.9912881144990668,0.1699828974181525,0.4555103048253734,Positive (Low/Mid arousal)
036.wav,-0.0089,-0.0038,0.3325,3.4236,0.1260320435634853,0.6750315496937724,0.6730031665723624,0.9788425637834476,-0.4209390794453916,0.3712205356040973,Neutral
037.wav,-0.0374,-0.016,0.2928,3.3637,-0.2243699335848621,0.618591810434434,0.0681307084524475,0.9029247044181706,-0.5168705756221719,0.3342589164506974,Neutral
038.wav,-0.0352,-0.0151,0.9007,3.7621,0.4954035895438358,0.7443094973313795,0.1253127369923522,0.9085252022401992,0.8654944420953194,0.5800937924225598,Positive (Low/Mid arousal)
039.wav,-0.0868,-0.0372,0.256,3.3579,-0.7188316128490172,0.5508409309480821,-0.8420725850058572,0.7710018668326074,-0.5955906406921772,0.3306799950635566,Negative (Low/Med arousal)
040.wav,-0.0257,-0.011,0.2726,3.3634,-0.1013510327852462,0.6340561905172215,0.3586191107492865,0.9340385812072184,-0.561321176319779,0.3340737998272245,Neutral
041.wav,-0.2466,-0.1057,0.2443,3.3489,-0.8092397615889777,0.334934125591012,-0.9999609713294204,0.3447417548226509,-0.618518551848535,0.3251264963593731,Negative (Low/Med arousal)
042.wav,-0.0461,-0.0197,0.6193,3.57,0.1280255425584185,0.6707289417265464,-0.1587392962097824,0.8799004355942751,0.4147903813266195,0.4615574478588177,Neutral
043.wav,-0.031,-0.0133,0.2227,3.33,-0.2131516503771285,0.616595173482422,0.2319061222562648,0.9197261978842564,-0.6582094230105219,0.3134641490805875,Neutral
044.wav,-0.05,-0.0214,0.8947,3.7739,0.3020808979109218,0.7283483818825773,-0.2565835823885224,0.8693217174859988,0.860745378210366,0.5873750462791558,Neutral
045.wav,-0.2182,-0.0935,0.3264,3.3987,-0.7181100003824947,0.3882577350218917,-0.999826715855556,0.4206596141879278,-0.4363932849094335,0.3558558558558558,Negative (Low/Med arousal)
046.wav,-0.1077,-0.0462,1.5906,4.1861,0.0268323181572081,0.7783610877715438,-0.9443468524974092,0.7149968886123211,0.9980114888118254,0.8417252869307664,Neutral
047.wav,-0.0592,-0.0254,0.2598,3.3463,-0.5265523410825377,0.583976384172018,-0.4651785439024481,0.8444306160547604,-0.5879261382626272,0.3235221522892755,Negative (Low/Med arousal)
048.wav,-0.1312,-0.0562,0.6299,3.5733,-0.2709042841780942,0.5581814328756219,-0.983463786648009,0.6527691350342253,0.4416552182918205,0.4635937307170185,Neutral
049.wav,-0.022,-0.0094,0.1951,3.3728,-0.1319621366350812,0.6419345712378761,0.4401412502149021,0.9439950217797138,-0.7040655234850645,0.3398741206960384,Neutral
050.wav,-0.0529,-0.0227,0.2199,3.3351,-0.4946480686590028,0.5889216206002357,-0.3261890888117337,0.8612321095208464,-0.6631070485062719,0.3166111316796249,Negative (Low/Med arousal)
051.wav,-0.0299,-0.0128,0.1548,3.2973,-0.2513656384547759,0.6080620113426074,0.2590336217347423,0.9228375855631612,-0.7617648986442941,0.2932864371220535,Neutral
052.wav,-0.1027,-0.044,0.2462,3.3528,-0.7715540124691472,0.5281100034320108,-0.9282440997235256,0.7286869943995022,-0.6148639252147688,0.3275330124645192,Negative (Low/Med arousal)
053.wav,-0.0647,-0.0277,0.2056,3.3274,-0.6288689674635888,0.5709890188711442,-0.5704879892458296,0.8301182327317984,-0.6872499456813481,0.3118598050104899,Negative (Low/Med arousal)
054.wav,-0.0234,-0.01,0.5951,3.5678,0.3803829351842083,0.7002306412591893,0.4100433151740866,0.940261356565028,0.35072255519433,0.4601999259533507,Positive (Low/Mid arousal)
055.wav,-0.0274,-0.0117,0.8287,3.6874,0.5582533787394633,0.7318411958172936,0.3191354140605364,0.9296826384567518,0.7973713434183903,0.5339997531778353,Positive (Low/Mid arousal)
056.wav,-0.0334,-0.0143,0.0008,3.139,-0.3648336105009353,0.5545549939980129,0.1715037030221683,0.9135034225264468,-0.901170924024039,0.195606565469579,Negative (Low/Med arousal)
057.wav,-0.2847,-0.122,0.2161,3.3283,-0.8348294075115616,0.2778628356856315,-0.99999471717278,0.2433105164903547,-0.6696640978503432,0.3124151548809084,Negative (Low/Med arousal)
058.wav,-0.0913,-0.0391,0.3775,3.3237,-0.5864292208474926,0.534377646820214,-0.8731906944429177,0.7591785936527692,-0.2996677472520676,0.3095766999876589,Negative (Low/Med arousal)
059.wav,-0.376,-0.1611,0.282,3.3705,-0.7705051093539698,0.1692274466247068,-0.9999999561873276,0.0,-0.5410102625206119,0.3384548932494137,Negative (Low/Med arousal)
060.wav,-0.0786,-0.0337,0.3836,3.4324,-0.5246787700580047,0.5847161019054533,-0.7670199131745441,0.7927815805849409,-0.2823376269414653,0.3766506232259657,Negative (Low/Med arousal)
061.wav,-0.0635,-0.0272,1.0998,3.9084,0.2050496782090666,0.7517993097734128,-0.5488627107854686,0.8332296204107033,0.9589620672036018,0.6703689991361225,Neutral
062.wav,-0.0793,-0.034,-0.0316,3.1213,-0.846460177348823,0.4877997163311414,-0.774477116470277,0.7909147479775981,-0.9184432382273692,0.1846846846846848,Negative (Low/Med arousal)
063.wav,-0.1198,-0.0514,0.2485,3.3544,-0.7902622428906336,0.5055793789373761,-0.9701201759347208,0.6826384567517113,-0.6104043098465466,0.3285203011230409,Negative (Low/Med arousal)
064.wav,-0.0824,-0.0353,0.4946,3.5153,-0.3753882028293664,0.6053148284290292,-0.8050423642347184,0.7828251400124456,0.0542659585759856,0.4278045168456127,Negative (Low/Med arousal)
065.wav,-0.0097,-0.0042,0.4741,3.5046,0.3260212725043487,0.6987777387910368,0.6613541593417522,0.9763534536403236,-0.0093116143330547,0.42120202394175,Neutral
066.wav,-0.1042,-0.0447,0.9473,3.8035,-0.0179721800209672,0.66498546905542,-0.9334964097799652,0.7243310516490356,0.8975520497380307,0.6056398864618044,Neutral
067.wav,-0.027,-0.0116,0.7084,3.6873,0.4720839211042944,0.7321214818146053,0.3285323124745412,0.9303049159925328,0.6156355297340477,0.5339380476366778,Positive (Low/Mid arousal)
068.wav,-0.0453,-0.0194,0.7982,3.6697,0.3109950042017076,0.7024225702972795,-0.1382071170782231,0.881767268201618,0.7601971254816384,0.5230778723929411,Neutral
069.wav,-0.0195,-0.0084,0.3501,3.3829,0.0582540762488173,0.6481620887452395,0.4914861409357844,0.9502177971375234,-0.3749779884381497,0.3461063803529556,Neutral
070.wav,-0.0798,-0.0342,0.5205,3.5236,-0.3228862366767432,0.6112981348338647,-0.7796753738055968,0.7896701929060361,0.1339029004521104,0.4329260767616933,Neutral
071.wav,-0.0217,-0.0093,0.2932,3.3696,-0.0347463743350736,0.6412584213472452,0.4464673544071944,0.9446172993154948,-0.5159601030773416,0.3378995433789956,Neutral
072.wav,-0.154,-0.066,0.2942,3.3727,-0.7543265264525759,0.4657991758412861,-0.9949742367000028,0.5917859365276914,-0.513678816205149,0.339812415154881,Negative (Low/Med arousal)
073.wav,-0.0298,-0.0128,0.4796,3.5188,0.1346200396405873,0.676400898174645,0.2614803321412383,0.9228375855631612,0.0077597471399363,0.4299642107861287,Neutral
074.wav,-0.2664,-0.1142,0.2213,3.2876,-0.8303257306704728,0.2895745819555181,-0.999986195205263,0.2918481642812695,-0.6606652661356824,0.2873009996297667,Negative (Low/Med arousal)
075.wav,-0.0391,-0.0167,0.3193,3.4006,-0.2152228993842297,0.6277985114027771,0.023615907215983,0.8985687616677039,-0.4540617059844426,0.3570282611378501,Neutral
076.wav,-0.3533,-0.1514,0.1999,3.308,-0.8482364234120137,0.1801249254983346,-0.9999998557661548,0.0603609209707528,-0.6964729910578725,0.2998889300259162,Negative (Low/Med arousal)
077.wav,-0.0284,-0.0122,0.2251,3.4112,-0.1792983033486707,0.6450701496392013,0.2953700057650015,0.9265712507778472,-0.653966612462343,0.3635690485005554,Neutral
078.wav,-0.0351,-0.0151,0.5039,3.5026,0.1054449770841034,0.6642465576793987,0.1278951465095093,0.9085252022401992,0.0829948076586976,0.4199679131185982,Neutral
079.wav,-0.0317,-0.0136,0.7705,3.6734,0.4679597557466299,0.7216101713463428,0.2144503926316574,0.9178593652769136,0.7214691188616024,0.525360977415772,Positive (Low/Mid arousal)
080.wav,-0.0935,-0.0401,0.2816,3.3685,-0.7140607815870144,0.5450883003606108,-0.8862337080980233,0.7529558182949596,-0.5418878550760055,0.3372207824262619,Negative (Low/Med arousal)
081.wav,-0.0038,-0.0016,0.3055,3.3161,0.1262071482282107,0.6487098742151551,0.7398106271378623,0.9925326695706286,-0.4873963306814407,0.3048870788596817,Neutral
082.wav,-0.0132,-0.0057,0.5394,3.4933,0.39874903171211,0.6906242941972756,0.6064961807569346,0.9670192906036092,0.1910018826672856,0.4142292977909417,Positive (Low/Mid arousal)
083.wav,-0.2041,-0.0875,0.5032,3.5046,-0.4594000946897002,0.4395991451382677,-0.999636804799058,0.4579962663347853,0.0808366154196577,0.42120202394175,Negative (Low/Med arousal)
084.wav,-0.0441,-0.0189,0.5705,3.4026,0.0874308737006363,0.6215705139207625,-0.1071902014800264,0.8848786558805227,0.2820519488812991,0.3582623719610022,Neutral
085.wav,-0.04,-0.0172,0.3099,3.4134,-0.2384570855187257,0.6301919721974109,0.0,0.8954573739887991,-0.4769141710374514,0.3649265704060226,Neutral
086.wav,-0.0305,-0.0131,0.3191,3.4185,-0.1051349831321018,0.644522152980439,0.2442844030211392,0.9209707529558184,-0.4545543692853429,0.3680735530050598,Neutral
087.wav,-0.068,-0.0292,0.5665,3.5451,-0.1777207940657825,0.6334884189028303,-0.6260258442094124,0.820784069695084,0.2705842560778473,0.4461927681105765,Neutral
088.wav,-0.0139,-0.006,0.8019,3.6851,0.6798778107273131,0.7488664918637384,0.59475298504456,0.9651524579962664,0.7650026364100663,0.5325805257312106,Positive (Low/Mid arousal)
089.wav,-0.0387,-0.0166,0.2604,3.3826,-0.2763005968359722,0.6225561514664839,0.034104977325222,0.8991910392034848,-0.5867061709971665,0.345921263729483,Neutral
090.wav,-0.1141,-0.0489,0.3735,3.4277,-0.635417084342077,0.535972928968897,-0.9599079959876732,0.6981953951462353,-0.3109261726964806,0.3737504627915589,Negative (Low/Med arousal)
091.wav,-0.0604,-0.0259,0.3489,3.3945,-0.4338337963417422,0.5972917257515462,-0.4894930622076361,0.8413192283758556,-0.3781745304758482,0.3532642231272367,Negative (Low/Med arousal)
092.wav,-0.0675,-0.0289,0.7732,3.6495,0.0537413350545011,0.6666321276907667,-0.6179806000170693,0.8226509023024269,0.7254632701260717,0.5106133530791067,Neutral
093.wav,-0.0022,-0.001,0.5162,3.5197,0.4395043360152091,0.7133929477209306,0.7582361794908593,0.9962663347853143,0.120772492539559,0.4305195606565469,Positive (Low/Mid arousal)
094.wav,-0.0221,-0.0095,0.9286,3.8143,0.6618424675639127,0.7778384145753787,0.438022755406645,0.9433727442439328,0.8856621797211806,0.6123040849068246,"Excited (Positive, High arousal)"
095.wav,-0.0531,-0.0227,-0.4432,3.4452,-0.6621443673440677,0.6228905210074922,-0.3308714988522693,0.8612321095208464,-0.993417235835866,0.3845489324941379,Negative (Low/Med arousal)
096.wav,-0.0253,-0.0108,0.2054,3.6607,-0.159922562087085,0.7264037549837687,0.3677322660725381,0.9352831362787803,-0.6875773902467082,0.5175243736887573,Neutral
097.wav,-0.0395,-0.0169,1.5297,4.1861,0.5051104097321406,0.8695247467634541,0.0131216351562464,0.897324206596142,0.9970991843080348,0.8417252869307664,"Excited (Positive, High arousal)"
098.wav,-0.0063,-0.0027,1.7967,4.3554,0.8540437761393441,0.9659401923938074,0.70864113247097,0.985687616677038,0.9994464198077182,0.9461927681105768,"Excited (Positive, High arousal)"
099.wav,-0.0923,-0.0396,0.2036,3.3823,-0.784897812136972,0.5509016765399373,-0.8792837938993036,0.7560672059738645,-0.6905118303746404,0.3457361471060101,Negative (Low/Med arousal)
100.wav,-0.0845,-0.0362,0.5486,3.5284,-0.3026177605038395,0.6065562924638374,-0.823595402387509,0.7772246421904169,0.2183598813798299,0.4358879427372578,Neutral
101.wav,-0.0353,-0.0151,1.1547,3.8899,0.5466844258507988,0.7837393381310832,0.1227286283121162,0.9085252022401992,0.9706402233894814,0.6589534740219672,"Excited (Positive, High arousal)"
102.wav,-0.001,-0.0004,1.7995,4.3523,0.8853814882774325,0.9721399481673454,0.7713070200570977,1.0,0.9994559564977672,0.9442798963346908,"Excited (Positive, High arousal)"
103.wav,-0.0389,-0.0167,0.8958,3.8077,0.4452443692200146,0.7534001404290638,0.0288612367649621,0.8985687616677039,0.8616275016750671,0.6082315191904235,"Excited (Positive, High arousal)"
104.wav,-0.0064,-0.0027,0.8434,3.7338,0.7603635790150536,0.774159370475999,0.7073321632406391,0.985687616677038,0.8133949947894682,0.56263112427496,"Excited (Positive, High arousal)"
105.wav,-0.0038,-0.0016,0.4771,3.4585,0.3699053135689311,0.6926442195193634,0.7398106271378623,0.9925326695706286,0.0,0.3927557694680982,Positive (Low/Mid arousal)
106.wav,-0.0245,-0.0105,0.9903,3.8112,0.6531740003450455,0.7737705910085313,0.38574714794803,0.9371499688861232,0.920600852742061,0.6103912131309392,"Excited (Positive, High arousal)"
107.wav,-0.0713,-0.0306,0.9518,3.791,0.1121845228152899,0.7049994390056278,-0.6758645611031018,0.8120721841941507,0.9002336067336816,0.5979266938171048,Neutral
108.wav,-0.0086,-0.0037,0.5781,3.637,0.4904527795930902,0.7411825008768178,0.6772876684276176,0.9794648413192284,0.3036178907585629,0.5029001604344071,Positive (Low/Mid arousal)
109.wav,-0.0246,-0.0105,0.5895,3.5591,0.3594487390593183,0.6959907563793815,0.3835109360510725,0.9371499688861232,0.335386542067564,0.4548315438726398,Positive (Low/Mid arousal)
110.wav,-0.1424,-0.061,1.0967,3.8503,-0.0162994401737864,0.6287089465201492,-0.9907802155892868,0.6228998133167393,0.958181335241714,0.6345180797235592,Neutral
111.wav,-0.3305,-0.1416,0.3692,3.4212,-0.6614659324825101,0.2455418610468008,-0.9999995226750218,0.1213441194772868,-0.3229323422899984,0.3697396026163149,Negative (Low/Med arousal)
112.wav,-0.0835,-0.0358,0.4903,3.4933,-0.3870094158709323,0.5969715250622413,-0.8149682072897847,0.7797137523335408,0.0409493755479201,0.4142292977909417,Negative (Low/Med arousal)
113.wav,-0.0664,-0.0285,0.3647,3.4204,-0.4676020306491025,0.5971929853663025,-0.5998175192306411,0.8251400124455508,-0.335386542067564,0.3692459582870541,Negative (Low/Med arousal)
114.wav,-0.1289,-0.0552,0.4,3.4472,-0.6081053610449234,0.5223874768546624,-0.9813617050630402,0.6589919103920349,-0.2348490170268065,0.3857830433172899,Negative (Low/Med arousal)
115.wav,-0.0288,-0.0123,0.4061,3.452,0.034438559026036,0.6573469412674603,0.2857585190422806,0.925948973242066,-0.2168814009902085,0.3887449092928545,Neutral
116.wav,-0.005,-0.0021,0.8972,3.7462,0.7939808026521609,0.7798519466351128,0.7252188822366474,0.9894212818917238,0.8627427230676743,0.5702826113785019,"Excited (Positive, High arousal)"
117.wav,-0.0104,-0.0044,1.5372,4.1797,0.8240616385526522,0.9064425154327213,0.650892311145778,0.9751088985687618,0.9972309659595264,0.8377761322966807,"Excited (Positive, High arousal)"
118.wav,-0.1063,-0.0456,1.236,3.9814,0.0209711399061394,0.7170722990040872,-0.9402299676847462,0.7187305538270069,0.9821722474970253,0.7154140441811675,Neutral
119.wav,-0.0394,-0.0169,1.1745,3.9307,0.4948687314255333,0.7907267707052041,0.0157455645582336,0.897324206596142,0.9739918982928332,0.6841293348142664,"Excited (Positive, High arousal)"
120.wav,-0.0909,-0.039,0.6442,3.5801,-0.1969998634054189,0.6137952893521426,-0.8706740649418557,0.7598008711885501,0.4766743381310178,0.4677897075157349,Neutral
121.wav,-0.067,-0.0287,0.1942,3.3308,-0.6576376694668249,0.5689266253919185,-0.6098038127346826,0.8238954573739888,-0.7054715261989671,0.3139577934098482,Negative (Low/Med arousal)
