filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0208,-0.0089,1.9137,4.4448,0.8937905673694481,0.9795632698768196,0.787617823805876,0.9591265397536394,0.9999633109330202,1.0,"Excited (Positive, High arousal)"
002.wav,-0.2751,-0.1179,1.0483,3.8313,0.0750456962212205,0.435305382707868,-0.8329549308273718,0.3488241881298992,0.9830463232698128,0.5217865772858369,Neutral
003.wav,-0.0413,-0.0177,0.1817,3.2678,0.0531561451393876,0.4962008884720776,0.7077747866183262,0.9098544232922732,-0.601462496339551,0.0825473536518822,Neutral
004.wav,-0.0713,-0.0306,0.6295,3.5812,0.6308242420457613,0.5822318066649284,0.5481704060193723,0.8376259798432251,0.7134780780721501,0.3268376334866317,Positive (Low/Mid arousal)
005.wav,-0.1527,-0.0655,0.1876,3.3085,-0.3480304387498857,0.3782447984719669,-0.1081347392371442,0.6422172452407614,-0.5879261382626272,0.1142723517031724,Neutral
006.wav,-0.1763,-0.0756,0.4356,3.4782,-0.0525836181649107,0.4161085383872293,-0.3082033447138232,0.5856662933930571,0.2030361083840016,0.2465507833814016,Neutral
007.wav,-0.2562,-0.1098,0.2081,3.3287,-0.6559954559807312,0.2620974299112531,-0.7737208656887303,0.3941769316909294,-0.538270046272732,0.1300179281315768,Negative (Low/Med arousal)
008.wav,-0.4205,-0.1802,0.4459,3.4688,-0.3742837067653917,0.119611816977161,-0.9863869691412112,0.0,0.2378195556104277,0.239223633954322,Negative (Low/Med arousal)
009.wav,-0.1572,-0.0674,0.3142,3.3499,-0.1844296912726584,0.3890609679550031,-0.1475172755203545,0.631578947368421,-0.2213421070249622,0.1465429885415853,Neutral
010.wav,-0.1719,-0.0737,0.2951,3.3797,-0.2785653913297194,0.3830381012293937,-0.2723556590123553,0.5963045912653975,-0.2847751236470834,0.16977161119339,Neutral
011.wav,-0.3119,-0.1337,0.3866,3.3952,-0.438827661809993,0.2211059777867141,-0.9095940192481096,0.2603583426651735,0.0319386956281234,0.1818536129082546,Negative (Low/Med arousal)
012.wav,-0.2064,-0.0885,0.4196,3.4476,-0.1896484696717069,0.3680682117441612,-0.5272998074452356,0.513437849944009,0.1480028681018218,0.2226985735443136,Neutral
013.wav,-0.0811,-0.0348,0.8676,3.7204,0.7122222296680487,0.6247257730835715,0.4842785995585107,0.8141097424412094,0.9401658597775868,0.4353418037259335,Positive (Low/Mid arousal)
014.wav,-0.0542,-0.0232,0.2498,3.3282,0.1103988184254886,0.504343768322347,0.6457200049738921,0.8790593505039194,-0.4249223681229149,0.1296281861407746,Neutral
015.wav,-0.2748,-0.1178,0.1295,3.2633,-0.7694635324995337,0.2142118871394482,-0.8321357510487573,0.3493840985442329,-0.7067913139503101,0.0790396757346636,Negative (Low/Med arousal)
016.wav,-0.1115,-0.0478,-0.1144,3.1619,-0.3442566736201974,0.3706606942889137,0.2524712482652336,0.7413213885778275,-0.9409845955056284,0.0,Neutral
017.wav,-0.1172,-0.0502,0.7136,3.6365,0.5179249597788309,0.5489133181515806,0.2044097242116252,0.7278835386338186,0.8314401953460365,0.3699430976693427,Positive (Low/Mid arousal)
018.wav,-0.0723,-0.031,0.1925,3.2908,-0.0172559717771189,0.4679309117073343,0.5419156223756421,0.8353863381858903,-0.57642756592988,0.1004754852287784,Neutral
019.wav,-0.0647,-0.0277,0.1625,3.2968,-0.0276316012555509,0.4795078854886531,0.5879261382626272,0.8538633818589025,-0.643189340773729,0.1051523891184036,Neutral
020.wav,-0.2065,-0.0885,0.2708,3.3668,-0.4449488913082608,0.3365770588873525,-0.5279419227686726,0.513437849944009,-0.361955859847849,0.159716267830696,Negative (Low/Med arousal)
021.wav,-0.2835,-0.1215,0.2052,3.337,-0.7000017666008388,0.2325775291963887,-0.8544619566992442,0.3286674132138857,-0.5455415765024334,0.1364876451788916,Negative (Low/Med arousal)
022.wav,-0.0806,-0.0345,0.2866,3.2973,0.0877094092388414,0.460665802396708,0.4876769627150421,0.8157894736842105,-0.3122581442373592,0.1055421311092055,Neutral
023.wav,-0.0987,-0.0423,0.8537,3.7291,0.6449295355682695,0.6071198878660355,0.3556950698118583,0.7721164613661814,0.9341640013246808,0.4421233143658896,Positive (Low/Mid arousal)
024.wav,-0.1351,-0.0579,0.9324,3.7992,0.504911491024742,0.5907677891032328,0.0480138458628787,0.684770436730123,0.9618091361866054,0.4967651414763426,Positive (Low/Mid arousal)
025.wav,-0.1405,-0.0602,0.1735,3.3651,-0.3098583672996003,0.4151418211312083,0.0,0.6718924972004479,-0.6197167345992006,0.1583911450619688,Neutral
026.wav,-0.3462,-0.1484,0.3265,3.4036,-0.5646508662217428,0.1832263950559242,-0.9498631671953932,0.1780515117581186,-0.1794385652480924,0.1884012783537297,Negative (Low/Med arousal)
027.wav,-0.2974,-0.1275,1.0181,3.8366,0.0472597745850131,0.410495315371101,-0.8845149829968548,0.2950727883538633,0.9790345321668812,0.5259178423883387,Neutral
028.wav,-0.1972,-0.0845,0.8486,3.7172,0.2330721404750104,0.4843408607510786,-0.4656749031213946,0.5358342665173571,0.9318191840714156,0.4328474549848001,Neutral
029.wav,-0.2514,-0.1077,1.2697,4.0079,0.1202261686272552,0.5326892494145361,-0.7560034871700171,0.4059350503919372,0.9964558244245276,0.6594434484371349,Neutral
030.wav,-0.0922,-0.0395,0.3053,3.3776,0.0769867817057909,0.4779643238997731,0.405143827348214,0.7877939529675251,-0.2511702639366321,0.1681346948320212,Neutral
031.wav,-0.089,-0.0381,0.5903,3.6515,0.533416729456249,0.5886340280808013,0.4286667915742226,0.7956326987681971,0.6381666673382753,0.3816353573934055,Positive (Low/Mid arousal)
032.wav,-0.2949,-0.1264,0.4194,3.4543,-0.3661344347903233,0.2645764595662978,-0.8795772267761133,0.301231802911534,0.1473083571954665,0.2279211162210615,Negative (Low/Med arousal)
033.wav,-0.3561,-0.1526,0.548,3.6385,-0.2086279231194586,0.2630186699943271,-0.9577912556745728,0.1545352743561029,0.5405354094356555,0.3715020656325513,Neutral
034.wav,-0.1791,-0.0768,0.1797,3.3846,-0.4682750408323242,0.3762692255621515,-0.330575467089695,0.5789473684210527,-0.6059746145749533,0.1735910827032502,Negative (Low/Med arousal)
035.wav,-0.0754,-0.0323,0.3167,3.395,0.1546277784383543,0.504902609455743,0.5221411967125518,0.828107502799552,-0.212885639835843,0.1816977161119338,Neutral
036.wav,-0.023,-0.0099,0.3776,3.4469,0.3900350651660787,0.5878401851837465,0.7800701303321574,0.9535274356103024,0.0,0.2221529347571905,Positive (Low/Mid arousal)
037.wav,-0.2411,-0.1033,0.8294,3.7083,0.1041557803866961,0.4282405780855716,-0.7139371652001663,0.4305711086226203,0.9222487259735584,0.4259100475485228,Neutral
038.wav,-0.194,-0.0831,0.3693,3.4704,-0.2362688738589449,0.392071910321459,-0.4430816751081358,0.5436730123180291,-0.0294560726097541,0.2404708083248889,Neutral
039.wav,-0.263,-0.1127,0.3818,3.4331,-0.3909922331927248,0.2946677927431524,-0.7968931573936331,0.3779395296752519,0.0149086910081834,0.211396055811053,Negative (Low/Med arousal)
040.wav,-0.0485,-0.0208,1.201,3.9643,0.8342824089994505,0.7589775736435604,0.6743306845430204,0.8924972004479282,0.9942341334558804,0.6254579468391926,"Excited (Positive, High arousal)"
