filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0019,-0.0008,1.8857,4.429,0.8670161593303145,0.9956730031591536,0.7342045979370337,0.9955849889624724,0.9998277207235954,0.9957610173558346,"Excited (Positive, High arousal)"
002.wav,-0.0269,-0.0115,1.8978,4.4343,0.6802224070745988,0.9584253127299484,0.3606043191023457,0.916850625459897,0.999840495046852,1.0,"Excited (Positive, High arousal)"
003.wav,-0.0727,-0.0311,1.1824,3.9382,0.2070642971733152,0.687921079956263,-0.5708084427821442,0.772626931567329,0.9849370371287746,0.603215228345197,Neutral
004.wav,-0.0771,-0.033,1.0845,3.8168,0.1692698779289124,0.6323822974171261,-0.6335460839526579,0.7586460632818249,0.9720858398104828,0.5061185315524274,Neutral
005.wav,-0.3176,-0.1361,0.3248,3.3999,-0.6410103408152557,0.0863392785731424,-0.9999906478128132,0.0,-0.282030033817698,0.1726785571462848,Negative (Low/Med arousal)
006.wav,-0.0303,-0.013,0.309,3.3836,-0.0175306797154433,0.5327273919307195,0.2925860119483114,0.905813097866078,-0.3276473713791981,0.1596416859953609,Neutral
007.wav,-0.0555,-0.0238,0.5069,3.2563,0.0123262355852833,0.4420845104606829,-0.2573775626471312,0.8263428991905813,0.282030033817698,0.0578261217307844,Neutral
008.wav,-0.1332,-0.0571,-0.2739,3.3041,-0.969945629886273,0.3386833664703399,-0.9643388938066344,0.5813097866077999,-0.9755523659659118,0.0960569463328799,Negative (Low/Med arousal)
009.wav,-0.1993,-0.0854,0.2617,3.3499,-0.7264819145602104,0.2528782937569596,-0.9981247674717668,0.3730684326710816,-0.4548390616486538,0.1326881548428374,Negative (Low/Med arousal)
010.wav,-0.2407,-0.1032,0.6027,3.5605,-0.2331495909443496,0.2716087506180268,-0.9997065024048684,0.2420897718910964,0.533407320516169,0.3011277293449572,Neutral
011.wav,-0.081,-0.0347,0.3026,3.3821,-0.5143551622130138,0.4522894196342104,-0.6829971270909174,0.7461368653421633,-0.3457131973351101,0.1584419739262574,Negative (Low/Med arousal)
012.wav,-0.2637,-0.113,0.2328,3.3456,-0.7622953144112831,0.1496134525947767,-0.9998952914654436,0.1699779249448123,-0.5246953373571225,0.1292489802447412,Negative (Low/Med arousal)
013.wav,-0.0375,-0.0161,-0.1744,3.2483,-0.40764072629234,0.4672149324338758,0.1391435081618502,0.8830022075055187,-0.9544249607465304,0.0514276573622329,Negative (Low/Med arousal)
014.wav,-0.1431,-0.0613,1.1403,3.9094,0.0016905878571034,0.5652927329817592,-0.9769702825338102,0.5504047093451068,0.9803514582480172,0.5801807566184115,Neutral
015.wav,-0.0099,-0.0042,0.6894,3.6203,0.6710264591679482,0.6597614217915145,0.6402055642757913,0.9705665930831492,0.7018473540601051,0.3489562504998797,Positive (Low/Mid arousal)
016.wav,-0.0516,-0.0221,0.4279,3.4074,-0.0678835561577972,0.5087646073110222,-0.1741132459182544,0.8388520971302428,0.03834613360266,0.1786771174918018,Neutral
017.wav,-0.0155,-0.0066,0.0748,3.3776,-0.1176078953819105,0.5538746933259933,0.5601387473837838,0.952906548933039,-0.7953545381476048,0.1548428377189474,Neutral
018.wav,-0.008,-0.0034,0.531,3.5198,0.5078391700761404,0.6225144081682353,0.6646500698725931,0.9764532744665196,0.3510282702796878,0.2685755418699511,Positive (Low/Mid arousal)
019.wav,-0.0467,-0.02,1.1642,3.9199,0.4585466920767663,0.7214416884318624,-0.0660084558468297,0.8543046357615894,0.9831018400003624,0.5885787411021354,Positive (Low/Mid arousal)
020.wav,-0.0487,-0.0209,0.219,3.3285,-0.3331337404609073,0.4816271909311301,-0.110468558284685,0.847682119205298,-0.5557989226371296,0.1155722626569621,Neutral
021.wav,-0.0075,-0.0032,0.6422,3.3829,0.6440868520755696,0.5685033825877372,0.6708581956260609,0.977924944812362,0.6173155085250783,0.1590818203631125,Positive (Low/Mid arousal)
022.wav,-0.0542,-0.0232,0.5211,3.4065,0.0465568987974927,0.5043576002392243,-0.2299787762629498,0.830757910228109,0.3230925738579353,0.1779572902503396,Neutral
023.wav,-0.0776,-0.0333,0.9913,3.8077,0.1549139970487204,0.6276394180481305,-0.6402055642757914,0.7564385577630611,0.9500335583732322,0.4988402783331999,Neutral
024.wav,-0.0233,-0.01,0.5069,3.5136,0.355343586633727,0.5957524425190197,0.428657139449756,0.927888153053716,0.282030033817698,0.2636167319843234,Positive (Low/Mid arousal)
025.wav,-0.1387,-0.0594,0.1204,3.2498,-0.8537723536634014,0.3085064735309735,-0.9720205055883656,0.5643855776306107,-0.7355242017384371,0.0526273694313363,Negative (Low/Med arousal)
026.wav,-0.0504,-0.0216,0.3047,3.3625,-0.2438674268764989,0.4926485046090776,-0.147922118505651,0.8425312729948491,-0.3398127352473468,0.1427657362233061,Neutral
027.wav,-0.2498,-0.1071,0.2787,3.3452,-0.7053384187881377,0.1711606285867403,-0.9998047878390108,0.213392200147167,-0.4108720497372649,0.1289290570263137,Negative (Low/Med arousal)
028.wav,-0.0299,-0.0128,0.2821,3.422,-0.0505371506885073,0.5488195415881645,0.300760367589767,0.9072847682119204,-0.4018346689667817,0.1903543149644085,Neutral
029.wav,-0.0237,-0.0102,1.4439,4.1119,0.7092229365228945,0.8342791843276232,0.421312770193701,0.9264164827078736,0.997133102852088,0.7421418859473726,"Excited (Positive, High arousal)"
030.wav,-0.0148,-0.0064,0.6933,3.613,0.6394507469704325,0.6487479355212291,0.570808442782144,0.9543782192788816,0.7080930511587209,0.3431176517635765,Positive (Low/Mid arousal)
031.wav,-0.0022,-0.001,1.5374,4.1587,0.864754440665739,0.8868431105600143,0.731090581961374,0.99411331861663,0.9984182993701042,0.7795729025033986,"Excited (Positive, High arousal)"
032.wav,-0.0146,-0.0063,0.028,3.184,-0.1350779383916643,0.4775570272259014,0.5738221525062083,0.9551140544518028,-0.843978029289537,0.0,Neutral
033.wav,-0.0562,-0.0241,0.232,3.3353,-0.3992514665383536,0.4725731755210243,-0.2719642291073435,0.8241353936718175,-0.5265387039693638,0.1210109573702311,Negative (Low/Med arousal)
034.wav,-0.0067,-0.0029,1.2744,4.0325,0.8360929506539259,0.8293847887103118,0.6805987660577443,0.9801324503311256,0.9915871352501074,0.6786371270894981,"Excited (Positive, High arousal)"
035.wav,-0.0825,-0.0354,1.1116,3.8923,0.1379685022054214,0.6537450290811735,-0.700520996874704,0.7409860191317145,0.9764580012855468,0.5665040390306325,Neutral
036.wav,-0.0701,-0.03,0.1673,3.33,-0.5946958101727969,0.4487465465977642,-0.5302260177752545,0.7807211184694629,-0.6591656025703394,0.1167719747260656,Negative (Low/Med arousal)
037.wav,-0.0373,-0.016,0.2009,3.3308,-0.2254056405301591,0.5005749319206804,0.143535636861849,0.88373804267844,-0.5943469179221673,0.1174118211629207,Neutral
038.wav,-0.0534,-0.0229,0.7968,3.7021,0.3123037892429494,0.6236729822075961,-0.2129318027251656,0.8329654157468727,0.8375393812110645,0.4143805486683195,Neutral
039.wav,-0.086,-0.0369,0.1671,3.291,-0.6989173043609413,0.4077639762336361,-0.7383090675896631,0.7299484915378955,-0.6595255411322197,0.0855794609293767,Negative (Low/Med arousal)
040.wav,-0.1348,-0.0578,0.4604,3.4638,-0.4129351128402098,0.3999726158437206,-0.9667654984305392,0.576158940397351,0.1408952727501196,0.2237862912900902,Negative (Low/Med arousal)
041.wav,-0.0982,-0.0421,0.1359,3.2527,-0.7758664839465033,0.3733159376554629,-0.8396935855126122,0.6916850625459897,-0.7120393823803942,0.0549468127649362,Negative (Low/Med arousal)
042.wav,-0.014,-0.006,0.4905,3.5056,0.4080329105796169,0.6072699137931692,0.5827705151806184,0.9573215599705666,0.2332953059786154,0.2572182676157719,Positive (Low/Mid arousal)
043.wav,-0.0607,-0.026,0.3732,3.43,-0.2487566582598328,0.5034536523596368,-0.3625521871523779,0.8101545253863135,-0.1349611293672878,0.19675277933296,Neutral
044.wav,-0.0611,-0.0262,0.0974,3.3007,-0.5688380593499054,0.4510102270083582,-0.3703119180369498,0.808682855040471,-0.767364200662861,0.0933375989762455,Negative (Low/Med arousal)
045.wav,-0.0692,-0.0297,0.772,3.6972,0.1483905965086464,0.5966950566154041,-0.5155737072755334,0.7829286239882266,0.8123549002928262,0.4104614892425816,Neutral
046.wav,-0.083,-0.0356,0.3774,3.3995,-0.4139960022329232,0.4559364913568647,-0.7061822750724376,0.7395143487858721,-0.1218097293934089,0.1723586339278573,Negative (Low/Med arousal)
047.wav,-0.0228,-0.0098,1.1794,3.8977,0.7112036182783387,0.7500914129394816,0.4377584814719894,0.9293598233995584,0.984648755084688,0.5708230024794047,Positive (Low/Mid arousal)
048.wav,-0.0661,-0.0283,0.6993,3.6165,0.1273614559844666,0.5695736481669711,-0.4627666684397339,0.7932303164091244,0.7174895804086672,0.3459169799248177,Neutral
049.wav,-0.2694,-0.1155,0.3483,3.4493,-0.6058649037507833,0.1818855601219356,-0.9999188955800596,0.1515820456217806,-0.211810911921507,0.2121890746220905,Negative (Low/Med arousal)
050.wav,-0.0408,-0.0175,0.6616,3.6762,0.360051569566777,0.6331830176798775,0.0660084558468296,0.8727005150846211,0.6540946832867244,0.3936655202751339,Positive (Low/Mid arousal)
051.wav,-0.0062,-0.0027,1.5276,4.1862,0.8424418864838593,0.8915858722236318,0.6865672350335865,0.9816041206769685,0.998316537934132,0.8015676237702952,"Excited (Positive, High arousal)"
052.wav,-0.0089,-0.0038,-0.0607,3.6493,-0.1274880787855391,0.6728303088053569,0.6532403676041618,0.9735099337748344,-0.90821652517524,0.3721506838358793,Neutral
053.wav,-0.0067,-0.0029,0.2459,3.356,0.0933934548699259,0.5588497171274919,0.6805987660577443,0.9801324503311256,-0.4938118563178923,0.137566983923858,Neutral
054.wav,-0.0005,-0.0002,0.211,3.3299,0.087591599351796,0.5583459969607293,0.7483350602086469,1.0,-0.5731518615050549,0.1166919939214585,Neutral
055.wav,-0.027,-0.0116,0.7415,3.665,0.5676390043076686,0.6504112302230687,0.3586533005463186,0.9161147902869756,0.7766247080690184,0.3847076701591616,Positive (Low/Mid arousal)
056.wav,-0.0277,-0.0119,0.1506,3.2722,-0.1716397925183261,0.4922251772157464,0.3449089765486555,0.913907284768212,-0.6881885615853078,0.0705430696632808,Neutral
057.wav,-0.0033,-0.0014,0.3689,3.4293,0.2855157684591954,0.5936814458128282,0.7194080725060121,0.9911699779249448,-0.1483765355876212,0.1961929137007116,Neutral
058.wav,-0.0469,-0.0201,0.2071,3.3107,-0.3259498277416143,0.4774522400128016,-0.0704692453909805,0.8535688005886681,-0.5814304100922482,0.1013356794369351,Neutral
059.wav,-0.2104,-0.0902,0.3132,3.3961,-0.6572591891785782,0.2536938154710418,-0.998859307802926,0.3377483443708609,-0.3156590705542302,0.1696392865712228,Negative (Low/Med arousal)
060.wav,-0.0742,-0.0318,1.101,3.8617,0.1909001932081735,0.6547529990889014,-0.593034434814965,0.7674760853568802,0.9748348212313122,0.5420299128209227,Neutral
061.wav,-0.0058,-0.0025,0.2831,3.3755,0.1460574178322516,0.5681195159225068,0.6912763746391388,0.983075791022811,-0.3991615389746354,0.1531632408222026,Neutral
062.wav,-0.0926,-0.0397,0.4951,3.5044,-0.2757361746669742,0.4828018023282946,-0.7985679475914587,0.7093451066961001,0.2470955982575103,0.2562584979604893,Neutral
063.wav,-0.0264,-0.0113,0.9562,3.7615,0.6541099415770051,0.690105721205277,0.3703119180369496,0.9183222958057397,0.9379079651170604,0.4618891466048145,Positive (Low/Mid arousal)
064.wav,-0.0518,-0.0222,0.0598,3.5594,-0.4953511141550807,0.5691821012258014,-0.1784556309794555,0.8381162619573216,-0.8122465973307059,0.3002479404942813,Negative (Low/Med arousal)
065.wav,-0.0209,-0.009,0.4601,3.5488,0.3057423057366737,0.6135082399944395,0.471525647290347,0.9352465047829286,0.1399589641830003,0.2917699752059504,Neutral
066.wav,-0.0158,-0.0068,1.3514,4.066,0.7751736640957386,0.8284327876100022,0.5555081015845807,0.9514348785871966,0.9948392266068964,0.7054306966328078,"Excited (Positive, High arousal)"
067.wav,-0.0561,-0.024,0.4293,3.4815,-0.1135458744597927,0.5314070612751247,-0.2698878763032853,0.8248712288447388,0.0427961273836999,0.2379428937055105,Neutral
068.wav,-0.0665,-0.0285,0.4124,3.473,-0.2403824527376105,0.511451585688603,-0.469781192756199,0.7917586460632818,-0.010983712719022,0.2311445253139243,Neutral
069.wav,-0.0095,-0.0041,0.5568,3.5529,0.5331713659439927,0.6331758082254519,0.6454648363436555,0.9713024282560708,0.4208778955443299,0.2950491881948332,Positive (Low/Mid arousal)
070.wav,-0.0054,-0.0023,0.5297,3.5194,0.5216607890502765,0.6264015400100885,0.6959275181740681,0.9845474613686536,0.3473940599264848,0.2682556186515235,Positive (Low/Mid arousal)
071.wav,-0.0271,-0.0116,0.2275,3.3581,-0.0900581923103101,0.5276806855537892,0.3566991434754722,0.9161147902869756,-0.5368155280960925,0.1392465808206028,Neutral
072.wav,-0.0162,-0.0069,0.4193,3.4823,0.2801318126694986,0.5946408917783205,0.5492799126199752,0.9506990434142754,0.010983712719022,0.2385827401423656,Neutral
073.wav,-0.0035,-0.0015,0.6673,3.5678,0.6907970378326818,0.648700235416642,0.7172389043894124,0.9904341427520236,0.6643551712759511,0.3069663280812604,Positive (Low/Mid arousal)
074.wav,-0.0159,-0.0068,0.3664,3.44,0.1989026748010341,0.5780928691904229,0.5539568370816511,0.9514348785871966,-0.1561514874795827,0.2047508597936493,Neutral
075.wav,-0.0129,-0.0055,0.2631,3.3694,0.0737589408171978,0.5546425737881775,0.5988145747364637,0.9610007358351728,-0.451296693102068,0.1482844117411821,Neutral
076.wav,-0.0798,-0.0342,0.2844,3.3767,-0.5320311971898102,0.4519695258421274,-0.6683860905459138,0.7498160412067697,-0.3956763038337064,0.1541230104774852,Negative (Low/Med arousal)
077.wav,-0.0035,-0.0015,0.2929,3.3847,0.172314747332185,0.5754778087990302,0.7172389043894124,0.9904341427520236,-0.3726094097250423,0.1605214748460368,Neutral
078.wav,-0.0054,-0.0023,0.4094,3.437,0.3376974056388477,0.593449448512048,0.6959275181740681,0.9845474613686536,-0.0205327068963725,0.2023514356554424,Neutral
079.wav,-0.0308,-0.0132,1.1901,3.9594,0.6339801669934486,0.762256293221047,0.2823077327451962,0.9043414275202356,0.985652601241701,0.6201711589218586,"Excited (Positive, High arousal)"
