filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0048,-0.0021,1.9124,4.4446,0.8098877762836134,0.9938471502590672,0.6200446158731081,0.9876943005181348,0.9997309366941188,1.0,"Excited (Positive, High arousal)"
002.wav,-0.0335,-0.0144,0.249,3.4019,-0.1217272341192456,0.6772464194462391,0.2365632188368399,0.9080310880829016,-0.4800176870753312,0.4464617508095767,Neutral
003.wav,-0.0546,-0.0234,-0.4614,3.1121,-0.5521126314320424,0.571178264802955,-0.1141635377179316,0.8497409326424871,-0.990061725146153,0.2926155969634229,Negative (Low/Med arousal)
004.wav,-0.0478,-0.0205,-0.3257,3.3313,-0.4888711706299631,0.6387528190439883,0.0,0.8685233160621763,-0.9777423412599264,0.4089823220258002,Negative (Low/Med arousal)
005.wav,-0.0298,-0.0128,0.2003,3.3085,-0.1448301809302232,0.6576361331092127,0.2945313502381711,0.9183937823834196,-0.5841917120986176,0.3968784838350054,Neutral
006.wav,-0.0771,-0.033,0.2515,3.2322,-0.4658367937935922,0.5719689311714542,-0.457436398137962,0.7875647668393783,-0.4742371894492224,0.3563730955035302,Negative (Low/Med arousal)
007.wav,-0.0552,-0.0236,0.2852,3.454,-0.2582685866676631,0.6612828393353286,-0.1241371761780674,0.8484455958549222,-0.3923999971572588,0.474120082815735,Neutral
008.wav,-0.0254,-0.0109,0.2697,3.2979,-0.03510376200444,0.6609753713408815,0.3607212801485743,0.9306994818652852,-0.4309288041574545,0.391251260816478,Neutral
009.wav,-0.0373,-0.016,1.4605,4.1052,0.5856037610216427,0.858745541585145,0.1752266347088851,0.8976683937823835,0.9959808873344002,0.8198226893879066,"Excited (Positive, High arousal)"
010.wav,-0.0099,-0.0043,1.1026,3.8863,0.7652614692998101,0.838530410604639,0.5642728062065554,0.9734455958549224,0.9662501323930648,0.7036152253543556,"Excited (Positive, High arousal)"
011.wav,-0.1082,-0.0464,0.4207,3.5089,-0.389114063859289,0.6020210265817385,-0.7692471340478407,0.7007772020725389,-0.0089809936707372,0.503264851090938,Negative (Low/Med arousal)
012.wav,-0.0099,-0.0042,0.7843,3.6886,0.6786514568356302,0.7863777358032821,0.5642728062065554,0.9740932642487048,0.793030107464705,0.5986622073578595,"Excited (Positive, High arousal)"
013.wav,-0.0186,-0.008,0.6087,3.5803,0.4797483881629006,0.7453254206182792,0.4561019829185704,0.949481865284974,0.5033947934072309,0.5411689759515844,Positive (Low/Mid arousal)
014.wav,-0.0396,-0.017,0.7812,3.6608,0.4634783565759195,0.7375478642655935,0.1373961053029194,0.8911917098445596,0.7895606078489197,0.5839040186866272,Positive (Low/Mid arousal)
015.wav,-0.052,-0.0223,0.3085,3.5812,-0.2012649619198759,0.6992560220060782,-0.0707033605616516,0.8568652849740932,-0.3318265632781002,0.5416467590380633,Neutral
016.wav,-0.0877,-0.0376,0.3235,3.3905,-0.4390549048718801,0.599090926219784,-0.586821673844282,0.7577720207253886,-0.2912881358994783,0.4404098317141793,Negative (Low/Med arousal)
017.wav,-0.0434,-0.0186,-0.1464,3.1987,-0.4310937342890641,0.6097089814143204,0.0740581429342998,0.8808290155440415,-0.936245611512428,0.3385889472845994,Negative (Low/Med arousal)
018.wav,-0.0156,-0.0067,1.4955,4.149,0.7459843152833929,0.9004881770003418,0.4952291254722678,0.957901554404145,0.996739505094518,0.8430747995965385,"Excited (Positive, High arousal)"
019.wav,-0.0305,-0.0131,0.0592,3.2523,-0.2568042066762976,0.6417471808184806,0.283714605718683,0.9164507772020726,-0.7973230190712783,0.3670435844348886,Neutral
020.wav,-0.141,-0.0604,0.2473,3.1096,-0.7005994474568469,0.4506960243331046,-0.9172740964849136,0.6101036269430051,-0.4839247984287802,0.2912884217232042,Negative (Low/Med arousal)
021.wav,-0.0809,-0.0347,0.5417,3.5709,-0.0836658538401487,0.6563666005967199,-0.5065969060092124,0.7765544041450777,0.3392651983289149,0.5361787970483621,Neutral
022.wav,-0.1236,-0.053,0.2205,3.543,-0.6994718334345291,0.5896993047252115,-0.8559939015372807,0.6580310880829016,-0.5429497653317776,0.5213675213675213,Negative (Low/Med arousal)
023.wav,-0.1611,-0.0691,0.202,3.283,-0.7689781286774426,0.4685488865343561,-0.9571269810814642,0.5537564766839378,-0.5808292762734211,0.3833412963847745,Negative (Low/Med arousal)
024.wav,-0.1058,-0.0453,1.4401,3.6931,0.1216280325011828,0.654476338597199,-0.7522038537700012,0.707901554404145,0.9954599187723668,0.601051122790253,Neutral
025.wav,-0.031,-0.0133,0.4006,3.782,0.1034491233055211,0.7817004573734693,0.2759437226711207,0.9151554404145078,-0.0690454760600785,0.6482454743324307,Neutral
026.wav,-0.124,-0.0531,0.3256,3.3967,-0.5716552459928155,0.5505423229995204,-0.8577862673578047,0.6573834196891191,-0.2855242246278262,0.4437012263099218,Negative (Low/Med arousal)
027.wav,-0.0395,-0.0169,1.1219,3.8994,0.5544639760480004,0.8012045009257218,0.1390501153629974,0.891839378238342,0.9698778367330032,0.7105696236131017,"Excited (Positive, High arousal)"
028.wav,-0.0056,-0.0024,0.1958,3.3228,0.0093377187168203,0.695110610772922,0.6116715047619209,0.9857512953367876,-0.5929960673282803,0.4044699262090565,Neutral
029.wav,-0.002,-0.0008,1.9024,4.4372,0.8239872612622463,0.996092775463129,0.6482601856659796,0.9961139896373058,0.9997143368585132,0.9960715612889524,"Excited (Positive, High arousal)"
030.wav,-0.0874,-0.0375,0.5523,3.5675,-0.1082285802691737,0.6463967639204178,-0.5834951522497039,0.7584196891191709,0.3670379917113565,0.5343738387216647,Neutral
031.wav,-0.1752,-0.0751,0.1813,3.2634,-0.7967756773860379,0.4439163077792272,-0.9731337154373442,0.5148963730569948,-0.6204176393347318,0.3729362425014597,Negative (Low/Med arousal)
032.wav,-0.1296,-0.0556,0.1773,3.2991,-0.7542652626019173,0.5165400073881714,-0.8808019575863099,0.6411917098445596,-0.6277285676175248,0.3918883049317831,Negative (Low/Med arousal)
033.wav,-0.056,-0.024,1.6969,4.2145,0.4308132470837087,0.8618508565850309,-0.1373961053029194,0.8458549222797928,0.9990225994703368,0.8778467908902691,"Excited (Positive, High arousal)"
034.wav,-0.0188,-0.0081,0.2472,3.3278,-0.0153635191704595,0.6779792367903428,0.4534269928931371,0.9488341968911918,-0.4841540312340561,0.4071242766894938,Neutral
035.wav,-0.1032,-0.0442,0.7813,3.6555,0.0285706462374934,0.6480581569565573,-0.7325320313836144,0.7150259067357513,0.7896733238586013,0.5810904071773635,Neutral
036.wav,-0.1044,-0.0448,0.649,3.5763,-0.0769221999965189,0.6250926959701457,-0.7417705382556651,0.711139896373057,0.5879261382626272,0.5390454955672345,Neutral
037.wav,-0.061,-0.0261,0.6154,3.5728,0.1496203923516332,0.6847206681206455,-0.2189775896542207,0.8322538860103627,0.5182183743574873,0.5371874502309283,Neutral
038.wav,-0.0187,-0.008,0.325,3.3128,0.0837961633806437,0.6743215452665778,0.4547655135466703,0.949481865284974,-0.2871731867853828,0.3991612252481817,Neutral
039.wav,-0.0899,-0.0385,0.3845,3.4314,-0.3637170461179509,0.6070327119127524,-0.6106150776020987,0.7519430051813472,-0.1168190146338032,0.4621224186441576,Negative (Low/Med arousal)
040.wav,-0.3012,-0.1291,0.7611,3.6629,-0.1169061444029067,0.3750871431514594,-0.9996113553326056,0.1651554404145077,0.7657990665267921,0.585018845888411,Neutral
041.wav,-0.003,-0.0013,1.9094,4.4428,0.81905155065664,0.9959600407477182,0.6383770406605904,0.992875647668394,0.9997260606526897,0.9990444338270424,"Excited (Positive, High arousal)"
042.wav,-0.041,-0.0176,0.2881,3.3971,-0.1354332448340265,0.6656096369151111,0.1141635377179316,0.8873056994818653,-0.3850300273859847,0.4439135743483568,Neutral
043.wav,-0.0886,-0.038,0.3836,3.4462,-0.3580794464191417,0.6125803216082558,-0.5966831195328007,0.7551813471502591,-0.1194757733054827,0.4699792960662525,Negative (Low/Med arousal)
044.wav,-0.0119,-0.0051,0.692,3.5904,0.6033417532455339,0.7573975063133657,0.5408494255701217,0.9682642487046632,0.665834080920946,0.546530763922068,"Excited (Positive, High arousal)"
045.wav,-0.1264,-0.0542,0.2303,3.3266,-0.6950227032558494,0.5283731499658509,-0.8681142405945338,0.6502590673575129,-0.5219311659171649,0.4064872325741889,Negative (Low/Med arousal)
046.wav,-0.1586,-0.068,0.2726,3.3527,-0.6886380652112073,0.4906118855488082,-0.9534433383280478,0.560880829015544,-0.4238327920943668,0.4203429420820724,Negative (Low/Med arousal)
