filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0183,-0.0078,1.7811,4.3246,0.7558375791310945,0.9383345069495894,0.5118632077013239,0.9522292993630572,0.999811950560865,0.9244397145361216,"Excited (Positive, High arousal)"
002.wav,-0.0135,-0.0058,1.9081,4.4401,0.798047743276774,0.9808564315101214,0.5961757290177994,0.964968152866242,0.9999197575357486,0.9967447101540006,"Excited (Positive, High arousal)"
003.wav,-0.237,-0.1016,0.1624,3.3413,-0.8296821553678823,0.3318269975334121,-0.9999075040896432,0.3547770700636942,-0.6594568066461213,0.3088769250031301,Negative (Low/Med arousal)
004.wav,-0.0469,-0.0201,0.7278,3.6279,0.3210044069729792,0.6810894136092169,-0.1599339213980311,0.8738853503184713,0.8019427353439895,0.4882934768999625,Neutral
005.wav,-0.1183,-0.0507,0.76,3.7309,-0.0624767168774018,0.6158770741308129,-0.9622331700405328,0.6789808917197452,0.8372797362857289,0.5527732565418807,Neutral
006.wav,-0.0331,-0.0142,1.2592,3.9883,0.5904135428681446,0.8126875360358674,0.1870359402994196,0.9114649681528664,0.9937911454368696,0.7139101039188684,"Excited (Positive, High arousal)"
007.wav,-0.04,-0.0172,0.2518,3.3537,-0.2209463401929268,0.6044981135746863,0.0139715923921845,0.8923566878980892,-0.4558642727780382,0.3166395392512833,Neutral
008.wav,-0.0094,-0.004,0.2934,3.3604,0.1602535027711671,0.6486334880167532,0.6591740791741605,0.9764331210191082,-0.3386670736318263,0.3208338550143983,Neutral
009.wav,-0.0259,-0.0111,0.5237,3.4903,0.3762646636277001,0.6666818452596935,0.355894123140901,0.9312101910828026,0.3966352041144992,0.4021534994365845,Positive (Low/Mid arousal)
010.wav,-0.0812,-0.0348,0.3185,3.3966,-0.5185711736997186,0.5618752287754224,-0.7749869168519286,0.7802547770700636,-0.2621554305475087,0.3434956804807812,Negative (Low/Med arousal)
011.wav,-0.0333,-0.0143,-0.3995,3.0724,-0.4042196067632822,0.5256844522029827,0.1821281515548904,0.9108280254777068,-0.9905673650814548,0.1405408789282584,Negative (Low/Med arousal)
012.wav,-0.0276,-0.0118,0.1407,3.1419,-0.190508090437613,0.5554003360556445,0.3176119675275256,0.9267515923566878,-0.6986281484027517,0.1840490797546013,Neutral
013.wav,-0.0853,-0.0366,0.2554,3.3401,-0.6298004314110455,0.5384577565933177,-0.8133518688104551,0.7687898089171975,-0.446248994011636,0.3081257042694379,Negative (Low/Med arousal)
014.wav,-0.0401,-0.0172,0.384,3.3986,-0.018659222425777,0.6185522014675122,0.0114315487723065,0.8923566878980892,-0.0487499936238606,0.3447477150369351,Neutral
015.wav,-0.0139,-0.0059,0.3155,3.3978,0.1590436670970685,0.6542890557027783,0.5895859840205728,0.9643312101910828,-0.2714986498264357,0.3442469012144736,Neutral
016.wav,-0.0635,-0.0272,0.5352,3.5288,-0.0481211498205685,0.6274587925123548,-0.5248673852022385,0.8286624203821655,0.4286250855611014,0.4262551646425441,Neutral
017.wav,-0.0341,-0.0146,0.175,3.3267,-0.2362514848203469,0.6043271350977185,0.1624083835899043,0.9089171974522292,-0.6349113532305982,0.2997370727432079,Neutral
018.wav,-0.094,-0.0403,-0.0479,3.3997,-0.8902539430685148,0.5453296319895627,-0.8758988465612894,0.7452229299363057,-0.90460903957574,0.3454363340428197,Negative (Low/Med arousal)
019.wav,-0.011,-0.0047,0.4566,3.4153,0.4138994948024612,0.6635883629369062,0.635569002183468,0.9719745222929936,0.1922299874214543,0.3552022035808187,Positive (Low/Mid arousal)
020.wav,-0.0922,-0.0395,0.2799,3.3992,-0.6214641922750449,0.5477208983706804,-0.864817133573754,0.7503184713375796,-0.3781112509763358,0.3451233254037812,Negative (Low/Med arousal)
021.wav,-0.0588,-0.0252,0.4667,3.4722,-0.1042091394934449,0.6161119302943716,-0.4330405806962136,0.8414012738853502,0.2246223017093236,0.390822586703393,Neutral
022.wav,-0.0431,-0.0185,0.3692,3.3878,-0.0813951220885175,0.611031580777362,-0.0646911282168454,0.8840764331210191,-0.0980991159601897,0.3379867284337047,Neutral
023.wav,-0.0325,-0.0139,0.2027,3.4083,-0.1872366236696701,0.6320979394063124,0.201702492134256,0.913375796178344,-0.5761757394735963,0.3508200826342808,Neutral
024.wav,-0.0764,-0.0327,0.913,3.7817,0.1084867677486731,0.6891027537582968,-0.7214935024525501,0.7936305732484076,0.9384670379498964,0.5845749342681859,Neutral
025.wav,-0.0823,-0.0353,0.2416,3.3507,-0.6342207043796362,0.5459157755556601,-0.7859086443559751,0.7770700636942675,-0.4825327644032974,0.3147614874170526,Negative (Low/Med arousal)
026.wav,-0.0142,-0.0061,0.2378,3.3315,0.046171909154938,0.6328996402593706,0.5845915489253395,0.9630573248407645,-0.4922477306154634,0.3027419556779768,Neutral
027.wav,-0.0773,-0.0331,0.4558,3.5218,-0.2713153149210442,0.6064779231218884,-0.7322758783117796,0.7910828025477707,0.1896452484696911,0.421873043696006,Neutral
028.wav,-0.0194,-0.0083,0.8335,3.6316,0.6941498740464255,0.7198271634080541,0.4909461521533083,0.949044585987261,0.8973535959395426,0.490609740828847,Positive (Low/Mid arousal)
029.wav,-0.0696,-0.0298,0.1738,3.3138,-0.6326217795758713,0.5518816803420208,-0.6279365783145034,0.8121019108280255,-0.6373069808372392,0.2916614498560161,Negative (Low/Med arousal)
