filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.wav,-0.0266,-0.0114,1.9143,4.4459,0.3896470433425793,0.9414838035527692,-0.2196716928939393,0.8829676071055381,0.998965779579098,1.0,"Excited (Positive, High arousal)"
002.wav,-0.131,-0.0561,-0.2573,3.037,-0.9797375359712794,0.2079414838035528,-0.9999057265324026,0.4158829676071056,-0.959569345410156,0.0,Negative (Low/Med arousal)
003.wav,-0.0645,-0.0277,0.2208,3.3337,-0.7760350050211915,0.4616167500038752,-0.9603624872850812,0.7126436781609196,-0.5917075227573019,0.2105898218468308,Negative (Low/Med arousal)
004.wav,-0.0733,-0.0314,0.704,3.6602,-0.2248795047677008,0.5581560438333025,-0.9820305820831524,0.6739811912225706,0.5322715725477508,0.4423308964440345,Neutral
005.wav,-0.017,-0.0073,0.2951,3.3765,-0.1194113841114774,0.5833889767638523,0.2109796276439098,0.9258098223615464,-0.4498023958668646,0.2409681311661581,Neutral
006.wav,-0.0376,-0.0161,-0.3616,3.4637,-0.7981160700532606,0.5683580934547083,-0.6197640101166997,0.8338557993730408,-0.9764681299898216,0.3028603875363758,Negative (Low/Med arousal)
007.wav,-0.0681,-0.0292,0.2611,3.3558,-0.7448159943075152,0.4616227574918752,-0.9712911721048614,0.696969696969697,-0.5183408165101691,0.2262758180140535,Negative (Low/Med arousal)
008.wav,-0.0513,-0.022,1.3478,4.0415,0.052947100018829,0.7425861850174288,-0.873812680832066,0.7722048066875653,0.979706880869724,0.7129675633472923,Neutral
009.wav,-0.0545,-0.0234,0.2101,3.3021,-0.7569688388781062,0.4728683671121033,-0.904207310384622,0.7575757575757576,-0.6097303673715903,0.188160976648449,Negative (Low/Med arousal)
010.wav,-0.0148,-0.0063,1.4867,4.0893,0.6473391267317514,0.8415769418667252,0.3044877363846352,0.9362591431556948,0.9901905170788676,0.7468947405777555,"Excited (Positive, High arousal)"
011.wav,-0.0295,-0.0126,0.2792,3.3707,-0.4119082714668061,0.5536399332708999,-0.341221958236354,0.8704284221525601,-0.4825945846972581,0.2368514443892397,Negative (Low/Med arousal)
012.wav,-0.0939,-0.0402,0.2225,3.3416,-0.7930091469840241,0.3991121006902456,-0.9972304787692766,0.5820271682340649,-0.5887878151987718,0.2161970331464264,Negative (Low/Med arousal)
013.wav,-0.021,-0.009,1.2384,3.994,0.4980247304006952,0.7936496476014958,0.0318907721745941,0.9080459770114944,0.9641586886267964,0.6792533181914971,"Excited (Positive, High arousal)"
014.wav,-0.0419,-0.0179,0.8816,3.7269,0.0300154981398251,0.6523599081610836,-0.7261758124662827,0.8150470219435737,0.786206808745933,0.4896727943785933,Neutral
015.wav,-0.0466,-0.02,0.3419,3.3929,-0.5794161569759735,0.5228559330952737,-0.8126506183347938,0.7931034482758621,-0.3461816956171532,0.2526084179146853,Negative (Low/Med arousal)
016.wav,-0.0238,-0.0102,0.3627,3.421,-0.1962291861383837,0.5840299238168938,-0.0954136370022422,0.8955067920585162,-0.2970447352745251,0.2725530555752714,Neutral
017.wav,-0.0102,-0.0044,0.5411,3.4912,0.3216736700859605,0.6392460068561013,0.480856316188778,0.9561128526645768,0.162491023983143,0.3223791610476259,Neutral
018.wav,-0.0441,-0.0189,0.5351,3.5103,-0.3115786142064682,0.570266768808796,-0.7702128767456514,0.8045977011494253,0.1470556483327149,0.3359358364681666,Neutral
019.wav,-0.0393,-0.0168,0.223,3.3378,-0.6265668409311522,0.5200205841755499,-0.6652075435996774,0.826541274817137,-0.5879261382626272,0.2134998935339628,Negative (Low/Med arousal)
020.wav,-0.0314,-0.0135,0.3258,3.3896,-0.3991619503984471,0.555645099265581,-0.4153545625669152,0.8610240334378266,-0.3829693382299791,0.2502661650933354,Negative (Low/Med arousal)
021.wav,-0.0104,-0.0044,0.3546,3.3841,0.0787167327631501,0.601237631527831,0.4738184606881355,0.9561128526645768,-0.3163849951618351,0.2463624103910853,Neutral
022.wav,-0.0131,-0.0056,0.3549,3.4284,0.0286764590833979,0.6106895238976761,0.3730261591010504,0.9435736677115988,-0.3156732409342544,0.2778053800837533,Neutral
023.wav,-0.021,-0.009,1.33,4.0935,0.5048117586191126,0.8289608833173022,0.0318907721745941,0.9080459770114944,0.9777327450636312,0.7498757896231101,"Excited (Positive, High arousal)"
024.wav,-0.059,-0.0253,0.3724,3.4386,-0.6044784945727453,0.5113835593446736,-0.935396444498638,0.7377220480668757,-0.2735605446468523,0.2850450706224715,Negative (Low/Med arousal)
025.wav,-0.0037,-0.0016,0.1341,3.3929,-0.0226564409004276,0.6189896844014388,0.6752475973669051,0.9853709508881924,-0.7205604791677604,0.2526084179146853,Neutral
026.wav,-0.0077,-0.0033,0.3737,3.4322,0.1465852097342372,0.6240548126171785,0.5635579378499685,0.96760710553814,-0.2703875183814941,0.2805025196962169,Neutral
027.wav,-0.1575,-0.0675,0.9499,3.5442,-0.0770625312506507,0.3283789357297425,-0.9999915780902208,0.296760710553814,0.8458665155889195,0.3599971609056711,Neutral
028.wav,-0.0426,-0.0182,0.7088,3.6218,-0.0998153440858863,0.6134939082959182,-0.7409084001591478,0.8119122257053292,0.5412777119873751,0.4150755908865072,Neutral
029.wav,-0.0058,-0.0025,0.141,3.457,-0.045968650286526,0.637035733354456,0.6197640101166997,0.9759665621734588,-0.7117013106897517,0.2981049045354531,Neutral
030.wav,-0.011,-0.0047,0.2909,3.3816,-0.0031242639076307,0.5987830164309248,0.4523402020010165,0.9529780564263324,-0.458588729816278,0.2445879764355172,Neutral
031.wav,-0.025,-0.0107,0.2857,3.3684,-0.3093067485643566,0.5627505484057795,-0.1492695047922233,0.8902821316614421,-0.4693439923364898,0.235218965150117,Neutral
032.wav,-0.0486,-0.0208,0.1583,3.3504,-0.7649283027647857,0.5035935161552849,-0.8413954639465139,0.7847439916405434,-0.6884611415830577,0.2224430406700263,Negative (Low/Med arousal)
033.wav,-0.0614,-0.0263,0.7594,3.6474,-0.1595088818936316,0.5802592609321264,-0.9477582187601424,0.7272727272727273,0.6287404549728792,0.4332457945915255,Neutral
034.wav,-0.0664,-0.0285,0.6983,3.6649,-0.2225708994109263,0.5749755269030516,-0.9665600152103048,0.7042842215256009,0.521418216388452,0.4456668322805024,Neutral
035.wav,-0.0097,-0.0042,0.9694,3.7778,0.6790249900833529,0.742001493268684,0.4981814930063696,0.9582027168234066,0.8598684871603361,0.5258002697139613,Positive (Low/Mid arousal)
036.wav,-0.0333,-0.0143,-0.0216,3.2866,-0.6754682190464119,0.5149120314632172,-0.4843522330530286,0.852664576802508,-0.8665842050397952,0.1771594861239264,Negative (Low/Med arousal)
