topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",5
-1,Outlier,Negative (Low/Med arousal),9
-1,Outlier,Neutral,18
-1,Outlier,Positive (Low/Mid arousal),9
0,"top line, previous question, overall equation, meaningful part, meaningful number, good job, forward outlook, directional commentary, adjusted earnings, ","Excited (Positive, High arousal)",8
0,"top line, previous question, overall equation, meaningful part, meaningful number, good job, forward outlook, directional commentary, adjusted earnings, ",Negative (Low/Med arousal),4
0,"top line, previous question, overall equation, meaningful part, meaningful number, good job, forward outlook, directional commentary, adjusted earnings, ",Neutral,27
0,"top line, previous question, overall equation, meaningful part, meaningful number, good job, forward outlook, directional commentary, adjusted earnings, ",Positive (Low/Mid arousal),5
1,"small group, large group, medical benefit, total health, medical cost, compliant individual, strong underwriting, premium yields, continued repositioning, higher premium","Excited (Positive, High arousal)",3
1,"small group, large group, medical benefit, total health, medical cost, compliant individual, strong underwriting, premium yields, continued repositioning, higher premium",Negative (Low/Med arousal),15
1,"small group, large group, medical benefit, total health, medical cost, compliant individual, strong underwriting, premium yields, continued repositioning, higher premium",Neutral,19
1,"small group, large group, medical benefit, total health, medical cost, compliant individual, strong underwriting, premium yields, continued repositioning, higher premium",Positive (Low/Mid arousal),4
2,"adjusted earnings, quarterly shareholder, adjusted revenue, strong performance, basic share, additional capital, , , , ",Negative (Low/Med arousal),3
2,"adjusted earnings, quarterly shareholder, adjusted revenue, strong performance, basic share, additional capital, , , , ",Neutral,13
