filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",001,001.wav,-0.0123,-0.0053,1.1234,3.8851,0.3043431927008135,0.7428183261000356,-0.3122130194085095,0.8466076696165192,0.9208994048101364,0.6390289825835519,Neutral
002.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",002,002.wav,-0.0062,-0.0027,0.3201,3.4164,0.0613754630821979,0.6235778134434008,0.2510156689218364,0.9233038348082596,-0.1282647427574405,0.323851792078542,Neutral
003.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",003,003.wav,-0.0064,-0.0028,0.487,3.4824,0.229196569174045,0.6442937284243313,0.2331299321770235,0.920353982300885,0.2252632061710665,0.3682334745477776,Neutral
004.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",004,004.wav,-0.0683,-0.0293,0.2693,3.3662,-0.6167867683318577,0.2143689416295778,-0.9999749017077648,0.1386430678466077,-0.2335986349559506,0.2900948154125479,Negative (Low/Med arousal)
005.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",005,005.wav,-0.0044,-0.0019,0.0659,3.2305,-0.0923505677258554,0.5728730206620596,0.4032250028109162,0.9469026548672568,-0.5879261382626272,0.1988433864568624,Neutral
006.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",006,006.wav,-0.0168,-0.0072,0.2307,3.3734,-0.4728484001553629,0.5427484627382512,-0.63544102050027,0.7905604719764013,-0.3102557798104558,0.2949364535001009,Negative (Low/Med arousal)
007.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",007,007.wav,-0.0029,-0.0012,0.3802,3.437,0.2576767715478506,0.6526279395128488,0.5153535430957012,0.9675516224188792,0.0,0.3377042566068185,Neutral
008.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",008,008.wav,-0.0189,-0.0081,0.1737,3.3042,-0.5780150026843698,0.5062073656454357,-0.7397771591336987,0.7640117994100296,-0.4162528462350409,0.2484029318808417,Negative (Low/Med arousal)
009.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",009,009.wav,-0.0298,-0.0128,1.0284,3.738,-0.0397932519001245,0.5827401791096647,-0.9629867176791403,0.625368731563422,0.8834002138788912,0.5401116266559075,Neutral
010.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",010,010.wav,-0.0485,-0.0208,0.186,3.3877,-0.6965568684694844,0.34696650783761,-0.9989205348805756,0.3893805309734514,-0.3941932020583931,0.3045524847017686,Negative (Low/Med arousal)
011.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",011,011.wav,-0.0211,-0.009,0.2511,3.3957,-0.5454404812085777,0.5236976047102426,-0.820708537003027,0.7374631268436579,-0.2701724254141283,0.3099320825768275,Negative (Low/Med arousal)
012.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",012,012.wav,-0.0259,-0.0111,0.0738,3.3447,-0.7503072092950211,0.4755766851560589,-0.9238922662847574,0.6755162241887906,-0.5767221523052848,0.2756371461233272,Negative (Low/Med arousal)
013.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",013,013.wav,-0.0162,-0.0069,0.1319,3.3524,-0.543889731517631,0.5401125192882982,-0.6002196786564432,0.7994100294985251,-0.4875597843788187,0.2808150090780713,Negative (Low/Med arousal)
014.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",014,014.wav,-0.0313,-0.0134,0.1906,3.3435,-0.6789301210180435,0.4412499114806213,-0.972037044216739,0.6076696165191741,-0.385823197819348,0.2748302064420685,Negative (Low/Med arousal)
015.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",015,015.wav,-0.0264,-0.0113,0.2706,3.3679,-0.5807547160995952,0.4804272495675197,-0.9305500872791592,0.6696165191740414,-0.230959344920031,0.291237979960998,Negative (Low/Med arousal)
016.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",016,016.wav,-0.0793,-0.034,0.2609,3.3729,-0.6252825194361538,0.1473001143164548,-0.9999968955410936,0.0,-0.2505681433312141,0.2946002286329097,Negative (Low/Med arousal)
017.txt,-1,Outlier,017,017.wav,-0.0053,-0.0023,1.0169,3.8244,0.6035592524285477,0.7666572642721505,0.3292575634857872,0.9351032448377584,0.8778609413713082,0.5982112837065428,"Excited (Positive, High arousal)"
018.txt,1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",018,018.wav,-0.001,-0.0004,0.1965,3.3195,0.1302234108400395,0.6249209276473842,0.6354410205002701,0.9911504424778764,-0.374994198820191,0.258691412816892,Neutral
