topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",1
-1,Outlier,Negative (Low/Med arousal),1
-1,Outlier,Neutral,4
0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number","Excited (Positive, High arousal)",9
0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number",Negative (Low/Med arousal),1
0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number",Neutral,13
0,"vast selection, strong convenience, small startups, public environment, public company, large enterprise, faster shipping, active customers, active customer, absolute number",Positive (Low/Mid arousal),3
1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ","Excited (Positive, High arousal)",2
1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",Negative (Low/Med arousal),13
1,"financial results, actual results, subsequent filings, legal settlements, appropriate assumptions, additional disclosures, additional business, , , ",Neutral,10
