filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.0019,-0.0008,1.915,4.4462,0.911394165382565,0.997489539748954,0.8229792282609633,0.994979079497908,0.9998091025041668,1.0,"Excited (Positive, High arousal)"
002.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate",002,002.wav,-0.0395,-0.0169,0.9362,3.7817,0.1275418057334033,0.6771561305959236,-0.6640241423653215,0.8602510460251046,0.9191077538321282,0.4940612151667426,Neutral
003.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",003,003.wav,-0.0132,-0.0057,0.5181,3.5222,0.3971685512210773,0.6252286537288956,0.5191293426334158,0.9539748953974896,0.2752077598087389,0.2964824120603016,Positive (Low/Mid arousal)
004.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",004,004.wav,-0.0201,-0.0086,0.5059,3.5128,0.2254610582343987,0.6095162639621334,0.2111484008292785,0.9297071129707114,0.239773715639519,0.2893254149535555,Neutral
005.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",005,005.wav,-0.0163,-0.007,0.4302,3.4902,0.2000449994633869,0.607607200450076,0.3910679964813667,0.9430962343096234,0.0090220024454071,0.2721181665905285,Neutral
006.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",006,006.wav,-0.0139,-0.006,-0.3531,3.2615,-0.2463336654048974,0.5247271924475936,0.4918872251794307,0.9514644351464436,-0.9845545559892256,0.0979899497487435,Neutral
007.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",007,007.wav,-0.0722,-0.0309,0.8795,3.7761,-0.050023830516414,0.6164468532595779,-0.9868706520461976,0.7430962343096235,0.8868229910133695,0.4897974722095324,Neutral
008.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",008,008.wav,-0.0369,-0.0158,0.1787,3.3243,-0.6149788519471171,0.5076304242143901,-0.5810414537635689,0.8694560669456066,-0.6489162501306652,0.1458047814831734,Negative (Low/Med arousal)
009.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",009,009.wav,-0.0081,-0.0035,0.3621,3.407,0.2433283294533007,0.590578032803806,0.6867646113075279,0.9723849372384936,-0.2001079524009263,0.2087711283691183,Neutral
010.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",010,010.wav,-0.0059,-0.0025,0.7289,3.5563,0.7386543206300226,0.651599349607171,0.7428621107693438,0.9807531380753138,0.7344465304907013,0.3224455611390283,Positive (Low/Mid arousal)
011.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate",011,011.wav,-0.1098,-0.0471,0.3088,3.4053,-0.676283360924302,0.4075040792908373,-0.9997409173955928,0.6075313807531381,-0.3528258044530111,0.2074767778285365,Negative (Low/Med arousal)
012.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",012,012.wav,-0.0827,-0.0354,0.2891,3.3764,-0.7004434122969763,0.4454560745912903,-0.9956016628935864,0.705439330543933,-0.405285161700366,0.1854728186386476,Negative (Low/Med arousal)
013.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",013,013.wav,-0.013,-0.0056,0.8096,3.7088,0.6785568442067885,0.6966840669685438,0.5267268707869067,0.9548117154811716,0.8303868176266703,0.438556418455916,Positive (Low/Mid arousal)
014.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate",014,014.wav,-0.0114,-0.0049,0.2363,3.3379,0.0257838291240433,0.5584145209373863,0.5844943160357676,0.9606694560669456,-0.532926657787681,0.1561595858078268,Neutral
015.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate",015,015.wav,-0.0155,-0.0067,0.3901,3.3574,0.1553449379250125,0.5583066212258198,0.4259095607339916,0.9456066945606696,-0.1152196848839666,0.17100654789097,Neutral
016.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate",016,016.wav,-0.055,-0.0236,0.9417,3.7947,-0.0007490854470847,0.6540716451536241,-0.923220896151844,0.8041841004184102,0.9217227252576746,0.5039591898888383,Neutral
017.txt,0,"net interest, adjusted revenue, proprietary billings, adjusted operating, adjusted basis, regulated markets, ongoing impact, new accounts, lower tax, lower rate",017,017.wav,-0.0283,-0.0121,0.2823,3.3478,-0.3169806699408758,0.5320578421459395,-0.2111484008292785,0.9004184100418411,-0.4228129390524731,0.1636972742500379,Neutral
018.txt,1,"regulatory environment, long term, solid progress, historical practice, sustainable revenue, steady operating, steady revenue, significant amounts, strong capital, tremendous capital",018,018.wav,-0.0072,-0.0031,0.7432,3.5863,0.7325543531472138,0.6605096294200812,0.7108320831948417,0.9757322175732216,0.7542766230995861,0.3452870412669407,Positive (Low/Mid arousal)
019.txt,-1,Outlier,019,019.wav,-0.0392,-0.0168,0.3058,3.3975,-0.5080666500136323,0.531312929552033,-0.6551630658667696,0.8610878661087867,-0.3609702341604948,0.2015379929952793,Negative (Low/Med arousal)
020.txt,-1,Outlier,020,020.wav,-0.0121,-0.0052,-0.0332,3.3687,-0.1661650965464049,0.5688845839441916,0.5598824005073093,0.9581589958158996,-0.8922125936001192,0.1796101720724836,Neutral
