topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",9
-1,Outlier,Negative (Low/Med arousal),2
-1,Outlier,Neutral,11
-1,Outlier,Positive (Low/Mid arousal),2
0,"global trade, modest growth, domestic market, domestic gasoline, additional ethanol, , , , , ","Excited (Positive, High arousal)",4
0,"global trade, modest growth, domestic market, domestic gasoline, additional ethanol, , , , , ",Negative (Low/Med arousal),15
0,"global trade, modest growth, domestic market, domestic gasoline, additional ethanol, , , , , ",Neutral,15
0,"global trade, modest growth, domestic market, domestic gasoline, additional ethanol, , , , , ",Positive (Low/Mid arousal),6
1,"total capital, net interest, net debt, internal expectations, corporate line, tax earnings, quarterly earnings, net gain, special projects, specified items","Excited (Positive, High arousal)",3
1,"total capital, net interest, net debt, internal expectations, corporate line, tax earnings, quarterly earnings, net gain, special projects, specified items",Negative (Low/Med arousal),14
1,"total capital, net interest, net debt, internal expectations, corporate line, tax earnings, quarterly earnings, net gain, special projects, specified items",Neutral,17
1,"total capital, net interest, net debt, internal expectations, corporate line, tax earnings, quarterly earnings, net gain, special projects, specified items",Positive (Low/Mid arousal),3
