filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,1,", , , , , , , , , ",001,001.wav,-0.0039,-0.0017,1.9128,4.445,0.8071615828667581,0.9944444444444444,0.6153553768393885,0.9888888888888888,0.9989677888941276,1.0,"Excited (Positive, High arousal)"
002.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",002,002.wav,-0.0714,-0.0306,0.4135,3.426,-0.2895505258953915,0.5518293194948274,-0.6697525603013589,0.7881944444444444,0.0906515085105759,0.3154641945452103,Neutral
003.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",003,003.wav,-0.0186,-0.008,0.3762,3.508,0.1829315488665753,0.6578441992476152,0.36684847471076,0.9451388888888888,-0.0009853769776093,0.3705495096063415,Neutral
004.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",004,004.wav,-0.0295,-0.0127,0.8217,3.7364,0.4682133974929192,0.7182411326078194,0.1371962399336155,0.9125,0.7992305550522228,0.5239822652156388,Positive (Low/Mid arousal)
005.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",005,005.wav,-0.01,-0.0043,0.2305,3.3424,0.0885579287593956,0.6150686887007927,0.5222497845571135,0.9708333333333332,-0.3451339270383221,0.2593040440682521,Neutral
006.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",006,006.wav,-0.052,-0.0223,0.3765,3.4654,-0.1776419835870957,0.593882674996641,-0.3550376228550415,0.8458333333333333,-0.0002463443191499,0.3419320166599487,Neutral
007.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",007,007.wav,-0.1137,-0.0487,0.2432,3.3526,-0.6303205093781264,0.4643280599220744,-0.9433577844526752,0.6625,-0.3172832343035776,0.2661561198441487,Negative (Low/Med arousal)
008.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",008,008.wav,-0.0115,-0.0049,0.8554,3.7412,0.6622078931339093,0.7469367190648932,0.4971229678512977,0.9666666666666668,0.8272928184165208,0.5272067714631197,Positive (Low/Mid arousal)
009.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",009,009.wav,-0.1492,-0.0639,0.2639,3.4448,-0.6295455656839802,0.4425189775628106,-0.9883809060108906,0.5569444444444445,-0.2707102253570698,0.3280935106811768,Negative (Low/Med arousal)
010.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",010,010.wav,-0.0262,-0.0112,-0.6051,3.3089,-0.387326620011535,0.5798581721080209,0.2096056414383036,0.9229166666666668,-0.9842588814613736,0.2367996775493752,Negative (Low/Med arousal)
011.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",011,011.wav,-0.0956,-0.041,0.2312,3.3656,-0.6097752851376191,0.4954306899099825,-0.8759365492598233,0.7159722222222221,-0.3436140210154149,0.2748891575977429,Negative (Low/Med arousal)
012.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",012,012.wav,-0.0422,-0.0181,0.4868,3.2827,0.0583554952233059,0.5470996238076045,-0.1482824957425225,0.8749999999999999,0.2649934861891345,0.219199247615209,Neutral
013.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",013,013.wav,-0.0747,-0.032,0.3969,3.4725,-0.3294711116409573,0.5625869105199516,-0.7089084763240812,0.7784722222222221,0.0499662530421664,0.3467015988176811,Neutral
014.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",014,014.wav,-0.0689,-0.0295,-0.0861,3.0488,-0.7258576742565354,0.4289525392986699,-0.6373567593690938,0.7958333333333333,-0.814358589143977,0.0620717452640064,Negative (Low/Med arousal)
015.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",015,015.wav,-0.1398,-0.0599,0.2704,3.4163,-0.6190404686427047,0.4468351135294908,-0.9822729646614182,0.5847222222222221,-0.255807972623991,0.3089480048367594,Negative (Low/Med arousal)
016.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",016,016.wav,-0.0067,-0.0029,-0.4542,3.1988,-0.1963704429347517,0.5716965605266693,0.5744371465630683,0.9805555555555554,-0.9671780324325716,0.162837565497783,Neutral
017.txt,0,"gross profit, gross bookings, top line, long term, net income, consolidated group, beneficial impact, negative impact, top end, advertising operating",017,017.wav,-0.1107,-0.0474,0.6199,3.5699,-0.1993970014071323,0.5418299912669622,-0.9353849705497556,0.6715277777777777,0.5365909677354909,0.4121322047561467,Neutral
