filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , ",001,001.wav,-0.0155,-0.0067,1.9122,4.4443,0.5476593623295241,0.9564068692206076,0.0977941873924145,0.9128137384412154,0.9975245372666336,1.0,"Excited (Positive, High arousal)"
002.txt,-1,Outlier,002,002.wav,-0.0124,-0.0053,1.7112,4.2614,0.6371120057879948,0.9188668305542418,0.2804694272542171,0.9313077939233818,0.9937545843217724,0.9064258671851018,"Excited (Positive, High arousal)"
003.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , ",003,003.wav,-0.0555,-0.0238,0.852,3.7327,-0.1326729690733721,0.6614289010471657,-0.9821365139954804,0.6869220607661823,0.7167905758487361,0.6359357413281489,Neutral
004.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , ",004,004.wav,-0.0331,-0.0142,0.5936,3.5759,-0.2288475208410451,0.6847265827277886,-0.7535319536781663,0.8137384412153237,0.295836911996076,0.5557147242402536,Neutral
005.txt,-1,Outlier,005,005.wav,-0.0178,-0.0076,1.2257,3.9097,0.4499729587366574,0.8137080282518858,-0.0428958000199442,0.9009247027741084,0.942841717493259,0.7264913537296632,"Excited (Positive, High arousal)"
006.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories",006,006.wav,-0.0543,-0.0233,0.1923,3.3104,-0.765489658264443,0.5567041931096119,-0.979333680163144,0.6935270805812418,-0.551645636365742,0.4198813056379821,Negative (Low/Med arousal)
007.txt,-1,Outlier,007,007.wav,-0.0043,-0.0019,0.3411,3.376,0.1924490244196691,0.7148325441957806,0.6554885029985892,0.976221928665786,-0.270590454159251,0.453443159725775,Neutral
008.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , ",008,008.wav,-0.0152,-0.0065,0.2156,3.3267,-0.1985857558690831,0.6718381770821154,0.1159786996846276,0.915455746367239,-0.5131502114227939,0.4282206077969918,Neutral
009.txt,-1,Outlier,009,009.wav,-0.0443,-0.019,0.2737,3.3773,-0.669534530559055,0.6022192542173657,-0.9312644302299984,0.750330250990753,-0.4078046308881115,0.4541082574439782,Negative (Low/Med arousal)
010.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories",010,010.wav,-0.0101,-0.0043,0.1098,3.2071,-0.1327492721065477,0.6557747256378984,0.404670409633767,0.9445178335535008,-0.6701689538468626,0.3670316177222961,Neutral
