topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",5
-1,Outlier,Negative (Low/Med arousal),8
-1,Outlier,Neutral,7
0,"higher sales, adjusted profit, favorable price, favorable mix, revised outlook, primary drivers, new equipment, favorable dealer, higher aftermarket, strong demand","Excited (Positive, High arousal)",16
0,"higher sales, adjusted profit, favorable price, favorable mix, revised outlook, primary drivers, new equipment, favorable dealer, higher aftermarket, strong demand",Negative (Low/Med arousal),31
0,"higher sales, adjusted profit, favorable price, favorable mix, revised outlook, primary drivers, new equipment, favorable dealer, higher aftermarket, strong demand",Neutral,53
0,"higher sales, adjusted profit, favorable price, favorable mix, revised outlook, primary drivers, new equipment, favorable dealer, higher aftermarket, strong demand",Positive (Low/Mid arousal),1
1,"future growth, strong balance, significant restructuring, lean principles, flexible cost, , , , , ","Excited (Positive, High arousal)",8
1,"future growth, strong balance, significant restructuring, lean principles, flexible cost, , , , , ",Negative (Low/Med arousal),3
1,"future growth, strong balance, significant restructuring, lean principles, flexible cost, , , , , ",Neutral,11
2,"long time, , , , , , , , , ","Excited (Positive, High arousal)",9
2,"long time, , , , , , , , , ",Negative (Low/Med arousal),1
2,"long time, , , , , , , , , ",Neutral,3
