filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.005,-0.0021,1.9119,4.4435,0.8967923903827721,0.9948950652297222,0.7959434446780952,0.9897901304594442,0.997641336087449,1.0,"Excited (Positive, High arousal)"
002.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",002,002.wav,-0.064,-0.0274,0.1407,3.296,-0.5714960734164285,0.5600554199397347,-0.4905919240119615,0.8462847419171865,-0.6524002228208955,0.273826097962283,Negative (Low/Med arousal)
003.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",003,003.wav,-0.0384,-0.0165,1.6926,4.2032,0.5798977437746609,0.8780209079129611,0.166373347728761,0.9081111741349972,0.9934221398205608,0.8479306416909249,"Excited (Positive, High arousal)"
004.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",004,004.wav,-0.0224,-0.0096,-0.0311,3.3266,-0.1425387306621304,0.6202198713618752,0.5430126675957627,0.9472490073737948,-0.8280901289200235,0.2931907353499556,Neutral
005.txt,-1,Outlier,005,005.wav,-0.0976,-0.0418,0.2317,3.4452,-0.7053005582513758,0.5664251558010527,-0.8980123700438152,0.7646057855927396,-0.5125887464589364,0.3682445260093657,Negative (Low/Med arousal)
006.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",006,006.wav,-0.0232,-0.0099,0.5394,3.7529,0.3404208400160406,0.7542570377623314,0.5272971853309167,0.9455473624503687,0.1535444947011645,0.5629667130742942,Neutral
007.txt,-1,Outlier,007,007.wav,-0.1083,-0.0464,0.2467,3.3744,-0.714157109938288,0.5309769838219893,-0.942102824618974,0.7385138967668746,-0.4862113952576018,0.3234400708771041,Negative (Low/Med arousal)
008.txt,-1,Outlier,008,008.wav,-0.182,-0.078,0.179,3.2894,-0.7983865453180835,0.4144616881497872,-0.9989699857134824,0.5592739648326716,-0.5978031049226846,0.2696494114669028,Negative (Low/Med arousal)
009.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",009,009.wav,-0.0054,-0.0023,0.2456,3.3583,0.1518475796557342,0.650953593832009,0.791872278947175,0.9886557005104936,-0.4881771196357066,0.3132514871535246,Neutral
010.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",010,010.wav,-0.0358,-0.0153,0.4529,3.6018,0.0935769525544135,0.6911318297051363,0.2350357476856595,0.914917753828701,-0.0478818425768324,0.4673459055815717,Neutral
011.txt,-1,Outlier,011,011.wav,-0.0752,-0.0322,-0.0835,3.1498,-0.7757494501552402,0.5001822934595539,-0.6885420573149537,0.8190584231423709,-0.8629568429955267,0.1813061637767369,Negative (Low/Med arousal)
012.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",012,012.wav,-0.0304,-0.013,1.7987,4.3612,0.6828905339826128,0.9379408416534076,0.3697869803502067,0.9279636982416336,0.9959940876150188,0.9479179850651815,"Excited (Positive, High arousal)"
013.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",013,013.wav,-0.0013,-0.0005,0.1411,3.3148,0.0892510062820647,0.6422944481061473,0.8303635564245705,0.9988655700510494,-0.651861543860441,0.2857233261612453,Neutral
014.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",014,014.wav,-0.0824,-0.0353,0.1447,3.2873,-0.7131046515295267,0.5348976123487316,-0.7792255395715811,0.8014747589336358,-0.6469837634874724,0.2683204657638273,Negative (Low/Med arousal)
015.txt,-1,Outlier,015,015.wav,-0.1129,-0.0484,1.1312,3.9239,-0.0211981089742346,0.6991752302296219,-0.9547642051483108,0.7271695972773681,0.9123679871998416,0.6711808631818756,Neutral
016.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",016,016.wav,-0.0907,-0.0389,0.3686,3.3893,-0.5474740935484078,0.5569621384542964,-0.8543109266176481,0.7810550198525241,-0.2406372604791676,0.3328692570560687,Negative (Low/Med arousal)
017.txt,-1,Outlier,017,017.wav,-0.0205,-0.0088,0.5364,3.5364,0.3627597180760308,0.6888727332848366,0.5788461220078279,0.9517867271695972,0.1466733141442336,0.4259587394000758,Positive (Low/Mid arousal)
018.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",018,018.wav,-0.0565,-0.0242,0.0725,3.1459,-0.5268673131708448,0.5216368714285684,-0.318846750007777,0.8644356211003971,-0.7348878763339124,0.1788381217567396,Negative (Low/Med arousal)
019.txt,-1,Outlier,019,019.wav,-0.0439,-0.0188,1.2615,4.0416,0.4839799059008873,0.8203651677024446,0.0165166388930182,0.8950652297220646,0.9514431729087564,0.7456651056828247,"Excited (Positive, High arousal)"
020.txt,-1,Outlier,020,020.wav,-0.1179,-0.0505,0.4654,3.4704,-0.4920444242217414,0.5497249786298294,-0.9654625452952862,0.7152580828133862,-0.0186263031481966,0.3841918744462726,Negative (Low/Med arousal)
021.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",021,021.wav,-0.0339,-0.0145,0.3883,3.4393,0.0435586364660888,0.641983147519757,0.2838095312515453,0.9194554736245036,-0.1966922583193676,0.3645108214150105,Neutral
022.txt,-1,Outlier,022,022.wav,-0.0481,-0.0206,1.633,4.2466,0.4462631174633674,0.8801254398679976,-0.0987856152382385,0.8848553601815087,0.9913118501649734,0.8753955195544866,"Excited (Positive, High arousal)"
023.txt,-1,Outlier,023,023.wav,-0.0169,-0.0072,0.9918,3.9323,0.7395514499549799,0.8186794063776901,0.6409794610416034,0.9608621667612024,0.8381234388683564,0.6764966459941779,"Excited (Positive, High arousal)"
024.txt,-1,Outlier,024,024.wav,-0.004,-0.0017,-0.1393,3.134,-0.043493586955483,0.5816832098983283,0.8058137835571075,0.9920589903573452,-0.8928009574680736,0.1713074294393113,Neutral
025.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash",025,025.wav,-0.0407,-0.0175,0.9745,3.8326,0.4649396702022126,0.7579211955263457,0.1042349119164734,0.902439024390244,0.8256444284879519,0.6134033666624475,"Excited (Positive, High arousal)"
026.txt,-1,Outlier,026,026.wav,-0.0109,-0.0047,0.3659,3.4398,0.240836629191359,0.6699348890908428,0.7282616726582752,0.9750425411230856,-0.2465884142755571,0.3648272370586,Neutral
027.txt,-1,Outlier,027,027.wav,-0.0399,-0.0171,1.0056,3.8643,0.4867271954834862,0.769086001377081,0.125966406634249,0.9047078842881452,0.8474879843327234,0.6334641184660169,"Excited (Positive, High arousal)"
028.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",028,028.wav,-0.0199,-0.0085,1.8478,4.3928,0.7932704136362225,0.960701912916528,0.5897246439682449,0.9534883720930232,0.9968161833042004,0.967915453740033,"Excited (Positive, High arousal)"
029.txt,-1,Outlier,029,029.wav,-0.0262,-0.0112,1.265,4.0652,0.7086586224498131,0.8493867459212174,0.4651029932612756,0.9381735677821896,0.9522142516383508,0.7605999240602453,"Excited (Positive, High arousal)"
030.txt,-1,Outlier,030,030.wav,-0.0475,-0.0203,0.6919,3.5936,0.1945908491927256,0.67435684706582,-0.0824034262975696,0.8865570051049346,0.4715851246830209,0.4621566890267053,Neutral
031.txt,-1,Outlier,031,031.wav,-0.1446,-0.062,1.5806,4.2364,-0.0015229532974628,0.759484500586993,-0.9919528522957776,0.6500283607487237,0.9889069457008518,0.8689406404252623,Neutral
032.txt,-1,Outlier,032,032.wav,-0.0353,-0.0151,0.835,3.6526,0.4688582172210076,0.7077729593739543,0.2479977009203407,0.9160521837776516,0.6897187335216746,0.4994937349702568,Positive (Low/Mid arousal)
033.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",033,033.wav,-0.1412,-0.0605,0.595,3.5534,-0.3563655846854323,0.5476267283239848,-0.9903041758422504,0.6585365853658537,0.2775730064713858,0.436716871282116,Negative (Low/Med arousal)
034.txt,-1,Outlier,034,034.wav,-0.0269,-0.0115,0.7326,3.6617,0.4961066331606529,0.7208622112711738,0.449865897268209,0.9364719228587634,0.5423473690530968,0.5052524996835843,Positive (Low/Mid arousal)
035.txt,-1,Outlier,035,035.wav,-0.0794,-0.034,0.5611,3.5808,-0.270934657471079,0.6314525010763157,-0.7446358151195654,0.8088485536018151,0.2027665001774074,0.4540564485508162,Neutral
036.txt,1,"specific things, higher profitability, extraordinary customer, differentiated customer, combined business, better products, better growth, better price, better discount, free cash",036,036.wav,-0.02,-0.0086,0.1998,3.3019,0.0111788328322889,0.6152404798375931,0.5879261382626272,0.952921157118548,-0.5655684725980493,0.2775598025566382,Neutral
037.txt,-1,Outlier,037,037.wav,-0.0781,-0.0335,0.5401,3.5301,-0.2865580056410921,0.6168282653825203,-0.7282616726582753,0.8116846284741916,0.1551456613760911,0.4219719022908491,Neutral
038.txt,-1,Outlier,038,038.wav,-0.0322,-0.0138,0.0238,3.2388,-0.2284364881167402,0.5805270633907422,0.3262465219345882,0.9234259784458309,-0.7831194981680688,0.2376281483356535,Neutral
039.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",039,039.wav,-0.0508,-0.0218,1.6257,4.1984,0.4096444026385183,0.8614709160001358,-0.1717220330983138,0.8780487804878048,0.9910108383753504,0.8448930515124669,"Excited (Positive, High arousal)"
040.txt,0,"great capability, excellent integration, digital transformation, , , , , , , ",040,040.wav,-0.0386,-0.0165,0.6818,3.7228,0.3069963286236665,0.7260148327326041,0.1610148540455061,0.9081111741349972,0.4529778032018268,0.5439184913302112,Neutral
041.txt,-1,Outlier,041,041.wav,-0.0126,-0.0054,0.9257,3.7776,0.7455837402396435,0.774834841084685,0.7055237061871167,0.9710720363017584,0.7856437742921702,0.5785976458676116,"Excited (Positive, High arousal)"
042.txt,-1,Outlier,042,042.wav,-0.1039,-0.0445,-0.0349,3.388,-0.8788399747745131,0.540668778832321,-0.9268120915221342,0.7492909812819057,-0.8308678580268921,0.3320465763827361,Negative (Low/Med arousal)
043.txt,-1,Outlier,043,043.wav,-0.0291,-0.0125,1.4112,4.1123,0.6879462434660947,0.8606030254001895,0.4002659859380846,0.93079977311401,0.9756265009941048,0.7904062776863688,"Excited (Positive, High arousal)"
044.txt,2,"unified network, small locations, profitable growth, positive outcome, global marketplace, competitive capabilities, , , , ",044,044.wav,-0.0355,-0.0152,0.2266,3.3406,-0.1392609141790474,0.6087676710868178,0.2428232782243154,0.9154849688031764,-0.5213451065824103,0.3020503733704592,Neutral
