topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",5
-1,Outlier,Negative (Low/Med arousal),17
-1,Outlier,Neutral,44
-1,Outlier,Positive (Low/Mid arousal),11
0,"organic revenue, organic basis, organic growth, corporate liquidity, lower end, strong sales, strategic assets, significant margin, top line, ongoing cost","Excited (Positive, High arousal)",1
0,"organic revenue, organic basis, organic growth, corporate liquidity, lower end, strong sales, strategic assets, significant margin, top line, ongoing cost",Negative (Low/Med arousal),16
0,"organic revenue, organic basis, organic growth, corporate liquidity, lower end, strong sales, strategic assets, significant margin, top line, ongoing cost",Neutral,28
0,"organic revenue, organic basis, organic growth, corporate liquidity, lower end, strong sales, strategic assets, significant margin, top line, ongoing cost",Positive (Low/Mid arousal),6
1,"commercial services, , , , , , , , , ","Excited (Positive, High arousal)",7
1,"commercial services, , , , , , , , , ",Negative (Low/Med arousal),2
1,"commercial services, , , , , , , , , ",Neutral,7
1,"commercial services, , , , , , , , , ",Positive (Low/Mid arousal),4
