topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",2
-1,Outlier,Negative (Low/Med arousal),3
-1,Outlier,Neutral,8
-1,Outlier,Positive (Low/Mid arousal),2
0,"organic growth, new sales, high teens, neutral macro, corporate payments, next couple, total fraud, higher value, low teens, pro forma","Excited (Positive, High arousal)",9
0,"organic growth, new sales, high teens, neutral macro, corporate payments, next couple, total fraud, higher value, low teens, pro forma",Negative (Low/Med arousal),33
0,"organic growth, new sales, high teens, neutral macro, corporate payments, next couple, total fraud, higher value, low teens, pro forma",Neutral,69
0,"organic growth, new sales, high teens, neutral macro, corporate payments, next couple, total fraud, higher value, low teens, pro forma",Positive (Low/Mid arousal),21
1,", , , , , , , , , ","Excited (Positive, High arousal)",3
1,", , , , , , , , , ",Neutral,6
1,", , , , , , , , , ",Positive (Low/Mid arousal),1
