topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",4
-1,Outlier,Negative (Low/Med arousal),5
-1,Outlier,Neutral,25
-1,Outlier,Positive (Low/Mid arousal),4
0,"long term, new projects, future development, local community, significant sulfide, mine rate, global marketplace, new mill, new copper, voluntary contributions","Excited (Positive, High arousal)",8
0,"long term, new projects, future development, local community, significant sulfide, mine rate, global marketplace, new mill, new copper, voluntary contributions",Negative (Low/Med arousal),29
0,"long term, new projects, future development, local community, significant sulfide, mine rate, global marketplace, new mill, new copper, voluntary contributions",Neutral,68
0,"long term, new projects, future development, local community, significant sulfide, mine rate, global marketplace, new mill, new copper, voluntary contributions",Positive (Low/Mid arousal),23
1,"direct discussions, new regulations, special license, senior government, public decision, recent agreement, fair basis, continual conversation, , ","Excited (Positive, High arousal)",14
1,"direct discussions, new regulations, special license, senior government, public decision, recent agreement, fair basis, continual conversation, , ",Negative (Low/Med arousal),19
1,"direct discussions, new regulations, special license, senior government, public decision, recent agreement, fair basis, continual conversation, , ",Neutral,43
1,"direct discussions, new regulations, special license, senior government, public decision, recent agreement, fair basis, continual conversation, , ",Positive (Low/Mid arousal),7
2,"current proposition, big issue, big asset, underground development, , , , , , ","Excited (Positive, High arousal)",2
2,"current proposition, big issue, big asset, underground development, , , , , , ",Negative (Low/Med arousal),3
2,"current proposition, big issue, big asset, underground development, , , , , , ",Neutral,15
2,"current proposition, big issue, big asset, underground development, , , , , , ",Positive (Low/Mid arousal),4
3,"open pit, complete mining, tremendous resource, massive block, skilled group, operational issue, positive market, major block, major step, good point","Excited (Positive, High arousal)",2
3,"open pit, complete mining, tremendous resource, massive block, skilled group, operational issue, positive market, major block, major step, good point",Negative (Low/Med arousal),6
3,"open pit, complete mining, tremendous resource, massive block, skilled group, operational issue, positive market, major block, major step, good point",Neutral,5
3,"open pit, complete mining, tremendous resource, massive block, skilled group, operational issue, positive market, major block, major step, good point",Positive (Low/Mid arousal),3
4,"net interest, joint venture, adverse impact, , , , , , , ",Negative (Low/Med arousal),7
4,"net interest, joint venture, adverse impact, , , , , , , ",Neutral,5
