filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",001,001.wav,-0.0758,-0.0325,1.9111,4.4439,0.6912088373865968,0.927927927927928,0.3825704806049256,0.8558558558558559,0.9998471941682678,1.0,"Excited (Positive, High arousal)"
002.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",002,002.wav,-0.2887,-0.1237,0.3914,3.4428,-0.3956569748034876,0.5434540862187269,-0.8247473068790314,0.445045045045045,0.0334333572720562,0.6418631273924087,Negative (Low/Med arousal)
003.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",003,003.wav,-0.3873,-0.166,-0.1511,3.1395,-0.9423427291045844,0.3939320361752658,-0.9562976123244648,0.2545045045045044,-0.9283878458847038,0.5333595678460272,Negative (Low/Med arousal)
004.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",004,004.wav,-0.384,-0.1646,0.3973,3.4281,-0.4512452550718937,0.4487075554429685,-0.9541616026532562,0.2608108108108108,0.0516710925094687,0.6366043000751261,Negative (Low/Med arousal)
005.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",005,005.wav,-0.0846,-0.0363,0.4449,3.4777,0.2611064908746983,0.7465435546088786,0.3256772588633778,0.8387387387387387,0.1965357228860188,0.6543483704790183,Neutral
006.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",006,006.wav,-0.1352,-0.0579,0.6194,3.4032,0.2963172198564532,0.6845689659895648,-0.0362232312678941,0.7414414414414414,0.6288576709808007,0.6276964905376882,Neutral
007.txt,-1,Outlier,007,007.wav,-0.248,-0.1063,1.3215,3.8158,0.14625521688499,0.6493624110999705,-0.7016167353039091,0.5234234234234234,0.9941271690738892,0.7753013987765176,Neutral
008.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",008,008.wav,-0.056,-0.024,0.961,3.7831,0.7233419916621175,0.8288736676074351,0.5001475435912074,0.8941441441441442,0.9465364397330276,0.7636031910707258,"Excited (Positive, High arousal)"
009.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",009,009.wav,-0.1566,-0.0671,0.4075,3.4533,-0.0544893278483127,0.6728097163095195,-0.192091358872549,0.7,0.0831127031759234,0.6456194326190391,Neutral
010.txt,3,"overall apparel, key driver, big way, big win, big unlock, responsive platform, , , , ",010,010.wav,-0.1128,-0.0483,0.2494,3.3408,-0.1283115917098238,0.6950289949377704,0.1287074557621002,0.7846846846846847,-0.3853306391817479,0.6053733051908561,Neutral
011.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",011,011.wav,-0.0819,-0.0351,0.8486,3.7076,0.61948410952902,0.7903688559593114,0.3434100869355641,0.8441441441441442,0.8955581321224758,0.7365935677744785,"Excited (Positive, High arousal)"
012.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",012,012.wav,-0.3753,-0.1609,0.1613,3.1861,-0.7694937492184231,0.4137539428313228,-0.9480300724016192,0.2774774774774775,-0.590957426035227,0.550030408185168,Negative (Low/Med arousal)
013.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",013,013.wav,-0.1304,-0.0559,0.2345,2.7542,-0.212324238407275,0.5729857518234436,-0.0007395730663393,0.7504504504504504,-0.4239089037482108,0.3955210531964368,Neutral
014.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",014,014.wav,-0.0652,-0.028,0.1189,1.6486,-0.1112100446633381,0.4380630630630631,0.4474138362058396,0.8761261261261262,-0.669833925532516,0.0,Neutral
015.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",015,015.wav,-0.1192,-0.0511,0.1628,2.093,-0.2530087150078985,0.4655266094986339,0.08190870824683,0.7720720720720721,-0.5879261382626272,0.1589811469251958,Neutral
016.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",016,016.wav,-0.1541,-0.066,0.5968,3.5762,0.2052258115074534,0.6972705229466578,-0.174222841852241,0.704954954954955,0.5846744648671479,0.6895860909383608,Neutral
017.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",017,017.wav,-0.249,-0.1067,0.5541,3.5564,-0.1072050895500139,0.6020621970663111,-0.7053523474956047,0.5216216216216216,0.4909421683955768,0.6825027725110006,Neutral
018.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",018,018.wav,-0.3763,-0.1613,0.2199,3.3054,-0.7045248051317534,0.4341924330512318,-0.9487735821974894,0.2756756756756757,-0.4602760280660175,0.5927091904267878,Negative (Low/Med arousal)
019.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",019,019.wav,-0.1773,-0.076,1.3217,4.0192,0.3299447809418268,0.7539881535382912,-0.3342448562401791,0.6599099099099099,0.9941344181238326,0.8480663971666724,Neutral
020.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",020,020.wav,-0.0123,-0.0053,1.1635,3.735,0.8435956621850271,0.8623870570387938,0.7027415018277747,0.9783783783783784,0.9844498225422796,0.7463957356992093,"Excited (Positive, High arousal)"
021.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",021,021.wav,-0.0567,-0.0243,-0.2719,3.319,-0.234602361523661,0.7451836464232271,0.4962555054657043,0.8927927927927929,-0.9654602285130264,0.5975745000536614,Neutral
022.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",022,022.wav,-0.0775,-0.0332,-0.1786,3.1586,-0.2837379298965073,0.696447584313824,0.3717865833161602,0.8527027027027027,-0.9392624431091752,0.5401924659249453,Neutral
023.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",023,023.wav,-0.059,-0.0253,1.487,4.0487,0.7406077524289782,0.8734540572125089,0.4833265199674926,0.8882882882882883,0.9978889848904638,0.8586198261367295,"Excited (Positive, High arousal)"
024.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",024,024.wav,-0.3605,-0.1545,0.5668,3.4699,-0.2077541353986415,0.4789321393084853,-0.9357205555582712,0.3063063063063063,0.5202122847609881,0.6515579723106643,Neutral
025.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",025,025.wav,-0.0041,-0.0018,-0.1695,3.2595,-0.1018529048813481,0.7852164572901167,0.7321479566490945,0.9941441441441442,-0.9358537664117909,0.5762887704360892,Neutral
026.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",026,026.wav,-0.103,-0.0441,0.1791,3.2549,-0.1773557567153195,0.6891233773035368,0.1992039608613936,0.8036036036036036,-0.5539154742920327,0.5746431510034701,Neutral
027.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",027,027.wav,-0.0601,-0.0258,0.3255,3.3933,0.1540342970841133,0.7550954336800221,0.4770671851915535,0.8860360360360361,-0.1689985910233267,0.6241548313240081,Neutral
028.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",028,028.wav,-0.1801,-0.0772,0.4746,3.2816,-0.0346805534588343,0.6193497015421316,-0.3525103736794642,0.6545045045045045,0.2831492667617956,0.5841948985797588,Neutral
029.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",029,029.wav,-0.1563,-0.067,0.2528,3.3303,-0.2831410933785415,0.6510337252073379,-0.1899536004055888,0.7004504504504504,-0.3763285863514941,0.6016169999642256,Neutral
030.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",030,030.wav,-0.057,-0.0244,0.347,3.4956,0.1954507967958454,0.7765471594371891,0.494581348302162,0.8923423423423423,-0.1036797547104712,0.6607519765320359,Neutral
031.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",031,031.wav,-0.043,-0.0184,1.4139,4.1175,0.7827073350849187,0.9013009691622004,0.568732536889914,0.9193693693693694,0.9966821332799236,0.8832325689550315,"Excited (Positive, High arousal)"
032.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",032,032.wav,-0.3815,-0.1635,0.4953,3.3352,-0.3057452874598431,0.4345678540845428,-0.9524758617259516,0.2657657657657657,0.3409852868062654,0.6033699424033198,Neutral
033.txt,-1,Outlier,033,033.wav,-0.1987,-0.0852,0.9045,3.8011,0.2291283479409645,0.6942555199638518,-0.4667195539898467,0.6184684684684685,0.9249762498717758,0.770042571459235,Neutral
034.txt,-1,Outlier,034,034.wav,-0.262,-0.1123,0.3468,3.4127,-0.4273785213562973,0.5637457244028989,-0.7504646182162492,0.4963963963963964,-0.1042924244963453,0.6310950524094014,Negative (Low/Med arousal)
035.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",035,035.wav,-0.1571,-0.0673,0.3463,3.3978,-0.1507369922501603,0.6624318877601173,-0.1956502327975641,0.6990990990990991,-0.1058237517027565,0.6257646764211355,Neutral
036.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",036,036.wav,-0.0354,-0.0152,0.5167,3.4705,0.5018599062506589,0.7927782010536992,0.605543878837901,0.9337837837837838,0.3981759336634169,0.6517726183236145,"Excited (Positive, High arousal)"
037.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",037,037.wav,-0.1766,-0.0757,0.9832,3.8265,0.3118028973925709,0.7201952569676964,-0.3296382877063311,0.6612612612612612,0.9532440824914732,0.7791292526741315,Neutral
038.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",038,038.wav,-0.1319,-0.0565,0.7652,3.6696,0.4095347083829076,0.7353735340176867,-0.0118326189407305,0.7477477477477478,0.8309020357065457,0.7229993202876256,Positive (Low/Mid arousal)
039.txt,1,"big business, responsive capabilities, relevant categories, strong bottoms, important thing, , , , , ",039,039.wav,-0.4016,-0.1721,0.4635,3.5108,-0.3566245184535921,0.446608351276902,-0.9644812995802544,0.227027027027027,0.25123226267307,0.6661896755267771,Negative (Low/Med arousal)
040.txt,-1,Outlier,040,040.wav,-0.1041,-0.0446,0.3177,3.4009,-0.0004925587889677,0.7141125160863651,0.1913789741741033,0.8013513513513514,-0.1923640917520389,0.6268736808213787,Neutral
041.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",041,041.wav,-0.025,-0.0107,0.4779,3.3298,0.4722612615628518,0.7777460911704106,0.6520004850336348,0.954054054054054,0.2925220380920688,0.601438128286767,"Excited (Positive, High arousal)"
042.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",042,042.wav,-0.1481,-0.0635,0.0144,3.1463,-0.4716467009185708,0.6260042194378401,-0.1308887944288411,0.7162162162162162,-0.8124046074083006,0.5357922226594641,Negative (Low/Med arousal)
043.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",043,043.wav,-0.1345,-0.0576,-0.119,3.2589,-0.4721854602856187,0.6594334586079658,-0.031052088197257,0.7427927927927928,-0.9133188323739804,0.5760741244231389,Negative (Low/Med arousal)
044.txt,0,"responsive capabilities, brand portfolio, significant market, retail distribution, significant opportunity, structural advantage, rewarding size, lean cost, direct distribution, super bottoms",044,044.wav,-0.1203,-0.0516,0.142,3.4444,-0.2773301603893714,0.7061276682900479,0.073822773395266,0.7698198198198198,-0.6284830941740089,0.6424355167602761,Neutral
