filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.0001,-0.0001,1.9075,4.4405,0.880571047825888,0.9977420554464932,0.7619539464903256,0.9984126984126984,0.9991881491614504,0.9970714124802882,"Excited (Positive, High arousal)"
002.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry",002,002.wav,-0.0047,-0.002,1.4774,4.1636,0.4958158463316306,0.9046890476548056,0.0,0.9682539682539684,0.9916316926632612,0.8411241270556428,"Excited (Positive, High arousal)"
003.txt,-1,Outlier,003,003.wav,-0.0058,-0.0025,0.222,3.3389,-0.4112636952190037,0.6684894352724945,-0.2348679380029472,0.9603174603174602,-0.5876594524350602,0.3766614102275287,Negative (Low/Med arousal)
004.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry",004,004.wav,-0.1471,-0.063,0.1952,3.3003,-0.8166430794771433,0.177461139896373,-1.0,0.0,-0.6332861589542865,0.354922279792746,Negative (Low/Med arousal)
005.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry",005,005.wav,-0.001,-0.0004,1.4445,4.1438,0.8284228124184888,0.9118118802676134,0.6668435190472259,0.9936507936507936,0.9900021057897516,0.829972966884433,"Excited (Positive, High arousal)"
006.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry",006,006.wav,-0.0205,-0.0088,0.3706,3.4208,-0.6309765428296553,0.6415520619902235,-0.9979364744113493,0.8603174603174603,-0.2640166112479615,0.4227866636629869,Negative (Low/Med arousal)
007.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry",007,007.wav,-0.026,-0.0111,0.2233,3.3559,-0.7925770999488982,0.6050225812334395,-0.9998113761310186,0.8238095238095239,-0.5853428237667779,0.3862356386573551,Negative (Low/Med arousal)
008.txt,0,"retail sales, average transaction, tougher business, strategic plan, total sales, significant moves, softer industry, retail market, relentless focus, overall industry",008,008.wav,-0.0041,-0.0017,1.2292,3.9576,0.5489801263214479,0.8490614395491618,0.1298100097578015,0.973015873015873,0.9681502428850944,0.7251070060824507,"Excited (Positive, High arousal)"
009.txt,-1,Outlier,009,009.wav,-0.0115,-0.0049,0.35,3.43,-0.6083217609351035,0.6750951165177341,-0.9013795404595752,0.9222222222222222,-0.3152639814106318,0.4279680108132461,Negative (Low/Med arousal)
010.txt,-1,Outlier,010,010.wav,-0.0201,-0.0086,0.8162,3.7197,-0.1311560693073302,0.7273080952738533,-0.9975446189749164,0.8634920634920635,0.735232480360256,0.591124127055643,Neutral
