filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,1,", , , , , , , , , ",001,001.wav,-0.0122,-0.0052,1.9129,4.4444,0.6995926167116604,0.9879129273674456,0.3993908280498955,0.9763231197771588,0.9997944053734252,0.9995027349577325,"Excited (Positive, High arousal)"
002.txt,1,", , , , , , , , , ",002,002.wav,-0.1125,-0.0482,1.7497,4.3188,0.0012703680109407,0.843486850311086,-0.9968995986926292,0.77669452181987,0.9994403347145108,0.910279178802302,Neutral
003.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",003,003.wav,-0.0327,-0.014,0.9629,3.7704,0.3093986240128035,0.7280882160981033,-0.3135564029526755,0.9354688950789228,0.9323536509782826,0.5207075371172836,Neutral
004.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",004,004.wav,-0.0101,-0.0043,0.3298,3.4,0.1005970628097724,0.61904234232612,0.4617142053258234,0.98050139275766,-0.2605200797062785,0.2575832918945798,Neutral
005.txt,1,", , , , , , , , , ",005,005.wav,-0.0217,-0.0093,0.4919,3.4508,0.1515833982059336,0.6254796457393871,0.0764145597543254,0.957288765088208,0.2267522366575419,0.2936705263905663,Neutral
006.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",006,006.wav,-0.5028,-0.2155,0.2711,3.3639,-0.7096310545294052,0.1159693116431058,-0.9999999999999988,0.0,-0.4192621090588118,0.2319386232862116,Negative (Low/Med arousal)
007.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",007,007.wav,-0.048,-0.0206,1.1423,3.8686,0.1347065512060709,0.7476474726581728,-0.7075730954766914,0.904828226555246,0.9769861978888332,0.5904667187610996,Neutral
008.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",008,008.wav,-0.0059,-0.0025,0.1158,3.2798,-0.0770272601589125,0.580526859534795,0.5734279926243623,0.9888579387186628,-0.7274825129421875,0.1721957803509269,Neutral
009.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",009,009.wav,-0.0226,-0.0097,0.8444,3.7145,0.4543102665026335,0.7182145632368571,0.0437228584717525,0.9554317548746516,0.8648976745335145,0.4809973715990624,Positive (Low/Mid arousal)
010.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",010,010.wav,-0.0562,-0.0241,0.3065,3.4053,-0.5768454098889386,0.5749638429149031,-0.8278517470395469,0.8885793871866294,-0.3258390727383302,0.2613482986431769,Negative (Low/Med arousal)
011.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",011,011.wav,-0.153,-0.0656,0.6969,3.6258,-0.1518319984660166,0.5569506822438123,-0.9998380024065692,0.6959145775301763,0.6961740054745358,0.4179867869574483,Neutral
012.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",012,012.wav,-0.0119,-0.0051,1.0862,3.8604,0.6881118467743252,0.7807144931553995,0.4085434647766068,0.9767873723305478,0.9676802287720436,0.5846416139802514,"Excited (Positive, High arousal)"
013.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",013,013.wav,-0.0298,-0.0128,0.3558,3.5241,-0.2000327545848009,0.6433906029109429,-0.2153299251669717,0.9410399257195914,-0.1847355840026301,0.3457412801022944,Neutral
014.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",014,014.wav,-0.0755,-0.0324,0.7439,3.7426,-0.0958162671335047,0.6755027182041417,-0.9549283977871604,0.8500464252553388,0.7632958635201508,0.5009590111529445,Neutral
015.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",015,015.wav,-0.0166,-0.0071,0.3984,3.6573,0.100269564212593,0.7039330175611271,0.2566365912344476,0.9675023212627668,-0.0560974628092615,0.4403637138594873,Neutral
016.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",016,016.wav,-0.0194,-0.0083,0.2232,3.3285,-0.1867775377245404,0.5843612551711046,0.1590573443189808,0.9619312906220984,-0.5326124197680617,0.2067912197201108,Neutral
017.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",017,017.wav,-0.0006,-0.0003,0.1286,3.3383,-0.0097816677607631,0.6064122126025391,0.6888940727709911,0.999071494893222,-0.7084574082925175,0.2137529303118561,Neutral
018.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",018,018.wav,-0.1483,-0.0636,0.3516,3.4009,-0.5984628172734267,0.4817111306305833,-0.9997717908359774,0.7051996285979572,-0.1971538437108759,0.2582226326632095,Negative (Low/Med arousal)
019.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",019,019.wav,-0.0421,-0.018,0.2104,3.2823,-0.5716463424923187,0.5454352599369077,-0.5831343486201978,0.9168987929433612,-0.5601583363644397,0.1739717269304541,Negative (Low/Med arousal)
020.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",020,020.wav,-0.0162,-0.007,0.3333,3.3984,0.00986344110314,0.6122066299499194,0.2702079110254344,0.967966573816156,-0.2504810288191543,0.2564466860836827,Neutral
021.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",021,021.wav,-0.2241,-0.096,0.2235,3.3373,-0.7659758714806864,0.3839121764899763,-0.9999990922643528,0.5547818012999071,-0.5319526506970199,0.2130425516800455,Negative (Low/Med arousal)
022.txt,0,"comparable sales, total sales, strategic acquisitions, double digit, new stores, improved results, net income, quarterly performance, lower fuel, retail sales",022,022.wav,-0.0241,-0.0103,0.4352,3.4294,0.0228859949076833,0.6155573316120667,-0.0109372518428397,0.9526462395543176,0.0567092416582064,0.2784684236698159,Neutral
