filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.0112,-0.0048,1.9137,4.4448,0.9133368097079102,0.986728216964801,0.8275647247798951,0.973456433929602,0.9991088946359252,1.0,"Excited (Positive, High arousal)"
002.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",002,002.wav,-0.0842,-0.0361,0.476,3.4905,-0.0951189847220281,0.5322969310454885,-0.2303141722624723,0.7928447778418927,0.040076202818416,0.2717490842490843,Neutral
003.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",003,003.wav,-0.0991,-0.0425,1.1346,3.7511,0.2327011271622015,0.6132671285404985,-0.4802520186507942,0.7559145989613387,0.9456542729751972,0.4706196581196583,Neutral
004.txt,1,"net product, net adjustment, net sales, , , , , , , ",004,004.wav,-0.2724,-0.1168,0.1525,3.2839,-0.8368242066152455,0.2206328025536046,-0.9991511888346204,0.3271783035199076,-0.6744972243958707,0.1140873015873017,Negative (Low/Med arousal)
005.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",005,005.wav,-0.0326,-0.014,0.2705,3.3617,0.0889217494618999,0.5469138938736458,0.6443553230925764,0.9203693017888056,-0.4665118241687764,0.173458485958486,Neutral
006.txt,1,"net product, net adjustment, net sales, , , , , , , ",006,006.wav,-0.0711,-0.0305,0.2002,3.318,-0.2900333951282117,0.4826342872361338,0.0193794917445903,0.8251586843623774,-0.5994462820010138,0.1401098901098902,Neutral
007.txt,1,"net product, net adjustment, net sales, , , , , , , ",007,007.wav,-0.0373,-0.016,-0.2962,3.1856,-0.1884165382713882,0.4739503299803357,0.5879261382626272,0.9088286208886324,-0.9647592148054036,0.0390720390720391,Neutral
008.txt,-1,Outlier,008,008.wav,-0.04,-0.0172,0.7658,3.6629,0.611014730701209,0.6526080890802473,0.5526298632435664,0.9019042123485286,0.6693995981588517,0.4033119658119659,Positive (Low/Mid arousal)
009.txt,1,"net product, net adjustment, net sales, , , , , , , ",009,009.wav,-0.0769,-0.0329,0.1875,3.3062,-0.3566910557036458,0.471207436693588,-0.0927657278810945,0.8113098672821697,-0.6206163835261971,0.1311050061050062,Negative (Low/Med arousal)
010.txt,1,"net product, net adjustment, net sales, , , , , , , ",010,010.wav,-0.0405,-0.0174,0.1715,3.2746,-0.0500953692702358,0.5038701881243717,0.5458624898127076,0.9007501442585112,-0.6460532283531792,0.106990231990232,Neutral
011.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",011,011.wav,-0.0547,-0.0234,0.6354,3.5943,0.378925670602067,0.6085448200097653,0.3250159698354837,0.8661281015579919,0.4328353713686503,0.3509615384615386,Positive (Low/Mid arousal)
012.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",012,012.wav,-0.0984,-0.0422,0.3442,3.4139,-0.3850433558295739,0.4854696759450077,-0.4697460654121016,0.7576457010963646,-0.3003406462470463,0.2132936507936508,Negative (Low/Med arousal)
013.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",013,013.wav,-0.0264,-0.0113,1.1483,3.9274,0.8293307730510726,0.7705539755813847,0.7092900466213212,0.9359492210040392,0.949371499480824,0.6051587301587302,"Excited (Positive, High arousal)"
014.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",014,014.wav,-0.0999,-0.0428,0.7003,3.6423,0.0349433283029783,0.570887535958944,-0.4920922081978138,0.7541834968263127,0.5619788648037705,0.3875915750915752,Neutral
015.txt,1,"net product, net adjustment, net sales, , , , , , , ",015,015.wav,-0.1087,-0.0466,0.6989,3.6353,-0.0254283891751517,0.5572529489328393,-0.6102867781381411,0.7322562031159838,0.5594299997878376,0.3822496947496948,Neutral
016.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",016,016.wav,-0.097,-0.0416,0.9339,3.7849,0.200818704007619,0.6287606071398628,-0.4483312500354203,0.7611079053664166,0.8499686580506584,0.496413308913309,Neutral
017.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",017,017.wav,-0.0159,-0.0068,1.0397,3.8417,0.8541111695174066,0.7508373026441406,0.7966092890494809,0.9619157530294288,0.9116130499853324,0.5397588522588523,Positive (Low/Mid arousal)
018.txt,1,"net product, net adjustment, net sales, , , , , , , ",018,018.wav,-0.0327,-0.014,1.1336,3.929,0.7942966113282526,0.7633745165842685,0.6432204405392293,0.9203693017888056,0.9453727821172756,0.6063797313797313,"Excited (Positive, High arousal)"
019.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",019,019.wav,-0.0767,-0.0329,0.6559,3.6568,0.1935463099709069,0.6049833829695342,-0.0889213391797843,0.8113098672821697,0.4760139591215981,0.3986568986568988,Neutral
020.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",020,020.wav,-0.1001,-0.0429,0.1892,3.3415,-0.5564286739199757,0.4558249041623249,-0.4950242994244395,0.7536064627813042,-0.6178330484155119,0.1580433455433456,Negative (Low/Med arousal)
021.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",021,021.wav,-0.3017,-0.1293,0.2069,3.3156,-0.7938267229251968,0.196663718086107,-0.9997273075877664,0.2550490478938257,-0.5879261382626272,0.1382783882783883,Negative (Low/Med arousal)
022.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",022,022.wav,-0.1369,-0.0587,0.7348,3.6528,-0.1142555950471212,0.5290197396371661,-0.8499432410409119,0.6624350836699365,0.6214320509466694,0.3956043956043957,Neutral
023.txt,1,"net product, net adjustment, net sales, , , , , , , ",023,023.wav,-0.0377,-0.0162,0.0941,3.2278,-0.0838195763251167,0.4894752495372807,0.582830044158634,0.9076745527986152,-0.7504691968088675,0.0712759462759462,Neutral
024.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",024,024.wav,-0.3159,-0.1354,0.3565,3.4161,-0.6350918481314791,0.2174112493104127,-0.9998427313167272,0.2198499711482977,-0.2703409649462309,0.2149725274725276,Negative (Low/Med arousal)
025.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",025,025.wav,-0.0455,-0.0195,0.4303,3.4633,0.1965930086342303,0.5698122464026965,0.4742651943890078,0.8886324293133295,-0.0810791771205471,0.2509920634920635,Neutral
026.txt,0,"ongoing expense, cash stock, total revenue, cash expense, upfront cash, significant portion, previous slide, left hand, new indications, extensive product",026,026.wav,-0.0578,-0.0248,0.6489,3.6001,0.3658933910498467,0.6067186464077694,0.270275892163316,0.8580496249278708,0.4615108899363774,0.3553876678876679,Positive (Low/Mid arousal)
027.txt,1,"net product, net adjustment, net sales, , , , , , , ",027,027.wav,-0.0783,-0.0335,0.1787,3.2886,-0.3771844161064513,0.4627608278430553,-0.1195927944932786,0.8078476630121177,-0.6347760377196241,0.1176739926739929,Negative (Low/Med arousal)
028.txt,-1,Outlier,028,028.wav,-0.0128,-0.0055,0.303,3.3813,0.2105988478962683,0.5789164732651461,0.8175378896495373,0.9694171956145412,-0.3963401938570006,0.188415750915751,Neutral
