filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.1822,-0.0781,1.9019,4.4368,0.5028253203173088,0.8431127756970453,0.0057840391988554,0.6862255513940907,0.999866601435762,1.0,"Excited (Positive, High arousal)"
002.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",002,002.wav,-0.2502,-0.1072,0.5771,3.4935,0.0006369376324469,0.4685488152015927,-0.4063546232898793,0.5651269246774864,0.4076284985547732,0.3719707057256991,Neutral
003.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",003,003.wav,-0.2764,-0.1185,0.1053,3.1518,-0.6730831160811349,0.3312882033277312,-0.5367782227478904,0.5181023720349563,-0.8093880094143794,0.144474034620506,Negative (Low/Med arousal)
004.txt,-1,Outlier,004,004.wav,-0.3729,-0.1598,0.2491,3.3542,-0.7057623031746743,0.3127307853642778,-0.8395961146942924,0.3462338743237619,-0.5719284916550562,0.2792276964047936,Negative (Low/Med arousal)
005.txt,-1,Outlier,005,005.wav,-0.264,-0.1132,0.1941,3.2658,-0.5795984781872372,0.3802654859410646,-0.4776434023118887,0.5401581356637537,-0.6815535540625856,0.2203728362183755,Negative (Low/Med arousal)
006.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",006,006.wav,-0.4577,-0.1961,0.7607,3.6615,-0.0827592358993781,0.3394971360145136,-0.9430360623546024,0.1951727007906783,0.7775175905558461,0.483821571238349,Neutral
007.txt,-1,Outlier,007,007.wav,-0.2461,-0.1055,0.514,3.5206,-0.0817123487421588,0.4811073652386359,-0.3841229068679372,0.5722014148980442,0.2206982093836195,0.3900133155792277,Neutral
009.txt,-1,Outlier,009,009.wav,-0.4184,-0.1793,0.6576,3.6135,-0.1519278986906695,0.3584747455605039,-0.9073325378004268,0.2650853100291302,0.6034767404190876,0.4518641810918776,Neutral
010.txt,-1,Outlier,010,010.wav,-0.2791,-0.1196,0.3693,3.4226,-0.3985872821266675,0.4191458690396436,-0.549015586316813,0.5135247607157719,-0.248158977936522,0.3247669773635153,Negative (Low/Med arousal)
011.txt,-1,Outlier,011,011.wav,-0.4253,-0.1823,0.3099,3.3909,-0.6682185584918452,0.2781313499049401,-0.9148624712398232,0.2526009155222639,-0.421574645743867,0.3036617842876163,Negative (Low/Med arousal)
012.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",012,012.wav,-0.2303,-0.0987,0.5348,3.5306,-0.0047025848843282,0.4985852404866753,-0.294369937000237,0.6004993757802747,0.2849647672315804,0.396671105193076,Neutral
013.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",013,013.wav,-0.5304,-0.2273,0.391,3.4389,-0.5785224192599412,0.2004770861766776,-0.9772307749736088,0.0653349979192675,-0.1798140635462736,0.3356191744340878,Negative (Low/Med arousal)
014.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",014,014.wav,-0.3515,-0.1506,0.3028,3.3708,-0.6173505511810076,0.3373994889876336,-0.7940394045869691,0.3845193508114856,-0.440661697775046,0.2902796271637816,Negative (Low/Med arousal)
015.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",015,015.wav,-0.205,-0.0879,1.1316,3.9155,0.4193983826269906,0.6491863117175436,-0.1398244523791565,0.6454431960049938,0.9786212176331378,0.6529294274300934,Positive (Low/Mid arousal)
016.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",016,016.wav,-0.1278,-0.0548,0.3864,3.4348,0.0733422493960024,0.5580385813782484,0.341156730624804,0.7831876820640865,-0.194472231832799,0.3328894806924101,Neutral
018.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",018,018.wav,-0.0806,-0.0346,-0.1847,3.1909,-0.1959563593435199,0.5188776318771532,0.5775277055028469,0.8672492717436538,-0.9694404241898869,0.1705059920106524,Neutral
019.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",019,019.wav,-0.2182,-0.0935,1.0752,3.8826,0.3736453760667152,0.6265821462630212,-0.2218300400350553,0.6221389929255098,0.9691207921684858,0.6310252996005327,Positive (Low/Mid arousal)
020.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",020,020.wav,-0.1927,-0.0826,0.2876,3.3631,-0.2709102917689628,0.4763260443974548,-0.0616189411463571,0.6674989596337911,-0.4802016423915685,0.2851531291611186,Neutral
021.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",021,021.wav,-0.279,-0.1196,0.7491,3.6562,0.1066725165871148,0.4969088517293907,-0.5485664645689448,0.5135247607157719,0.7619114977431745,0.4802929427430094,Neutral
022.txt,0,"foreign exchange, outsourced administration, adjusted property, adjusted marketing, adjusted employee, additional day, large technology, net revenues, positive impact, private equity",022,022.wav,-0.3871,-0.1659,0.432,3.4625,-0.4554540185331353,0.3360902483746182,-0.8645442623842223,0.3208489388264669,-0.0463637746820482,0.3513315579227696,Negative (Low/Med arousal)
