topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",3
-1,Outlier,Negative (Low/Med arousal),12
-1,Outlier,Neutral,26
-1,Outlier,Positive (Low/Mid arousal),3
0,"net sales, total business, new products, net impact, lower pricing, high volumes, , , , ","Excited (Positive, High arousal)",1
0,"net sales, total business, new products, net impact, lower pricing, high volumes, , , , ",Negative (Low/Med arousal),2
0,"net sales, total business, new products, net impact, lower pricing, high volumes, , , , ",Neutral,15
0,"net sales, total business, new products, net impact, lower pricing, high volumes, , , , ",Positive (Low/Mid arousal),7
1,"next month, human practice, greater focus, global regulators, complex generics, clinical endpoints, , , , ",Negative (Low/Med arousal),2
1,"next month, human practice, greater focus, global regulators, complex generics, clinical endpoints, , , , ",Neutral,14
1,"next month, human practice, greater focus, global regulators, complex generics, clinical endpoints, , , , ",Positive (Low/Mid arousal),2
2,"potential impact, good position, , , , , , , , ","Excited (Positive, High arousal)",1
2,"potential impact, good position, , , , , , , , ",Negative (Low/Med arousal),2
2,"potential impact, good position, , , , , , , , ",Neutral,5
2,"potential impact, good position, , , , , , , , ",Positive (Low/Mid arousal),4
