topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",31
-1,Outlier,Negative (Low/Med arousal),35
-1,Outlier,"Nervous (Negative, High arousal)",8
-1,Outlier,Neutral,65
0,", , , , , , , , , ","Excited (Positive, High arousal)",12
0,", , , , , , , , , ",Negative (Low/Med arousal),8
0,", , , , , , , , , ",Neutral,10
1,"little pressure, larger pipeline, long term, large pipeline, right answer, significant pipeline, robust environment, faster book, larger diameter, ancillary businesses","Excited (Positive, High arousal)",3
1,"little pressure, larger pipeline, long term, large pipeline, right answer, significant pipeline, robust environment, faster book, larger diameter, ancillary businesses",Negative (Low/Med arousal),9
1,"little pressure, larger pipeline, long term, large pipeline, right answer, significant pipeline, robust environment, faster book, larger diameter, ancillary businesses","Nervous (Negative, High arousal)",1
1,"little pressure, larger pipeline, long term, large pipeline, right answer, significant pipeline, robust environment, faster book, larger diameter, ancillary businesses",Neutral,16
2,"compete agreement, true partner, strong execution, select projects, strategic partnerships, private infrastructure, overall structure, operational excellence, private partnerships, important part","Excited (Positive, High arousal)",10
2,"compete agreement, true partner, strong execution, select projects, strategic partnerships, private infrastructure, overall structure, operational excellence, private partnerships, important part",Negative (Low/Med arousal),2
2,"compete agreement, true partner, strong execution, select projects, strategic partnerships, private infrastructure, overall structure, operational excellence, private partnerships, important part",Neutral,8
3,"larger projects, numerous utilities, medium transmission, larger transmission, various levels, directional drilling, important engineering, full scale, downstream support, additional projects","Excited (Positive, High arousal)",4
3,"larger projects, numerous utilities, medium transmission, larger transmission, various levels, directional drilling, important engineering, full scale, downstream support, additional projects",Negative (Low/Med arousal),2
3,"larger projects, numerous utilities, medium transmission, larger transmission, various levels, directional drilling, important engineering, full scale, downstream support, additional projects","Nervous (Negative, High arousal)",1
3,"larger projects, numerous utilities, medium transmission, larger transmission, various levels, directional drilling, important engineering, full scale, downstream support, additional projects",Neutral,10
4,"good shape, ongoing opportunities, full expectations, , , , , , , ","Excited (Positive, High arousal)",5
4,"good shape, ongoing opportunities, full expectations, , , , , , , ",Negative (Low/Med arousal),1
4,"good shape, ongoing opportunities, full expectations, , , , , , , ","Nervous (Negative, High arousal)",2
4,"good shape, ongoing opportunities, full expectations, , , , , , , ",Neutral,7
