filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,2,"consistent terms, , , , , , , , , ",001,001.wav,-0.0085,-0.0037,0.6948,3.5986,0.6773941734954383,0.6922693811824246,0.5616224516402297,0.97,0.7931658953506467,0.4145387623648492,Positive (Low/Mid arousal)
002.txt,2,"consistent terms, , , , , , , , , ",002,002.wav,-0.0279,-0.012,0.3624,3.4079,-0.0624077482685801,0.5845704892262864,0.0,0.9008333333333334,-0.1248154965371602,0.2683076451192395,Neutral
003.txt,-1,Outlier,003,003.wav,-0.0474,-0.0203,-0.1328,3.327,-0.7609383760133618,0.5189695958898858,-0.563859800467922,0.8316666666666667,-0.9580169515588016,0.2062725251131049,Negative (Low/Med arousal)
004.txt,-1,Outlier,004,004.wav,-0.088,-0.0377,0.5999,3.6991,-0.1675477764379576,0.5891350356567748,-0.9616813630035964,0.6866666666666666,0.6265858101276811,0.491603404646883,Neutral
005.txt,-1,Outlier,005,005.wav,-0.0195,-0.0084,1.4196,4.0999,0.6335509723006993,0.8648875661375661,0.2683037249366649,0.9308333333333332,0.9987982196647338,0.798941798941799,"Excited (Positive, High arousal)"
006.txt,1,"net sales, early warning, higher sales, total bookings, total book, key bookings, , , , ",006,006.wav,-0.0503,-0.0216,0.3646,3.3974,-0.3710558283317469,0.5405447243309565,-0.6251573827678915,0.8208333333333334,-0.1169542738956023,0.2602561153285794,Negative (Low/Med arousal)
007.txt,0,"free cash, early retirement, effective tax, common stock, prior guidance, whole provision, operating income, prior expectations, strong balance, strong cash",007,007.wav,-0.0673,-0.0288,0.8978,3.7638,0.0446522463923602,0.6510247488689518,-0.8591384367704099,0.7608333333333333,0.9484429295551304,0.5412161644045702,Neutral
008.txt,0,"free cash, early retirement, effective tax, common stock, prior guidance, whole provision, operating income, prior expectations, strong balance, strong cash",008,008.wav,-0.0408,-0.0175,0.5485,3.5276,0.050564250539397,0.607547542366383,-0.3989295902784023,0.855,0.5000580913571964,0.3600950847327661,Neutral
009.txt,-1,Outlier,009,009.wav,-0.0774,-0.0332,0.3917,3.4061,-0.4719744167015229,0.4955470247680393,-0.9247318391429696,0.7241666666666667,-0.0192169942600761,0.2669273828694119,Negative (Low/Med arousal)
010.txt,-1,Outlier,010,010.wav,-0.0101,-0.0043,0.4251,3.4816,0.3131270921486776,0.644910858063032,0.5247065377160539,0.965,0.1015476465813013,0.3248217161260639,Neutral
011.txt,-1,Outlier,011,011.wav,-0.0313,-0.0134,0.4962,3.5208,0.1170543373698316,0.6220237136722645,-0.1108661087351426,0.8891666666666668,0.3449747834748058,0.3548807606778622,Neutral
012.txt,1,"net sales, early warning, higher sales, total bookings, total book, key bookings, , , , ",012,012.wav,-0.0233,-0.01,0.2457,3.3864,-0.1750140961211779,0.5846605896787058,0.1494857998537572,0.9175,-0.499513992096113,0.2518211793574114,Neutral
013.txt,1,"net sales, early warning, higher sales, total bookings, total book, key bookings, , , , ",013,013.wav,-0.0948,-0.0406,0.2853,3.3299,-0.6797746006019771,0.4354981404800246,-0.9752815356898916,0.6625000000000001,-0.3842676655140628,0.2084962809600491,Negative (Low/Med arousal)
